rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/28/2019,"Finally made it back to the city and to Marseille for Brunch.  As I suspected when I first came here based on the quality of the drinks, atmosphere, service and menu options, the Brunch was fantastic.  All 3 of us thoroughly enjoyed our meals and drinks.  The dishes were well prepared, cooked and seasoned just right, and TASTY.  The service was spot on and un-rushed, our waiter was fantastic and pleasant.  We were dropped a fruit plate by accident by one of the food runners and the waiter said to enjoy on the house.  The noise level here is great, you can carry on a conversation without having to yell at each other. Will definitely be back again to try some of the other menu items.",8,2,4,Fred B.,"Collingswood, NJ",144,122,5235
5.0,4/25/2019,"Best place to go before catching a Broadway show... excellent trout and bouillabase.  Enjoyed the upscale decor,  good service and moderate pricing for upscale dinner.",0,0,0,Laura G.,"Manhattan, New York, NY",0,2,2
5.0,4/22/2019,"I had the most wonderful experience at Marseille! We were seated immediately when we arrived around 5pm at a gorgeous spot near the windows. We ordered the sangria and rosé spritz to start which came almost immediately. The sangria was strong and the rosé was light and well... spritzy! We got two breadsticks covered in everything bagel seasoning with butter in EVOO literally two seconds before our risotto appetizer came. Unfortunately the breadsticks were a bit too rough for me to eat but my friend didn't seem to mind. The risotto came out, with a beautiful yellow colored cream surrounding the risotto. I complemented the dish to the server because it was so amazing, and he told me that the dish changes with the season but the saffron always remain an integral part of the dish. Next we got our chicken grand-mere and spring pasta. YOU GUYS. MY GOD THIS WAS SO GOOD. The chicken was beautifully crisped, the potato gratin was delicious, the string beans were buttery, and the roasted garlic wasn't too strong in flavor so we even ate the cloves! The spring pasta was a light dish with a hint of spicyness. We actually realized it has pancetta, and I had mentioned to the server that the only meat I ate was chicken. We asked if it was indeed pancetta and he immediately took it back and brought out a fresh dish and the kitchen was so kind as to add chicken into it instead. For dessert, we ordered the profiterole which was huge and came with chocolate sauce on the side for us to pour over. The ice cream was delicious and it was soft and flaky! It was my first time having profiteroles and this was truly phenomenal. All in all a great meal and a great time.",0,0,0,Shweta G.,"Manhattan, New York, NY",242,29,63
4.0,4/14/2019,"Really nice French style bistro.  Opens at 9 for breakfast and stays open through for lunch and dinner.  Very good Eggs Benedict with a choice of Canadian Bacon,  Smoked salmon or Spinach. Served with potatoes in a tomato sause with green  and red peppers.  Excellent Cappuccino.  Nice French staff compliments the place and if weather permits,  you can eat al fresco.",1,1,1,Steve L.,"Syracuse, NY",6,377,199
5.0,4/11/2019,"Great theatre district brunch place! Wonderful food, friendly service and liberally flowing mimosas. Although it gets very crowded, the service is good, as they know many folks are heading to see shows, but they certainly don't rush you. Beautiful decor as well. Our group ordered Mushroom Pain Perdu, Crab Benedict and Brioche French Toast, which were all excellent. On a prior visit also tried the Moroccan Eggs baker in a small casserole, also superb. An all around great place and highly recommend!",0,0,0,Donna L.,"Brooklyn, NY",39,18,0
4.0,4/9/2019,"Overall, had a really great meal here. Though I wasn't super impressed with the drinks available at brunch, all of the food was really delicious. The French onion soup is to die for, and the lobster tails, though very expensive, are delicious and well prepared. The lox bagel was very fresh and tasty, and the steak and eggs wasn't bad, but I wouldn't order it again. The desserts were delightful- especially the creme brulee! Service was prompt and friendly, and the overall atmosphere of the restaurant is really beautiful, with people bustling inside and out, it's an awesome place to sit and enjoy a meal. I would definitely recommend checking this place out if you're in the area!",1,0,1,Jacklin A.,"Philadelphia, PA",275,201,487
5.0,3/29/2019,Amazing food and service (Johnny is great). The croissaint and ginger cookies are the best!,0,0,0,Luiza D.,"Manhattan, New York, NY",30,1,0
4.0,3/16/2019,"I love this restaurant. The service is excellent, the ambiance is outstanding and the location can't be beat. I like the food and it's well prepared and quite reasonable for the location. The shrimp cocktail was great, fresh plump shrimp. Had the chicken grand mere (sp?) and it was good. A little bland but perfectly cooked. Potatoes were good as well. Dessert, the apple tart, was good. I had a margarita but I don't usually drink so I have nothing else to say other than I enjoyed it and finished it. The best part about it is that we were able to enjoy a leisurely dinner and catch up. That's the best part. Would definitely come back again.",0,0,0,Rob I.,"Woodbridge Township, NJ",50,74,21
5.0,3/10/2019,"Made a reservation here for brunch at 1pm on a Sunday. Even though the restaurant was still pretty busy and my friend was running a couple minutes late, the hostess still seated me right away (not sure if this was a fluke because some other groups seemed to have to wait until their whole party arrived). After we ordered, the waitress brought us complimentary bread--delicious raisin bread and mini carrot muffins. Thought it was nice touch and step up from plain sourdough or french bread that restaurants typically provide. I ordered the crab and egg bruschetta and it was delicious. Usually restaurant dishes that feature seafood in combination with other ingredients skimp on the seafood, but there was a relatively generous portion of crab meat. The green onions and sour cream incorporated in the egg made the dish so rich and creamy, which was perfectly complemented by the bread and light side salad with minimal dressing. My friend and I stayed for quite a while catching up and the waiters and waitresses never rushed us and were very attentive in refilling our waters, which I appreciated (probably helped that the brunch frenzy had well died down by the time we left).Going to see a show with my roommate in a month and I will definitely try to come back and try the dinner menu here!",0,0,0,Jennifer Z.,"New York, NY",0,3,0
1.0,3/8/2019,We found the hair on the oyster and the manager came in with the attitude. It is very disappointed. He make a face like our fault. Don't recommend,0,0,0,Olivia F.,"New York, NY",58,3,0
