rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/27/2019,"I was surprised how bad the food was considering how popular Sarabeth's is, not much different than diner food but twice the price for everything.  For example, I ordered the lemon ricotta pancakes and they just tasted like regular pancakes.  They were thick and doughy and not very good.  Go to Serafina and have their lemon ricotta pancakes and compare it to Sarabeth's and you will see how bad the Sarabeth version is.  Serafina's lemon ricotta pancakes are super light and fluffy and they melt in your mouth with a distinct lemon and ricotta flavor.  There is a world of difference, and it made me realize how mediocre Sarabeth's is.  The brand is popular but the food doesn't live up to it.",0,0,0,K C.,"New York, NY",14,182,1
5.0,4/27/2019,Had the French toast and pork-apricot sausage. Outstanding! So glad I stumbled upon this place.,0,0,0,Andrew M.,"Houston, TX",0,4,0
4.0,4/14/2019,Can't speak for the food as I've only ever been here for dessert. Highly recommend as a upscale place to come for dessert. Both the raspberry bread pudding and the chocolate souffle were very good. Would avoid the cookies. A little too hard and crunch for my taste. Usually excellent service.,0,0,0,Philip C.,"New York, NY",4,70,0
3.0,4/12/2019,"Came on a Thursday morning (11am-ish) and was seated immediately (party of 3). Larger groups were waiting but if you're a party of 2, 3 or 4 there's not much of a wait (on a Thursday). There's also a little counter up front so solo dining too! Cute ambiance and I can tell there were mix of tourists and locals. We were seated in the back part of the restaurant. The tables are fairly close in proximity from each other but I didn't feel uncomfortable or anything. We were greeted immediately by our server. And got coffees (free refills) and water on tap (still and sparkling available as well). I think our server was tired that day. Didn't smile much and heard him sigh a big sigh in passing.lol. I ordered the short rib hash. Which was good and flavorful but not falling off of my seat amazing. My favorite honestly was the toast that came with it (it had poppy seed in it! Mmmmmmm) and the orange marmalade. Oh my goodness. So so good!!! I may go back just to have that (or buy it). That's how much I enjoyed it! They also have strawberry jam which is good too but the marmalade got my heart. One sucky part was that our server never asked what we wanted for our carb (that comes with each entree). On the menu it states you get a choice of toast, croissant or muffin. Our server took or order and left without asking so we thought maybe it changed? Toast came out as default. Which was fine because it was delicious but we heard him asking and giving options to every other table he was serving surrounding us. I was just bummed that we weren't given that option. Heads up, your server may ask if you want fries, sausage or bacon on the side. It doesn't come with the dish! It's an extra $11+ you'll pay. On a happy note: our coffees were never empty! Wish it was served nice a hot every time though. Cute place to take a visitor before or after a Central Park stroll. Like I said, I personally will prob come back mainly for the marmalade and bread.lol.",0,0,0,Risa S.,"New York, NY",4,211,420
2.0,4/4/2019,"If you're a celiac or gluten intolerant, they have a special go away greeting waiting for you.  Called ahead of time to see if I could be accommodated so I could join a group of friends.  After checking with the kitchen, they told me not to bother coming to their restaurant as they don't want responsibility for gluten contamination.  In this day and age, accommodating food allergies is a reality of doing business.",0,0,0,Julie B.,"Manhattan, NY",0,16,0
5.0,3/24/2019,I love any Sarabeth's location. This one needs a little renovation but it's also very cute. Food and service is always amazing. No complaints,0,0,0,Alex M.,"New York, NY",271,28,12
1.0,3/11/2019,"My husband and I ate here last night. Our food was served cold!!! I had to ""flag down"" the waiter to find out where our food was. We waited for about 40 minutes for a salad and a burger. Our waiter never checked back with us to see if everything was OK or if we  needed or wanted anything else.Terrible experience. Will spend my money elsewhere next time!!",0,0,0,Monika W.,"Northport, NY",0,2,0
4.0,3/9/2019,"I've been coming to Sarabeth's for years. Today we decided to go to Central Park so we stopped into the UES location. The wait wasn't bad, this one is cute and quaint, and the staff is very nice. We ordered the morning glory granola w fruit and yogurt, the rib hash and a side of bacon. Everything came out within 10 mins. Food is average but it was a great Saturday morning brunch!",1,1,1,Sheena K.,"New York, NY",331,106,133
5.0,2/24/2019,Great place to have breakfast. The interior is posh and classic. Everything we had for breakfast was great. Each dish had a creative twist that made it a unique breakfast. Staff was great. We had an issue at our table and the management handled it extremely well.,0,0,0,Ivy G.,"Tumwater, WA",45,21,0
5.0,2/16/2019,Solid American food ... you can find anything your looking for. Enjoy nice service and food was very fresh.,0,0,0,Nicole H.,"Deer Park, NY",338,9,16
