rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/26/2019,"I took my mother here last night for her birthday, and when I tell you we recieved phenomenal service there is no exaggeration. I booked the reservation last minute and was worried that we wouldn't be able to get the time slot we requested, surprisingly we did. I also made a note to mention that it was going to be a birthday dinner. When we arrived we were seated right away and the table was already set up with birthday trinkets and a birthday card. Our waiter was nothing short of amazing and he catered to our every need. The food was very flavorful and robust. I would definitely visit this location again in the future",1,0,0,Milan M.,"Manhattan, NY",106,13,12
5.0,4/17/2019,"We went for lunch to celebrate my husbands birthday. I had made reservations beforehand . The service was exceptional. My husband received a nice birthday card on the table when we arrived . Surprised us with a glass of champagne. We ordered onion soup, filet mignon, ny strip , potatoes and green beans . Everything was delicious. We must have had maybe 5 people come over and wish him a happy birthday .  Desserts were awesome too . They knew we had a play to see so we were in and out hour and half . Thank you Capital Grill.",0,0,0,lisa f.,"Shelton, CT",0,5,3
5.0,4/17/2019,"Hands down one of the best places to eat in nyc. (Big Dot aka period)The service is not only phenomenal but the food is amazing, I've been coming to this same location for over 8 years.The staff is simply amazing.If you meet Gabe (@ the bar) , as him about his performance over at Radio City ... great story !!Ask Mike (@ the bar) about his favorite shorts !And Thank Mellisa for doing an amazing job with this location .To the Vegans, don't worry this also is a place for you.Some of my vegetarian  friends love coming here for their soups, salads of cocktails. And upon request they can generally prepare a dish to order (hint ask nicely)They also feature a large selection of  gluten sensitive dishes.",0,0,0,David C.,"Manhattan, NY",56,31,24
5.0,3/10/2019,"Excellent pre fix theatre menu.... 7 days a week...choice of soup or salad, main course including filet mignon, and dessert!  Can't beat the price.  Service is excellent and meal was delicious.  I had the clam chowder which was thick and creamy.... just like up in Maine, my filet was cooked to perfection and the creme brûlée was amazing!",0,0,0,Joan B.,"Wayne, NJ",0,13,0
5.0,2/23/2019,"Exceptional place for lunch and dining. Perfect for celebrating different special events - from anniversaries to birthdays to graduations. I'm quite enthusiastic about the Capital Grille brand and love to take my family and friends out any time we travel to a city with one. Capital Grille has been consistently on point with every experience and every occasion and this location was no exception. Our server, Argon, was attentive and sweet. Compared to other steakhouses elsewhere, the seats are further apart but I personally enjoy the privacy and quiet atmosphere. Really appreciated everything!",0,0,0,Tiffany W.,"Los Altos, CA",5,58,66
5.0,2/16/2019,"This is My first time here and my girlfriend and I were serve by Bonny. First let me say she was outstanding!! Great energy, very kind and most importantly very attentive. The food was amazing. Both myself and my girlfriend had no complaints with our entrees. Today's date is 2/16/19. There is meter parking around the area but as you know it is the city so most are already taken but you'll find one close by if you get here about 40mins prior to your reservations. In conclusion I will definitely be back here. The place is amazing for both a nice night out with your lady and for a nice adult like celebration dinner.",0,0,0,Amair H.,"Brooklyn, Brooklyn, NY",0,2,0
5.0,2/15/2019,"Valentine's Day dinner with my love last night was great, I made reservations for 9 we arrived around 8:46 waited about six minutes and we were seated. Our waitress name was Rachel very nice lady and the whole night she was on point, stoli doli is what me and my wife were drinking, seems like more vodka than pineapple juice (still have a headache) my lady ordered salmon and I had the Ny strip steak Medium well, my lady didn't like the steak I loved it, she enjoyed her salmon though, disliked the green beans. Everyone that works in this restaurant was attentive they make sure you're ok. My only beef would be the selection of drinks I'm not a wine drinker. Loved the place I'll be back. Oh yea the mashed potatoes were outstanding get them",0,0,0,Randy W.,"Glen Oaks, Queens, NY",89,25,31
4.0,2/5/2019,"We came here for restaurant week with my family and it was delicious! It has one of the best dinner restaurant week menu and the biggest bang for the buck. I ordered the clam chowder, 14 oz ny strip and cheese cake.",0,0,0,Lily C.,"Queens Village, NY",159,36,46
5.0,2/2/2019,"The Capital Grille never disappoints. I came here to celebrate my birthday and also for restaurant week winter 2019. The restaurant week menu had really good options, but our waitress Angela Wingrove recommended the porterhouse and the Kona crusted ribeye to share. OMG let me tell you, they were both so delicious and well cooked. The ribeye especially. You can not go wrong with either of those steaks. We had the steaks with the lobster mac and cheese, creamed spinach, and asparagus. I left there so full and happily satisfied. From the bread basket to my birthday dessert, I was in food heaven. Angela was awesome. She took care of us and made sure we enjoyed our meal. She also recommended a great full red wine. I want some more LOL. She knows her stuff. The service was exceptional, I mean Angela took care of us and trust me when I say, I will keep coming here not only for the food but for the great service as well. Thank you Captial Grille and Angela for a memorable experience. Come here for a great meal and you will not be disappointed!",0,0,0,Ragy R.,"Brighton, MA",147,15,13
4.0,2/1/2019,"Came during restaurant week and it was pretty packed. The food was great and the cheesecake was amazing. I only give it 4 stars because of service. I understand it's busy but for an upscale steakhouse service could have been a bit better. Overall I would recommend it, and although it's a chain it still has some charm.",0,0,0,Brittany D.,"Greensboro, NC",0,22,5
5.0,2/1/2019,"My fiance and I set up a reservation here after purchasing tickets for a Broadway show. We had looked at the Restaurant Week menu and decided that their offerings were pretty generous for the price. The reservation process was very smooth- they're on Open Table so it was really simple to make/adjust reservations. Unfortunately, on our way into the city we hit massive amounts of traffic and arrived half-an-hour late to our reservation. I called when I realized that we would be late and the hostess was extremely pleasant about our tardiness. They also didn't give us any grief when arrived, which I thought was very professional and courteous. I really liked the overall ambiance of the restaurant. They have a bar area as well as a main dining room and smaller offset dining rooms for a more intimate setting. I was also happy to see that the tables were not jam packed together, as is standard for NYC. Our server was outstanding. When he greeted us he asked if we were going to see a show after dinner and when we told him we were looking to be done with dinner in an hour, he assured us not to worry. I am impressed with his ability to cater to our crazy timeline all without making us feel rushed or stressed at any point.When it comes to the meal, we both opted to order off the Restaurant Week menu. I had the New England clam chowder, 8 oz fillet, and cheesecake. My fiance opted for the lobster bisque (at a $5 up charge), 8 oz fillet, and espresso cake, while we both shared the green beans and mashed potatoes. We were both extremely satisfied with our meals. I really liked my soup, but the lobster bisque was incredible. Our steaks were perfectly cooked and the sides were tasty. I really loved the cheesecake and the espresso cake was good as well. Overall, I'm really happy that we tried the Capital Grille and will definitely go back!",7,2,3,Sara C.,"Wayne, NJ",219,316,163
5.0,1/30/2019,"My food was delicious. I had the NY Strip bone in steak with green bean, lobster Mac and cheese with the cheese cake for dessert.",0,0,0,Antoinette M.,"Bronx, Bronx, NY",0,9,11
5.0,1/26/2019,I have been coming to various Capital Grille restaurants all over NYC since 2008. I think you have the best dry aged steak I have eaten around the world. I always take steak lovers to your restaurant for the selection and the service.,0,0,0,Kitanya R.,"Brooklyn, NY",0,7,27
5.0,1/26/2019,"This review is more geared towards the two times I've been to this Capital Grille location during Restaurant Week. Both great experiences. I think that capital grille offers the best bang for your buck during RW. Appetizer, entree (including steak) dessert and a side for $42 is one hell of a deal by any standard. Particularly since some of the steaks they include on their RW menu are over $42 on their own. I've been to two of their locations during RW. The first location we tried (Chrysler center) made us feel uncomfortable asking for the RW menu, and once we did the waiter clearly diverted his attention away from us for the evening. The food was also pretty bad for Capital Grille standards. It was overall a bizarre experience - especially since we've been to that location many times and never had issues. This location however treats it like a real feature and offers a much better experience overall. Both times our servers were great and the food was top notch as well. For RW they offer the Kona for a $20 upcharge - still a great deal and is my favorite steak they offer. As with all of their locations, despite being a chain I find their food to be excellent. I look forward to coming back to this location, during RW or otherwise.",2,0,0,Mike N.,"New York, NY",144,283,75
5.0,1/16/2019,"My husband and I spent an exceptional evening celebrating a night in NYC together.  We deciding to eat at the bar where my husband would have dinner often.  Time Inc. occupied much of that building over the years and he would go down and have dinner at the bar.  Gabe and Jeremy, only the best Bartenders in the world, who are now friends, spent many evening with him.  Well last night he brought me along.  We had such a great time with Gabe.  A great bottle of wine, a couple of delicious appetizers and a bone in rib eye to wrap it up.  Everything was delicious!!! But the best part was the personal attention.  Looking forward to going back and visiting my new Cuban brother Gabe!!!!",2,1,1,Michele T.,"Atlanta, GA",66,116,491
