rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/23/2019,"Visiting NYC for the second time and decided to go here for my significant others birthday celebration. It was A Friday evening, weekend of Easter. I had called before hand and rescheduled our reservation, and confirmed the evening event- they offered dessert for his birthday and I kindly accepted and thanked the lady for the nice service. As we arrive, we were greeted and brought to our table. Waited a few minutes and asked about our preference for our water, sparkling or still. It had seemed like our waiter was a bit more attentive to the little group next to us as their party has 3, ours had two. Not if it was because we were ""young"" and felt like we were discriminated by that... maybe he thought we weren't going to tip him well so he gave us horrible and inattentive service? We had salmon as our appetizer, which was okay. Then followed by steaks, lobster Mac and cheese, fries, and another side dish. Must I say that I ordered medium-rare though more on the cooked side. Or steak came out horribly cooked. Outside was burnt, inside wasn't even warm... fries came out cold and so did the Mac n cheese. Our waiter didn't even assist us, it was other waiters walking around. The restaurant wasn't even busy other than the large party but that only took one server to service. Our bill came out to be $350. Final total was $400. I always tip based off of service, never percentage but it'll never be nothing. And that was without my significant others dessert, they didn't even bring that out. I was a bit disappointed because this was supposed to be the highlight of our visit to NYC. But I guess we wouldn't have known unless we tried. Never coming again, thankfully NYC is filled with steakhouses for us to try during our coming trips!",0,0,0,Nittaya S.,"Seattle, WA",5,81,26
5.0,4/22/2019,"OMG I am obsessed with this place! I had seen so many beautiful pics on their IG page, I kept telling my gf we needed to go (and had it bookmarked for months). I am happy to say, my experience matched my high expectations. Everything was amazing.We were running a bit behind on our 7 pm reservation, so they were happy to hold the table until 7:30 pm. Immediately upon seating we ordered six oysters and a nice bottle of wine. The sommelier was happy to pick out a lovely French white wine for around $100 for us. We then ordered the 'Owner's Recipe Seafood Salad' and 'Gnocchi With Lobster & Caviar' along with 'Truffle Tater Tots'. Everything was absolutely outstanding. I made the mistake of gobbling down the delightful complimentary bread they put down before our food even arrived. This was legit the best bread I've ever had. It was crispy and cheesy on the outside, and warm, gooey, and heaven like on the inside. The bread its huge too and of course I had to ask for seconds! Then came the seafood salad which was the best seafood salad I have ever had. The salad came with fresh calamari rings, scallops, pieces of lobster and shrimp with lemon in a light vinaigrette dressing. The gnocchi arrived at the same time and it was outstanding. Large pieces of fresh gnocchi in a creamy, Parmesan like sauce with huge pieces of lobster, along with caviar and bread crumbs on top. Wow. The tater tots were a very unique dish. They came seven to a dish and they were huge. They came with a really tasty tarter like sauce on the side, yum. The server also handed us a free plate of brussel sprouts and they were excellent too. They came seared in a very tasty sauce. By 8:30/9pm, the place was jammed packed, most people looked like they were at business dinners. My gf told me they had a separate bar downstairs, which I noticed when I went to the bathroom. I'll have to go check that out next time I'm there. I was beyond full and a little tipsy and ready to head home, but then came out the largest piece of chocolate cake I have ever seen, complimentary too! That was so nice of them! We weren't even there on a special occasion! I thought the staff was excellent overall! They were very friendly, hospitable, and accommodating. I was so pleased, I knew I needed to write a fabulous review, straight away! I cannot wait to go back!",3,1,2,Shannon W.,"Paramus, NJ",592,501,940
5.0,4/21/2019,"This spot has been on my list for some time, and I finally decided that last week was the week I would go, and go solo.  I had a plan to get one or two things, but ended up ordering three.  The bartender, Johnathan, was so helpful in helping me decide what to order.  Ultimately, I ordered the crab cake, Mac and cheese, and the bison burger.The crab cake: SOOOOO good.  Tender, crispy outside, with a perfect slaw and remouladeMac: HOLY CHEESUS.  This was the best I've ever had. I'll leave it at thatBison burger: super tender and juicy! Would order again for sure!This spot is worth the $$$ and the menu has a lot to offer! Very excited to go back!!",1,0,1,Morgan R.,"Brooklyn, NY",187,46,72
5.0,4/20/2019,Came here for my birthday and everything about this place was perfect. It is absolutely beautiful and the waitress was extremely kind and super attentive. Started with 5 oysters and ended up ordering 6 more because they were that good. The salmon was probably one of the best salmon I've had. The lemon chicken was delicious too. Have absolutely no complaints about this place. The margaritas here were the best margaritas I've had in the city. And this is coming from someone who only drinks margaritas. I've had margaritas from all over and this take the cake. I would most definitely come back.,0,0,0,Sherllin T.,"Manhattan, New York, NY",13,31,118
3.0,4/19/2019,"First and foremost I'm mainly giving 3 stars because of the service. Our waitress Rosa was so nice & pleasant and was the best part of our experience. But anywho, as far as overpriced steakhouses go this one just blends in. Nothing spectacular but nothing too bad either. The beef carpaccio, truffle béarnaise sauce on our steak (if you order the steak it's a MUST) & 24 layer cake were the best parts or the meal. Everything else was just meh.The crab cake we ordered was a little rough on the outside making it hard to break into & share.  The sparkling water I paid $8 for tasted flat. Like dang, can a girl get a bottle of Perrier? Our steak we asked for medium rare and it came out over cooked And as I've seen on other reviews the lobster was a little over cooked as well. The meat was slightly dried out & it the crab meat stuffing was more stuffing than crab. I probably wouldn't go again but the experience was a cool one time thing.",0,0,1,Torae B.,"Jamaica, Queens, NY",464,69,156
1.0,4/19/2019,"In a word........horrible.    Unless you like One Star sleepers. I've been to every well known and many obscure steakhouses in the city, probably multiple times so this review isn't from a casual tourist that felt burned.  Hunt and Fish is trying to join the ranks of one of those elite but falls so very far from the mark. L.  Last nights experience wasn't good.   It started off with the a weak Old Fashioned cocktail which I could happily excuse if the service and the food was top rate.    Fact is, neither one was and the cocktail was just a prelude of what was to come While the Porterhouse was somewhat salvageable (average at best) the Hunt and Fish Special with the Tomahawk steak at $350!! was what irked us most. Falling significantly below average at an over priced premium, poor presentation and weak flavor.  Both the Porterhouse and the Tomahawk were  served rather cold. The wait staff is completely uneducated as to what they serve and  happy to serve  poorly prepared specials and luke warm sides. I blame management not them.  .  As if huge pats of butter on a steak aren't gross enough check out the unmelted ones in this picture that the untrained staff was happy to bring to the table in a drop and run.    Don't even get me started on the accompanying amateur sauces.      Our waiter was happy to be non-existent once he clocked in the sale of the ""special"".  Seems like a commission based wait staff if I had to guess.  The sad special which I can't get past  includes 6 mediocre/medium sized  shrimp and a small anemic lobster tail somewhere in this attached photo all atop herbs which looked more like weeds.  As for dessert, We tried for redemption with the ""signature"" waffles for two.   Again cold but this time dramatically presented by a nasty fool as the staff smears Smuckers Jam and bottled caramel on a platter at your table only to drop in a cold rather old waffle for the grande finale as if it was made by Paul Bouse himself.     Who serves cold old waffles for dessert??  Forget the fact that they were completely unable to answer questions as to ""what is that ?"" I won't mention where you should go for a good steak and service at the risk of sounding  like a paid influencer but  there are many to choose from and as for Hunt and Fish we had ENOUGH!  of this place.   Our crew will not return.  One star rating because that's the lowest I could give it and still enter an online review.  $240 per person - one cocktail and no wine.",0,0,0,Gus F.,"New York, NY",0,22,26
5.0,4/18/2019,"I wish I could give this place more stars. We got stuck in traffic, the staff accommodated the reservation change. We had short time for dinner because of show time and the staff accommodate that. Not only was the staff top notch, the food was incredible. From the free bread, with amazing herb butter to the silky smooth steak that was like butter the food was a home run. I absolutely will be back on my next trip into the city, you should t",0,0,0,Michael P.,"Northampton, PA",207,8,2
4.0,4/15/2019,"Upscale venue with a great ambiance. Good for large parties. The food was delicious, though every item was a bit too oily/greasy to give it a 5/5 for me. It's also very pricey but I knew that coming in so it wasn't a surprise!",0,0,0,Serena R.,"Dupont Circle, Washington, DC",9,30,77
4.0,4/12/2019,"Nice restaurant in a great part of the city. Lively, a little loud and a great place to grab a good meal. Service is outstanding. Food quality is superb. Food texture was on point. Fell a little short on flavor and nothing was really impressive aside from the chef's seafood appetizer (very fresh and perfectly flavored) and carrot cake dessert. The steak was cooked to perfection and very tender. Brussel sprouts was just average and not something i would order in the future. May return to this restaurant at some point but more likely to try something new.",0,0,0,Mike T.,"Town of Hempstead, Long Island, NY",0,34,11
5.0,4/10/2019,"I came here with my boyfriend a couple days ago for his birthday and we had such a great experience! We didn't have a reservation but were seated right away. The service was excellent! We received constant attention without it being too overbearing. Each course was brought out promptly and hot. We had the French onion soup which was delicious with the addition of short rib. The scallops were definitely our favorite course of the night, and they were probably one of the most flavorful scallops I've ever tasted (highly recommend!). The rib eye was seasoned and cooked perfectly as well. We got it with the stuffed half lobster and the small size for such a high price was the only disappointment, since the stuffing was primarily breadcrumbs but overall, can't complain since we were pretty stuffed by then anyway. We could barely dig into our sides because we were so full but we really enjoyed both the tater tots and creamed spinach. Will definitely be coming back to try out some other dishes!",0,0,0,Emily G.,"Manhattan, New York, NY",0,1,0
