rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/22/2019,"I don't care if the food is good. It is. But when you plan to have a conversation, you can forget it. This place is hell. And you know you are in trouble when the server gets your order wrong because HE can't hear you! The last two times my NY strip here ordered medium rare was too well done and less than tender. I'm done.Pass.",1,0,1,D E.,"Manhattan, NY",5,95,2
2.0,4/16/2019,"Did you ever ask for steak on your salad, and then get it delivered chopped up in tiny pieces like kibble dog food? Well it happened here. I like to see steak in a steakhouse, delivered in slices so you can see it, looking great. Couple that with really slow,  bad service at the bar and I feel like not paying their prices. Sorry. This place needs work.",2,0,1,Danielle K.,"Manhattan, New York, NY",65,3,1
3.0,4/1/2019,Cute place. Very small bar. Just had the one Cabernet there ... which was pretty good. The TV was well place to watch March madness. Did not try the food.,0,0,0,Ty H.,"New York, NY",134,205,25
5.0,3/22/2019,"Everything we ordered at T-Bar was truly amazing. We started with the sushi, which came with four flavorful pieces of fresh fish atop a chunky crispy rice foundation. For our main, we ordered the 24-ounce rib-eye cooked to the chef's recommendation (medium rare) and paired it with a side of mascarpone spinach. The steak was extremely tender and flavorful--cooked to perfection. And I could not stop forking into the creamy spinach side! The mascarpone added a rich velvetiness that can't compare to regular creamed spinach. Whether you're doing date night, girls' night, or coming here with the parents, the ambiance is tasteful and classy yet welcoming. Can't wait to return and try the rest of T-Bar's divine menu!",0,0,0,April B.,"Mill Basin, Brooklyn, NY",185,18,7
5.0,3/9/2019,"Here with my relatives a couple of times.Staff was very welcoming. Had some good vegetarian options but ended up sharing a bit of my cousin's steak which was very nicely done.This last time the three of us shared a Delmonico steak, an enormous baked potato and spinach with mascarpone and it was more than ample amount of food with leftovers to boot. I can see why my cousin frequents the TBar.",0,0,0,Mary P.,"Boston, MA",65,28,0
5.0,2/26/2019,We enjoyed a great meal from the cocktails the starters oh loved the sushi and tuna tartare Could have stopped there but we went for the bone in rib eye and some how ordered dessert too Lovely place and staff is wonderful A place for lunch and dinner #groovineats,0,0,0,Elizabeth S.,"New York, NY",35,17,236
5.0,2/10/2019,"This place is underrated. Putting my steak bias aside, the food was excellent.Yellowfin tuna tartare: mixed with soy sauce, ginger and sesame seeds. Fish was really fresh and tasty, and I'm glad they provided warm crunchy bread to balance the textures and flavors.Chilean sea bass: Again, fresh and moist fish, and it was cooked perfectly. The fish sits upon a base of bok choy (sauced in some sort of soy/ginger combo)Ribeye: They'll slice up the steak for you, and this was one of the better ribeyes I've had. 24 oz never disappeared so fast before.Banana parfait mille feuilles: One of the best desserts I've had in NYC, unexpectedly in a steakhouse of all places. The parfait seemed to be ice cream based, and sat between two layers of bruleed bananas. This one is for all you sweet tooths.",0,0,0,Matt H.,"New York, NY",273,264,748
5.0,2/1/2019,"great crowd and ambiance. The steak was cooked a perfect medium rare and the desserts are amazing! Highly recommended, nice bar scene",0,0,0,Maya L.,"Nyack, NY",22,5,0
5.0,1/29/2019,"T-Bar is the Tops !  A Neighbourhood staple for the, as Saturday Night Live recently put it ""U.E.S!"" T-Bar is all about a simple menu, executed to perfection.  Front of house staff are always pleasant and accommodating - though getting a walk-in reservation early evening is tough as T-Bar is in demand.I have dined many timed over the past few years and find that the consistency and reliability of Service is excellent compared to many high end destinations in the City and the pours for the cocktails and wine are generous.  Favorite dishes include the roast chicken and the beet salad.  The Banana desert is to die for...Several others have advised me that in their own opinion the preparation fo the steak Is amongst the best the City has to offer.   Well worth a visit.",1,0,0,Jeffrey B.,"Manhattan, NY",6,105,368
1.0,1/25/2019,"Went here today service was not bad as some people commented but the food was not that great had the rib eye med-rare first time that i had a med -rare as dry as well done no flavor whatsoever  had better steak at the outback sad especially since it was about 70 dollars i eat steak all over and this was an unpleasant steak after an hour i felt nauseous its possible other items may be tasty there but please everyone stay away from the steak for your safety and all around well being,thank you",1,0,0,Pete M.,"East Tremont, Bronx, NY",10,12,9
4.0,1/13/2019,"This is a cool place! It's a great location, has cool decor and the food is pretty good! Good brunch spot!",0,0,0,Anjelica M.,"Old Bridge Township, NJ",15,32,4
5.0,1/9/2019,"let's begin with Yellowfin Tuna TartarDrizzle of soy, Ginger and topped with sesame seeds. The tuna was bright and fresh and plate  licking good. I like fresh Tuna...this I loved ! So simple a dish but can go wrong easily. This was a surprisingly great start.We also were treated with the special - Quinoa salad with butternut squash, black olives, fresh greens and mixed in a heavenly light dressing that truly was special. I had never been a big quinoa fan. First time did not make my palate happy. Yet the first time I had avocado I was not pleased. The secret to anything new is flavor. Seasoning and spending a little time and love to enhance the goodness that lies beneath the hype. I love avocados now. Fresh with a little lemon and red pepper flakes. Mixed in as a guacamole and any ole way. Is Quinoa the avocado of the millennials. Sorry but my thoughts on millennials vary. They are smart and innovative. I am not one of them. Although smart and innovative I was born too early and I was just born this way. Thoughtful and polite. Respectful and unpretentious. I envy the millennials that pretention is now acceptable. Thank you for that and thank you for quinoa. It is a lovely grain that can take on many different forms. In a salad as a main as a snack. T Bar did it right. Unpretentious. Clean pure flavor enhancing every ingredient on the plate. Balancing it all perfectly. I ate all the tuna and wanted to be sure to enjoy the rest of the meal as this introduction to T Bar enfolds. Never do I do this when reviewing but I asked to take the rest of this amazing salad home. Yes, Millenials you had me at quinoa. On to the main...our lovely talented and knowledgeable Server Kati suggested steak. It is however a steak house. Also mentioning that the duck is one of their most popular dishes. Michael had the Rib Eye. Medium rare. I opted for the duck. Michael travels a lot and whenever he goes to a big city let's say Boston or Chicago or DC. His quest is meat !! A great steak will determine if he will return. As any red blooded American male and Ron Swanson, Beef and whiskey is the perfect evening meal.  Michael's plate came out with a steak bigger than my head. Beautiful sear and cooked exactly right. A good sign that they have the right chef for a steak house. ""At the suggestion of our server, we ordered the 24 oz. Prime Aged Ribeye Steak. The steak arrived perfectly seared and lightly seasoned with Kosher Salt and Black Pepper. I prefer my steak medium rare to preserve the natural flavor and juices of a prime cut of meat and the chef did not disappoint. No need for any other sauces. The generous portion is plenty for two guests. No disrespect to my vegetarian friends, but this steak would make Ghandi green with envy."" Michael Morrissey  Personally I do like a good steak now and then. T Bar rib eye is one of the best I've had. The preparation was beautiful. Presented on a white plate this charbroiled slab of beef was treated and cooked with kind and considerate hands. Meat lovers should be proud. In a world now where I have almost more friends that are vegan than not for many reasons. I also can appreciate the idea behind the meat lovers appreciating  every part and utilizing it with purpose.Then the duck. A lovely plate. Crispy Long Island Duck. Tasty and flavorful. Served with a side of  sweet potatoes and an orange glaze. It was a great choice. Service was perfect. We had a few minutes wait but to my surprise on a Thursday night at 7 PM this place was packed. A few minutes later we were seated at a corner banquet. Cushioning and comfortable. The décor was lovely understated and not flashy at all. The hostesses and bartenders were gorgeous. I felt as if I was in  a Robert Palmer video. The patrons at the bar were as you would expect on the upper east side. Attractive older gentlemen with women whom you couldn't tell their age or if they were sad. They all had the same smile. Lovely all the same.  The dessert - as I mentioned often the dessert is the explanation at the end of the sentence. We were served 2 very decadent and large desserts. First the Strawberry Sundae. Shortcake, meringue, brandy cream. They say it serves 4 I would say maybe 14. It's massive but very yummy. A steak place that just took a turn to being an ice cream social. Then the Banana Parfait Mille Feuilles. Coconut - caramel sauce. Again can serve 4 but we needed to make more friends to get through this. It was delicious. I always love a brulle. Hard sugar on top of stuff. Who wouldn't like it. What stood apart for me was Kati. A true gem. Beginning with  her warm greeting to our final good byes for the evening. I had been a server for many years and have seen a lot in high end to street food service. Kati not only makes you feel welcome I do believe she truly loves what she does. She loves where she gets to do it and her pride in the food shows in her pride of her service. Knowledge from your server",0,0,0,Faith R.,"Queens, Queens, NY",120,3,0
4.0,1/2/2019,"An all-around good, if not quite memorable experience. Irish Salmon was the best thing I've tried, highly recommended. Nice upscale ambiance, decent service, clientele mostly on the senior side - Upper East Side ladies-who-lunch and their significant others. It's not a restaurant I would seek out but if invited to or stumbled upon, content to partake...if I can afford it, that is.",0,0,0,Andrei O.,"CA, CA",3,5,0
5.0,12/9/2018,"Excellent place to eat and drink! It was not too noisy even with the after work crowd. I had the lamb burger which was cooked to my taste and the spinach was not over cooked. I would go here again and recommend anyone who's looking for an afternoon spot on UES to eat, drink, and chat.",0,0,0,Moon C.,"South Ozone Park, NY",21,27,7
5.0,11/21/2018,Awesome food and atmosphere! Service strong! Reservations needed as it gets very busy. Hidden gem of the upper east side!,0,0,0,Robert L.,"Manhattan, New York, NY",319,2,0
4.0,11/20/2018,Excellent food. Great service. Great ambiance. Porterhouses steak cooked to perfection.,0,0,0,Philip D.,"Staten Island, NY",1,4,0
4.0,11/20/2018,Such pillow-y pasta! I came by for lunch with my bosses today and really enjoyed the ambiance as well as the food. It still has that upscale feel with the prices and the service (I love how they had a different server carry out each dish and place them on the table all at once) but it wasn't super stuffy which meant that we were still able to freely continue our conversation at ease. I ended up ordering the cavatelli which I loved! The pasta was so pillow-y and had such a nice chew. The TBar salad with shrimp looked really yummy as well as the shrimps were nice and plump with such gorgeous tomatoes. The meatballs only came as meatballs which I thought was a bit odd. (Didn't want to whip out my phone in front of my bosses so no pics sorry :( ),1,0,0,Melissa V.,"New York, NY",715,169,693
5.0,11/13/2018,Best tuna tartare in NYC -- and it's a steak joint. I also love the brussel sprouts and the Bananas Foster is my daughter's all time favorite dessert. Service is always outstanding.,0,0,0,Paula S.,"Manhattan, New York, NY",0,12,0
5.0,11/10/2018,"Love this place! The owner is so warm, funny and friendly. It's feels your eating at a family's friend. We have the TBar salad, the artichoke pans were so good. Oh yea the bread is heavenly! The tuna tar tar is delicious generous amount of tuna. And the salmon is cooked to perfection over spinach. I noticed their dessert were highly recommended and looked to die for. Too bad I filled up on bread next time i will go just for dessert.",0,0,0,Leigh N.,"New York, NY",1,44,42
