rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/28/2019,"My family and I ate here prior to going to see Wicked.  We had 5:15 reservations for the 8 o'clock show. By 5:45 the place was packed. Our server Nunzio was amazing and very attentive. The food, service and ambiance were exceptional. The grilled squid, beef carpaccio and arancini balls were delicious as was the rest of the meal. The Sea Bass was buttery and flakey, I had pasta with lamb Ragú, which had chunks of lamb in. The bolognese sauce was also very tasty. We had a very nice bottle of Sicilian wine which completes the whole meal. This is the perfect place to go prior to going to the theater.  We will definitely eat eating here again and highly recommend it. Definitely make reservations if you plan on going",0,0,0,Donna R.,"Higganum, Haddam, CT",15,10,0
5.0,4/25/2019,"We had an amazing dinner here on our last night in New York after it being recommended via the Lonely Planet app. I had the Gorgonzola penne and my husband had the grilled salmon. Both dishes were outstanding! The service was impeccable as well; the server was serving numerous tables at the same time, yet he continually checked in on us and refilled our water. I've been to Italy three times and the pasta here truly rivals Italy! The ambience is super chic and romantic, and prices are extremely reasonable. We also thoroughly enjoyed the complimentary bread basket with fresh bruchetta which they repeatedly refilled. Would HIGHLY recommend to everyone, even if you have to go out of your way to get there!",0,0,0,Lauren K.,"Richmond, Canada",44,11,0
4.0,4/14/2019,"Had the fresh ricotta and spinach tortellini in butter sage with asparagus and Parmesan. It was wonderfully made. For appetizers, we had the tray of prosciutto and a plate of grilled octopus. They had a Nebbiolo Rosato which was a huge plus. Lastly, for dessert we had the lemon, raspberry, and mango sorbet and the vanilla bean panna cotta. The panna cotta had too much gelatin in it and was thick as a result. Overall, great food. Atmosphere was really loud and hard to hear or talk over all the noise.",0,0,0,Alina J.,"Brooklyn, NY",93,63,11
5.0,3/16/2019,"Great, friendly service especially for a very busy very crowded place. Food was amazing. Even the simple pastas were very well executed. Lighting, ambiance is like in a movie. The only drawback was the tables are packed together. The service and food more than makes up for it. Highly recommend this place!",0,0,0,Brad K.,"Aurora, CO",0,3,0
5.0,3/5/2019,"Had the most delicious dinner at Bocca di Bacco last night.  The most delicious grilled octopus and the most fresh and delicious burrata, then the three of us split a delicious healthy kale salad while 2 of us had the most amazing salmon with crispy string beans and deliciously cooked onion while the manly guy had the most delicious tasting pork chop with potatoes.  I want to go back, now!  Plus wine, birthday shots, very fresh watermelon with vodka, yummy!  It was a great dinner, going to be a special place in our lives, Thank You!",0,0,0,Carol F.,"Port Washington, NY",79,4,0
5.0,3/5/2019,Bolognese was amazing! Great service and attention. Wasn't busy at all so o was skeptical but it was fantastic. The mussels were to die for.,0,0,0,Jaime H.,"Brigantine, NJ",9,25,3
3.0,2/22/2019,"I came here on my last visit to New York, I was with a group of 10+ and it was difficult finding a restaurant that would take reservations to accommodate. Bocca di Bacco Hell's Kitchen was one of the few restaurants that offered us this option. We were seated about 15 minutes after our reserved time due to another party taking longer to close out their table.Staff were friendly, handed us menus and gave our group some suggestions. As a table we ordered several appetizers, the most memorable appetizer was an item that was not on the menu, but suggested by the waiter, Special Appetizer which came with Burrata, Tomatoes and Prosciutto. The cheese was so creamy and flavorful. For my entree I went with the suggestion of our waiter as well for the Special Pasta. This came with Lobster, Clams and Squid Ink Pasta. I was not a huge fan of my entree... the sauce came out diluted and the pasta had a chewy, gummy texture. I would stick to the other more traditional dishes, I had a taste of several other dishes around the table and the sauces and pasta were alot better... the Orecchiette with Sausage was really good!Overall I would suggest this spot to accommodate large parties. The food was decent, but not amazing. The price point is average and portions are plentiful so if I were in the area again with another large group I would return :)",1,0,0,Lina T.,"Rockville, MD",360,374,1805
4.0,2/18/2019,"Neighborhood gem! We love the ambiance here - wood tables, low lighting, authentic Italian food, staff and great wine list. We got married in Italy and love celebrating our anniversary here since it reminds us of great memories.Love the octopus starter, grilled branzino, and gnocchi. Hubby loves the pappardelle.",0,0,0,Chrissy R.,"Manhattan, NY",0,163,208
5.0,2/17/2019,"We dined here on Wednesday night. Our waiter was Nunzio. The service was fabulous and the food was excellent. I had the pasta special with lobster and shrimp and it was wonderful. Fresh homemade fettuccine with tender lobster and shrimp in a fresh, light tomato sauce. This restaurant has a very cozy atmosphere wgreat wine list. I will definitely come back here again.",1,0,0,Ralph M.,"Matawan, NJ",0,7,0
3.0,2/9/2019,"The service is really good. The food too but it could be better, desert needs work. The selection of wine is ok too.",0,0,0,Julietta S.,"Hackensack, NJ",0,8,1
