rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/27/2019,Wonderful cuisine in an elegant rabbit warren of spaces tucked away in a high rise above Madison Park. The filet mignon is top notch!,0,0,0,Rick P.,"Santa Barbara, CA",9,13,2
5.0,4/27/2019,"Did not know what to expect, but definitely not disappointed! The duck breast was so tender and one of the best we've eaten. Had the tilefish which was moist and flaky. The sides were perfectly prepared. The sommelier chose a great French white wine, so light and perfect with our meal. Highly recommend this place. It's on the second floor of the Edition Hotel.",0,0,0,Judy W.,"La Canada Flintridge, CA",14,22,10
5.0,4/23/2019,"Not only was the food delicious but the outstanding hospitality we received from the general manager will be another selling point for recommending The Clocktower to all my friends & family. Love: Foie Gras & Chicken Liver Parfait (starter), Berners Tavern Macaroni & Cheese (starter), Whipped Potatoes (side), Dry Aged Burger (main), Beet Cured Heritage Pork Chop (main), Prime Filet Mignon (meat), Treacle Tart (dessert)Like: Santa Barbara Uni (starter), 40-Day Dry Aged Prime NY Strip (steak)Okay: Brooklyn Burrata (salad), Baby gem lettuce (side), Chilled Green Asparagus (side)",0,0,0,Y S.,"Manhattan, NY",5,57,9
2.0,4/22/2019,"I have never been so disappointed by every single dish at a restaurant, is it my bad ordering or The Clocktower just has terribly underwhelming food?! Thank your waitstaff for their impeccable service for the two stars. Hudson Valley Foie Gras and Chicken Liver Parfait (0/5) - for being the biggest fan of foie gras I barely touched this dish because it is SO SALTY, when we asked for bread it took 20 minutes for the kitchen to prep it.. by then I was over this dishEggs Benedict (1/5) - just look at the photo I uploaded, is this not the saddest/most pathetic/underwhelming plate of eggs Benedict you've ever seen? Your corner deli can do a better job than thisChocolate cake (1/5) - extremely dry cake, no thank you",1,0,1,Yitong W.,"New York, NY",290,40,182
5.0,4/9/2019,"The Clocktower is a perfect third date restaurant.  It's the private eating club that you're invited into tonight.  Get cozy with a drink in the plushy chairs while feeling like you're in someone's luxurious mansion.  This restaurant is on the second floor of the Edition Hotel on Madison Square Park.  It's gorgeous, has several rooms, including a pool table, and has pictures hung all throughout the vaulted ceiling rooms.  Even walking into the clock tower, you pass through the Edition lobby, with its Aspen fireplaces and fur throw blankets. The restaurant is based on a upscale British Tavern (if that tavern had gorgeously high ceilings and was well groomed). The food too is slightly English, including pigeon pie, fish and chips, and halibut.  However, you can find most classic light american dishes on there too, such as oysters,",0,0,0,Lexi E.,"Austin, TX",374,144,44
5.0,4/6/2019,The Clocktower:Second time here. Top 3 brunch with Bessou and Buvette.Recommendations:1. Earl grey souffle 2. Beef Wellington3. Lobster salad4. Crab toast with uniYou can order the earl grey souffle for weekend brunch if you email the restaurant before arrival. Great service!,0,0,0,Mengjia Y.,"Jersey City, NJ",63,270,1398
2.0,3/30/2019,Overall ambience is nice and the bar area is great but that's where it starts and ends. Had appetizers and entrees. Beef tartare was bland at best. The sliver of lamb priced at $46 was tough and not satisfying. The duck was ok. I was truly excited to try this place and then promptly disappointed.,0,0,0,Karim T.,"New York, NY",102,7,4
5.0,3/20/2019,"Had dinner here few times and enjoyed the experience. Fun ambiance, delicious food, great service.",0,0,0,Stella S.,"Manhattan, New York, NY",0,19,1
5.0,3/17/2019,"I really loved how low-key and old school the vibe was at Clocktower, and for a Michelin-starred restaurant the experience was blessedly down to earth.Our table only really shared two things: the Boston Lobster salad, and the 32 oz Dry Aged Ribeye ($160 or so). The Lobster salad was delicious, and quite fresh, if not particularly mind-blowing.The steak though--what a treat. Easily shared between 3-4 people (which makes it downright affordable in this city), it was simply one of the best cuts of meat I have had in a while, and came with (!) a drool-worthy bone marrow jus, fantastic potatoes au gratin, and a decadent green bean and truffle salad. I barely had any room for dessert, but we went for the Earl Grey soufflé and I'm glad we did. It was light, delicious, and a perfect way to end the meal.It was kind of weird to go in expecting a stuffy, Michelin-style experience and end up finding my new probably-favorite steakhouse in the city, but it was a pleasant surprise. I'll definitely be back to try some of their other entrees too, if I can convince myself to skip the steak. Easier said than done...",0,0,0,Aaron J.,"Boston, MA",118,78,44
5.0,3/16/2019,"The bartender made me some amazing tequila cocktails (no margarita or trendy over-the-top jalapeño mezcal bs.) In the restaurant, service was attentive and smart. My burger was cooked perfectly and fries weren't soggy, plus there were only like 10 so I didn't feel like an enormous cow rolling out of there. Overall good times.",0,0,0,Christine O.,"New York, NY",67,38,2
