rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/23/2019,"A neighborhood favorite and an excellent choice to recommend to family and friends visiting from out of town. Flawless service; attentive and knowledgeable. Delicious, fresh food made to order. Try a glass of wine you have never heard of before or request a suggestion from the bartender or floor staff. I return again and again. See you there!",0,0,0,Steven B.,"New York, NY",1196,34,227
5.0,4/20/2019,"Good service, the food was very nice. Prices were not too bad. The champagne was tasty, I liked the atmosphere of the place. Staff was very attentive but would also let you sit and enjoy your meal and won't bother you much unless you ask for anything. Not too crowded for a Friday afternoon. Would come here again.",0,0,0,Marie Z.,"Bronx, Bronx, NY",24,3,0
5.0,4/7/2019,Loved this place! We started with the Buratta which was great. The server recommended a bottle of italian red wine that we were not familiar with but it turned out to be fantastic. I ordered their homemade fresh fettuccine with white wine garlic sauce with shrimp which was so good! My wife ordered the salmon which of course i stoleA bite from and it also was amazing. I would highly recommend this place if you are looking for really good italian food. Its not the sexiest ambiance but its also not bad...,0,0,0,Philip N.,"Palm Desert, CA",20,41,4
1.0,4/1/2019,"I knew, before setting foot here, that this pre-theater-crowd-catering faux -authentic Italian-adjacent eatery was a mistake. Friends who LIVE in the neighborhood--and thus should have had the wherewithal to suggest something halfway decent in Hells Kitchen--invited me, so I decided to check my preconceptions at the door, but when I asked our waiter what sort of mixed vegetables were in the whole wheat ziti sauce, and his response was ""mixed vegetables,"" I died inside a little. ""Do you not know what kind of mixed vegetables?"" I asked, helping this surly charlatan to admit that, no, he did not. That (and other unfortunate exchanges) might have been chalked up to dinner theater--everyone was on their way to or from a broadway show, after all--except that the food was as bad as any stage prop. Why did I order ravioli, when I knew in the depths of my soul that a box of frozen little envelopes of mystery cheese in sad red sauce would arrive, the box replaced by a plate? I was forced to then eye my dinning companions' entrees, and actually feel grateful--grateful!--I hadn't ordered the truffle pizza, which looked like a repository for everything the restaurant had discarded. Then there came a moment where I thought I spied the proprietor of Masseria del Vini, looking a little forlorn at the sight of his own garbage pie and his terrible life choices, and the curtain fell over that evening's performance, only to begin again tomorrow. A thousand times no.",0,1,0,Eve B.,"New York, NY",1,18,0
5.0,3/10/2019,"Omg!  I cannot say enough wonderful things about this restaurant, it's food, the staff, and everything about it! We just had a group of 12 people on Sunday afternoon. Our waiter's name is David. He's so Italian, and so adorable, and so great! The food is all homemade. Everything is made on the premises. The pastas, breads, breadsticks (the best we've ever had), sauces, and the desserts. I am very Italian  and I'm very picky about my Italian food - and this place is off the charts fantastic! We all feel like we are at homeMany people got the more complicated dishes such as chicken scallopini, pasta with truffles, etc. I got the homemade spaghetti with the homemade tomato sauce. Absolutely fantastic! I had The best ice cream tartufo I've ever had for dessert!  Even coffee is on point!   Now we are going to a Broadway show and out afternoon could not have started more wonderfully then at this spectacular restaurant! Thank you to David, and to the chefs, and everyone else at this restaurant!",0,0,0,JJ E.,"New York, NY",182,12,13
1.0,3/6/2019,"I had a TERRIBLE experience at Masseria Dei Vini. My husband made a reservation and took me here for our anniversary. We were sat at some bogus table all the way in the back where we had no space and the wait staff kept bumping into us. Food was mediocre at best.When we tried to pay the bill with our gift card, they told us it was expired (it was not, it was 1 year old). We challenged them on this and they changed their story to ""It's actually not expired, but it does not have money remaining on it."" (It had never been used). We challenged them on this and asked them to show us their gift card records, to which they actually admitted that they don't actually have access to gift card sales records. We were forced to pay, and they promised they would reimburse us after their ""book keeper"" looked into the gift card sale the following day. That did not happen...We had to follow up for 3 weeks with the restaurant's manager(s) and book keeper because no one would call us back. I must have called the restaurant 10+ times and even tried going there in person showing proof of the gift card purchase before they finally reimbursed me. The managers were straight-up ignoring me until they realized I was not going away.Such a terrible experience. What should have been a wonderful evening was turned into a miserable experience by the staff, and they did not even have the decency to fix the problem in a timely or professional manner. The restaurant actually still owes me ~$50 because the gift card was more than the price of the dinner.",1,0,0,Joey F.,"Manhattan, NY",2,15,0
5.0,3/3/2019,"Masseria Dei Vini  is a great local Italian spot! The food and service are exceptional.My husband and I made a same day reservation at Masseria Dei Vini and had the best dinner ever. We started our mean with two glasses of wine and the polpettine alla fontelina as our first course, the appetizer was so tasty and full of flavor! For our main courses I had the gnocchi verdi which was in a cheese sauce(simply amazing!) while my husband had the special of the evening- pappardelle with lamb he said that the dish was heavenly and really hit the spot! We ended the meal with two desserts; the tiramisu and the torta di ricotta both dessert were fantastic and a great way to end the meal.If you are in the Hell's Kitchen area I strongly recommend checking out Masseria Dei Vini, you will not be disappointed! Thanks for a great evening.",3,1,1,Charles B.,"New York, NY",123,124,164
4.0,2/21/2019,"My husband decided to take me here for Valentines day celebration and it was jam packed! Thank god for reservations.We were greeted by the host at the entry who quickly took our gates and seated us quickly to our table.Our server was a very friendly and enthusiastic gentlemen who gave us recommendations on food, the specials etc. We started off with a bottle of red that we share.For the appetizers, I ordered the burratta which i absolutely absolutely loved. The cheese was just lovely. My husband ordered from the specials which was a something with mussels and he really enjoyed the dish.For the main, the severer suggested me the Truffle risotto which was one of their specials for the night. I would rate this a bit low cause i am nit a very big fan of risotto and was confused between the ravioli and this. And the server made it sound so nice with mushrooms and truffle. It was well balance and flavored no doubt, but just not for me.My husband ordered the Spaghetti all Nero which was an absolute delight! Highly recommended. we ended the date with a beautiful Tiramisu. On our exit they gave me a rose, which were giving to all the ladies, for the Valentine specials, which i thought was a very nice touch. Goes on to show how much effort and thought they put in details. Great place to go for date. Impeccable service and rich food.",0,0,0,Anisha R.,"Manhattan, NY",171,308,1230
5.0,2/15/2019,"Fantastic food and amazing service!!We came here for lunch the Saturday before Superbowl after stocking up, fancy style, for the big game. Everything was delicious!! We had a few specials and some menu items.We ordered the lobster bisque, tuna tartar, calamari, 2 orders of octopus, 2 special pastas with mushrooms and shrimp/chicken, margherita pizza with Buffalo mozzarella (default), squid ink pasta with clams and tiramisu and tartufo for dessert. We also had 2 great bottles of red wine.The meal was absolutely delightful and there were so many options for food and drink.Our server, Rigo, was so so nice as was our other guy, Luis, and the manager Nico.We came here for the first time, but it definitely will not be our last! Thank you!!",2,0,4,Melissa N.,"Brooklyn, NY",339,576,1025
5.0,2/1/2019,I was blown away by the food and service here. Our waiter was incredible and made perfect recommendations for my wife and I. Everything we ordered was delicious. This place had the best cheesecake I've ever eaten in my life and it's not even a competition. I will definitely be going back and recommending this restaurant to everyone.,0,0,0,Lawrence R.,"Garden City, NY",6,115,56
