rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/29/2019,"A tired old diner setup charging tourist prices.  When you walk in, you can sense the aura of lingering disappointment.  This place is so bad that it has its own metaphysical energy.My wife had the eggs benedict, which wasn't bad.  I had a lobster roll, which was a couple pieces of lobster on an oversized crusty piece of toast, with stale potato chips thrown on the side.  We both had some of their very standard coffee.The bill came to $80, so $95 after tip.  At that point, my hotel's $40 breakfast buffet seemed like a bargain.  Even the price for room service would have been comparable.",0,1,0,Patrick M.,"Macungie, PA",52,50,10
4.0,4/22/2019,"Got to know this restaurant through lunch takeouts! They do have the best miso salmon salads in town. It is definitely unbeatable with more than 10 different veggies and fruits and delicious miso salmon! However, the price is quite hefty for a salad ($26) so it is more of an indulgent experience than a daily order!",0,0,0,Majer M.,"Manhattan, New York, NY",1,28,47
4.0,4/8/2019,Great location on 48th and Lex on the 1st floor of Hotel 48Lex. Nice bar area and great option for breakfast/brunch and you'll see a good mix between business people and casual diners for lunch. Food generally good and you have decent vegetarian option as well. Brunch is awesome lunch is okay. Restroom is on a different floor and you need to go through the hotel elevator so sub-optimal but otherwise good option. Friendly staff and nice bar area,1,1,2,Jonathan H.,"Long Island City, New York, NY",6,133,1
5.0,4/4/2019,"There were a lot of mixed reviews about this place but I really liked it! I came here on a Friday evening , had no trouble getting a table and had efficient service . The steamed clams were delicious as were the truffle fries .",1,1,1,Katrina W.,"Lakeview Heights, KY",0,21,0
4.0,3/31/2019,"The food here is excellent. Friendly & conversational staff. We made our reservations for 10:15am on a Sunday through Open Table, and it's good we did because the place was (expectedly) busy! Great location in UES. We had the chicken & waffles eggs benedict (benedict of the week), home fries, and egg whites/chicken spinach wraps. All three were well seasoned & full flavored. Coffee was good but overpriced ($5 for a cup, refills seem to be free though). I tried the Moscow mule mimosa. Great ginger/lime flavor. Rating this 4 stars due to the slightly exaggerated prices. $22 for French toast is a bit steep, but I suppose it's to be expected for the neighborhood.",0,0,0,Starryshoulder ..,"Allston, Boston, MA",0,5,0
4.0,3/25/2019,Came for dinner and drinks with a couple of friends.  Decor is nice.  It was very crowded in a Tuesday but perhaps that's to be expected in New York.  I ordered a glass of rose and a glass of Sauvignon blanc later on.  Both weren't great.  My friends liked their drinks one had a watermelon cocktail and the other a glass of Champaign.  We had a kale artichoke dip with chips for an app.  It was really good.  Then for dinner I had a salad that was supposed to have chicken and quinoa but they easily switched it to salmon for me.  It was really delicious.  The salmon was cooked perfectly and I liked that it was cut and seared into bite sized pieces.  Everything in the salad was very fresh and tasty.  I would definitely return for that salad again.,1,0,3,Sandy J.,"Westwood, NJ",193,186,185
4.0,3/23/2019,"Happened to be in the area and came across this awesome place. I will say we came earlier than the usual crowd on a Saturday so we had no wait and got seated immediately. We got coffee, a fruit salad and Fried Chicken eggs Benedict special which was 5 stars on its own. The location was nice modern with elements of classical charm. The staff were very polite, helpful and attentive. Overall I thought it was a nice quick satisfying brunch in a really nice environment. Was a little pricier than what I'm used to, but it's NYC so it was expected.",0,0,0,Elliot Z.,"Philadelphia, PA",14,36,90
5.0,3/19/2019,The best steak I've ever eaten and it's not the fillet.  The best item on the menu is the steak and frites.  It's hanger steak and it can't be beat!  When you're in Manhattan be sure to make a visit.,0,0,0,R P.,"Boston, MA",53,21,0
5.0,3/17/2019,"Cute spot for brunch! Great drinks & avocado toast.  Traveled to NYC and stayed at the Lexington Hotel, enjoyed very much!",1,0,0,Ashey E.,"Perkasie, PA",52,31,1
4.0,3/9/2019,Stopped for a late dinner after theater.   My Caesar salad was fantastic- not a strict Caesar (it had avocado and asparagus ) but truly delicious.   Everyone was very happy with their meals and the prices were very reasonable (for manhattan),0,0,0,Kathie L.,"Emmaus, PA",2,56,0
5.0,3/7/2019,"I had came here yesterday for lunch with my team at work and it was great! We work a couple of blocks away and wanted to go somewhere for a team lunch that was sit down and a bit nicer than the places we typically would go to so we picked here. Being that it was the middle of the work day, we each had work to get back to, so we informed our waiter that we had a time limit, and they were very accommodating and speedy. We had made a reservation and our table was ready right when we arrived. This is in a very business-y area, so I'm sure they are used to this on a daily basis as they probably host multiple business lunches daily. Inside is very nicely decorated and is a large place. I would definitely recommend coming here for a work function, a place to take a client, or just for a regular meal.We ordered off the lunch menu and I had such a hard time choosing because there was so many delicious sounding things to pick from. I ended up getting the grilled mahi sandwich and it was delicious. There was avocado on the sandwich and they did not cheap out on that at all, there was sooo much. It was also served w chips that were really good. One of my co-workers ordered the miso salmon salad and that looked delicious as well and I almost regret not ordering that! I will definitely get that the next time I go back. Another co-worker had the kale salad and added chicken which was bone-in, and I typically don't like bones in my chicken, but hers looked amazing. It was cooked amazingly and looked so tender and flavorful, also something I'd be interested in ordering.As soon as you walked into the restaurant, you get a huge whiff of truffle, so we had to order the truffle fries for the table and they were delicious!Great choice for a Midtown-East lunch, would be great for dinner as well. Can't wait to come back!",2,0,1,Kristen W.,"New York, NY",287,130,151
3.0,3/4/2019,"This place is very close to where I work so I decided to take one of my clients here. I ordered myself an eggs benedict and to be honest, it was not bad at all but it wasn't amazing either. However, I would've given it 4 stars if the service was better. The cups were dirty before I touched it and it takes a while for the servers to notice me, I would say it was a subpar dining experience and wouldn't rate it more than 3/10. It was also very pricey for a regular meal.",1,0,0,Cindy K.,"New York, NY",330,75,166
4.0,2/23/2019,"I live in the area and decided to check out Lexington Brass for breakfast.  Its great that they do have a breakfast menu.  I ordered an avocado toast and it was amazing!  They put slivered almonds and pomegranates on top, which really packs flavor in it.  Paid a pretty penny for avocado toast, but it was worth it.",0,0,0,Sabrina S.,"New York, NY",146,54,0
5.0,2/22/2019,"Had such a wonderful meal here last Saturday. The food was absolutely delicious. We ordered lobster rolls, short rib, and eggplant parm as our mains. All amazing. Sides we had Parmesan truffle fries, shaved brussles sprouts, mac and cheese, shishito peppers, and crispy cauliflower. My brother originally ordered the mussels instead of the lobster rolls but at the last minute the manager came by to tell us that the last batch was not good and that the chef did not feel comfortable serving them. She was super apologetic and offered to make him anything on the house. She ended up making a bunch of lobster rolls (double the normal portion), gave us the side of crispy cauliflower (holy crap--best thing I ever ate--think rock shrimp but cauliflower), and comped everything that he himself ordered including his glass of wine. She really went above and beyond and for that (along with the yummy food and cozy ambiance) I will be returning!",0,0,0,J N.,"Manhattan, NY",0,17,3
3.0,2/17/2019,"Good food, good service.  The avocado toast was tasty and healthy. I'm not sure it's worth the cost, though.  This place is definitely on the expensive side for brunch at $143 for 3 adults.",0,0,0,F H.,"Sacramento, CA",54,48,32
2.0,2/10/2019,"Out of towner. Service was actually great. The waiters supported each other and the bus service was very attentive. Food? Hair in my omelette. They replaced it for free with a different entree of my choosing. But, altogether average. And overpriced. Eh.",0,0,0,Carol M.,"Gibsonville, NC",0,4,1
4.0,1/30/2019,As stated in many reviews - the food and atmosphere are very good but the service was not as impressive. Noticed that the management does not engage with reviewers so perhaps service is not a priority for them.,0,0,0,Ruth D.,"Long Beach, CA",18,76,6
