rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,5/1/2019,"My friend and I were really excited to go here and we waited almost two hours to be seated. Four stars ONLY because of the aesthetic. The servers were not very professional and a lot of them seemed confused all the time. Our server took about 10 minutes to take our order and another 10 minutes to give us our check and another 10 minutes just to sign the receipt. The food was mediocre, but on the bright side, the shrimp was poached very nicely and the texture was incredible.",0,0,0,Jamie P.,"New York, NY",587,36,36
1.0,5/1/2019,"THE RUDEST SERVICE EVER!!The ""GREETER"" Matt- should NEVER work in an industry where it involves speaking to anyone.The most appalling service in the world. If you come for the decor, take a picture and RUN!There are enough restaurants in the city without dealing with rude, entitled, hosts.",0,0,0,Yael F.,"New York, NY",2,10,0
5.0,4/29/2019,"Cutest rooftop dining experience. The vibe was chic and classy with a perfect refinement. The wait wasn't horrible, and were seated in a decent amount of time. All of our dishes were exquisite! Pollo was great, get a side of potatoes to pair! The vesuvio pasta was a blast of flavor and the gnocchi was satisfying.",0,0,0,Ashley L.,"Lake Forest, CA",1,9,6
1.0,4/28/2019,Nice atmosphere for sure. But otherwise a total tourist trap. Worst place to go for vegetarians. It's like they went out of their way to not be vegetarian friendly. Service is also extremely poor.,0,0,0,Arvind R.,"Jersey City, NJ",0,12,0
4.0,4/27/2019,"When I saw pictures of this gorgeous rooftop restaurant, I just knew I needed to pay a visit for an upcoming day trip to New York City.Located on the rooftop of Eataly, this restaurant will take you into what feels like an floral and picturesque alternate reality. This has to be one of the most beautiful locations I've ever dined in.I made reservations for 11:30am on a Wednesday. I thought it wouldn't be busy since it was their opening time during the week, but there was a line waiting to check in well before 11:30, and the restaurant filled in pretty quickly after being seated. I do think there could have been a bit more organization with checking in; people were standing around not knowing whether to form a line and I saw a few guests' confusion, including ourselves.The menu is rather small, but the food is good. I did prefer the taste of my boyfriend's chicken entree over my pesto gnocchi.The service was good and moved at a reasonable speed.I'd come back again for the ambiance.",1,0,0,Rita Y.,"Norristown, PA",135,129,43
1.0,4/27/2019,"Place is awful, ""look at the pretty flowers on the roof"" drinks were extremely expensive and the bartenders treat you like garbage. Would not recommend!",0,0,0,Brian P.,"Manhattan, New York, NY",245,1,0
2.0,4/27/2019,"Ambiance of place was beautiful, food was poorly presented for the prices they were asking. Our server wore sunglasses and continuously walked passed us as we were trying to order our dessert so I just got up walked over to him and asked for our check.  The bus boys were more attentive than the waiting staff.. def not going to this one again. I had ordered the ny strip steak, it was cooked perfectly but it sat on sautéed onions and like three small pieces of zucchini. A few more veggies would have been nice. The food wasn't bad, but our waiter was!",0,0,0,Anastasia K.,"New York, NY",29,5,2
5.0,4/27/2019,Beautiful. Absolutely beautiful. Loved their drinks and food. Would be back again for sure. Try sprits which is amazing. Love all the amazing decoration,0,0,0,Leyla K.,"Natick, MA",0,60,24
5.0,4/26/2019,"We had reservations for brunch on a Thursday morning at 11:30 AM when the restaurant opens. I was worried it would be quiet and would have less ambiance that early in the day but I was pleasantly surprised!From start to finish the staff was really attentive and made a fuss about our group! We were celebrating a birthday and our waitress surprised us with a birthday candle with dessert.For apps we ordered the 5 cheeses plate. We liked 4 of the 5 cheeses. It came with fig jam.  We also ordered the arancini, which tasted so fresh and yummy. It was probably my favorite dish!For entrees, we ordered the pesto gnocchi and Vesuvio pasta. Both were fresh and tasty. Let's be honest, the ambiance is why people visit. It's very pretty and instagramable! Will definitely be back.",0,0,0,Kimberley P.,"Manhattan, NY",112,28,20
2.0,4/25/2019,"We went on Easter Sunday for brunch, so keep in mind a less busy time may provide a different experience. BUT I think this place is WAY overhyped. For one, the size dishes for what you pay for is not fair and honestly I didn't think the food was that great. My husband had the Wagyu steak with potatoes, which was the best plate of our group. One person ordered an arugula salad which was literally a large bowl of arugula. Period. Nothing in it. Service was also awful. It took over an hour to get our food after ordering.  I think what you pay for here is the atmosphere. I'd recommend just going for a drink for the rooftop restaurant and enjoying the downstairs market, as the food is definitely not the best in the city.",0,0,0,Hayley B.,"Newtown, CT",86,170,35
1.0,4/25/2019,PLEASE heed my warning. just go to the bar and maybe re-evaluate your life choices that brought you to this moment where you decided this was the restaurant you wanted to eat at. I wanted to like this place I really did but the food and service was horrid. My pork was terribly seasoned and came basically by itself...for 26$. The gnocchi we got was very mushy and terribly sauced. The server refused to give us more bread and it took 20 minutes to give us change as we paid. This place is ONLY worth it for the ambience which again you can get by just getting a slightly overpriced drink.,0,0,0,Matt F.,"Manhattan, NY",0,5,0
1.0,4/24/2019,"Don't get fooled by this decor. this restaurant booking and reservations management is very ridiculous. I put my name on the waiting list when l walked in, they told me the waiting hour is one hour and 45 mins, it's long enough right? l said okay as long as they let me in after the waiting. However, we were there on time and the waiter told me have another 20 mins to wait. Fine. Then when we checked in after that, the other waitress told me there are still 10 tables in front of us and the estimate time was not accurate!!! They have no idea how long to wait then. After two hours waiting and you told clients you don't know how long to wait? ! Why you set the estimate time and lie???They said that the reservation ppl are in privilege. We checked inside, there are at least 5 tables available and no one is served. The waitress said they are reserved. This means the restaurant would  rather let the table empty than let the current clients in. So this restaurant technically treat onsite clients as what??? Indifference？Our time is not valuable? Also, they seems don't care about this reviews. They don't want to improve the ridiculous management. I am writing this review to share my horrible experience with you in case you will waste your time on this non-worth restaurant to waste your money and time to buy this RUDE and CARELESS service.    By the way, we are only Asian in the line. I am not sure if this cause a reason to be played as a fool. Good luck folks!",2,0,0,Bo Z.,"New York, NY",37,7,1
4.0,4/24/2019,"Serra was delightful for a lovely spring evening! The atmosphere here is certainly a 5- with the whole top floor being covered in beautiful colors of bright colors. The drinks were delicious, strong and a decent size. We ordered a few tasting dishes and split an entree and had plenty of food. First we ordered the asparagus anti pasta dish, arancini, burratta and the bread. Those were all very tasty. We then split the Vesuvio which was light with little sauce but a whole lot of flavor. For dessert we split the tiramisu and the chocolate ganache dolci- both I would get again!! The only reason this restaurant didn't receive a 4 was the service. They were very slow, and fairly inattentive. We had to stop them several times to ask for things such as utensils and water refills. I just think for the amount of workers see they could do better.",0,0,0,Devon L.,"Philadelphia, PA",242,55,21
3.0,4/23/2019,"Five stars for ambience and decor. It's truly a very pretty sight. We did get lucky and managed to score a table last Friday. But our server was trying desperately to not show that he wanted us eat drink and leave ASAP. Everyone was in a rush. I get it, they were crowded. But that doesn't mean we are not going to enjoy. Not that we are not spending money!! Disappointed with the service. Food is okay but overpriced. Again I get we are paying for the rooftop and the beautiful decor. Cheese is good. The bread was very hard although doused with olive oil. My Vesuvio was okay not good not great. The gnocchi for the table was also just okay. I did like their bruschetta. What was really amazing was theprosciutto and arancini. Definitely order with your cocktails. Ok so speaking of cocktailsDA POSITANO CON AMORE is basically House Made Limoncello with a bunch of other stuff. I did get the tequila coming through but honestly I expected a better cocktail for all the ingredients that were there. SPRITZ BIANCO- frankly the best of the lot. Pretty refreshing and spritz-ySPRITZ viola- could be so much better. Tastes like nothing really. Has a faint taste of the violetSPRITZ NERO- WHAT WAS THAT! Waste of money that.The mandorla dessert was good. CROSTATA ALLE PERE - okay as well but I'm personally not a fan of frangipane.So I really like eataly and have a few pantry items that come from there. So I don't mind overpaying for food there. But it has to be good. I'm disappointed because service and food and drinks were substandard. But what pretty decor!",1,0,0,Dolonchapa C.,"New York, NY",166,279,869
2.0,4/21/2019,"The two stars are mainly for the decor. Which unfortunately makes it a highly Instagramable atmosphere.Service was just a mess of disinterested servers. Unless you're dressed as an instagram model dont expect good service. Our server, Tyler, dropped the ball many times during our visit. Dirty plates were left on the table, he ignored us several times and on top of it he was extremely patronizing. We were asked if there any allegies and I said gluten, nothing was explained about what I could have. He did however make sarcastic jokes (instead of explaining anything) about my choice because it contained a pasta that I did not recognize it's name. So I did have to change my order since I could not substitute anything (understandable). Through out lunch our water cups were empty. Our food was brought out and our server never came to check how it came out. My steak came out medium instead of medium rare, never got to remediate that because Tyler checked on both tables to our side but completely skipped us several times. The food was not bad. We never got to try as many things as we wanted, when we decided to add another app, our server didn't even bother to fully stop by the table but he kinda of answered my question about an app as he walked away. Cheese platter - we picked a mix of hard, semi hard and fresh cheeses and they were all delicious with a side of fig compote.The waygu steak - was super tender even at medium doneness and the potatoes with salsa verde were crispy on the outside and so nice and buttery. The sausage - was amazing, best dish of the day, accompanied by brocolli rabe, mustard and some sweet and spicy chillies.Never got to dessert because we were too dissatisfied with the service. We hunted him down as he was helping another table to ask for a dessert menu and it was nonchalantly thrown at our table while the dirty plates were still staring at us as a reminder of the disappointing service. That was the last drop. After that we wanted nothing more than to leave. Go to the bar, get a drink, take a picture and go get dinner somewhere else where they appreciate your time and money.",6,2,3,Valeria N.,"Union City, NJ",229,155,526
3.0,4/21/2019,"Great ambiance but service was slow and rude at times.  Food was good but in no way extraordinary. portions on the small side. Overall, great for photos but don't expect to leave amazed.  I would go for drinks and pics...",0,0,0,lillian n.,"New York, NY",7,7,2
4.0,4/21/2019,"This restaurant looks like a fairy tale. Flowers everywhere and the sunlight fills the room. Great place for a sunny lunch or late lunch, we went at 3pm and it was great. Getting there without a reservation is impossible, the place gets super crowded, so I wouldn't recommend staying in the bar, because it gets pretty full. If you have a table, is super chill and you don't feel like the restaurant is so full, so it is still great. I had a pesto gnocchi that was really really good !!! Loved it !",0,0,0,Carolina G.,"Manhattan, New York, NY",74,21,5
2.0,4/21/2019,1. Flower decorations were pretty (good for dates)Keep in mind it's very loud2. The food was not worth the price at all.(As soon as I saw the shrimp salad I couldn't hide my reaction... what a rip-off) Would I go again?Nah.. rather eat something better with that money,0,0,0,Sophia S.,"Manhattan, New York, NY",0,1,1
2.0,4/20/2019,"I went there because the food and the vibe of the place in general looked very nice in the pictures online. But when I went there, it was underwhelming. The music was way too loud, too crowded that I can barely hear my friend and the waiters. The food was a big let down for me. I ordered Gnocchi and it tasted so bland and starchy.",0,0,0,April W.,"Manning Boulevard, Albany, NY",39,3,0
3.0,4/20/2019,"Giving overall 3 stars because of the atmosphere. The interior is very pretty. I think that if you were just going here for a drink and not a meal it would be perfect.For food, the menu was limited.  The service was slow- the server seemed very disinterested.",0,0,0,Gina M.,"New York, NY",169,47,48
2.0,4/18/2019,"Everything about this place is hopelessly average. It's all over Insta because of the decor, which admittedly, is quite nice. The food and service leave something to be desired. Prices are expensive and not worth what you're getting. The menu is limited (one?) pasta dish? It's Eataly! You have hundreds of pastas downstairs in the market and you're only serving one in this restaurant?I had the one pasta dish which wasn't terrible, but also not the best. The free bread they bring to the table tastes like cardboard. All of my friends felt unsatisfied after coming here, one didn't even eat because the menu was so terrible. Come up here to take photos of the flowers and then leave - don't waste your money on this average meal.",2,0,0,Lauren M.,"Manhattan, NY",64,99,0
3.0,4/18/2019,"Great location, food and service is meh. Parts of it are shabby but they are minor details unnoticeable to most people. Overall excellent ambiance, very instagrammable, better when it's sunny out. We went on a rainy day, still crowded and popular. Go for the ambiance and know it will be expensive ahead of time.",0,0,0,Liz H.,"Washington, DC",87,148,5
3.0,4/17/2019,"First off, ambience is fantastic. All the paper flowers hanging around and on top of the ceiling that opens during the day is so gorgeous. The best time to go is probably around 7, when the sun is setting and the lights are on. Gives it a real intimate setting.Our server was nice, and my was never devoid of water for long. Unfortunately, there's where good things end.I made a reservation for 7:15, got there on time. We were seated promptly. We ordered 2 glasses of wine (pretty decent) and went on to order food. We originally just wanted to get the 3 cheese board and prosciutto but our server told us if we didn't get an entree or another item, he'd have to move us to the bar as there were 1.5 hour wait times. Since we wanted to enjoy the scenery, we reluctantly ordered the pollo. Cheese and prosciutto were pretty decent. The pollo was terrible. For the price, it was extremely lacking in flavor. The asparagus tasted like it was drowned in lemon. The whole night, there were plenty of empty tables remaining, not what our server said of there being long waits. Overall, great place for a date but I'd confirm about the number of dishes needed to be ordered to keep a table. What's the point of a reservation?",0,0,0,Andrew C.,"New York, NY",217,161,250
