rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/27/2019,"1st time here, the view is great, the food & service is great but the food is very expensive. I got bulgogi bansang ($26) which came with japchae. The Banchan consisted of egg souffle, kimchi, eggplant, zucchini, spicy tofu. I got the purple rice & it came with spicy bean sprout soup.",0,0,0,Fateha A.,"Queens, NY",86,258,584
5.0,4/25/2019,"Went here with a friend that is a local.  He had been here before. First class food, amazing service and really interesting drinks.  Not over the top pricing either (for NYC).  Definitely recommend if you are looking for something different.  A bit hard to find given that RJ building is under renovation, but it is certainly worth it.  The views are insane.",0,0,0,Bob P.,"Lone Tree, CO",1,43,41
5.0,4/22/2019,"Nicely done! I would highly recommend this venue for Korean barbecue. Great service and the pricing on the menus was very reasonable. We had the Korean barbecue for two with assorted side dishes. All very tasty, fresh and with the right blend of contemporary and traditional. This restaurant is a gem!",0,0,0,Carol S.,"Fort Worth, TX",0,7,0
2.0,4/21/2019,"I'm not sure how many stars to give Gaonnuri. I went for a business dinner where someone else paid the bill and had an amazing table, service and food. I recommended it to my 17 year old son, whose girlfriend loves Korean BBQ. He did everything right. He called 2 weeks in advance to make a reservation, requested a table near the window and a table with the grill. He called a 2nd time to insure that all would go as planned as it was a special night for him and when he arrived, well dressed and on time, the staff was rude and told him there were no tables near the window available and that he should have called ahead. Not cool.  Yes, the food is good at Gaonnuri, and if you're lucky to score a table by the window then it's even better, but when you're treated poorly, it ruins everything. There are plenty of other amazing Korean BBQ places in NYC, we'll spend our hard earned money at one of those.",0,0,0,Kristy C.,"Tenafly, NJ",1,38,3
5.0,4/16/2019,"Wow, this place is spectacular! The food and service are amazing - we split the table barbecue combo for two, which came with prime ribeye, plain and marinated short ribs, and bulgolgi. Everything was delicious and the ribeye was nice and tender. The sides are wonderful too - you get generous portions of pickled radish, kim chi, pickled cucumber, roasted squash and sauces. The real standout was the scallion salad, which was dressed in a perfectly balanced sweet/salty/spicy dressing. The combo comes with rice - we opted for the multigrain instead of plain. The multigrain rice includes several types of beans, so it has a unique creamy, nutty texture.Tip: we walked in on a Monday night without reservations and were seated right away in a booth. However, if you want a window seat to enjoy the skyline views, be sure to make a reservation in advance.",0,0,0,Cindy C.,"Maplewood, NJ",5,69,120
5.0,4/5/2019,"It was absolutely wonderful! Me and my bestfriend we're visiting the city from California and wanted to try a new fancy place to eat in the city, I can 100% say it exceeded my expectations! 10/10 would recommend for anyone who enjoys Korean food and would want an authentic 5 star experience! The view was absolutely gorgeous and the food practically melted in my mouth, I will be back the next time I'm in the city hands down!",0,0,0,Sara M.,"Cypress, CA",0,2,1
4.0,4/3/2019,"Gaonnuri has absolutely the best views ever- the NYC skyline spanning all around you. The appetizers which we ordered were full of flavor (deep fried mushrooms), and for main dish I ordered a bibimbap bowl and my husband ordered bulgogi. Bulgogi was cooked at the table which was wonderful to aee. And they tasted absolutely delicious. I would love to go back there to try more dishes!",0,0,0,Jayati A.,"Reston, VA",27,4,7
5.0,3/20/2019,"Pretty dishes, tasty, healthy tastes, nice place to have meetings. Beautiful city views.",0,0,0,C R.,"Aiea, HI",0,24,0
5.0,3/17/2019,"I come here whenever I have guests abroad visiting. The food is really good and they have a wide selection of cocktails and wines. The view is also spectacular, especially if you can get a seat near the window. The bbq for two is just the right portion and what I normally order and I really enjoy it!",0,0,0,Ashley C.,"New York, NY",69,18,73
4.0,3/17/2019,Dinner with an AMAZINGG view. My boyfriend and I went for dinner and loved it. We had calamari salads as appetizers & for entree we picked the chicken & beef. I always loved the idea of cooking your own food but Gaonnuri is more upscale so you feel fancier doing it lol. The drinks are also to die for & very strong lol. For dessert we had chocolate cake and vanilla ice cream. 4 stars because it was a bit pricey for the food portion,0,0,0,Karelyn V.,"Brooklyn, NY",2,8,6
3.0,3/13/2019,7 of us went for lunch at this restaurant One of us ordered the tasting menu-when the food was being served-she was told that wasn't on the menu -a little late I would think.Another one of us did not receive her order-seems like something got messed up-we asked 3-4 times where the food was but the servers just seemed nonchalant and eventually her food came out.Mind you the lunch hour rush had finished and the restaurant was not that busy.Other than that-it was okay-we went expecting an amazing experience only to receive a mediocre one.,0,0,0,J N.,"New York, NY",0,20,1
4.0,3/5/2019,"It's one of the few high-end Korean Resturant in K-town. It's recommended for the stunning view of NYC that it gives. However, it isn't high-end. It's missing a few things that high-end Resturant needs. Such as attentiveness and cleanness.The bar is nice to catch up with friends and have a few dishes. I had BOSSAM and SPICY OCTOPUS BOKKEUM. But feel like this place has tilted little bit with food quality.However, I believe this place can be improved.It is definitely recommended for the view.",3,0,1,Min K.,"Denver, CO",65,42,325
5.0,3/3/2019,"Great food, atmosphere, and gorgeous views of the skyline.  I came for a romantic dinner and the food was delicious and service was just right! Kept our water glass filled but not too attentive where you want some space lol. Everything we had was tasty and beautifully presented, including the drinks. The soju flight is awesome and the fried eggplant is the best eggplant I've ever had! Worth the cost for a special occasion!",0,0,0,Colleen M.,"Rehoboth Beach, DE",10,3,2
4.0,2/28/2019,"Came here to try for the first time since they have a restaurant week special. The view was great and they give good portion for restaurant week.The food was pretty good as well. The only thing was the server was a bit new so, they spilled water on the table. Other than that everything was great. Would definitely come back again.",0,0,0,Kitty Y.,"Brooklyn, Brooklyn, NY",85,61,121
4.0,2/25/2019,"Came with my friend during restaurant week and it was my first upscale korean dining experience. Luckily, we got the table by window, with spectacular view of the city.  We ordered from the Restaurant Week menu. As an appetizer, I got the scallion pancake for appetizer, and the Seafood Bibimbap Hot Stone Bowl with Spicy Pork for my entree. I wish the bibimbap would be a little bit saltier. Other than that, the food is tasty.",0,0,0,Weiyi C.,"New York, NY",0,5,49
4.0,2/21/2019,"I love a fancier Korean restaurant.The duck breast here is my go-to. Have it grilled in the kitchen so you don't get the smell of Korean bbq on your clothes.All the banchan (side dishes) that come with the meal, compliment the main dish very nicely.The snickers bar here is not to be skipped!This place is great for a date or special occasion because of how gorgeous the view is.",0,0,1,Laura S.,"Manhattan, NY",15,228,82
1.0,2/20/2019,"Probably would never EVER come back to this place . For starers the service here was awful , our waiter  came by our table once to ask us what we wanted an avoided our table like it was the plague  during their duration of our unseasoned , no favor meals. The bus boys were more welcoming than the staff . I have never hated a dining experience more in my life . Don't waste your money , you can  get better seasoned meat at H mart and have better dining experience at your home .",0,0,0,Mya H.,"NJ, NJ",80,7,0
4.0,2/19/2019,"It's the top floor (39th floor) overlooking Manhattan~ just an amazing classy ambience. You're not just paying for the food, you're also paying for the view. A little pricey, but it's really delicious Korean BBQ. Ate until my stomach burst, but my wallet also paid the price too^^But worth it to go~",0,0,0,Peter K.,"New York, NY",3,51,58
3.0,2/14/2019,"This is my go-to place for fancy dinners. It's beautifully laid out, has most of the Korean dishes you'd want, and the service is generally pretty quick. I'm a huge fan of the scallion pancake in particular. I don't know how they do it, but they bring an incredible flavor to the fried scallion pancake, which is a dish I've had at a million NYC restaurants. Every so often I think about that scallion pancake and my mouth waters. That said, I found the rest of the menu a bit disappointing. I've had the beef bibimbap there as well as some of the soups and the Korean-style barbecue meats. They're very good, but not clearly better than stuff I can get for $15 at smaller places in K-Town. The high prices here aren't paying for exquisite food; they're paying for a fancy place with a great view. That's one last thing to keep in mind: If you can, try to get a table by the windows. You'll get a spectacular view of Manhattan from there. If you're at one of the center tables, it's a bit darker and mustier. I actually had trouble reading the menu.",0,0,0,Monica C.,"Lakeville, Salisbury, CT",330,21,0
5.0,2/12/2019,"We arrived early on a Saturday evening for our reservations. We were sad immediately with a beautiful window table to catch an absolutely amazing sunset across the skyline of New York City. This restaurant is located just steps from Penn station. The elevator takes you up to the 39th floor and opens right into the bar area. Definitely a spot to catch a sunset if you just want to grab a drink. There is plenty of seating for the bar area. Bathrooms are right off the elevator as well. We chose to have dinner here and we're not disappointed. This is a Korean barbecue establishment. You have the option to have the food cooked at your table or in the kitchen. We all chose the prefix menu which included an appetizer. Main and dessert all main courses come with sides. Rib eye and short rib were cooked perfectly with great flavor. In addition to the meat we also had the salmon that was excellent. The calamari app, the octopus app, the mushrooms and the eggplant app were very good however the  app was the smallest out of the four. Our dessert was a sorbet with a brownie that I believe it was A green tea brownie excellent. Service was good drinks were delicious. Overall we had a wonderful experience. no one rushed us we hung out took pictures, enjoyed the views and food",2,1,2,Suzanne F.,"Lindenhurst, NY",282,292,769
2.0,2/8/2019,This is a place that you go to enjoy the view and hopefully get distracted enough to not realize that you're not eating good food. Meats are severely under flavored. Not even a sprinkle of salt while on the grill. The staff consistently forgot to bring our orders out and then forgot one of our parties drink order each round. They also tried to keep giving us a gin/tonic that no one of my group ordered. Bottom line: do it for the insta story of you want. Food wise go somewhere else.,0,1,0,Marion M.,"East Williamsburg, Brooklyn, NY",4,20,1
4.0,2/8/2019,"Good food. Good service. A lack of understanding of English is a bit of a problem with the waiters who missed a piece of our order, it seemed, although it was corrected promptly. Korean-Style BBQ, and an assortment of Korean classics-- all were quite good. There wasn't enough spice for my tastes-- food was all good-- and the view was quite nice-- I won't be rushing back here however as there is much better food in Ktown as well as a bit less rushed service. Given the ambience, this is a good spot for a date.",0,0,0,Charley R.,"New York, NY",463,23,2
4.0,2/6/2019,"My friends and I went to this high end Korean restaurant and it didn't disappoint. We heard that we were really paying for the views of the New York skyline on the penthouse of this restaurant. But we went during Restaurant Week and opted for the 3 course for $42 menu. I had the jopchae which was very nice. For the entree I had bibimbap with side dishes with good portions. For dessert we had matcha brownie with Yuzu ice cream which was light and refreshing. The service was great, our water glasses were always refilled and side dishes replenished without any prompting. The view was beautiful as well. Very pleased with this experience!",0,0,0,Joyce L.,"Orlando, FL",40,14,9
