rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/30/2019,Great dishes selections very creative. Happy hour and lunch specials are amazing!! Decor and service are excellent.,0,0,0,Samira H.,"Jersey City, NJ",2,4,2
4.0,4/30/2019,"Besides the waitress with the attitude, everything was great. Great food and great ambiance.",0,0,0,Roseline I.,"Brooklyn, NY",6,6,16
5.0,4/28/2019,"OBAO is fantastic. They have great food, great drinks, and great service. Food and drinks come out quickly and it's always a smooth experience. Sometimes the wait is long so reservations are definitely recommended. This is a place I like to take family and friends when they visit from out of town. The atmosphere and vibe is really great inside.",0,0,0,Kenny C.,"Piscataway Township, NJ",1,6,0
4.0,4/28/2019,Went here on a Saturday evening for dinner after watching a movie. It is located in Hell's Kitchen and is a short walk from Time's Square. It is best to have a reservation because the place can get really packed. We arrived earlier than our reservation time but we were accommodated nonetheless. They have daily happy hour. The staff are friendly and the food came fast. The Spare Rib on Sugar Cane Skewer was a hit. The Vietnamese Pork Chop was so tender and really tasty. We also ordered the Short Rib Kalbi and it was really good. The price was reasonable.,0,0,0,AnnBella J.,"Queens, NY",44,12,9
4.0,4/28/2019,"Decent Vietnamese/Thai fusion restaurant. They're unfiltered saki is pretty good quality. We got their recommended vegetarian options: dumplings, pad Thai, eggplant tofu. The eggplant tofu dish was really good, the others were nothing to rave at. Granted I'm vegetarian and they're known for their non-veg dishes, wouldn't go out of my way for it.",0,0,0,Aditya R.,"New York, NY",228,111,128
4.0,4/25/2019,"This place was on my to-do list for a while. I went there with bunch of friends. First of all, the ambience is wow! Want to go on a date? Just pick this place!Coming to food, we ordered kimchi fries, vegetarian spring roll, vegetarian dumplings, vegetarian pad Thai, eggplant tofu, and pho-ga. Basically, we got all the vegetarian options on the menu. There are limited vegetarian options. I personally loved kimchi fries. The eggplant tofu was made very salty initially, but they fixed our order and it was delicious then. Those two were my favorite items. I thought pad Thai was okay, I have had better. Overall, had a great time there. Would definitely recommend it. Would like it if they add few more vegetarian options.",1,0,0,Sukhada K.,"New York, NY",105,22,35
2.0,4/25/2019,"Disappointed with pad Thai meals we both had the other night. The noodles were a sticky mess, not much flavor and not hot at all. The shrimp were numerous but they seemed just thrown on the plate, not flavorful and also no heat...talking temperature...Singha beer from bottle, can't go wrong! Service okay. Sat at the bar since we had no reservation and there was a line. There has to be a better pad Thai in this city!",0,0,0,Mary B.,"Tucson, AZ",13,441,279
4.0,4/24/2019,In NYC for a weekend and my friend gave me a couple suggestions and this was one! I got the Phad Kee Mao and Strawberry Basil drink! Both delicious and so much flavor! I would recommend this for anyone in the city wanting to try out Hell's Kitchen.,0,0,0,Patricia E.,"Seattle, WA",44,40,12
3.0,4/24/2019,"Been here several times - the south eastern Asian fusion food is creative and awesome. Highly recommend the crispy duck w/ red curry. It mixes well with lychee, pineapple and tomatoes. But You know what, with such amazing food the service here is so bad. Each time the girls/waitresses are just so showing their poker face (even a bit hostile). Seems they just do not want to say even one more word with you - Taking orders super quickly and checking your bills even more quickly. Not sure how other people feel but this happened to us EVERY SINGLE TIME.(And it's not even weekend busy time) Sad fact that you can easily feel their strong unwillingness to serve you... only coming back here for the great Asian fusion food.",0,0,0,Shengyi X.,"New York, NY",0,11,1
5.0,4/24/2019,"Cool place! Right in the heart of Hells Kitchen. I was seated right away and greeted by a great waitress who was very approachable if I had any menu questions. The food was great and they have some good selections of wine, beer  and cocktails. Would go back.",0,0,0,Emily D.,"New York, NY",268,8,2
