rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,5/1/2019,"Absolutely wonderful place, we ordered prefix lunch $32 and everything was delicious, great portion and good price, you definitely leave this place satisfied. Warm atmosphere, we will definitely come back",0,0,0,Rano T.,"Forest Hills, NY",0,1,0
3.0,4/4/2019,"I can't speak for the dining experience but the happy hour isn't too bad. For $6 you can choose from almost 20 different martinis. Mostly vodka, most sweet and just at the bar. BUT this special runs all day and night. If you find yourself in the area and need a quick, cheap drink, you know where to go.",1,0,0,Jen S.,"Brooklyn, NY",1001,218,6
5.0,2/8/2019,Food was beautifully prepared and delicious as fresh l! Amazing service. We had seafood pasta and Risotto portions were good size!,0,0,0,Teresa F.,"Tryon, OK",33,7,18
4.0,1/28/2019,I just had a really great meal here! Chianti reserve  5 stars Scallops and risotto cake app 6 stars Ravioli di Zucca 4 1/2 stars Such an amazing place! From greeting to service to the end of dinner dark chocolate short bread cookie. Loved the tomato sauce and goat cheese bread dipping sauce that came along with the bread basket. I came alone and everyone was so sweet and the food was sooo good! I put 4.5 stars on the ravs only because the sage wasn't crispy. Here for a week and I'm already plotting another meal for lunch or dinner before I leave,1,0,0,Loren g.,"CA, CA",28,58,5
5.0,1/18/2019,This is 10/10 my favorite restaurant to go to when I'm in NYC. My mom and I always make it a priority to eat here because the food is absolutely divine and the service is spectacular. They give LOADS of free bread and a darling appetizer dip on the house. You can't go wrong with any of their dishes but the Tangilini Lemon is by far one of my favorites! Finish off the meal with their signature cookies and you are set! I honestly adore this place and would recommend it to anyone looking for the best Italian in town.,0,0,0,Nicole P.,"Kissimmee, FL",315,2,1
5.0,1/16/2019,"Phenomenal!! Went to dinner with four of us total-each meal was amazing! The pancetta wrapped pork was the winner. Perfect sized portions, not too small but also won't make you feel stuffed either. Would go back tomorrow!",0,0,0,Marena M.,"East Lyme, CT",0,9,1
5.0,1/16/2019,The food is delicious and the presentation is amazing! Bonus they have gluten free options.,0,0,0,Deborah K.,"Hewlett, NY",33,43,0
5.0,1/6/2019,"A fantastic place to have dinner. The pumpkin ravioli was wonderful, and the service was outstanding.",0,0,0,Melissa R.,"Waldoboro, ME",0,14,1
5.0,1/5/2019,"Absolutely phenomenal service! Carlos (the on-site Manager) was very attentive.  The ambiance was warm and inviting with a beautiful hand painted mural on the wall. The Bolognese was flavorful, the pasta is homemade and fresh. The lobster bisque came topped with a heaping amount of jumbo lump crab meat and the serving size was extremely generous.  I was in town for a girls weekend and Carlos was sure to provide complementary prosecco and a chocolate molten cake for dessert! A wonderful touch. I will definitely be back again when in town!",1,0,0,Ashley H.,"Atlanta, GA",168,8,8
4.0,12/28/2018,"My family and I came to Remi after a trip to MoMA. It's a pretty good choice for splurging on a family meal close to the museum and other midtown attractions, especially if location is one of your main selection criteria. Overall, the experience was fine, though if you're going to spring for an expensive meal in the city, I would say your dollar goes farther if you explore outside midtown for your meals.For entrees, my parents and I tried different pasta dishes, as Remi notes with pride that its pasta is made in house. I had spaghetti with clams, and while I did enjoy the pasta itself, the dish felt surprisingly heavy, with more oil and less wine/zestiness than I would have liked. My parents had an eggplant dish with a tomato base, and enjoyed their meal.My brother had steak, and I got to try a little. I was impressed with the taste, and the sides (potatoes and spinach) were a nice addition.We all got different desserts - I tried the cheesecake, which was rich but a little dry, with a mango sauce pooled underneath the dish that didn't add much in the way of flavor. My parents tried the tiramisu, which they enjoyed. And my brother got the meringue, which he also said was good. Like the entrees, desserts were fine, but nothing spectacular.The space is really nice, with high ceilings and beautiful artwork. Lighting is great, and the ambience is good for small groups without getting too noisy or stuffy. The service was solid, with multiple staff helping out at our table. I am not sure why they got dinged for service in other reviews, but I had no issues with our experience near the start of dinner service during a touristy time of year.",1,1,1,Cyrus A.,"Manhattan, NY",154,138,167
