rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,5/1/2019,This is probably the best hidden secret in the city!! The food is amazing !!! I ended up having their truffle balls and flat bread . It came out literally so quick and so fresh .. also Valerie Valerie Valerie !!! I sat down at this busy bar and she immediately served me and never made me feel rushed ! Every question I had she answered and she made me feel like glass house should be my new spot!! I definitely will be back not only for the food and ambiance but Valerie or Michael have to be there!!!,0,0,0,Emily R.,"Manhattan, New York, NY",0,2,0
3.0,4/26/2019,"When I first entered in, it wasn't as noisy as other bars. The servers didn't really pay attention to us and just kept talking to each other... So we felt neglected. However the drink we got was pretty good (house wine sangria with fruits) and was in a big glass so I guess worth $15. The taste was a bit sour rather than on the sweeter end. Their cocktails menu seemed pretty limited...",0,0,0,Wendy T.,"Queens, NY",368,190,406
3.0,4/7/2019,"I give this 3 stars because of the exceptional service. The waiter and staff were very attentive making sure water was filled and plates were removed. I had ordered the poached eggs with spinach and prosciutto. The poached eggs were more like hard boiled eggs. The prosciutto was more like a garnishment, barely enough to even taste.  My husband got the chicken wrap.  Very bland.  Needed a sauce or dressing. Disappointed with the food, however the staff and front of the house Manager did his best to compensate with a chocolate dessert which was amazing.",0,0,0,Kim K.,"Prospect Park, Minneapolis, MN",23,15,5
3.0,3/29/2019,"I'm all about brunch as my restaurant meal of choice these days, and I love a good prix fixe. I brought some relatives to Glass House before a matinee, and it was...fine. I won't avoid it, but it's not a place I'm rushing to return to. The frittata was not a frittata at all-- it was just an omelette. A fine omelette, but not even close to a frittata. A frittata is a frittata because it has potato at the bottom and is finished in the oven. This was just eggs, whisked, and cooked on the stovetop. It came with a little side salad. The salmon was over cooked and dry. Personally, I would have sent it back, but my grandmother is 93 and very polite, so she just told the server and asked for some ketchup. You heard me, it was so mediocre that she put ketchup on it. The server brought ketchup, but never apologized that the fish was overcooked. The bread pudding and warm chocolate cake were both delicious. The coffee was standard. The service was super duper slow and rather uneven, but our server was friendly. The food was mostly brought out and cleared by other staff.",0,0,0,Liz K.,"New York, NY",314,244,1047
4.0,3/17/2019,Went here for brunch before a show. Food was pretty good. Crabcake was very good but I would have liked it to have a crispier crust. Service was very good but a little slow,1,0,1,Alexis M.,"Howell, NJ",0,16,7
4.0,3/15/2019,"I came here with a friend to partake in their pre fixe menu. The interior is expansive with bright yellow lights along the bar and striped orange, beige and brown booth seats. My friend was already there so upon entering, I was seated upstairs in cozy booth seating for two. The decor was classic and the ambiance was comfortable, as well as calm. There was less hustle and bustle in the upstairs dining area which was nice and made for a more intimate setting.For the first course I ordered the duck wellington which was wonderful! Portion wise, it was a decent size, especially for an appetizer. The crust was perfectly flaky, buttery and the duck was so very juicy and full of flavor. There was a bit of salad underneath with just the right amount of vinaigrette dressing.I had the Atlantic salmon for my entree. The salmon was cooked to a slight and delicious crispness, and placed on top of cous cous risotto with corn, along with blood orange and regular orange slice on top. The piece of salmon was on the small side, but was exquisitely made. The meat was delightfully tender, falling off easily and the accompanying sauce was soo good! The cous cous risotto was pretty tasty and had plenty of seasoning that satisfied the palette.The warm chocolate cake was absolutely divine! True to the name, this cake was indeed served warm. There was also berry sauce, blackberries and a sprinkling of powdered sugar on top, with a side of vanilla bean ice cream. The cake was incredibly chocolate-y, velvety smooth, rich and melted in my mouth! I even enjoyed the vanilla ice cream with it - Usually I'm not a fan of plain vanilla ice cream because I find it boring. This particular ice cream had the fresh vanilla taste and paired well with the chocolate cake. The berry sauce was a little too sweet though. Our waiter was great. He was welcoming, personable and easy to chat with. He brought everything out in a timely manner and knew the menu well. The menu is on the pricey side so I would only return if there was a special.",11,7,9,Kathy X.,"Queens, NY",783,438,5876
5.0,3/7/2019,"My wife and I had dinner here after seeing Hamilton last night. We had a 530 reservation and they were accommodating when we showed up at 5pm. We got drinks first. If there was one complaint it was that my wifes drink wasn't strong enough. I had a Gin and Tonic which was fine. The food was great.I had a New York strip steak which was fantastic. My wife had Salmon which she enjoyed as well. It was my wifes birthday and they brought out a dessert with candle on the house! Service was great as well. I'd highly recommend Glass House Tavern, it was an enjoyable experience after such a great play!",0,0,0,Brendan R.,"Closter, NJ",4,2,0
2.0,2/12/2019,"We went to glass house tavern with 11 girls for brunch before a show on Saturday.  We were seated right away and everything was really nice. I asked the waitress a few questions about the Mixners Crispy Chicken Salad. She said it would be no problem to switch the crispy fried chicken to warm grilled chicken.  While I was waiting my mom ordered the price fixed which came with a DELICIOUS salad to start. When my salad came it was so overdressed it was difficult to eat but I didn't send it back because I didn't want to make everyone late to the show.  My cousin sitting next to me said, that looks like it has too much dressing.  Also, my grilled chicken had a fishy taste. I was so grossed out. Everyone else loved their food.",1,0,0,Lina C.,"Glen Head, NY",1,2,0
3.0,2/2/2019,"We came here for brunch.  If you came early, they will seat you unlike other places.   If you saw the first floor you would think the restaurant is empty meanwhile everything is buzzing on the second floor.This is really a 3.5*.  The only issue is whatever was happening behind my booth seat.  The busboys have to put the used plates or items somewhere.  I am guessing it is behind me (forgot to look after I got up!) because at one point the loud bang behind me and my booth seat felt the vibration and my friend ask me what is going on besides the usually clanking of used plates, glasses/cups and utensils.We got a nice cozy booth.  The waitress gave us plenty of time to review the menu.  I got the cinnamon raisin brioche french toast with fruits.  My friend got an Eggs Benedict.  Everything was great.  It was a nice place to catch up with my friend.  The waitress checked in to see if we needed anything which is nice.Food was good.  Overall service was great.",1,0,0,Caroline N.,"Queens, NY",47,311,2697
1.0,1/31/2019,"I have to say food is not bad, but the management is the worst, even our server told us that they literally do every week interviews for servers, hello ownership!!!send ur managers to walk in a park, they ruin ur business!!!",0,0,0,Daniel S.,"Queens, Queens, NY",0,1,0
