rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/25/2019,"This is one of the only actually lovely restaurants in the Macy's to Times Square area. I know a lot of restaurants market themselves as nice, but they're mostly tourist traps around here. Stella 34 is consistently good and the atmosphere is really lovely. I work in midtown west and live on Long Island (ugh) so this was a really good find for me. I can meet friends for dinner before heading home. I don't drink, but the bar there is very pretty, seems like it would be a good meeting place for friends or a date. It can get a bit loud because of the high ceilings but it doesn't matter much. Shaved brussels are amazing.",0,0,0,Steph R.,"Amityville, NY",70,48,2
5.0,4/14/2019,"Highly recommend the veal meatballs! Eggs Benedict brunch option was also very good, eggs perfectly cooked and bread toasted but also soft. The squid ink pasta was very good as well, although it was pretty sour. Wagyu beef tartare was also very good, consisting of small bits of beef mixed with assorted vegetables. I do think the dessert menu needs to be expanded though, none of the options seemed to be very outstanding or particularly special. Service was fast and professional, the lighting and ambience perfect. Noise level was low, although when I went it was fairly empty still (12 pm).",0,0,0,Winnie S.,"Bryn Mawr, PA",199,12,19
3.0,4/8/2019,"The view is what makes this restaurant worthwhile. The service on our visit was below average however. We were sat next to the wait station and a group of four wait staff continued to gather there and either gossip or chat about their personal lives. We could hear them word for word as we were less than a metre away. It's one thing to behave so unprofessionally but on two occasions we were needing their attention while they were all too busy chatting. I'd expect more from the appearance and pricing of this establishment. As for the food, the pizza portion size and price were a positive. The pasta size is smaller and a bit more expensive but still tasty.",0,0,0,Megan J.,"Salisbury Downs, Australia",0,3,0
5.0,3/29/2019,"We had a superb lunch of margarita pizza and Caesar salad, after going through the flower show at Macy's;  the service was excellent snd it is a beautiful window laden location with views of the Empire State Building.  The decor is gorgeous - we had a new tiny fan of Olive Oil on the table with fresh flowers plus the bread was delicious!  Highly recommend!",0,0,0,Nancy D.,"East Lansing, MI",0,5,0
5.0,3/25/2019,"Fantastic meal and service. Located on the 6th floor of Macy's Herald Square. Amazing views of the Empire State Building, make sure you ask for a seat near the window.We passed on the Prix fixe menu. The meatball app is a must and so is the pizza. I went with the clam pizza which was big enough to share. It was flavorful but a little spicy, ask to go lightly on the red pepper flakes if you are sensitive to spicy foods.The cocktails are pricy at $15.00 each but worth it. You have to definitely get dessert and the gelato was amazing. Highly recommend!",6,2,5,Natty C.,"Hoboken, NJ",502,228,1035
4.0,3/23/2019,Chic restaurant on the 6th floor of Macy's. Great view and I really enjoyed my citrus salad while my father enjoyed the branzino fish! Get a large bottle of sparkling water with extra lemon.,0,0,0,Lindsey J.,"West Village, Manhattan, NY",464,75,390
5.0,3/23/2019,This is an excellent place to have a good meal if you are around the area or shopping in the store. Good varied and excellent quality and service.,0,0,0,Mariatrina A.,"New York, NY",0,16,9
5.0,3/22/2019,"I frequently visit Stella and am always impressed with the service! I usually sit at the bar where the staff is always so friendly, however today when I visited, the bar was full. When I walked in, the host greeted me with a smile and a genuine hello and asked me how I was doing. They sat me quickly in a quiet section. My server, Luis, was excellent! He was extremely knowledgeable about the menu, offering many different food and drink suggestions, and answering any questions I may have had. He again, was very friendly and frequently checked up on me. He made an effort to have a genuine conversation with me while staying attentive to the other tables in his section as well. I'll be sure to come back soon!",0,0,0,Elizabeth M.,"Seattle, WA",0,2,0
4.0,3/17/2019,"The food was really good, a bit pricey for lunch but worth it.  The raspberry limeade was awesome as was the house made lemonade.",0,0,0,Kellie B.,"Moyock, NC",0,33,47
5.0,2/27/2019,"Came here today for a veryyy early lunch with my aunt (we were the first people seated lol)! It was our second time there and it was even better the second time around. I had no complaints the first time but I had to write this time because the service was outstanding. Michael helped us and he was amazing. He had a great sense of humor and was extremely accommodating (I know my aunt can be a handful sometimes)! We shared small plates, a pizza and a salad. Perfect portions for sharing among friends!",0,0,0,Nicole A.,"New York, NY",0,9,0
