rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,3/29/2019,"What can you say about such a classic NY power spot? The food is amazing, service impeccable and decor is really fantastic. We have been coming here for many years and love it every time whether it's for a work, family or just dinner for two. Can't say enough kind things!",2,1,3,Estina R.,"Manhattan, NY",148,306,16
5.0,3/9/2019,I was last night in this beautiful restaurant and I have to admit it still amazing food and service. I haven't been in this restaurant for quite while the food improved a lot The price is very reasonable for the quality of food. I really recommend this place.,0,0,0,Manolo R.,"New York, NY",1,27,26
5.0,2/20/2019,This is the best Italian food  you can ever get in mid town and probably in NYC They just know what they are doing Pricey Yes but worth it definitely,0,0,0,Akram B.,"New York, NY",213,70,17
5.0,2/7/2019,Exquisite ambiance and taste. We went during 2/2019 Restaurant Week and place has artsy swanky vibe w the andy Warhol paintings on the walls. Food was flavorful w appropriate portions. The service was stellar from the front desk to waiters. A very memorable experience. We had the baby squid and passera clementine for appetizer. The pollo and risotto for entree and the tiramisu for dessert. All were outstanding. The tiramisu was very memorable as well-- uniquely done,0,0,0,Wallace W.,"Queens, NY",474,61,105
2.0,2/5/2019,"Pasta undercooked with uninspired sauce.  Cartofi salad overdressed and little artichoke.  On the plus side, service attentive and accommodating.",0,0,0,Jen K.,"Los Angeles, CA",1,42,0
4.0,2/1/2019,"I came here this morning for a business breakfast. The hosts were very friendly and it was convenient that they had a coat check at the front. I ordered the avocado toast with a poached egg and it was delicious! Their menu offered a wide variety of breakfast options (omelets, oatmeal, French toast, fresh fruit, yogurt, etc.) It definitely caters to everyone. The ambiance had an upscale, yet very modern, vibe. Waiters were professional. Overall a great experience and I would recommend if you are looking to have a business breakfast in Midtown East.",0,0,0,Morgan F.,"New York, NY",224,103,33
4.0,1/22/2019,Staff very attentive. Had a booth where you can look out on the restaurant and the art. Food and drink very good.,0,0,0,Frank H.,"Downtown, Baltimore, MD",0,2,0
3.0,1/21/2019,"The restaurant had a great atmosphere, the food was acceptable, the waiter lacked in both patience & warmth and the wine was good, but the second glass came with a heaping amount of sediment; it seems that every last drop from the bottle was poured into my glass.  Personally, I did not expect this at a restaurant of their stature and the price range.  I left a bit disappointed.",0,0,0,Cecilia S.,"Manhattan, NY",0,19,0
5.0,1/11/2019,"One of the best restaurants in NYC , the food was excellent . We started with the ceaser salad , we shared the pasta bolognese and my boyfriend had the veal scaloppine, I had the bronzino as they were out of the Dover sole . We did not want to have l desert but we mentioned we would be having chocolate at home , the server brought us two pieces of dark chocolate . That was just such a wonderful added touch . Every single person that works there were attentive and courteous .  Perfection . Looking forward to many more dinners",0,0,0,Patricia P.,"Teaneck, NJ",110,29,76
4.0,12/18/2018,"Came for dinner on a Saturday night was very pleased with the service. Started with the minestrone soup, the soup was a large portion and it was very tasty. Ordered the chefs risotto, it was good but not what I was hoping for. Overall a very nice experience with good food.",0,0,0,Michael P.,"Castro Valley, CA",137,10,0
4.0,12/16/2018,Excellent pasta dishes. Would recommend adding truffles. Branzino was great as well. Millefoglie and Gelato for desert were both very average. Beautiful setting and attentive service.,0,0,0,YR 7.,"Geneva, Switzerland",67,17,16
4.0,12/14/2018,"Solid restaurant for Italian food. The only reason I didn't give it five stars is because the cocktail I ordered was not good at all - the Parmigianino (a cheese-infused vodka martini)....it actually smelled like cheese :( the waiter told me that it was a cheese vodka and insisted that it was good, however when the bartender delivered it, he said ""I hope you like salty drinks!"" (And apparently I don't like salty drinks lol). The food was very good though; the veal was delicious - I was impressed since most restaurants don't do veal that well. Would also highly recommend the tuna tartare...and I rarely eat any fish, so that means quite a bit coming from me :)",0,0,0,Nicole P.,"Manhattan, New York, NY",0,3,0
5.0,8/17/2018,Very impressed with the service (especially Patricio!) This place has an old school Manhattan/Madmen-type ambiance which we really enjoyed. We also loved the original Andy Warhol collection. We'll be back!,0,0,0,Elena L.,"New York, NY",11,18,0
5.0,8/13/2018,The papardelle was great!!! The ambience really nice and the touch of course the Warhol paintings all over the wall.,0,0,0,Maria Elena J.,"Midtown East, Manhattan, NY",69,2,21
5.0,8/5/2018,"Food is delish! Great service, no pressure. Design of the venue is outstanding! For romantic party of 2 I recommend to get a table up in a little more private area with overseeing the restaurant's scene.",1,0,0,Zina Y.,"New York, NY",81,16,26
3.0,7/29/2018,"Giving 3 stars solely because of the service. Our waiter was rude, sighed every time he came to our table (yes, even when he asked for our order), and he was loudly making fun of other guests dining beside our table. Excellent food, but the experience was beyond uncomfortable.",4,0,0,M E.,"New York, NY",0,10,0
