rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/14/2019,Came here for breakfast one day. Very good. Very overpriced. I do have to say - they have awesome green juice. But everything else is mediocre and overpriced for what it is. Cute ambiance and very nice service,0,0,0,Juliana G.,"Northport, NY",336,78,58
1.0,3/24/2019,"They were out of French toast by noon on Sunday!  What?!?  They didn't know they'd need bread?  With a very limited menu, can they really afford to drop one item?  No bread offered with the omelet either.   No Splenda, only bitter stevia packets.  Yuck.ONE TOILET FOR THE WHOLE RESTAURANT in a gender-non-specific bathroom and a sign suggesting using bathrooms on the second floor.  But I defy you to find the stairs or the bathrooms.  I felt like Alice through the looking glass in my search.  Which door?  There is no signage to lead the way so I guessed after getting vague directions.  In addition I stumbled down a stair and hurt my shoulder coming back because the edges are unmarked.  I ended up in an office suite on the third floor but never did find those bathrooms.  The waiter acknowledged they are aware of the problem.  SO FIX IT!  Save some money and go to a diner.  I promise they'll have bread for French toast.",0,0,0,M T.,"Astoria, NY",0,4,0
4.0,3/9/2019,"Went here on a Sunday with a group of six for brunch. The restaurant itself is nicely done and very pretty. Service was very good (our coffees and waters were never empty) and food was tasty. I had the shrimp salad and it had a lot of interesting components that paired nicely together. Everyone else enjoyed their meals as well. I'd definitely return here for brunch or any meal, really!",1,0,0,Liane C.,"Brooklyn, NY",187,70,7
1.0,2/25/2019,"What a miserable evening. We arrived to celebrate my daughters birthday and asked the host when we arrived if we could have a cake delivered to the table. Both hosts at the desk said they would take care of it and include a candle.We ordered dinner. And then dessert. And then waited and waited. Finally, we asked for the check. As we walked out I told the host what a disappointing evening we had. What should have been fun and festive left us feeling deflated, saddened and angry. Aren't Saturday night birthday celebrations an easy way for a restaurant to make diners happy? I'm happy to pay for the piece of cake. And yes, I agree with the other patrons...portions are tiny.Lousy evening. Skip. This. Restaurant.",0,0,0,Nancy B.,"New York, NY",0,7,0
5.0,2/22/2019,"This was the best service we've had at a restaurant in a long time and we dine out quite often.  The food was perfect.  No complaints.  We ordered the mussels for our appetizer, hake and kale salad for our dinner.  They even have a special kids menu and accommodated our picky daughters with an amazing steak and fries.  Would definitely recommend.",0,0,0,Whitney E.,"Roseville, CA",66,9,2
1.0,2/17/2019,"Ok, I will start by saying that I have had a FANTASTIC meal here. I am in NYC a few times a year for work. My colleague and I ate dinner at Jams in November and it was really a great experience. We had homemade pasta and charcuterie and cheese plates. The service was outstanding. We were so impressed and loved the decor that the next time we had to come into the city for work, we booked our stay at the 1 Hotel. While at the hotel, we booked a Sunday brunch at 10:00am, since that is when they claim Brunch Service begins on their website. We were told that brunch did not start until 10:30 so the regular breakfast for us...Ok, slightly disappointed, but the regular menu looked good as well. I ordered my breakfast and a side of toasted everything bagel with cream cheese. No special orders, just right off the menu. Less than ten minutes after we were there, the people next to us were served with Brunch Menus...it was 10:10am (not 10:30).Breakfast came out and it was the most Zen bagel EVER, (insert joke here) Everything is NOTHING, that's right folks, plain bagel with cream cheese (cheese was in a ramekin that had a cracked crust on top of it, looked a bit tired). The eggs I had were good. My colleague is a fast eater and finished well before me. This was a cue for the staff to continuously come over and try to take my plate of food from me while I still was eating. This happened four times while I was trying to finish my food. The waitress even put her hands on my plate and went to take it away while I still had a mouth full of food. While we were eating, we noticed the hostess (with very long straight hair) kept leaning over tables to adjust or add set ups, etc. and twice we saw her hair going into the empty water glasses that people then would be drinking out of. So, naturally I will not be back. The attitude and the hype are not warranted with such horrendous serviceIf you do go for brunch here, maybe ask for a fresh water glass before drinking from the one on your table.",0,0,1,Kathy T.,"Kittery Point, ME",11,69,1
1.0,2/16/2019,"Something is definitely off with the service at this place. We tried it twice as hotel guests. Both times it takes a committee of five to get a table when the restaurant is half empty. Nobody is any rush to serve the customer. They leave you standing around while they ""get the table ready"". It's a small place you can see every table is ready.  For breakfast I was told if you want an omelette you can only have their ""Jams Omelette"". The only customization I was allowed was egg whites. Evidently my request if an egg white omelette with tomato only was too overwhelming for the kitchen. Want cream with your coffee? They bring you buttermilk and look at you like you are nuts wanting cream.  Want to sub out blueberry in the pancakes instead of chocolate chips? They bring you pancakes with both chocolate chip and blueberry.  Really an utter disaster for breakfast.",1,0,0,Alex D.,"Dallas, TX",0,52,9
3.0,2/12/2019,"I had high hopes for Jams, but I guess, they might be better for lunch/dinner rather than breakfast.  The dishes we had were OK, but uninspired.  The everything bagel with cream cheese and smoked salmon lacked the potent flavor one expects of an everything bagel and the absence of tomato as part of the dish (I know, I could have asked for one, but it seems natural that a bagel with lox, onions and capers would also have a thin slice of tomato), made the dish very bland and not much better than what I could have at a local bagel store for half the price.  The dishes that other people had were also just OK and they all came out very quickly for hot dishes which begs a question as to whether they were prepared fresh.The service also could be improved.  I had to wait and wave our waiter for a coffee refill-not once did he stop to check on us if we needed anything.This place seems very overhyped and overpriced.",0,0,0,Baby S.,"Oceanside, NY",0,698,0
5.0,2/9/2019,"Reasonably priced restaurant with a nice ambience in Central Park South area. Healthy appetizer options, good drinks menu, and tasty pasta and other main dishes. Chicken on olive oil was really good and salad was great too. Highly recommend",0,0,1,Jonathan H.,"Long Island City, New York, NY",6,133,1
4.0,2/8/2019,"Second time back here.  Another good meal with excellent service.  I have to say there was a mix up with my meal, but the manager made right by it -- in fact went overboard.  Other restaurants could learn a lesion from Jams.  I will be back.",0,0,0,Tony R.,"Manhattan, NY",11,219,1
5.0,2/5/2019,"I came to Jams for the first time Monday evening for a date. I had the scallops and carrots and they were amazing! I also had the THE BEST waitress (Dora), far better than I can say for my date. She was so attentive and made jokes with us, it was the best part of our evening.",0,0,0,Ali P.,"New York, NY",74,1,0
4.0,2/4/2019,I can't believe this was my first time at Jams! The atmosphere is beautiful and welcoming. The service was excellent. The menu was interesting and the food was tasty. The dessert was beautifully plated and rich. I shall return!,0,0,0,Ivy C.,"New York, NY",75,117,2
2.0,1/31/2019,"Not quite my Jam. I found the portions small and over-priced. Also, this restaurant presents as healthy but we found the food quite oily, like the kind of oily that leaves a film on your mouth. That said, the flavor was wonderful  and everything seemed very fresh. The restaurant was responsive to allergies and willing to alter dishes where possible. I am dairy free and often gluten free. Not terrible but in NYC, with so many options, probably won't be back.",1,0,0,Danielle L.,"New York, NY",5,86,251
5.0,1/29/2019,"I went here yesterday with my girlfriend for a light dinner and we had an amazing time. The Jams chicken, scallops and the carrots were absolutely amazing. The service was excellent as well. Dora was very helpful with her  knowledge of the menu and her recommendations. Can't wait to go back and try some more of this amazing food.",0,0,0,Enis T.,"Queens, Queens, NY",0,1,0
5.0,1/27/2019,"We had an amazing night, we got engaged on Friday 1/18 just before having a drink at the Bar. The concierge Spencer Howard got us a great seat at the bar, and perfect recommendations for drinks / apps. The bartender was friendly and we had a great time, we stayed at the hotel that night and everyone was super helpful.  J",1,0,0,John J.,"Manhattan, New York, NY",0,2,0
5.0,1/24/2019,"One of the best restaurant experiences ever! Between the food, the service and the wine, Jams thoroughly exceeded expectations. I would recommend this trendy venue to big or small groups looking for an exclusive experience and a perfect ambiance.",0,0,0,Sam M.,"Brooklyn, NY",245,1,0
5.0,1/21/2019,First time eating at Jams before a Broadway Show. I had the Grassfed Strip Steak and my Son had the Ricotta Cavatelli. Both our dishes were perfectly made and very tasty. We also ordered a bowl of the most tender Mussels in a very light white sauce/broth. We found the staff to be very friendly. I will definitely return next time to try their breakfast and or lunch. Great location near the park.,0,0,0,Trisha Z.,"Hicksville, NY",0,41,2
2.0,1/13/2019,"Overpriced for the quality and size of the portions. To top it of, service is far from what is expected in a restaurant of this price. The waitress just decided to leave my pasta on the other side of the table for me to pull it closer. They just lost me..",0,0,0,Rafael R.,"Santa Fé, Ciudad de México, Mexico",0,1,0
5.0,1/6/2019,"Jams was one my best dining experiences to date, ranging from the quality and taste of the food and drinks to the excellent service. We tried many different starters and entrees and they were all delicious using quality ingredients. The menu is rotated by month so it's going to change but the care taken to prepare the dishes is obvious. If they offer specialty drinks I would recommend trying it because it's usually based on some unique blend. In our case they made a drink with what they call a ""green juice"" (blend of vegetables and fruits) which was delicious. Finally the restaurant environment is unique offering several different types of spaces you can choose from: regular seating, intimate seating, family style table, high tops, bar, etc. the service was exceptional in terms of the patience and care with which the waiter guided us through the courses and even the care of the staff clearing the table. I highly recommend this restaurant, you won't be disappointed.",1,1,1,Zanku A.,"Glendale, CA",97,62,15
4.0,1/5/2019,"3.6 stars... everything is well made here and the service is on par. It is also a family friendly restaurant. The interior is rustic and has a two story volume with clerestory windows that makes it very comfortable to be in. I had the Jams omelette which is the signature dish here. Its exterior texture was super smooth like the Japanese tamago but the fillings were too little. It was the smallest omelette I had in my life, seriously. The portion is almost like a joke because the croissant we ordered at $4 was a mini croissant that should cost like $1 where I come from. So the value is lacking here for sure. Generously rounding up to 4 stars because they deserve it for the quality and the venue BUT I will likely skip this place next time around.",27,18,26,Albert H.,"Mount Hope, KS",1696,224,1195
2.0,12/27/2018,"Vacationing with Mom! We were looking for a cute clean place to get a cocktail, wine, and a shareable item! Their glass of wine was $25 a glass, which was outrageous!!!! My mom got a cocktail called day tripper, which was delicious and worth the price. We shared the shrimp salad.... honestly the salad would have been so much better without the shrimp! The shrimp had a super fishy taste, burnt, and chewy. I just wouldn't recommend this place after visiting! I will say the ambiance was nice and the staff was friendly!",0,0,0,Kristen S.,"Nashville, TN",186,5,0
3.0,12/20/2018,"Good breakfast place, we were immediately seated although it's quite busy and we were also served fast.",0,0,0,Martha S.,"Oakville, Canada",32,2,0
3.0,12/15/2018,"Visited Jams for the first time. It was kind of mediocre, the restaurant inside is very nice and has a good vibe going on. The service is slow, took forever to get our drinks and food. The menu is also disappointing, there isn't anything on it for brunch that you actually desire, you kind of just settle for the small options they give.  Had the chicken sandwich and my friend had the scramble. They need to do a menu change!",0,0,0,Michelle U.,"Oceanside, CA",1,27,1
5.0,12/15/2018,"We arrived on a Friday night at5:00 with no reservation and were seated after ten minutes. The dinner, cocktails and service were all excellent!",0,0,0,Erica G.,"New Smyrna Beach, FL",2,3,0
3.0,12/10/2018,"Being located in midtown near the Plaza hotel, this establishment was beautifully decorated and full of high class citizens. My friend and I had made brunch reservations, but still ended up waiting about 15-20minutes for our table. The brunch menu was much smaller than expected, so options were limited. I ordered the egg omelette with a salad, which was very very underwhelming. For the prices listed, I was expecting quantity and quality, but we got neither. The omelette was very mediocre, and the ""salad"" was just some greens tossed on the plate with olive oil. The dinner menu looked much more appealing, so I might recommend going at a later time, but I definitely would not recommend for brunch.",0,0,0,Monique R.,"Hollywood, FL",312,58,51
1.0,12/9/2018,Disgusting. The chicken plate was sipping in oil and the service was terrible. Save your money. There are plenty of better options,0,0,0,marie w.,"Manhattan, NY",10,19,7
5.0,12/1/2018,"I worked in this industry for a long time.  Jams employs a professional staff that served a high quality breakfast. Good hot coffee,  hot thick bacon, hot perfectly cooked eggs, crispy potatoes and the maybe the best sourdough toast that I've eaten that was served hot and already buttered .  Served with a cup of fresh fruit that was chilled, fresh and flavorful and  fresh cold orange juice.  All things that we expect as diners who's expectations are rarely met.  Christian was our waiter and was exceptional. Bravo Jams.  Breakfast is not easy to perfect. Consider your mission accomplished.",0,0,0,Michael F.,"San Diego, CA",48,10,0
5.0,12/1/2018,Excellent breakfast choice.  The toast comes out warm with the butter melted.   Delicious fresh fruit chilled.  Choice of eggs and specials that include juice and coffee.  Great atmosphere and service.  Attentive wait staff with attention to each customer.,0,0,1,thomas b.,"San Diego, CA",1,48,2
1.0,11/30/2018,"My husband and I went in for a drink here since it was right next to our hotel. Super cute place, horrible horrible customer service. We sat at the bar and the bartender that assisted first seemed like we bugged her and then the second bartender that helped us definitely felt the same. Not nice at all.",0,0,0,Cindy I.,"Seal Beach, CA",6,64,19
4.0,11/30/2018,"Beautiful aesthetics and delicious food.  The chicken & wild rice soup was especially good on a cold and windy day.  The manager was exceptional, waitress was underwhelming.",0,0,0,Susanne T.,"Little Rock, AR",65,31,0
5.0,11/24/2018,Love the atmosphere here! Our server was Bruce and we Love him!!! He spent so much time with us and spent the time to write out an entire list of 20+ restaurant recommendations to visit while in NYC! I had the pasta and my mom had the chicken. Both amazing! And we spotted a celebrity eating here...won't say who tho! Yay Jams!,0,0,0,Cassie C.,"Issaquah, WA",120,8,0
5.0,11/20/2018,"Such a great place to eat. Top to bottom great service and atmosphere. Food was amazing! Kale salad is a must here, also Jams chicken and burger was delicious. If your in the area definitely come and try this place out!",0,0,0,Quisha F.,"Manhattan, NY",5,40,27
4.0,11/19/2018,"I was looking for a fairly last minute reservation in this neighborhood and found Jams. So glad I did! Love the decor and the service was excellent. Out of everything we ordered, we had one disappointment- the charcuterie board left a bit to be desired. But, the mushroom gnocchi was superb (I'm still thinking about it two days later) and my husband loved his shrimp risotto and raved about the side of cauliflower. We didn't have dessert, so can't speak to that. We would definitely return.",0,0,0,Hilary M.,"New York, NY",2,71,0
1.0,11/11/2018,"We are staying at the one hotel in Central Park and this restaurant is here. Tried calling from the room 5 times to make a reservation for breakfast and no one picked up the phone. Called guest services and said to just come down so they could seat us. That didn't happen. They sat down 4 tables before us that actually came after us and were not staying at the hotel. By the way, food options are minimal. Not good service. Very disappointed.",0,0,0,Francisco G.,"Miami, FL",0,1,0
3.0,10/29/2018,"Popped into Jams on a Sunday around brunch time for something quick. We were seated immediately and service was quick. However, the menu was disappointing. No frills or thrills, no seasonal specials and pretty much just a basic brunch.We both went for the poached eggs on avocado toast, though I had mine hard boiled. (I wanted soft but ""they don't do soft boiled"") On the side we did seasonal fruit, without the honey offered, bacon and sausage links.The highlight for me were the sausage links and seasonal fruit. The side salad that came with the poached eggs was too rough and under dressed. I think the english muffin on the bottom was flavored in some way because it just tasted odd and there wasn't much avocado. The restaurant was really cute in the inside and the food was IG worthy but the taste was not there. I'm not likely to return or recommend.",1,0,1,Gabriella S.,"Arlington, VA",152,176,1086
4.0,10/27/2018,"I've been here a few times already, and each time, it does not disappoint.  Overall, it's a lovely place with quality food & drinks, service, and ambience.  Not pretentious, but charming yet spacious. Great place for the following: 1) business lunch / dinner; 2) meeting or eating with the parents; 3) relaxed brunch; 4) dinner with close friends.  Pretty much any occasion.",0,0,0,Gera K.,"New York, NY",161,493,0
5.0,10/16/2018,"This place has the BEST kale salad.... and I don't like salads or kale! Trust me, it's so good. Life changing.",0,0,0,melanie r.,"Honolulu, HI",0,11,0
