rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,12/10/2018,I came here last week. This place is ok atmosphere is good and social. I had the pasta which was ok. There was a buildup by my friend to come here. The Red Cat is closing towards the end of this month so try to come in before the my do.,1,0,0,Chris V.,"Manhattan, NY",110,18,2
2.0,11/18/2018,"$24 for a glass of wine. Beware! Otherwise great spot. Also unnecessarily snotty bartender. No need, baby! He's not an asset for the joint. Too bad.",0,0,0,Roopali M.,"East Village, Manhattan, NY",0,1,0
5.0,11/15/2018,"Oh my goodness this was an amazing lunch.  We headed over from the Javits Center.  Glad we had a reservation.  I thoroughly enjoyed their butternut squash soup but the real stand out was the Croque Monsieur sandwich....  the bread, the ham the cheese.... splendid!  My colleagues thoroughly enjoyed the shrimp tacos which looked beautiful.  Definitely a good spot!",0,0,0,Carrie R.,"Lancaster, PA",77,133,117
5.0,11/4/2018,Excellent Brunch. Pretty venue. Small and easy for conversation on a Saturday morning. Amazing warm freshly baked Cinnamon Bun-truly memorable. Husband had the felafel and egg sandwich which he LOVED. Definitely a win. Will return.,0,0,0,Sharon R.,"Palm Beach, FL",1,10,3
3.0,10/28/2018,"I really wanted to like this place more than I did, considering the amazing reputation. While the interior and service is what you would expect, the pork entree wasn't a stand out. The green beans lacked salt and were paired with a overly sweet sauce. Considering the money you pay, I expected a more memorable meal.",1,0,1,Hannah M.,"Manhattan, NY",218,208,22
1.0,10/17/2018,The food is good but the bartender Christian was an absolute jerk.  Walked out and will never go back. He needs an attitude adjustment.  I suppose when the place closes he will have to find a new job.  Hopefully the chef will hire someone nicer or help Christian understand he needs to be more kind.  I never write reviews but this was so egregious I had to say something.,0,0,0,Steve W.,"Manhattan, New York, NY",0,3,0
4.0,10/17/2018,Cannot believe this place is closing. Such a major loss to good cuisine in Chelsea. I'm really sad about it.Regardless. I've had dinner here three times and each time has been memorable. Service is immaculate. The space can sometimes be a wee bit cramped and the prices are nothing to sneeze at but the quality is always reliably spot on. The tempura beans  are a favourite amongst my friends for appetisers...I've tried the calf liver which is filling and rich. Also have tried the salmon which is quite good and lightly done usually. The Organic roast chicken sits on a bed of vegetables and cream sauce.I still wish this place could continue on. We will miss it.,1,0,0,Ali K.,"Manhattan, NY",115,263,1439
4.0,10/11/2018,Went to the Red Cat for drinks with a lady friend after checking out the Highline. I got caught in between lunch ending and dinner beginning. Fortunately for us they're as a bar menu with a limited selection of items. We had burgers medium with guyere cheese with deep fried potato chips which were excellent. The biggest surprise was the Rose the bartender suggested. It was amazing. We scarfed down about 2 glasses each and each glass were $15 a pop ... ouch.. Anyway it was worth it. Check it out on a weekend day. I'm sure it will be a great experience.,0,0,0,Michael N.,"Manhattan, NY",378,104,251
4.0,10/8/2018,"We were a little early for our reservation. So we sat by the bar, ordered drinks, and before you know it, our table was ready. We were seated and immediately greeted by our waitress! We ordered steak tartare, fried calamari and the Skate! Everything was really delicious! Service was excellent! We are in the neighborhood often, so we would most definitely return!",1,1,1,Linda D.,"East Bronx, NY",80,293,1684
4.0,10/7/2018,The food was wonderful and the restaurant was very accommodating to dietary restrictions. I got the salmon and was surprised by how small the portion was. Definitely get an appetizer if you are hungry. The restaurant is lively and a fun place to dine.,0,0,0,Danielle L.,"New York, NY",5,86,251
