rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/29/2019,"Went there for a date night with my boyfriend. I like the atmosphere really good jazzy vibe . The corner where We were  sitting was so cold had to change table . Sever service is very slow I asked for no ice water which I got , but when come to refil the water on our table he pour the ice water on my glass which I did not want . The food was average I didn't enjoy the lobster  Mac and cheese . But the lamb was good, the drinks was good. I would not go back there again because it was cold , and I did not really enjoy the food as much as I anticipated.",0,0,0,Lynda J.,"Brooklyn, Brooklyn, NY",0,2,0
4.0,4/28/2019,"Love this place! I always go to their Happy Hour!! 3:30-6:30pm during the week and on Sundays! Of you get there after 5:30pm late in the week, it can be pretty hard to find a seat/table in the lounge during Happy Hour. But I've only had to leave once because I couldn't get a table and I've been going at different times for about 5 years now. It's worth a go.  My favorite waitress is Tai (Sp?). She always takes care of me. When my mom died 2 years ago, I was so down and went there to get a drink and a little normalcy. Tai and the manager at the time, took care of my entire bill because I was kind of a regular. I go about 10 times a year... sometimes more or less. Their happy hour prices went up to about $9 but it's still totally worth it for cute hang with a friend.",0,0,0,Soara-Joye R.,"Bricktown, Detroit, MI",6,16,10
5.0,4/27/2019,Honestly some of the best service I've experienced in Manhattan. Everyone was SO friendly and caring. None of the NYC steakhouse wait staff attitude I have experienced at other steakhouses. They even did something special for my anniversary. So happy. Keep doing what you're doing!,0,0,0,Melissa B.,"New York, NY",0,7,0
4.0,4/27/2019,Very good steak. Great flavor. Sides were cool. The scenery was beautiful and the setup was very romantic.,0,0,0,Shawn G.,"Queens, Queens, NY",92,18,65
5.0,4/23/2019,The ribeye amazing and the service was great water on the table at all times lobster Mac and cheese was one of the best I've ever had.,0,0,0,Jessica M.,"Bronx, Bronx, NY",48,1,2
1.0,4/22/2019,Racist establishment iv been to Ruth Chris all over the us and in other countries this is the only one that ever denied me service for wearing adidas sweats and adidas hoddie,0,0,0,Donnie S.,"Manhattan, New York, NY",0,1,0
1.0,4/8/2019,"I was craving a good filet and Ruth's Chris was just a few blocks from my hotel (as were a lot of other steakhouses) so I went in for dinner. It was a slower Monday night and I sat at the bar. There was myself, one man by himself, a lady by herself, a couple who had closed out and were finishing their drinks to leave, a one other man by himself. When I first sat down the bartender asked what I would like to drink and I got ""a water for now and I'll have a cocktail in a minute"" while I decided what to get. He asked if I wanted a dinner menu which I of course said yes to and he handed it to me and gave me a water. A few minutes (2-3) go by while I look at the menu before I close it and sit back. A few more minutes go by and we make eye contact as I give him the ""I'm ready to order"" look. Nada. At this point I decide to just see how long it would take him to come over there and I started the stopwatch on my phone. Again, this was a very slow night and there were only a few other bar customers, not to mention a second bartender, but yet service seemed to be nonexistent. 5 1/2 minutes go by and he STILL did not come back. At this point I got irritated and hangry and decided that I wasn't just going to sit around and wait on the guy or have to convince him to provide a service, so I got up and left. Start to finish was around 11 minutes of me sitting there waiting to order on a very slow night. For all of the great steakhouses in the area, I would expect RC's service to be better than that.",0,0,0,John P.,"Katy, TX",0,6,3
1.0,4/7/2019,"I was there last night and what a huge disappointment!!!!!!! HUGE DIFFERENCE BETWEEN JC ONE I posted 5 stars review!!!!!!!!!While I was waiting in the lobby for my date to arrived One of the hostesses made a request that I had to"" tuck my short in""  . I was wearing very classy outfit - not that she get use to in her project household !!!! Who does she think she is ? After my comments to the manager who admits- "" sorry I had to do better training "" I didn't feel any better. Does the managers job to provide the training upon the hiring process ? The appetizers were absolutely nothing special ""Spicy shrimp"" - my local Chinese can do the same for  $4.99 Crab cakes were not impressive at all - "" busboy get bored between washing dishes and decide to cook something "" Steak was ok I can't complain about preparation but quality of the meat I wish was better Only side dish of mushrooms was good Chocolate cake suppose to be baked before served not just some kind of ""shlap"" on a plate bcs chef not in mood to cook . I never gonna come back to that place again",0,0,0,Kristina V.,"Sunnyside, NY",4,22,8
5.0,4/7/2019,Ruth's Chris steak house is great. It's a chain and is the same everywhere but it's still delicious,0,0,0,Zoey O.,"Westlake, Seattle, WA",0,27,7
2.0,4/1/2019,"Ruth's Chris has always been one of my favorites steakhouses but tonight I had such a bad experience that I had to write about it. We were a party of 8 working individuals on a Monday night so the place is not packed. One of the individuals from my party got tied up with at work and was running 20 min late. She texted me her order and asked us to order for her and she would join us as soon as she could. The rest of the party was there. Ruth's Chris refused to seat us until we were all there which is ridiculous!! In NYC where folks get tied up at work, how can you make everyone wait for one last person? My entire party was pissed waiting and of course, the late individual felt so bad, she tried to back out of the dinner so that everyone didn't have to wait for her. I know other restaurants have the policy of not seating until everyone in the party arrives which I can understand during peak times when there are no tables but not on a Monday night when there are empty tables and someone is just running late from work. I'm disappointed in Ruths Chris not being more flexible and considerate. I will not be counting Ruth's Chris as one of my favorite steakhouses anymore. There are enough good steakhouses to choose from in NYC that I don't have to deal with bad customer service.",0,0,0,Nina N.,"Brooklyn, NY",0,3,0
4.0,3/26/2019,"Always looking forward to a great meal at Ruth Chris, but disappointed the ran out of lobster!!   I know, I know how can that be possible.  Our reservation was for 645pm, too early for such.   I chose something else but not what I expected.   Nonetheless, we enjoyed most of the evening celebrating our friends birthday.",1,0,0,Marie B.,"Massapequa Park, NY",11,109,606
5.0,3/21/2019,"This place never disappoints.  My family and I have been to several of their locations, and the food is always top notch!Id really like to give this place 4 stars, but their food really makes up for the small problems that we had.We came here recently after a family event in the city.  We had a 530 reservation, but our prior event ended way earlier than expected so we tried to go at 430, and they said sure no problem!  We got there 420 and they had us wait on the side until 510...  When they sat us, 70% of the tables were empty.  I am not sure why it took so long to get us seated, but oh well!  We usually do not have this issue, so I chalk it up to bad luck.A few of us ordered drinks that were all delicious!  My brother ordered a Hendricks neat, but got a gin a tonic instead.  When he asked about it, our waiter said keep it and he will get him another.  The other never came...  My waiter also asked me twice about wanting a rare ribeye.  He first told me rare is cooked outside, reddish purple on the inside.  I said that I knew, then he proceeded to ask again if I was sure.  I felt like a contestant on millionaire!  HA!  The only other problem that we experienced might just have been inside my head!  When I went to the Westchester location about 8 years ago, they had the best Brussel sprouts that I ever had in my life!  This time, they were ok, nothing super special...On to the good stuff!Some of my family ordered from the prix fixe menu, some of us ordered from the regular menu.  I am not going to go through all the dishes that we ordered, but everything other than the sprouts were outstanding!   All our food was cooked perfectly to our liking.  I secretly slipped an extra spoonful or 3 of butter onto my plate as it came in and I was in heaven with my ribeye!  My only slight complaint would be the lobster bisque needed a little more lobster...I really wanted to get the tomahawk ribeye which is killer, but my family is a little judgy when it comes to really ordering expensive items lol!  I was happy with my regular ribeye.  When the wife and I go to Ruth's I can get my tomahawk lol!Most of my family had desserts included with their meals and they all enjoyed them.The décor is very dark.  It could really be 1 or 2 notches higher and people wont notice the difference.  I know they try to keep an old steakhouse vibe, but 1 or 2 notches...All in all, a consistently great place.  Same great service and food every time that we go.  My family and I have been to about 7 or 8 of their locations across the country.",0,0,0,James A.,"Montauk, NY",254,126,7
5.0,3/19/2019,Great service and always excellent food.  I have eaten at Ruth's Chris all over and they always provide top notch food paired with premium service.  This location on 57th doesn't disappoint in a city filled with so many choices.,0,0,0,Gene V.,"Northwest Oklahoma City, Oklahoma City, OK",0,1,0
5.0,3/17/2019,"If you've never done Ruth's, this is a good one to start with. I've only been to a couple bad ones, definitely my go-to steakhouse. Hard to beat butter drizzled on steak on hot plate. Knowing my wife would stick with standard filet and shrimp and shoestring fries, and that she would generously share with me,  I branched our and tried the blackened coconut snapper. It was amazing. I LOVE fish hot of the grill or oven, and this was served on the same hot plate, so it kept the temperature hot. AWESOME. Squash soup also delicious, house margarita and other drinks (wife had a gummy bear martini that really tasted like a gummy bear) also very nice. Excellent service as always.",0,0,0,Greg G.,"Peoria, IL",3,37,9
