rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,5/1/2019,"We didn't have a reservation, they offered us a seat at the bar. We waited about 3 minutes before the host offered us a table so that we weren't inconvenienced any longer.  Great service!! Milton, our waiter, was very patient and explained in great detail the menu items! He also recommended the LOVE POTION drink...deliciousness! Will definitely return...with a reservation of course.",0,0,0,Titu T.,"Manhattan, New York, NY",0,1,0
5.0,4/30/2019,"Overall a winner....food, ambiance and service were all a treat. Chilled lobster salad and grilled octopus were absolutely delicious. Special thanks to Milot for facilitating a great dining experience. He was very attentive and knowledgeable about the menu option.",0,0,0,Relative1 S.,"Atlanta, GA",137,4,0
5.0,4/30/2019,If you want an exquisite meal here's where you want to go. The dining room in beautifully laid out. The sea food is superb. Super fresh! Served just right. Fine dinning but not stuffy. From the moment you walk in the hostess was warm and welcoming. The manager stopped by our table to greet us and our server was super attentive. Will definitely go again. Great place to celebrate a special occasion.,0,0,0,Claudia F.,"New York, NY",9,23,7
5.0,4/29/2019,"Omg!!! I came here for my bday my plus 1 called out last minute but the staff was so accommodating to me. To make things unbelievably real, the food and the drinks were out of this world absolutely delicious!!! I don't even wanna tell anybody about this place because it's to perfect!!! This is not a maybe I'll come back, I'm making my next reservation early tomorrow!! The music, the staff, the food, the ambiance! Everything was for fir a birthday girl. Thank you SeaFire!! Please try the cucumber himbus!!",0,0,0,Ebony L.,"NY, NY",522,25,5
4.0,4/29/2019,Enjoyed our meal. Service was top notch and food was delicious. Atmosphere was average nothing special. Would recommend for business dinner more so than a romantic date. Branzino and ribeye steak were tasty and would recommend both.,0,0,0,Ashley C.,"Atlanta, GA",0,44,39
5.0,4/27/2019,"The dry aged porterhouse is one of the best I've had. Great wine selection, and awesome service. Milton took great care of us. Will definitely come again!",0,0,0,Andres M.,"San Francisco, CA",136,5,0
5.0,4/27/2019,"Celebrated an 80th Birthday here last night and Ori our waiter made her feel like a queen. All of our needs were met without hesitation or reservations. The place is pricey, but the food and drinks were worth it.",1,0,0,Mindella M.,"Baldwin, NY",0,1,1
1.0,4/25/2019,Went for lunch yesterday. Waiter was totally incompetent. Wrote my order down and forgot to put in 2of the 3 items. Never refilled my water and didn't come over during the meal.  Same experience the last time I was here. I will no longer support any of the benjamins restaurants or the Seafire grill,0,0,0,Elise B.,"Manhattan, New York, NY",0,3,0
5.0,4/23/2019,"This gem in midtown is a wonderful find in NYC.  The food was great and Ari, my waiter, was attentive and helpful. Renaldo assisted and did a great job of keeping me watered and fed. I started with the oysters Rockefeller and a Manhattan. The salmon I ordered was cooked to perfection and served with black rice - excellent. I had a glass of California Pinot Noir and ended the evening with cream brûlée and coffee. A perfect me in the city that never sleeps. Enjoy. Next time I am here i will try the steaks - but being from Chicago they will have to be outstanding to make get a good review!",0,0,0,Craig B.,"Chicago, IL",0,8,15
5.0,4/20/2019,Milton is a very friendly server! My boyfriend and I really enjoyed our time here. This restaurant has relaxing environment and we really like the food here. The King Crab Leg is very fresh. We recommend this restaurant!,0,0,0,Kaidi W.,"Edison, NJ",181,1,0
5.0,4/19/2019,Amazing food and service! Ori was the best server and very attentive. Definitely coming again!,1,0,0,Michelle K.,"New York, NY",11,4,0
5.0,4/19/2019,"Wonderful dinner tonight!    No trouble with our party of 10, 5 adults and 5 children, plus 1 with an allergy.   Ori handled it all perfectly!     The tuna was fabulous!   And desserts were out of this world!     Thanks to Ori and his supports!",1,0,0,Sue W.,"Suffield, CT",0,11,0
