rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,1/4/2019,"This is a sad day that Union Square's iconic restaurant is no more. I have been coming here for a decade. The food is devine and the ambiance is inviting and very classy. Upstairs is the dining area and downstairs is a jazz bar with live music. From apps to cocktails to entres and dessert, everything I've ever eaten here was amazing.  I guess if you need dinner in Union Square now you'll have to go to McDonalds or Chipotle.",3,0,0,Kami S.,"Brooklyn, NY",191,186,428
5.0,12/23/2018,"Love this place.  My wife and I have gone several times over the years.Do yourself a favor and order some oysters, as they come with the best fresh horseradish I've ever had.  I don't even normally like horseradish, but this stuff is amazing.Great seafood all around. Never had a bad dish.It can be loud and crowded at times, but it's Manhattan, so you can kind of expect that.",0,0,0,James S.,"Philadelphia, PA",37,2,0
3.0,12/19/2018,"Went for brunch with a group of 6 on Sunday at 10:30. The food was delicious but the service was lacking big time. The waitress was spaced out and barely checked on us at all. We had no spoons and despite asking for spoons, none ever appeared. We also asked for milk and sugar for coffee--the milk took way too long (coffee wasn't hot anymore) and the sugar never came. Very odd. The restaurant was not crowded and the waitress was definitely not busy. We were seated upstairs, which was beautiful, but overall experience was disappointing due to underwhelming basic effort.",0,0,0,H D.,"Fort Greene, Brooklyn, NY",2,8,3
1.0,12/16/2018,I usually do not write reviews but feel I must    I sat at a very crowded bar on a Friday afternoon.    The bartender dropped menu off n ran away.   After a drink I ordered a cold seafood salad.  I specifically asked if this was just sea food which it usually is.  He said yes.    I was shocked when it came.  No bread. And filled with some type of mayo  thing.   There were two shrimps n it  was truly horrible.   I told the bartender who said n did nothing but take it away.   This horror was 29 dollars.  I paid the bill n gave the bartender 10 tip.  Not even a thank you.   Will never go again.   I do not recommend this place.  Rude rude rude,0,0,0,Helene V.,"Brooklyn, Brooklyn, NY",9,3,0
5.0,12/13/2018,Had a delicious lunch. The hot bread was the best rye bread I have had (and I am a bread lover). The seafood cobb salad was so fresh and delicious. The service was very professional and pleasant. Definitely recommend it.,0,0,0,Michael F.,"San Francisco, CA",166,9,0
3.0,12/13/2018,"My long time NYC friends were meeting for our biannual girls dinner. BWG was chosen for its selection of seafood and meat, and also we like to go alittle fancy when we get together.BWG has been around for a while and I have always wanted to try it. But alas, I think it has lost its luster.The restaurant still has a pretty glow. The bar was lively and golden. We were seated at a booth on the mezzanine. We were all comfortable. Our server David was attentive and pleasant.That all being said, the food left so much to be desired, especially for the price.We started with 4 different apps not one stood out. I was really disappointed in the ""lobster rolls""... mostly bread and mayonnaise. One of my friends ordered the scallop entree for $$$ 2 scallops!!!I had the swordfish...it was ok.Another friend ordered the branzini and left most of it because it was too salty.Dessert...meh. Coffee...bad.I felt this meal was overrated and overpriced. With all the competition in town, we won't be back.",9,0,5,Christina S.,"Philadelphia, PA",328,342,898
5.0,12/8/2018,"Who wouldn't want to be bathed in buttery light on a Saturday night? Not this girl!! The chaos of the Union Square holiday market was long forgotten after the spread we feasted on. The charred brussel sprout and kale salad with their fresh bread was the perfect gateway meal. The scallops and pork belly are a must - rich, silky fat with a little chase of the ocean. Equally as silky are the cheesy orecchiette resting on a slice of roasted winter squash with sweet sausage and the bite of bitter broccoli rabe. The food was just as magical as their interior and every person seated around us looked like they were celebrating life!",1,1,1,Julia F.,"Brooklyn, NY",122,200,62
3.0,11/23/2018,"I am writing to complain about how our seating was handled  for Thanksgiving dinner.  We were seated in the rear of the restaurant at a small round table, the people at the next table were getting ready to leave and we asked if we could switch to their table which was larger (there were only two people at their table).  We were told that we would be seated there as soon as they left and if we wanted to order something to drink while we waited.  We did order and after a few minutes someone from your staff came to our table and told us that we could not change tables because that one was reserved.  We asked if he had another table that was a little larger than the one we were at and he seated us at at a table near the steps in the middle of the restaurant.  The table was wedged into the corner of the wall and window and two people could not sit comfortably at it.  One of us was on the grating and the chair was not stable. There were many parties of two sitting at larger tables  so we were not asking for anything special.  I made a reservation very early on and expected to have a decent place to sit. I have been coming to the Blue Water Grill for many years and have enjoyed many Thanksgiving dinners there, I will not do that again.",0,0,0,Gloria T.,"Manhattan, New York, NY",0,1,0
3.0,11/21/2018,"Once upon a time, I represented my company at a weeklong leadership conference. We came here for our farewell dinner. It was...average. The space is lovely, but that's about where the impressiveness ends. The Lobster Bisque was too salty, and the Scallops were just adequate. I liked the Chocolate Mousse dessert, but it's hard to get that wrong.",1,0,1,Josephine L.,"Manhattan, NY",620,1619,20
5.0,11/19/2018,I came across this place for lunch near Union Square Park. I love the decor of this restaurant. Feels classic and modern at the same time. I and had a wonderful experience with both the food and the waiter and the company I was eating with. I recommend the shared appetizer Bigeye Tuna Ceviche.,0,0,0,Laurence E.,"Brooklyn, NY",3,7,40
