rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/29/2019,Decided to try this restaurant again even though I've had a few bad experiences. The appetizer was extremely rich even though the pasta had a creamy sauce....like a frozen dinner.  The steak was tough and fatty which was not great.  My friend didn't eat her chicken which she said was tasteless.  Not one decent dish but the breads are great.  I've had too many bad meals here and it was too pricey.  So disappointed since it is a very pretty restaurant.,0,0,0,J. N.,"New York, NY",0,93,5
1.0,4/24/2019,"HORRIBLE! I was really looking forward to my meal at Vancluse but I was extremely disappointed. I ordered my steak medium rare and it came out well done. When I mentioned it to the waiter, he actually tried to convince me that it was medium rare when there was no pink whatsoever. He begrudgingly got me another steak but was very rude for the rest of the service. As I live in the neighborhood, I was looking forward to dining here but after my horrible experience, I will never return. Also the little drop of foie gras they give in their pate is definitely interesting looking but not worth it in terms of taste. Try JoJo's instead.",0,0,0,Ramona T.,"Manhattan, NY",0,8,0
5.0,4/22/2019,"This is easily one of my favorite restaurants in the city.The ambiance is absolutely stunning, the food is incredible and everyone was extremely nice.I came here for Valentine's Day last year and we got a perfect cozy booth in the corner.The salmon was one of the best I've ever had and for dessert, we had a chocolate souffle. WOW!!!Definitely recommend this spot to anyone!",0,0,3,Jessica E.,"New York, NY",274,105,241
5.0,4/21/2019,"What a lovely restaurant!  Yet another amazing dining experience from the Altamarea Group (Marea).  I came for the beautiful Easter brunch and could not have been more happy.  Enjoyed the most decadent bowl of asparagus soup with a poached egg, followed by the Branzino amandine with brown butter and the pot de creme - all of which was chased by Roederer!  SERVICE was impeccable by Luiye.  A huge thank you and compliment to Laura (host) that was able to get me a reservation on a busy holiday.  This day was very memorable and once again all of your restaurants are top notch in NYC!  Thank you ~",0,0,0,Christy T.,"Issaquah, WA",1,35,50
2.0,4/16/2019,"Y Y'all killin bugs bunney to make sum pasta . Not jackkin that. Salad was mad cold . So was the bread ... Olive Garden heats they shit up, y can't u. The wine was cool tho, but 25 dollars too much . Bill was mad brazy. My girl ended up payin bc I'm broke. Lower the price and take off the ""no hat""  rule. Fina be back there next week to eat tho so keep a lookout.",0,0,0,Nimbu B.,"Albany, NY",0,1,1
5.0,4/15/2019,Great service and food at Vaucluse! I hosted a very small bridal shower brunch for my sister and the restaurant was so friendly about the requests I made and very attentive. Our server was very sweet too; he took pictures for us and offered complimentary beverages for the occasion. The ambiance and food was exactly what I was looking for; modern/chic decor with white table cloths. If you go for brunch do try the French toast! Thank you Vaucluse for helping make my sister's afternoon memorable!,0,0,0,Lulu N.,"Washington, DC",0,48,0
5.0,4/13/2019,"Fabulous dinner with hubby. It was perfection. We had the grilled octopus to start and then had the Epaulettes, which I highly recommend. I had the steak with frites with the delicious poivre sauce. Oh my, it was so good. My hubby loved the duck. We ended with the delicious and surprising L' orange creme brûlée with rhubarb ice cream. This is one of the best desserts I've ever had and I don't even like orange. We will be back. Loved it. Thank you to our server Laura for a beautiful experience.",4,0,1,Maria L.,"El Cajon, CA",1,55,2
5.0,4/2/2019,Went there last night for my brothers birthday. Big group it was about 11 people my first time was just 2 of us...and all I can say is WOW. The new Omar's section to the left side is epic. The food is on point decor modern and hip. To start the service was extra attentive to every single need. Even for a Monday it was a little busy but not once did that stop them from focusing on our group. We tried pretty much everything on the menu. Of course the pasta is always one of the best dishes. The Caviar oysters unbelievable honestly my only complaint would be they only have 1 wild caught fish option and the rest is farmed. Well to be clear the rest of the fist they could not get a very clear answer from the back so they recommended only 1 they they knew was. Very happy they even went the extra mile to ask for me when of course they could have just said yes. Highly recommend large or small groups.,0,0,0,Tim S.,"Weehawken, NJ",0,4,4
5.0,3/24/2019,"Came to the Omar at Vaucluse restaurant on a recommendation from a friend. Amazing experience! Everything - from the bread to the tomahawk steak - was perfect. The pasta was soooo good. I am still imagining it, I wish I had ordered like 3 orders of it. It was that good. Our corner table gave us a great view of the scene in the restaurant. Staff was attentive and made sure our expectations were well exceeded. Highly recommend!",0,0,1,Megan S.,"Newark, DE",2,37,9
4.0,3/10/2019,Expensive but nice food. Elegant place with a nice atmosphere. The location isisnt great. It all seems a bit serious around that area,0,0,0,Nicolas A.,"Manhattan, New York, NY",0,55,0
