rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/29/2019,"Had an AMAZING meal here with a friend while staying at the Moxy. I went in not knowing what to expect as you never quite know what you are getting at some ""hotel"" restaurants. First of all, you do not feel like your in a hotel restaurant in this space. Its beautful and very well done. The staff was incredible and very nice.I had a few glasses of wine and we split tons of things off the menu. Every single dish was delicious including the buttered rolls they bring to the table. Nothing beats fresh baked rolls. We then shared some delicious oysters and little necks from the raw bar. We then indulged in a delicious grilled baby octopus appetizer from the daily specials. Wow! This was so tender and flavorful and something they are looking to add to the new menu.For our main courses, I got the Fried Chicken Box. INCREDIBLE absolutely delicious! It comes with a freshly baked bisquit and hot honey to drizzle all over that shit. Finger licken good! The chicken was crispy, hot and so so flavorful. I drizzled each piece with hot sauce and hot honey and couldnt be happier. My friend got the grilled scallops and absolutely loved them.We split some sides and ended up with the German Butterball Potatoes with chives and truffle butter and the Mac & Cheese with Gouda and White Cheddar... Both 5 stars and as good as it gets. So so flavorful.Thank you for an incredible meal. I will definately remember this one for a while!",4,1,4,Michael P.,"Providence, RI",1195,457,1606
3.0,4/28/2019,"Dinner Saturday evening at trendy ""Legasea"" in the Moxy Hotel with an Opentable reservation. Lord, is this restaurant ""trendy"". I swear, I felt like I was sitting at a pre Oscar night dinner and after dinner I would give my parking ticket to the valet and drive off onto La Cienega Boulevard in West Hollywood. Anybody who is  somebody was dining here! It was nice that ""mere mortals"" like me could dine amongst the rich and famous. Atmosphere was ""electric"". Service could best be described as ""Business Class Flight Attendant"".  Food was all over the place. They reduced the number of items on their menu so the things I had planned to order based on their online menus were no longer offered. Real bummer. For example, I really wanted the Lemoncello sorbet for dessert but the waitress said it was no longer served and rattled off several sorbets/gelattos that I had no interest in. After ordering, we received two rolls with sides of herbal butter, coleslaw and bread and butter pickles to put on/in them. The rolls were ok, butter was ok, pickles were fantastic, coleslaw was awful. Our shared appetizer (shared because the appetizer I had wanted from their online menu was no longer available and I didn't see anything that interested me) was the Crab Beignets. This is the restaurants signature appetizer. Not sure why. They aren't really beignets, they are sliders. They are filled with crab meat and excessive amounts of Chipolte mayo. They are just OK for what they are. Our entrees were the Flounder Francaise with spinach and the fried chicken. The flounder was a good dish, and a substantial portion and the German Potato side was really good. . The flounder didn't have enough capers or enough lemon taste to qualify to have the designation ""Francase"" however. The Fried chicken was better. 5 pieces of fried chicken with a biscuit, served with way too much butter, and hot sauce and hot honey. The Chicken was great. It was spicy enough and moist so I didn't need to use any of the sauces.. Biscuit was fine. $29.00. I've got to admit that I liked it . Dessert was the Blueberry cheesecake. Two types of cheese (Ricotta and Cream Cheese? Not sure) . Really good.! I really want to rate this restaurant better than 3 but the fact that the menu is very limited prevents me from doing so.",0,0,0,Bob G.,"JAMAICA, NY",17,213,400
5.0,4/28/2019,"First, for all if you fernet fans....they have it!  I had the best salmon, broccoli and fries of my whole life here!",0,0,0,Jennifer R.,"Orlando, FL",0,6,0
5.0,4/25/2019,This place was located in the Moxy hotel. The customer service was amazing. The atmosphere as nice. Everyone was super friendly to us. We were able to make a lot of memories here. We will be back. Food ordered:Hamburgers and fries. Price:Around $20ishMemories scale: Last a life time.,0,0,0,Tray M.,"Louisville, KY",138,100,58
5.0,4/20/2019,"This place is soo good!! The 7th Avenue seafood tower is delicious and so is the crab beignet appetizer. As a bonus, the service is great with extremely nice waiters and waitresses.",0,0,0,Grace N.,"Statesboro, GA",0,3,0
5.0,4/14/2019,"Was traveling for work and staying at the Moxy, so popped down for dinner.   Fun was really tasty, good portions, and reasonably priced for NYC.   It was quiet on a Sunday night, but it had a nice atmosphere.  I'd go back again- even if I wasn't staying at the Moxy.",0,0,0,Sarah M.,"Jackson, WY",102,13,0
4.0,4/11/2019,I've been wanting to come here for a while. Very satisfied with my experience here. Started off with the spicy crab beignets. The waiter suggested them. They were great. Nice bite! My friends and I all shared the 7th ave tower. Super good. Fresh seafood but nothing crazy. I did feel that the oysters were quite small. Little disappointed in that but everything else was fine. Out of the entire tower my favorite was the tuna tartare and cucumber salad. For dinner I got the steamed mussels. Oh man. These were delicious and a huge serving! They came out with a big pot of mussels. I could've definitely shared it with the table. Their specialty cocktails were quite good. I had the foxy moxy and another drink that I can't remember the name. It had cucumber and black peppe r though. Sounds strange but it was so good. All in all my friends and I were satisfied with our dining experience at legasea!,0,0,0,Angelica R.,"Dumont, NJ",216,36,63
4.0,3/28/2019,"Came here during Restaurant week for dinner and got to try the their 3 course menu. $42 per person & includes 1 appetizer, 1 main course & 1 dessert. Been eyeing this place since I love restaurants with word plays. The place was cute and very busy. We got there by 7:54pm since I made a reservation for 8 pm but did not get seated til 8:12pm which was a bit frustrating considering the fact that I had a reservation.We knew exactly what I want starting with the spicy crab beignets which is really small in size but very flavorful and super delicious! I cannot begin to tell you how freaking delicious these were. Crab meat tossed in chipotle cremates fraiche in mini beignets topped with butter powder. Squeezed a lil lemon on them bad boys & each bite was exploding with so much flavor. Fingerlicking gooood! Absolutely worth trying, even if it's not for restaurant week.For the main course, I got the Flounder Francaise with sautéed spinach and lemon capers butter. Squeezed a lil lemon on the fish & each bite was filled with zesty flavor. Also ordered a side of German butterball potatoes to accompany the meal since the portion was a bit small which went well with the entree.& as for dessert, I chose to try the Apple cider donuts with warm apple sauce dip from. Made for donut lovers!We were seated by the bus boy area where they kept their water and glasses and put in orders. Didn't think it would be a problem but throughout the night, we kept getting bumped into by the busboy or the waitresses. It took a while to get refills on water and then another long wait for the check. In all, it was good food but the service could have been a bit better.",1,0,1,SamBam C.,"East Elmhurst, Queens, NY",2,53,123
4.0,3/23/2019,We went without any expectations and was pleasantly surprised. Chill spot with great food and service. Highlights - their signature crab beignets and seafood marinara pasta was on point! Saw some negative reviews on desserts but cheesecake and apple donut were also pretty good. I will be back soon!,1,0,0,Ducky B.,"New Milford, NJ",20,13,0
4.0,3/22/2019,"Food , service very nice. Went here prior Billy Joel concert. Price reasonable considering location and staff friendly !",0,0,0,Robert M.,"Key West, FL",0,13,5
2.0,3/19/2019,"My husband and I had heard great things about Legasea so when we saw that it was on restaurant week, we were excited and booked a table immediately. We easily waited more than 30 minutes just for bread and our drinks to come to the table. From the time that we sat down to the time that we were served our main course was AT LEAST an hour. We were so hungry! When we wanted to get the check, the waiter didn't come around for a good 20 minutes. We just wanted to leave. The food was bland. Maybe this was because of restaurant week? I'm not sure. We love seafood, but we will not be coming back to Legasea :(.",0,0,0,Bryce D.,"Manhattan, NY",406,29,0
2.0,3/17/2019,"Overall, theme for my dining experience - nothing memorable.  Not great, not bad - just meh.  Expensive, yet average seafood.   Prices are higher than the $$ indicate.   Ordered a seafood tower from the raw bar - oysters, clams, shrimp and lobster.   Really small portions.   Had a seared tuna entree, tasted like average seared tuna.  ** yawn **.If this were any other city, I'd give this place 3-stars.  But dude, this is NYC where memorable dining experiences abound.   Felt like I wasted a meal.",2,0,2,Sam C.,"Southlake, TX",69,223,132
3.0,3/15/2019,"Edit: there is no prix fixe menu anymore. There was one outside of restaurant week but not anymore. Reduced a little as this made the place a lot more worth it.I went here a little while ago as restaurant week for lunch as the prices are a bit high otherwise (well it is a fish place inside of a hotel near Times Square from this restaurant group but I digress.) I believe it was 29 for 3 courses which was fine for the quality. The service here is very good. They check on people but not so much that it's intrusive.After ordering, they served some of their ""Bomba Bread"" which was served with some type of herbed butter, some coleslaw, and some pickles. The bread was super soft and very good though maybe a tad too buttery. The herbed butter cut down on the richness of it. The coleslaw was the usual you find in places. I almost always prefer sour pickles but they serve here what is essentially a better tasting version of B&G Bread & Butter Pickles (i.e. a little sweet.) It's more by preference though these were good.Tuna Tartar: Avocado, ""lavosh cracker,"" soy ginger vinaigretteMy appetizer was pretty good. The tuna was semi fatty and the avocado added some richness. The vinaigrette was a little salty and oddly a tiny bit sweet but it went well with the over-sized cracker and the tuna. Pretty solid though nothing amazing. (3.7)Flounder Francaise: Spinach, lemon caper butterA very much refined version of this dish with almost too little citrus; at least compared to the overpowering generic Italian stuff served at some restaurants and weddings so take that as you may. The fish was well portioned and was nice and tender. The spinach was well cooked though it could have used a bit more garlic/flavoring. Excellent and one of the best variations I have had though I would add a bit more sourness and more capers. (4.5)Buttermilk Panna Cotta with Fresh Citrus- Blood orange granita, candied kumquats:Well this is where the citrus went from the flounder (just kidding.) There was way too strong of a grapefruit/blood orange flavor in this. It was in fact quite overpowering outside the white pieces on top. The white pieces on top reminded me of peppermint which was a bit unique and a bit off-putting. The actual pudding near the bottom was well made though I had tot dig through a lot to get to the good section. Easily the weakest of the three dishes. (2.1)The food here was excellent though the prices outside of restaurant week don't warrant a second visit outside of going with a large group as the place is massive. The panna cotta as noted by a few others (take notes) is way too sour though the fish which is what they are known for was excellent.3.5",1,0,2,Glenn C.,"Fair Lawn, NJ",208,1266,376
5.0,3/7/2019,"Wasn't sure what to expect when we came here on a Saturday evening. We were planning to go elsewhere but the wait was too long so we decided to give Legasea a try and were very happy we did.  Very lively atmosphere and the food was great. Loved the Fish and Chips and the Flounder was excellent. Our server Shalondra was friendly, helpful and energetic. Will be back!",0,0,0,Andrew L.,"New York, NY",2,86,186
2.0,3/7/2019,The service was so slow here. The place was absolutely empty. I'm so surprised how terrible this restaurant is doing when it's in such a hot spot. I love seafood but I was soooo disappointed! It was just so flavorless and had a weird taste. Not a fan and have told friends to not go! Would not come back.,0,0,0,Anjali B.,"Little Neck, NY",164,27,18
5.0,3/7/2019,"Such a fantastic place on the second floor of Moxy Times Square in Midtown Manhattan! Went for their 3 course prix fixe lunch which was amazing. We both felt that the portions were more than enough and he was actually shocked when he got a full sized salad as an appetizer! They told us they'd bring us bread for the table while we waited for the food to come out, but they never brought it over.. we were actually relieved by that since the bread would have been too much!! I've had it before and it's so good! They bake it in-house so definitely ask for it if you go and they don't bring it to your table hahaThe customer service was fantastic. Everyone was so attentive, but also not too attentive as in we both get bothered when staff approaches us too many times while we're eating, and here that was not the case. They were very professional, and friendly. The cocktails are a bit pricey, but that goes for most restaurants in the area.. Overall I enjoyed my experience! I would go again for their prix fixe since I'm able to try a few different dishes that way. Almost forgot to mention that I don't like seafood, and don't eat seafood.. but there are many options to choose from if you're the same!",0,0,0,Mandy L.,"New York, NY",461,27,6
4.0,3/2/2019,"It looks like its going to be an upscale Chili's for seafood in midtown - so basically shoot me in the head. What actually happens? They kind of crush it. I can't say it was my favorite seafood in the world but it was really, really good. The service was great and they ended up having a massive table behind us for some party or something (20+ at one table) and normally I would have been cringing for what would happen to our measly table of 6 but the staff didn't miss a beat. Even got to practice my horrendous russian with our waitress who took pity on me and replied cordially. Lovely.",0,1,0,Sean K.,"San Diego, CA",27,312,0
1.0,2/28/2019,Food was good but they had terrible service. Very pretentious atmosphere. Seated all people of color in one corner of the restaurant which hurt the overall experience.,1,0,0,Ivan I.,"Manhattan, NY",0,8,0
1.0,2/23/2019,I made plans to visit this restaurant the weekend of my birthday. Nothing about this restaurant is warm or inviting. The food was very misrepresented and the prices were redicilous.  I eat out often and realize that sometimes it's a hit or miss.  And this place is definitely a miss. The spicy crab cake appetizer are the size of munchkins from dunking donuts if not smaller.  I didn't know bread could be so small.  I would never go back or recommend this restaurant to anyone,0,0,0,Celeste R.,"Brooklyn, Brooklyn, NY",0,4,3
