rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/25/2019,"Always go to an STK if there is one in the city I'm staying. Sat in the lounge had the flat iron steak, mashed potatoes and cream corn. It's always a great meal, music and ambiance. Gabbriela was my server, she kept my drinks full and food came promptly. Always a great time.",0,0,0,Michael P.,"Virginia Beach, VA",7,2,0
5.0,4/24/2019,"Love this place!!!! Never have had a bad time when I come in, the food is great, the service is always  exceptional, Gabriella the server is amazing, she's very attentive and very fun, she always brings the party to my table! I will definitely recommend this place to anyone that's looking for great food, great happy hour and awesome music!",0,0,0,Oscar A.,"Paterson, NJ",0,1,0
1.0,4/22/2019,"Came here TONIGHT to celebrate my boyfriends birthday along with my brother and that's was the worst mistake! I called the restaurant to inform them that I was running late and the hostess said it was fine. We arrived and she said ""Your NOT on the list but it's ok we have open tables because it's a slow night"". Once seated she told my brother ""your not allowed to wear that outfit but it's slow so it's fine and remove your hat"". We were skipped and waited longer than 20 mins for a server not even being offered water. We eventually left , I informed the hostess that we were unhappy and she didn't even bother to ask any questions. I do not recommend this place! Very racist and RUDE. Wish I knew the Hostess name I would love to report her! STK midtown is not the place for young African American people! If you go be prepared to be profiled.",0,0,0,Princess Q.,"Manhattan, New York, NY",44,3,0
5.0,4/21/2019,Came here for Easter Brunch. Not only was it kid friendly but our hostess Adriene was the best. She explained the menu in detail and ensured we were comfortable. We will definitely be coming back and will specifically request Adriene. A1 service.,0,0,0,Tiana Doogie A.,"Brooklyn, NY",41,5,1
5.0,4/20/2019,"Very nice staff, from front desk to waiter. It was a dinner for 2 and they moved us from 1 location to a more intimate table, which was nice. Very pricey place but food is great. Ambiance is great",0,0,0,Bernett S.,"Amityville, NY",3,2,0
5.0,4/19/2019,The city at night is so beautiful & lively. My boyfriend and I visited STK Midtown for dinner Friday night. Decor is beautiful and relaxing while there's a great selection of music playing. Our waiter was  very polite and patient. We where very satisfied with our meal and dessert. Alcohol drinks could of been a little stronger felt like I was drinking juice instead of a tequila sunrise. Overall I had a wonderful experience. It's a bit on the pricey side but worth the treat once in a blue.,0,0,0,Kisha V.,"Brooklyn, NY",3,160,1443
4.0,4/15/2019,"Great food. Good atmosphere. Our waiter Jermaine was excellent. Attentive, funny, helpful. Made for an awesome dining experience.",0,0,0,Jaime P.,"Manhattan, New York, NY",0,3,0
4.0,4/14/2019,"Came here for a business lunch and left not quite satisfied. First off, the restaurant is quite stunning and aims for a more sexy decor. We started off with the tuna tartar, caesar salad and burrata. The tuna tartar was okay, the caesar salad was tasty but way over dressed. The burrata was quite nice.I ordered the 12oz filet and was a bit more than medium rare. The flavor was def there and was nicely seasoned. However, the cook through the steak seemed a bit uneven.",0,0,1,Douglas K.,"Queens, NY",145,562,1
5.0,4/11/2019,"Had an amazing experience celebrating my husband's birthday at STK Midtown. The food and ambiance were amazing but Adrian's service really made this dinner special. She was attune to the needs of the table, charming and jovial and went above and beyond.",0,0,0,Deidra M.,"Manhattan, New York, NY",0,2,0
4.0,4/7/2019,"Sooo it has changed so much since I been there four ago. The atmosphere had a different vibe. The waitress we had which I already forgot her name was great ! So kind and helpful, always checking in with us. Made sure the steak was at a right temperature to refilling our drinks. There was an a group of two parties fighting with each other and they had to make one group leave. I do not blame the restaurant fully for this but it use to be businessmen and women, a sophisticated vibe and now I saw younger guys wearing Addias hoodies and sneakers. Things you should not be allowed to wear. I look at it in perspective, if I'm paying $300 for a meal there should not be certain things going on. The manager I think (she was blonde) apologized and our waitress for the situation going on which was out of their hands. Yet like I said they should watch more who they let in. The food was great, even though I liked the asparagus better the last time. Overall it was good experience and o really appreciate the staff there.",0,0,1,Alyssa G.,"New York, NY",17,52,36
2.0,4/7/2019,"STK was a bit disappointing, the service was mediocre. Which is not the norm in NYC steakhouses. We usually make late dinner reservations on vacation, that might have been it... but all other restaurants have been great. Compared to STK Miami Beach STK midtown is really lame.",0,1,0,Idelsis A.,"Miami, FL",10,26,62
5.0,4/2/2019,"Food was great, service was even better! Adrienne provided fabulous recommendations and guided our group through an enjoyable dinner.",0,0,0,Samantha L.,"Philadelphia, PA",0,1,0
5.0,3/29/2019,"My Fiancé took me here for an early birthday celebration last night and it was absolutely amazing ! We didn't have a reservation, it only took max 10 mins to be seated. The atmosphere is easy going. Our server was very friendly. I started with a strawberry cobbler and it was so yummy, while my fiancé had the henny mojito. For appetizers, we tried the Truffle Short Rib Ravioli and it was ahhhhmaaazing !! For entree I chose the 6 oz filet with the mac and cheese and foraged mushrooms ! It was super delicious. For desert, our server surprised me with three ice cream cones and a candle. It was a perfect end to the night !",1,0,0,Shelly L.,"Jamaica, NY",2,36,24
5.0,3/29/2019,"Omgish, I was so happy to find STK in Springs.  I'm from New York and I go a lot to the one in NYC.  Like always Delicious food, drinks  and excellent service, especially the corn pudding was divine here in Florida and the music out of this World on Sunday evening. You guys made my evening it was my sons first time and he loved it!!!!  Thanks to my waiter he was Fabulous sorry I don't remember your name we where by high tables by the bar near the windows.  On 3/24/19 I remember you had dark brown and reddish hair, thanks dor your wonderful service you were super busy and always came to check in us thank you for everything!",0,0,0,Ana R.,"Manhattan, NY",0,10,0
2.0,3/25/2019,The kale salad was huge and full of well cut kale. The flavor was just ok and the other ingredients were underwhelming.  The bass was tender but lacked flavor. The corn pudding was the best part of the meal. The Delmonico steaks that were ordered lacked flavor.,0,0,0,Eric F.,"Bedford, NH",5,149,1241
1.0,3/24/2019,"In the spirit of pettiness, thought I'd mention that its been almost an entire year and thus, I've given up all hope entirely of hearing back from this elusive ""GM"" - eagerly anticipating another ""we will get back to you soon!"" message from them :-) (I didn't know ""soon"" was synonymous with ""within a few years"").",0,0,1,Ken L.,"Brooklyn, NY",190,124,0
2.0,3/22/2019,Reservation for what? To wait 15-20 min and watch other parties of 2 stroll in after you get seated before you An extra star for at least pretending to be polite I left as I tend to lose my appetite after being treated less than No thanks. I'll pass,0,0,0,Elizabeth L.,"Hoboken, NJ",0,2,0
2.0,3/22/2019,"On my birthday celebration (reserved a week in advance) and had THE WORST table on the restaurant. Terrible service at the table. Waiter came to us three times: to take the order, to deliver it, and the check. Food order was wrong. Hostess was not nice. There's a likelihood that you could have a good time here, but the service is usually so bad that the likelihood of this happening is slim to none. If you're looking to have a good experience, just avoid this place - It's easier.",2,0,0,Rodolfo D.,"New York, NY",446,86,76
