rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,5/1/2019,"This is a classic Italian restaurant in the theater district, and should be a great place for before or after a show.  Unfortunately, their food is beyond disappointing.The service is very professional, in a European snobby way, and their pacing was fine.  The ambiance was lovely, classic white tablecloths, good spacing between tables, bland but inoffensive decor.  And then csme the food.The drinks were acceptable, but a bit on she small side.  Black olive appetizer was good, but almost impossible to eat without getting oil on your fingers, the tablecloth and the menu.  The appetizers were probably the best thing on the menu, but still, nothing to write home about.My two guests each had a different pasta.  The pasta was cooked nicely al dente, but the sauces were bland and without any distinction.  I cannot say the sauces were bad, but the flavors did not excite you and were forgotten the moment you were finished.  The biggest disappointment was my main of Sicilian seafood stew.  There were precious few fish pieces, a few shrimp and some clams and mussels.  These were swimming in a thin sauce that was bordering on foul.  I was able to only take a few spoonfuls and then I had to be satisfied with the mediocre fish.  I left most of the dish.  Do not order this dish, as I do not think it will get better.In short:  Nice location.  Nice ambiance.  Nice service.  Lousy food.  Hey!  I thought that this was what I came to a restaurant for.",0,0,0,David P.,"Narberth, PA",10,30,0
5.0,4/19/2019,"What a fabulous restaurant! The food, service & presentation were all spot on! Thank you Cheron & Andres our Sommeliers, Angel our waiter,Rene and Roberto our busboys. Can't wait to return!",0,0,0,Maureen S.,"Hollister, CA",3,102,92
1.0,4/2/2019,"We live a block away and I've been wanting to try this place since its got a lot of talent on its side....but wow, awful on every level. First the ambience. I felt like I was in the builder grade track house if that makes sense. Like cheap generic wall sconces, blase paint, etc. There was nothing special, creative or anything that made me want to stay here to eat. Second, and most important, the food. Okay, the food is probably more of a 2-3 than a 1 star. We started with the grilled squid, which typically is one of my favorites. It wasn't horrible, but it was definitely chewy and tougher than what you would expect from a professional chef. For our entrees I had the Spaghetti and my partner had maccheroni alla chitarra. The spaghetti was less than thrilling, especially for $32. I make better spaghetti at home. The lobster came in the shell and was tough. When trying to get it out of the shell,you had to pull pretty hard, flicking bits of sauce and lobster. The maccheroni alla chitarra had a pretty good flavor, but it was noodles sitting in a bowl of melted butter. Like literally, just pools and pools of butter, it was so gross. The restaurant attempted to rectify the broken butter sauce but my partners appetite was completely ruined.Then, we had our credit card out, ready to just leave and get this experience over but we sat for probably 30 more minutes being completely ignored. No drink refills, no check ins, nothing. We were sitting at the front too, right by the host stand. They took my partners food away when he said he didn't want it, so he's just sitting there. I was completely not interested in the spaghetti since it was nothing special and really not that good-so it was pushed out in front of me. Again, our credit card was out...and yet the manager, our server and every other employee would just look at us and look away!Seriously a horrible horrible dining experience! I expected so much more from this place!",0,0,0,tillie t.,"Beverly Hills, CA",172,18,0
5.0,3/31/2019,"My daughter and I both really enjoyed our dinner tonight at Esca. Great food, excellent service, ambience is upscale but not intimidating. Great choice!",0,0,0,Alice M.,"Long Beach, NY",6,28,5
1.0,3/31/2019,An Iron Chef and a Master Chef join forces and this is what they come up with?  Not impressed.,0,0,0,Joe S.,"Central LA, Los Angeles, CA",0,10,0
1.0,3/22/2019,The food was just plain terrible. One of the worst NYC meals I've ever had. Way too salty. Seafood tasted on the verge of going bad. Stay away!,0,0,0,Sam T.,"Studio City, Studio City, CA",0,2,0
2.0,3/15/2019,"Food(2/5)- My friend made reservation for me and stopped by for dinner. I tried this place for the first time. We ordered bunch of foods, 3 Pemaquid Oysters, 3 Sweet Neck Oysters, shrimp sashimi, hamachi, urchin, spaghetti, Perciatelli, linguine, day of special dessert, ricotta bomboloni also Puligny Montrachet wine. They have great selection of wine and I personally like white wine than red wine. I didn't eat raw foods but only I could eat oysters or Korean crab. Their oysters was not good as I expected but sweet neck oyster was better tasted than pemaqhid oyster to my licking from probably I like sweets. I didn't try any of hamach or urchin or shrimp sashimi but my friend said just ok but not the best. Linguine was too salty to us and I've eat better linguine anywhere else. Spaghetti was just ok but I would saying lobster was fresh. Their seafood was really fresh. I would recommend try perciatelli if you gonna eat pasta. That pasta was decent than other dishes. I thought if this place foods were less salty then I would love enjoy eating their dishes. I couldn't decide with dessert menu but they recommended me to special dessert and I really liked their recommended me that. It was pretty amazing tasted and I was impressed. It not a cake or brisket and I'm not a fan of pistachios but it really different flavor. We didn't take their any of recommendation about wine and just we choose randomly but it just ok. I thought over priced than quality. Service(5/5)- All the staffs were accommodating and super friendly. They're always around you for you ok with their foods or service. I really appreciated our wine or water wasn't empty and we didn't have to asked them to that. The guy, I thought he was manager at this place, he was funny and super duper friendly than other staffs. We really have great time from them and it felt like we known them from long time which means they make you really comfortable or enjoy their foods while you stay there for eat. They will share your foods from their kitchen if you want to. They're served our every foods separated plates. Ambience(3.5/5)- This place is classic Morden and clean place. I liked their music it wasn't too loud and you can talk with friends or anyone. Some of places are difficult talk with friends but this place wasn't. They have cherry blossom tree and I thought it pretty when they are fully come into. Overall(3/5)- I really like this place but I don't thinking go back to this place for their foods, if I go back to this place probably for their service.",1,0,1,Jae H.,"New York, NY",25,292,1253
5.0,3/9/2019,"Just a wonderful pre theatre meal. First impression when we arrived at 545...the music, ranging from the Dead to Simon and Garfunkel to Johnny Cash...just perfect, the soundtrack of our lives. Comfortable corner table. Service attentive if a little strange - a number of people were assisting us at different points. Our server (Kate, I believe) was warm and attended to all our questions. As for the food...pretty perfect. Great breads including a killer focaccia. Nice little amuse bouche- a tasty white bean bruschetta. My wife had the sea urchin crudo app and the pesce azzurri ( four fish selection) for her main. I had the grilled octopus appetizer (giant white beans and Corona lemon) and a very briny, perfectly cooked linguini with pancetta, hot pepper, and a generous clam medley. All wonderful. We shared two desserts, a special crostata with marscapone cream and a first class lemon torte. Leisurely paced, yet designed to get us out the door and theatre bound by 630. We look forward to a return visit in the near future.",0,0,0,Steve C.,"Montclair, NJ",1,43,25
3.0,3/8/2019,"I came here for a business lunch in the middle of the week and had a fine experience, the food was hit and miss, but the service was very attentive.The olives that were given to us with the bread was a nice start to the meal.  My dining partner and I opted to get the lunch tasting menu and to add the 3 crudo tasting to it.  I think this was a nice way to be able to sample the items on the menu.The crudo tasting while good was drenched in too much olive oil for my liking that it overpowered the flavor of the fish.I ordered the fish liver appetizer to start and it was quite tasty though I think I prefer foie gras type rather than fish liver.  My dining companions salad looked very fresh. For my main I ordered a grilled fish, I believe it was branzino, which they fileted for us.  I found the fish to be a little lacking in flavor and unevenly cooked, some parts were definitely a little raw.The coffee with gingerbread dessert was good if you like espresso, which they pour into a cup over the gelato for you.Overall, I think this is a fine option for a business lunch in the area, but I probably won't be back.",1,1,1,Elyka A.,"Manhattan, New York, NY",198,204,634
1.0,2/28/2019,"Let's face it there aren't many good restaurants in and around Hell's Kitchen but in a sea of less than stellar offerings and mediocrity Esca  stands out as the worst. It really is. The host's are very nice (even on the phone) and are probably the only redeeming feature of Esca. The restaurant is simply decorated and while not a beautiful restaurant the best part of the dining room is that it is possible to get a table not on top of other diners - just don't choose the banquette's against the wall.Almost as bad as Esca's food was the waiter - now I eat out two or three meals a day so I know waiters and most tend to be honest, hardworking and understand their job is to enhance the dining experience. Not at Esca. Nope not here. Our waiter was pushy (the restaurant was empty) and was basically a pest and an annoyance. Even before our appetizers arrived he asked what we wanted for our main course. Who does that? He asked if we would like more wine when we just started to drink from the wine bottle he brought over. His recommendations were all the highest priced items on the limited menu. We ordered bottled water and before we had one glass he asked if we wanted another bottle. Wow, was this guy annoying. The problem could be a managerial hiring issue because the chef's cooking was as inferior as the waiter's service. Everything was lousy at Esca but the pastas were hitting an all time low. The stand out was the Maccherioni Alla  Chitarra (meaning crappy rotten fish pasta in Esca translation) and it had to be one of the worst pasta dishes we have ever tried. We were unable and unwilling to eat this and the other pasta - they were that bad. We were wise enough not to try dessert and cut our loses and saved our stomachs by leaving this awful restaurant.",0,0,0,Ricky D.,"New York, NY",34,131,0
