rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,3/29/2019,"We anticipated a fabulous and authentic Italian meal, and it was almost that - the service was very good, selections unique, wine very good (a northern Italian white) - BUT, 2 of my 3 friends were served a completely different entree than they ordered.  We were on a short timeline due to an evening engagement and when we brought it to the attention of the server, he seemed to just hope we would accept it as is.  I insisted on a compensation of some kind, such as another bottle of wine; after consulting the Mgr we did receive same.   It's in an old hotel, beautiful decor, murals of naked nymphs and flowers all over.  Definitely old school on Central Park.",0,0,0,Nancy D.,"East Lansing, MI",0,5,0
1.0,3/11/2019,"When I lived in the UWS 5 years ago, my husband and I used to come here regularly. It's the perfect little date spot - beautiful atmosphere, great drinks, nice food, and wonderful service. It's also conveniently located 3 blocks away from Lincoln Center, so we'd often come here right before a show. Last night, we went back for the first time in a while, and we were excited to revisit our favorite place before catching an opera. The hostess was lovely and took our coats, and we were seated at a quaint table in the back which was very private and perfect for a romantic evening. Perhaps our expectations were too high, but it all went downhill from there.We each ordered Manhattans to start. While the drink was lovely, it had bright red maraschino cherries. This is an upscale Italian restaurant, where are the amarena or luxardo cherries in my $17 cocktail?A server brought us a light bite to start - fried risotto balls with peas and something mysterious. These were basically bland fried balls that weren't worth the calories. My husband ordered the citrus fennel salad and lamb ragu pappardelle, both of which were specials. His salad was fine, the ingredients were fresh and the grapefruit wedges were a nice touch. The lamb ragu was a very sad dish; a plastic looking noodle situation with bits of lamb that honestly looked (and tasted?) like dog food. Very beige and unappetizing, and so, so bland. I ordered the grilled octopus salad and the bucatini with sardines.  The octopus was tender and beautifully presented over ribbons of celery. It tasted like nothing. The bucatini was cooked perfectly al dente, but was covered in bread crumbs and tasted like it had been cooked in bad fish oil. Again, bland! No one offered fresh pepper for the entrees and there was none on the table. Also, our spoons were replaced with knives before our pasta came, and I had to struggle to eat the long noodles without splattering all over my white dress. Sigh. If we didn't have to rush out for our opera, I would have asked the waitress to bring a spoon. She, however, did not check on us once the food was brought to our table. I finally flagged her down to pay the check, and she seemed both shocked and offended that we were rushing out. As she took the check away, it was the bartender who approached and noticed that we were struggling to enjoy our meal. He patiently explained the Sicilian way of cooking that involves less garlic. Okay, duly noted. That said, I'm not the first person on this forum to tell you that your food is bland. They should probably read some of these more recent reviews that concur. As we were apologized to multiple times on our way out, they also suggested we come back another time to give them another chance. There really is no incentive to spend money here because they did nothing to fix the problem in the present moment. Apologies and underwhelming promises to be better in the future are a sad way to run a business.",0,0,0,Nadine C.,"Washington, DC",33,157,154
5.0,2/10/2019,"Delicious! I went for restaurant week, which was not only a great value but a great selection. Everything was very good. I enjoy how they will feature foods from different areas of Italy as part of their revolving menu. On the more expensive side but a good place to bring a date or even larger group.",0,0,0,Victoria T.,"Manhattan, New York, NY",17,213,507
2.0,2/10/2019,"This place was terribly underwhelming. The food was sub par, which was disappointing, I mean it is hard to do a bad job with pasta... but man. Overpriced for what we ordered. Our waiter seemed to be in a big hurry and we felt rushed overall- which was really unnecessary given the number of empty tables around us. This place gets two stars because the dessert we ordered was pretty good. The nutella mouse with banana gelato. The ambience was fair with one guy playing the jazz guitar. Overall, would not come back here. And wouldn't really recommend it for brunch.",0,0,0,Ordessia C.,"New York, NY",10,50,100
2.0,2/7/2019,Not so bad that it was painful but overall disappointing. Had the same experience a few years ago but thought I would give it a try again given I live next door. Nice ambience but that's it. Service not great and food underwhelming. The pasta dishes were too heavy and lacked flavor. Everything had the aftertaste of bad oil. Nothing to do with authentic Italian cuisine. Prices are too high for the quality. I am sure there are neighborhood places that serve better food at half the price.,0,0,0,Joe H.,"Manhattan, NY",0,3,0
5.0,2/5/2019,"A restaurant that you MUST visit at least once.  The food is excellent, and they fall over themselves to serve you.A great choice for a romantic evening out to celebrate a special occasion.",2,0,0,David B.,"Manhattan, NY",2,81,426
1.0,2/4/2019,"Decided to give the much talked about winter restaurant week a try at New York over the weekend! ..@theleopardnycWell, we're mighty disappointed at the quantity of the portion given to us but I guess that's what these dollar restaurants normally do. Reduce the portion size and call it a ""restaurant week"". We had to infact fill our tummies with two whole donuts from a really good donut place nearby coz guess what ""dessert"" ain't included in the pre-fixed restaurant week menu or as they call it ""NYCRW"". ..Highly recommend not to try this place out; guys, spend your money elsewhere and you would have a lesser hole in your pocket and tummies happier. Yes, you would expect the food to be delicious when the restaurant is highly recommended but what we had was absolutely flavourless and stale..Also, the presentation was a huge turnoff, I mean this is not what we expect from restaurants that are highly rated on ""Yelp"" or whatever they may call it. .The place was extremely crowded and cramped up and noisy and not worthy to be a called a 4 star place .Thanks for giving us a slap on the face in the name of ""restaurant week"" and treating us like people who have come for free food. ..To top it off, they also asked us to leave as soon as we finished when we were just booking our Uber but we were asked to vacate our seats. Do not expect this highly rude behavior from a top class restaurant as this one. .Thanks for treating us this way. We are definitely not coming back and also not recommending this place to anyone. .#whatashame #nycrestaurantweek #italian #restaurantweek #winterrestaurantweek #winter #slapintheface #badfood #bad #leopard #njfoodblogger #nycfoodblogger #bad #slapintheface #expensive #foodblogger #provemewrongP.C: the live jazz person took more breaks than he was playing so it seemed like the sad atmosphere of the place also got to him. Only giving it one star because the review won't get posted otherwise.",0,0,0,Apoorva G.,"Yardville-Groveville, Hamilton Township, NJ",27,1,1
1.0,12/25/2018,"Priced for superlatives but delivering tuxedoed mediocrity.  Crab cakes were fried hockey pucks.  Lobster ravioli - ringing in the New Year at $35 - were flavorless and desiccated - perhaps inspired by the ""Best of the Dead Sea"" recipe book.  This was of course the beloved destination cultivated by George Lang.  He died of Alzheimer's and tonight's experience is better off similarly forgotten.",0,0,0,Adam H.,"San Francisco, CA",0,2,0
4.0,12/2/2018,"A friend of mine was in town for her birthday to come see an opera with me at The Met and we decided we should do this whole thing RIGHT and get a fancy dinner beforehand. After some brief Yelp-research, we landed on The Leopard as exactly the right choice for all of that - though, not gonna lie, the clincher was absolutely their dessert menu.We made a reservation and managed to be about a half hour late because the MTA hates America but I called them in a moment of cell signal to give them a heads up and they were very nice about holding our place. By the time we arrived I think the only table left was out back by the bathrooms, which was a bummer in as much as we didn't get to see much of 'des Artistes' (the place is covered in rather pretty murals of nude ladies hangin' out) but it was intimate and still a nice dining area. Service was excellent, we had more than enough time to spare for our opera (arrived around 6:30, opera at 8) and even without informing them of our plans the food came out quickly and with time to spare (we skipped appetizers). The food itself was nice, we got a veal ragu special and the bucatini ""alle Sarde"" (with sardines, wild fennel, red pepper, garlic, pine nuts and raisins), both of which were tasty but, gotta be honest, I've had better at a lower price point. But I get that you're paying for the atmosphere and whatnot so it was fine. However the real standouts here, and what I would come for again in a heartbeat, were the drinks and the desserts. For dessert we got the ""Tropical symphony"" (crumbled praline layered with cream, mango and passion fruit) which was light, airy and delicious, as well as the nutella chocolate mousse with hazelnut crunch and banana gelato - the later of which was far heavier and HEAVENLY. That banana gelato tho... goddamn. Then for drinks we got were outstanding too but I can't seem to find a drink menu on here so they will have to go nameless cause I can't remember the darn names off the top of my head. Sorry Yelp, I failed you. BUT ALL OF THAT SAID, if I could see a menu again I'd remember in an instance cause they were amazingly good. All in all, definitely a contender for some fancy ass opera pre-gaming in the future.",2,1,3,Jenna I.,"Brooklyn, NY",103,268,67
5.0,11/24/2018,"Very charming, elegant restaurant located in a quiet area of a posh hotel. The dining was excellent! I enjoyed tea, and dessert after our scrumptious dinner of salmon and salad. The atmosphere is brilliant as well as it is not too loud or crowded.",0,1,0,Zara A.,"Manhattan, New York, NY",0,12,0
