rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/15/2019,"French place, I did not have dinner, just cocktails! They were really good, the environment is fantastic & super elegant!Lugar francés, no cené, solo unos tragos! Estaban muy ricos, el ambiente es fantástico y súper elegante!",0,0,0,Marian M.,"Vicente López, Argentina",29,266,961
5.0,3/29/2019,"I like the food there, people working in this restaurant and!!!:) the food they serve. It would be nice if they made their floors prettier but in general the whole design is nice (for those who cares).",0,0,0,Emily V.,"Manhattan, New York, NY",0,5,6
5.0,3/14/2019,"My lovely bride and I stopped in for lunch today for her birthday.  We had an incredible meal. We started with a mesclun salad and steak tartare.  The steak tartare was absolutely stellar, probably the best I've ever had.  She ordered the Maine sea scallops and I ordered the duck l'orange. I can never order duck anywhere again. Dessert was creme caramel and a baba with armagnac. Finally, they surprised us with several warm madeleines, straight from the oven. The service here is out of this world, meaning just enough attention. This is what all French bistros should aspire to be.",0,0,1,Jack H.,"Atlanta, GA",33,249,14
5.0,3/11/2019,"Thoughtful, authentic classics, well prepared.  Quenelles were opulent and perfect texture.  Skirt steak was cooked to the right temp.  Save room for dessert.  The chocolate soufflé is worth waiting for.  Mont blanc very elegant and balanced.",0,0,0,S L.,"Suffield, CT",1,23,9
5.0,1/22/2019,"This restaurant is lovely. The service was amazing and the entire staff was very prompt and professional. It is a dimly lit, cozy and romantic atmosphere. I had the duck a l'orange which was fabulous. My boyfriend and I both had a very pleasant experience there. I will definitely be returning :)",0,0,1,Allie M.,"Chesapeake, VA",0,2,1
1.0,1/22/2019,I made my reservation 2 weeks in advance. I also received a reminder via email one day in advance. But the restaurant was closed on the day of reservation (a Tuesday). There were no notifications at all. This restaurant is on my blacklist now.,1,0,0,Kimberly Z.,"Waltham, MA",0,4,0
1.0,1/22/2019,"Had the reservation on Tuesday, but was never informed by the restaurant that they are closed. Terrible service.",1,0,0,Yi L.,"Manhattan, New York, NY",0,1,0
1.0,1/21/2019,"Thank god we came here during the Restaurant Week so we didn't pay the full price for this poor service and mediocre food. Octopus salad was too sour with literally 3 pieces of octopus in it. We've been waiting for servers to get our empty plates for 20 minutes after we finished appetizers. No one even showed up.You don't have to be Alain Ducasse to sear a salmon. But if you are Alain Ducasse, you're expected to accompany good salmon with something special. This was not a case. It came with ridiculously acetic bearnaise and shaved carrots stuffed with pumpkin puree. Just bad. Dessert. If you ever seen a poo emoji you've seen a portion of chocolate mousse in Benoit. Minus the eyes of course. The mousse is okay but the way it was served... Hmmm... Seriously guys? Bottom line - overpriced worse-than-average food with zero service. Not even worth $42 as a NYRW special. The only good thing about this dinner experience was the wine. One extra star to your sommelier.P.S. Clean your toilets, they are filthy which would be good if it was a gay bar, not a pretend-to-be-chic establishment...",4,1,1,Nick G.,"South Pointe, FL",120,23,2
2.0,1/4/2019,"Food spotty.  Some dishes excellent, others indifferent or uninspired. Decor a second thought.  Not what I expected from the worlds best restauranteur.  Service adequate but waiter got my order wrong.  Beef is not close to Prime.  My steak was quick replacement for the wrong order so it's possible they gave me someone else's mistake, because I had it in 3 minutes, but it was not a prime strip.  Very expensive for what you get.  My cocktail was horrible, too.  Go to any variety of other higher end French bistros in nyc to get your Francophile on.  We had a great meal at Balthazar.  And always do.  This Ducasse place is resting on its laurels in my view.",0,0,0,B W.,"Salem, MA",0,19,0
5.0,1/2/2019,"If you are looking for authentic French in NYC, this is the place.  The owner saw to every detail.  Every time I go (which is often) I always feel like I am in a true French establishment.  The bartenders are professionals, and the waiters are very knowledgeable.",0,0,0,Peter N.,"Manhattan, New York, NY",0,11,0
5.0,12/25/2018,"Friendly service, and a nice atmosphere for couples or family. We loved the mushroom and onion soup with a few shavings of the black truffles- surprisingly not overpowering, the chef balanced the flavors perfectly! I had the cod, which was delicate- just divine! The raw vegetables and frites are staple sides. The skirt steak was another favorite of the table- would definitely come back!",0,0,0,Christina B.,"Manhattan, New York, NY",0,2,0
5.0,12/23/2018,The French toast was unbelievable!! The service 5 star. Highly recommend the restaurant.,0,0,0,Stephen C.,"Aldie, VA",142,5,0
1.0,12/22/2018,"Terribly rude host. Amateur service. We had reservations, but were offered the worst table in the restaurant. No effort to accommodate us, so we left.",0,0,0,Carita Z.,"Montclair, NJ",0,3,0
5.0,12/21/2018,"Ok this restaurant deserves so much more than 3.5 stars. My family and I came here on a recommendation from a family friend and the reviews made me skeptical. But do not let the mediocre reviews stop you, you HAVE to come here. This place was amazing. I'm not an expert, but I do absolutely love French food and this was the most authentic, delicious French cuisine experience I've had in New York thus far. The service was so on point, the sommelier assisted us in picking the perfect bottle of wine that we all loved, and the food was just over the top outstanding. I can't wait to come back here soon. Get the escargot and the foie gras for the table, it will not disappoint.",0,0,0,Hannah C.,"Boston, MA",363,7,1
2.0,12/19/2018,"For the price,  which is high even for NYC, one should feel cosseted.  Food should be extraordinary and service impeccable.  Instead, food is merely very good and service borderline okay. Our party of 4 waited about 10 mins after being seated in the dining room on a Saturday night to get drink orders, and only after flagging down a waiter.  Twice during the meal, waiters appeared with wine that our table had not ordered.  At dessert, orders for a glass of sauternes and cup of hot tea were forgotten.  The food is delicious, well prepeared, bistro style. We had the duck and the quenelles, both of which were very good.  The hors d'oeuvres ($15/3, $22/5) were good as well but on the small side.",2,0,1,P C.,"Brooklyn, NY",0,36,0
3.0,12/17/2018,"The food was delicious; for appetizers we had the charcuterie board, onion soup and tart flambé. Entrees were scallops and beef tartare. The service was very erratic, neglectful and disappointing. The food was definitely worthy of a four star review, but the service was so poor it ranks only a two star. Drinks that were ordered were served only after reminders. One drink took three reminders before it was served. When the chocolate soufflé was ordered we were told it should have been ordered sooner. A delightful and tasty dinner was brought down by inattentive service.",0,0,0,Amy M.,"New Kensington, PA",0,1,0
