rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/19/2019,"Food was good not great, but what really stuck out to me was the fast one that the food/drink runner pulled! I had ordered a dirty martini with Gordon's dry London gin ($13) and when the food runner brought my drink, she presented it as a ""martini, Blue Sapphire.""   I said, ""oh, I asked for Gordon's dry London."" to which she replied, ""Oh, we're out of that! Because of the holiday [Passover/Good Friday] we didn't get our regular shipments. Sorry!"" I figured that the drink would cost the same as a house gin.  Low and behold, when I received my check, I had been up-charged for a Blue Sapphire ($17).  When I passed the bar on my way out, I looked at their stock and in fact, there was a bottle of Gordon's sitting up there next to the Tanqueray and Blue Sapphire... We paid a lot of money for that food and the fact that they either (a) felt the need to up-sell me or (b) lied to me without knowing the facts about what was stocked at the bar, was just unnecessary.  In the end, it's only a matter of 4$ but by principle, it's shitty and shady business.",3,0,0,Bizzy C.,"Astoria, Queens, NY",1,7,1
5.0,4/6/2019,"Good service, clean environment. Cherry four Gras! Beijing duck is also a must ! Good Chinese good.",0,0,0,Yiru S.,"PALOS VERDES PENINSULA, CA",34,13,15
2.0,4/6/2019,This might be the worst Chinese restaurant I have ever been to.  The waiter was very slow.  The gap between each dish we ordered was at least 30 minutes.  The food itself was not satisfying at all - small serving.  One of the dishes we ordered was pan-seamed pork and shrimp steamed buns.  I could probably make better buns by putting frozen ones from random Asian grocery stores into my steamer pot.  This place is definitely overpriced.  I could have had much better cuisine with half of that price.  I wouldn't recommend it at all.,0,0,0,Elicia H.,"New York, NY",188,2,0
1.0,4/6/2019,The food was served cold. Very very bad. Enough said. Do not be curious and try your luck here. 太差了 不要来啊啊啊。,1,0,0,Ruan Y.,"Clayton, MO",20,1,0
3.0,4/4/2019,"It is good but doesn't meet its expectations. All cocktails and wine where delicious but the food was just okay. The peking duck the hot spicy fish and the dumplings where not that great however, the song shu crispy fish was amazing.",0,0,0,Chris S.,"San Diego, CA",0,2,13
2.0,4/2/2019,"The restaurant could be so much better. The food is great. The ambiance, location, all great. If only they had better management... The staff is poorly trained. I'm not saying they were bad, but they obviously weren't trained for fine dining. If you want to charge the premium price, better up your service game. The whole operation is quite a mess. The duck, their star dish, came out cold, was not sliced in front of us. The whole thing is a wanna-be experience of what the restaurant in Beijing is about. And it shows. We went during dinner time on a weekend and the restaurant was mostly empty.",0,0,0,Sesame S.,"Los Angeles, CA",0,27,2
3.0,3/30/2019,"It was very good but too expensive for what it was. I made a reservation here because the website showed a prix-fixe pre-theater menu, so I thought perfect place to go before a show. Instead we were told the prix-fixe menu is only until 6 and only on weekdays?  The food tasted good and had nice presentation but I would personally go to China Town or Flushing for Chinese instead. Plus we weren't told ahead of time that they charge for water for the table.  Positive - they rush food out and watch the time if you're going to a show afterChai Penicillin cocktail - delicious but neither of us really tasted any Chai. Just tasted like a typical Penicillin. Favorite dishes - salted duck egg yolk wrapped in sticky rice, pork cheeks, crystal veg bunsLeast favorite - Beijing Zhajiang Noodles, Seared CauliflowerDishes that were good but not as exciting as expected - sizzling short rib, dadong eggplant.",3,1,2,Ginger B.,"New York, NY",169,255,719
4.0,3/27/2019,"Overall a pretty good experience. I got half of the Peking Duck and I was a little disappointed as the duck was kind of dry and bland. The sesame buns were a little stale instead of crunchy. However, the service was excellent. My server Annie kept checking up on me and refilling my water constantly. The Beijing snacks were very unique and tasty, not too sweet and the red bean was a nice addition to the dessert.",0,0,0,Vicki A.,"Crown Heights, NY",413,40,40
5.0,3/25/2019,"To be honest, Da dong is trying very hard to bring Chinese cuisines to equal levels of top restaurants in the world; I can feel the ambition of the founder to present the best of Chinese food to us; however, this will be a long long journey as it is so deeply rooted in the minds of Americans that Chinese food is a fast and cheap go-to option for a full meal.When Da dong tries to integrate french style plating as well as pricing into Chinese food, the public becomes very sensitive and has an unfathomable, unreachable and unreasonable expectations for the food before they even set foot into the restaurant. This bias will persist and affect people's judgement on the true flavors of the food. As a result, people tend to subconsciously downgrade great flavors to mediocre at best. So I urge you all to drop your guard and try to enjoy the food when you come in, isn't that the purpose of us paying for the food? If we were the judge, then shouldn't we get paid instead of paying?I will provide comments on each food that I've tried later, but I do want to stress out one important point here. The ducks that Da dong use for roasting are to my guess domestically raised Peking ducks. Unlike the ducks you've tasted in China, which are force fed and therefore much more succulent, the U.S. raised ducks are much healthier but are also slimmer, and some people call it dry. Trust me, the ducks make all the difference. Force feeding is illegal in the United states, and Da Dong probably does not wish to import force-fed ducks from China. Comparing DaDong Newyork's ducks with DaDong Beijing's would not be so ideal.I truely believe DaDong can fight through this under-rated 3 star trauma, and one day become michelin starred.Jake",0,0,0,Yi X.,"Quincy, MA",0,8,1
4.0,3/23/2019,"A hidden gem- but sadly too hidden.  This is a challenging location to find and to get to. Located in the middle of a block, between buildings, with no signage on the street and the necessity of an elevator to get to the restaurant; but once arrived, it's lovely. It was a summer's night, we sat outside, enjoyed live music, sat on couches with cushions and experiences attentive service.  Prices are NYC prices- it is what it is, but the ambiance, food and service made for a delightful evening with friends.",0,0,0,Victoria B.,"Brooklyn, NY",0,7,0
