rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/20/2019,"This was our last dinner in NYC for the quintessential steak experience,  unfortunately  the tomahawk rib eye, filet mignon  and prime rib were all very chewy and rubbery and lacked any deep beef flavor. I should have known better when the place was dead at 9:30 PM on a Saturday night compared to the Luxembourg next door which was packed to the gills, obviously the locals know best. The service was very good otherwise.",1,0,0,D F.,"Spring Valley, CA",0,4,0
5.0,4/14/2019,My new favorite steakhouse. We went there for dinner at 9 pm on a weeknight. Steakhouse decor is interesting. (It not the typical dark wood.)The waitstaff was great. The only thing I didn't like was that they turned the lights up all the way. We ordered cocktails which were ok but the food was delicious. My bf ordered the filet mignon and purée potatoes. He ate all of it by himself. I ordered the NY strip and roasted cauliflower. I ate half of both (because I wanted to save room for dessert.) I ate the rest for lunch the next day and it was even better! We both enjoyed our desserts - Homemade Twix ice cream and banana ice cream. Mmmmm,0,0,0,Theresa Y.,"Westfield, NJ",4,41,98
3.0,4/11/2019,"We love LSS. We often come here to celebrate birthdays in both the main dining room and the private dining rooms. In the past, everything from food to service was outstanding. Last night, however, we were seated in the main dining room.... next to a picture of Trump hanging on the wall. We don't go to a restaurant to have the owner's politics forced on us while we eat -- especially when those politics are so harmful and divisive. We'll definitely think twice before dining here again.",1,0,0,Maria J.,"Manhattan, NY",1,62,1
4.0,3/19/2019,"Amazing find ---  the 45$ prix fix menu is a great value!  It is on their website.   App, Entree, Side and Dessert --  Had the  Calamari- tender and expertly  fried, then  Hanger Steak done just right, Brussel Sprouts were  phenominal, (go figure) , the ""twinkie"" dessert  was light and  delicious and I usually am not into desserts.  Fairly large protions of expertly prepared steak and  Fish for a prix  fix menu--  great choice of wines by the glass-- the Pinot  was  very good.    Service was very kind and welcoming --  If you  have any doubts about  the place, try the prix fix  menu and see what you think -- we will be back for  a full menu  meal with friends.   I also  liked the room- it  allows for   conversation  and privacy -  Weve been ""next door"" to the Cafe L. and  have not been as impressed.  Lincoln Square should definitley  be giving them some  competition-- word needs to get out!",0,0,0,John S.,"New York, NY",0,6,3
5.0,3/19/2019,One of the best steak house in New York City I considered myself lucky I just have to walk To the place when others have to drive miles Or pay Uber to get a nice meal from this Famous Restaurant and their lovely music in the background,0,0,0,Marco R.,"Manhattan, NY",0,1,0
5.0,2/17/2019,"The food was delicious!!!! Steaks were a perfect cut, great marble on them and perfectly cooked!!!The service was also great!!! Very attentive staff and very courteous!!!!",0,0,0,Big Mo S.,"Upper West Side, Manhattan, NY",0,3,0
2.0,2/16/2019,"The beet salad was not great. It seemed to have skin and very rough root, that maybe I should have cutoff before eating. The potatoes had rosemary. That is just personal preference, since I do not like rosemary. My friend's steak was almost all fat. He said there was very little meat that he could eat.The people working there were friendly, but service was lacking. The sides came with no serving spoons. I was not having an entree, only sides, but they did not give me a plate. And they did not come back for a long time to ask for spoons and a plate. The table next to us was very loud guys. They were using profanity every other word, which seemed to make the older couples around them uncomfortable. I know it's awkward, but if you are the manager, you need to ask them to keep it down. Or offer to buy them a drink to move them to the bar. Overall, very disappointing. We had high hopes. It's close to where we live, and the reviews were very good. But I don't think we will be back.",7,0,0,Angie W.,"New York, NY",1,13,2
4.0,2/12/2019,Came here for my husbands birthday and we were very happy with our experience. Cocktails were great and the interior decor was beautiful. we had the bone marrow to start. Definitely an acquired taste. I loved t but my husband didn't care for it much. I ordered the rack of lamb and my husband had the tomahawk steak. The only thing I was not crazy about was the lasagna Mac and cheese. I prefer those two things to be separate. Good food with great pricing in a beautiful restaurant.,0,0,2,nancy c.,"Chantilly, VA",283,45,42
2.0,2/11/2019,"Very disappointed. We paid $107 to have a cheeseburger, Scottish salmon, a side of spinach, and an apple crisp delivered to our door. The salmon was so small it would barely pass for an appetizer. It was also served with watery beans, instead of the sweet potato pure with mushrooms. The crisp was super flat and the ice cream was served in the same sized thimble that The ketchup was served in. The burger was fine but the fries were wilted and cold. We literally live 2 blocks away and would come here frequently, but this is the second time we've tried it and were disappointed. This is more akin to a Golden Corral without the variety and price point, instead of a high end steak house in an upscale neighborhood. We felt bad for them previously because they seemed to be struggling but we're so nice. Now we just want them to go away.",8,0,0,Peter F.,"Greensboro, NC",0,3,0
5.0,1/25/2019,"There are not enough stars to give this place. I live just down the road from this place and it is a must for any UWS/Lincoln Square resident. I first came here for my 30th Birthday and got the best steak with the perfect temperature. The bacon is to die for, hands down one of the best nights of my life. I then went back for their happy hour and the happy hour menu beats out most bars/pubs in the area. Who else has 2 quality beers for $8 in this area? I can get a luxury dinner and a fantastic happy hour. It is the best environment and it satisfies all of your needs. Do yourself a favor and hit up Lincoln Square Steak!",3,0,0,Brian F.,"Chappaqua, NY",7,8,0
