rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/26/2019,"Wonderful family owned steakhouse with the two generations working there. They are super friendly, treated us and our three-yr-old as family. The rib-eye we had was a 100% five star awesomeness. We will be back here soon!",0,0,0,Laszlo K.,"San Francisco, CA",8,5,4
5.0,4/25/2019,"We made reservations here for my husband's birthday. it was a fantastic dining experience. We immediately were seated upstairs with a nice view of the outdoors. We went early, when it first opens at 1700 so it was nice and quiet. The service was amazing. The waiters were attentive to our needs. We started with the crab cake which was phenomenal.  We ordered the porterhouse for two with mac and cheese and cream of spinach on the side. Everything was so delicious and tasty. That must have been the best cream of spinach ever. I wish I could take that to go and eat it at home. The porterhouse steak was so delicious and juicy. Then they had ended up giving us complimentary dessert and a photo of us that we can take home. It was one of the most pleasant experiences I have had and would definitely recommend coming back here.",0,0,0,Irene G.,"New Hyde Park, NY",24,202,158
5.0,4/23/2019,Nice restaurant. Service was A plus. We had porterhouse and it was one of the best steaks you could find in NYC.,0,0,0,Fay L.,"Newark, NJ",2,9,36
3.0,4/21/2019,"We came here on a birthday trip to NY and this was our last big meal the night before we left. We were super excited. We got there early and the staff seated us prior to our reservation time which was nice. The tables are a little tight so there isn't much privacy but the ambiance is great. We ordered two ribeye steaks with Mac n cheese hash potatoes and creamed spinach and a couple of drinks. Our server was terrible. The water wasn't refilled, we waited approx 30 minutes for food and he was nowhere to be found throughout the meal. The two couples that ordered their meals before us didn't receive it while we were there and another couple waited 25 minutes after they had paid for someone to return with their boxed dessert. All in all when you spend this kind of money you expect a good experience and I wouldn't say this was it.",0,0,0,Andrea W.,"Downtown, Atlanta, GA",4,23,33
5.0,4/20/2019,"Best mest I've had outside Argentina. Outstanding service, the meal was to die for and you felt like a part of their family. Will def come back! Please please please do yourself a favor and go there.",0,0,0,Sophie L.,"Munich, Germany",1,10,2
5.0,4/19/2019,"Club A was recommended by a trusted friend who said it was one of the best steaks she had eaten in a while.  Her recommendation did not disappoint.  The sizes of the steaks could possibly intimidate you and make you want to choose the petite filet...but don't do it.  Go all in for the bone in ribeye.  So much flavor and cooked to perfection (even though I cook mine more than the average steak lover...medium).  I thoroughly enjoyed it and it appeared I ate the whole thing, as my husband kept taking bites (knowing I couldn't finish it) and even though his fav is rare (he liked mine more than his double eagle).  We had macaroni and cheese and charred broccoli as sides.  Both wonderful.  To start, complimentary mushroom ravioli (yummy, strong, fragrant mushroom).  Also complimentary dessert trio.  Felt wine prices were reasonable and good selection.  And the staff were pleasant and the service was very good.  Overall, truly enjoyable dinner.  I second the recommendation.",0,0,0,Ramsey J.,"Houston, TX",1,75,23
4.0,4/13/2019,Visiting New York for my girlfriends birthday and decided this would be the place for her birthday dinner. Had a reservation at 8:45 didn't get seated until about 9:10. While we waited I ordered one of their signature drinks but I can't remember the name. Once seated the service was excellent. We got our drinks and rather quickly. We ordered the Jasmine and a margarita. Both were great and had a nice strong punch. The bread came next. The appetizer we ordered was a crab cake. My girlfriend loved hers. Next we received a complimentary ravioli appetizer which I assume was due to the wait. Btw it was delicious. Finally the steak arrived with the sides which were asparagus and Mac & cheese. We ordered both ordered the filet mignon medium rare and we shared the sides. The steak was excellent and the sides were good. After we ate we were offered a complimentary dessert. The vibe and atmosphere was great with a beautiful red color through out. Would definitely recommend it.,1,0,0,Trystan W.,"Philadelphia, PA",0,1,3
5.0,4/13/2019,"Just a great dining experience!First of all, live jazz, and those dudes were lighting it up.Food was fantastic, steak cooked perfectly, sides amazing. Everything was tasty without being super heavy. Something that really stood out to me: sometimes steakhouses are snobby that's really offputting. The service here was exemplary, classy and super friendly and attentive. Loved it!",1,0,0,Jacob L.,"Tenafly, NJ",10,83,39
5.0,4/12/2019,"This is my favorite steakhouse in New York City! My wife and I ordered Club A Bacon,house salad and Prime Double Eagle Strip  Bone In Steak 28oz,so beautiful! So awesome! So amazing!Love this place!",0,0,0,Fang T.,"West Hollywood, CA",17,7,27
4.0,4/11/2019,"The Decor was beautiful, it's a small place but cozy & nice playlist. Entire meal was delicious. Service great & friendly atmosphere.  It was my hubby's birthday & they made him feel special. Thanks",0,0,0,Tee L.,"Brooklyn, NY",0,9,0
5.0,4/9/2019,"One of the best steakhouses in NYC. The food, decor, service are as good as you get. The owner is also very nice and accommodating. apart from being high quality delicious food, it is reasonably priced compared to its other counterparts. Have been a few times and will continue to. Cheers club A!",0,0,0,Aahad K.,"West Hollywood, Los Angeles, CA",22,10,6
5.0,4/5/2019,Bruno Selimaj and our server Mario provided my party of 8 with truly amazing service. The food was delicious and some of the best I've ever had! The calamari and mushrooms the mac&cheese was perfect as well as the complementary ravioli they let us try. They made us feel like Queens and we really appreciated it!,0,0,0,Valerie B.,"Salt Lake City, UT",282,3,2
1.0,4/4/2019,"Would give 0 stars if I could. This place clearly focuses on ""certain"" customers. I'll let you decide what that means. Completely ignored and stood up for my bill and they acted stupid. Oh and the food wasn't that great in my opinion. Maybe I'll go to AppleBees instead next time.",0,0,0,Nisar A.,"Sacramento, CA",0,13,1
2.0,3/31/2019,"I would have given this place five stars prior to this visit. My then-fiance and I had come here probably half a dozen times in the past three years for special occasions such as job promotion, Valentine's day and New Year's Eve and we loved it every single time. Granted, we were dressed very formally previously. Tonight we were feeling spontaneous and wanted some good steak so we figured we were just gonna stop by and get dinner. The service was horrible. The waiter seemed absentminded the whole time he was interacting with us. He first asked my order twice bc for some reason when I said it the first time, he wasn't even listening. He then left us sitting for a good ten minutes without bringing any bread. A server from another table had to come clean our plates for him and we had to ASK FOR bread. While we were being ignored and left hanging, I saw him doting over the table across from ours, servicing the side dishes on each person' plate. And no, he didn't do the same for us when our side dish came. An old white guy who looked like either the owner or the manager was walking around the restaurant greeting some tables and even taking photos and printing photos out for certain people, but we didn't get the same attention, I guess we either look not white enough or rich enough for his attention. He walked past our unattended table three times, pretending that he didn't see us--now no wonder the server felt like he could also walk past our table and pretend we weren't there. The quality of the free dessert after the meal has also deteriorated quite a lot, but since it was free, I have no right to complain. We waited about 10-15 minutes after both of us finished the dessert--I mean it was beyond obvious we were finished with the meal, folks down, napkins folded on the table, no one came to clean the plates or ask if we needed anything else. In the end we had to flag a random server to ask for the check. If this place wants to treat people differently based on whatever prejudice the servers/owners have, it better start charging people differently. I'm not paying the same amount of money as the table next to me to be ignored. Shame on you, Club A.",3,0,0,Angelina L.,"Brooklyn, NY",2,65,23
2.0,3/31/2019,"A very flavorful steak however the slogan on the back of their menu does not fit their restaurant staff or prices. The waiter who seemed to have a Russian accent, was curt and my wife and I both felt as though we weren't treated as normal costumers because we weren't dressed as formal as other guests. I asked the waiter what the size difference between a 10oz & 16oz filet was for my wife and he gave us and answer as if we were bothering him or unintelligent. I've been to restaurants before with far better food and cheaper prices and they usually will show you the size etc of a filet or how they usually are presented if you ask. Normal costumer service. This guy seemed to not want to be bothered & we felt rushed when we ordered as if he thought we weren't going to spend a lot of money when we also ordered an appetizer.The live jazz music gave a nice ambiance but was distorting the speakers upstairs extremely bad. The bone in ribeye I had was tough, nice flavor but I've had better for less money. Definitely NOT worth $58 unfortunately. Disappointed costumers.",0,0,0,David G.,"Las Vegas, NV",0,13,5
5.0,3/29/2019,"We were trying to find a nice steakhouse with a warm atmosphere, cozy but also high quality and having great food. When you try to combine all these, it is very difficult to have all at the same time regardless of the cost of the meal. So we picked Club A among all the others in Midtown and Central Park area with the help of the reviews and photos.The moment we entered the place we got the feeling that it is what we've been looking for. A live jazz trio welcomes you in this cozy place with high quality, beautiful ambiance, dimmed environment with red walls giving the impression of a high calibre jazz club.When it comes to the service and the food, I totally agree with the positive reviews. We ordered Prime Rib Eye bone in and Prime Double Eagle Skirt bone in. Both were amazing. The meat was so tasty and cooked to perfection. The sides were delicious too and the complementary Ravioli was so good.Last but least, the friendly, high quality service complemented the full pleasure of having such a great experience. Thanks to our waiter Nick.I'll definitely come back as Club A became my favorite steakhouse in Manhattan. 100% recommended.",0,0,0,Ahmet E.,"Manhattan, NY",0,7,1
5.0,3/28/2019,"Excellent staff and even better food! The porter house steak melts in your mouth! Calamari was big and fresh. Lobster bisque was delicious. Baked Salmon tickled the tastebuds. And then they hooked us up with a dessert sampler of cheese cake, tiramisu, and cream puffs for my birthday. Can't say enough good things about Club A!",0,0,0,Shannon B.,"Las Vegas, NV",0,3,4
5.0,3/26/2019,"One of the best steakhouse in the UES that I've visited! I went with three other people and all our meats was cooked to perfection as requested. The filet mignon is to die for. I'd say the oz of steak ordered does not disappoint. The spinach and mash potatoes were delicious! The atmosphere is very nice to have dinner with friends, not too loud that you can't hear each other. The staff was very friendly and attentive. The prices aren't too bad and the quality is great! I'd visit this place again for sure!",0,0,0,Moon C.,"South Ozone Park, NY",21,27,7
5.0,3/21/2019,"My husband and I came here for our first dinner in New York City. We just got married and the staff and owner made sure to give us extra attention. We loved their motto, atmosphere, and most of all food! We both got the filet and it was cooked exactly how we asked. They even took our photo, printed it, and gave us a card. We would highly recommend and will come back again!",0,0,0,Sarah N.,"Orlando, FL",5,2,0
5.0,3/21/2019,"Late review, but had to share how great of a place Club A is.  We were in New York on a small family trip just before New Year's Eve.  My fiancée found Club A online and made reservations.  We had a group of four and were sat on time on the second floor.  The ambiance was wonderful and cozy.  Our food was outstanding: the steaks were cooked perfectly and the sides were fantastic.  I love frites with my steak, but we also had asparagus which was downright tasty.  The best part of the experience, however, was the staff.  Mario, our server, was a gem.  Friendly, attentive, and on the ball.  We had the pleasure to meet Bruno and one of his sons and they genuinely cared about our experience as guests.  We will be back next time we are in the city.",0,0,0,Alex P.,"Winston-Salem, NC",362,11,0
1.0,3/19/2019,"Food is good. But don't go there if you are not white, because you are not really welcomed there. The owner walked by me and my friend 4 times to check on 3 other neighbor tables who were all white, but never laid his eye on us. Also, my main course wasn't served until my neighbors dessert start to come, and we came in about the same time.",2,0,0,Wei S.,"Manhasset, NY",0,1,0
