rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,5/1/2019,"Agonizingly slow service! Came here for lunch and stressed about making it back to the office for a meeting. Food was good, though.",0,0,0,Rita J.,"Brooklyn, NY",8,11,0
2.0,4/15/2019,"My office was across the street from Anassa for several years so I would occasionally come by for after work drinks / dinner. The one bartender they had on evenings - I believe his name was Bijan - was great. Friendly, great drinks. The food was good. Fast forward a few years to now - I go to Anassa once every few months and unfortunately it's gone way downhill. On my last visit the food was somewhere between so-so to not good. The crowd seems to be mostly tourists now. But it's the staff that really bring this place down, who vary from indifferent to hostile. Last year I had the most awkward experience sitting across the bar from the bartender while she was arguing with a guy that I assume she was dating, while she ignored me for 20 minutes, until I left without being served. On a visit two months later it took 4 requests to receive bread, 5 requests to get water, and our appetizers never showed. Took 30 minutes to get a check. This weekend after patiently waiting for our ""reservation"", and asking what was happening and receiving a blank look from the hostess (who was furiously text messaging the entire time), she then informed us that they had just given our table to a walk-in 5 min ago. She then said there was nothing she could do and walked off. WTF lol? I really want to like this place, but realistically there are much better options in the neighborhood.",0,0,0,Dan T.,"Manhattan, New York, NY",0,10,0
3.0,4/14/2019,"We took mom to have a nice afternoon lunch. We loved the appetizers and also hummus was really good. We really liked the taste of our entrees. I got Salmon, they got swordfish steak which was very delicious! What I didn't like was the service, I am not sure why they were in such hurry all the time even though the restaurant wasn't that crowded. We got clean utensils and then the other waitress got back the dirty plates and also the clean ones. We had to catch the staff to ask for food or drink all the time. We wanted no sugar greek coffee but was served very sugary and sweet one so we sent it back. It was mom's birthday they even forgot the candles and everything. Which was weird. I usually go there but never seen this much bad service before. Other than that nice atmosphere, good food. I hope they fix the service.",0,0,0,Gizem V.,"Manhattan, New York, NY",0,2,0
5.0,4/6/2019,"Luv it, great, simple straightforward Greek food w generous portions and fair prices.A great place to stop by after shopping at Bloomingdales!",0,0,0,Mimi L.,"New York, NY",0,27,7
1.0,4/5/2019,"Really good food absolutely shit service. Waited 45 mins for food, no apology nothing. Rude.",0,0,0,Anna W.,"Los Angeles, CA",0,2,0
5.0,4/4/2019,Was just in patch that they had a fire. Hope everyone is ok and not too much damage. So sorry.,0,0,0,Christine F.,"New York, NY",43,7,0
1.0,3/15/2019,"Went to this restaurant and left and immediately had terrible food posing was never in so much pain or so sick from eating out ever in my life.I would not recommend  this place to anyone after this.I had the market fish, octopus and calamari. Both my husband and I got sick. Horrible experience",1,0,0,Jill G.,"Manhattan, NY",0,3,0
4.0,3/6/2019,"I've visited several times and the food is really flavorful. The restaurant decor is really nice and the place is great for a date night, happy hour with friends or if you want a business lunch. I would recommend to ask to be seated upstairs if you want to talk privately. It is less crowded and in my experience you get better service upstairs. As for the food I've got the beef burger that comes with oregano fries it was very tasty. My go to when I come here is the Greek salad and I add chicken it's delicious. The chicken is very well seasoned and the dressing is really good. My coworker usually has the prix fixe lunch menu which includes a choice of appetizer, entree and dessert for $27.95. The appetizer choices include soup of the day, classic Greek salad, Mediterranean spreads and grilled octopus/sashimi. As for an entree you can choose from Bifteki, fish, chicken brochette, pasta and lamb chops -- for desert they have sorbet or walnut cake. Personally, I think the prix fixe menu is a great deal but for lunch it may be too much food. If you plan on coming for dinner make a reservation I noticed they have happy hour and it always seems to be crowded.",0,0,0,Eli P.,"New York, NY",13,62,51
2.0,3/5/2019,"Nothing special.Since the move into the neighborhood, i have been looking for a resturant to call my ""go-to"". Came here for lunch on a monday. Not too packed, but busy. Had lobster ravioli and the salmon. Didn't taste that good. The appetizer with the dips were definitely tastier. Service was sparse. But the decor and ambiance is nice. Maybe that's why my bill was $65 for two.",0,0,0,Sherry H.,"Brooklyn, NY",0,5,1
4.0,2/18/2019,"Energetic atmosphere, nice service, and excellent food. We tried the octopus, fried calamari, and meatballs for apps. They were all excellent. For entrees, we had the lobster spaghetti, the orzo with seafood, mousakka, and sea bass. All were excellent. Wine list was pricy and the food overall was also the pricy side. However, if you're in the mood for Greek food, this place will not disappoint.",0,0,0,Tony M.,"Union, NJ",32,290,105
