rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/29/2019,"How have I never been here before? This place has everything: delicious food with a broadly appealing menu, a quieter back room for conversations where you can hear each other, and even a staircase leading up to the Cricket Club speakeasy. Not to knock the UWS dining scene but this place would be more at home somewhere like maybe the West Village or Chelsea. Definitely want to come back again. We started off with the crab beignets. Having only tried the sweet version, it took awhile for the flavor to grow on me but you can't ever go wrong with deep-fried dough with flecks of crab meat. I love a place that has a ton of vegetable sides and appetizers: it basically lets me concoct my own spread. I went with the grilled asparagus, roasted beets and the leafy greens. Plus Brussels sprouts to share. Of the four sources of roughage, I could have done without the leafy greens - the herbs got to be a bit too much. But I loved the other three, especially the grilled asparagus, which I could have eaten a few more plates of. My cousins' rigatoni and gnocchi were also tasty. Dessert: The most surprising was the pavlova. I tend to gravitate towards the heavier desserts, like the sticky toffee bread pudding. Pretty sinful but absolutely worth it. I kept on licking the spoon to get every drop of sauce. Also look up ""Burke & Wills expedition."" It's a true story, with a pretty unfortunate ending.",4,0,3,Joy G.,"New York, NY",1203,824,173
5.0,4/23/2019,"GREAT BRUNCH PLACE! The elk burger was sooo tasty and it comes with a fried egg. So close to the train stop which is a bonus! The stealing area for brunch was nice, almost like a decked out glass gardening area. The portions are decently sized and will be filling. The Berger alone will cost you about $25. The mimosa are a great pairing, would go back again for brunch!",0,0,1,Juliana J.,"New York, NY",262,75,43
5.0,4/13/2019,Love Burke & Wills! A very unique place with great food and incredible cocktails!,0,0,0,Justin D.,"Manhattan, NY",78,23,20
4.0,4/10/2019,"Review for happy hour only! Small, narrow bar but didn't take away from the happy hour! 2 for 1 drinks 4-8 PER PERSON! So you can't order 2 drinks and share with a friend or date. They are very emphatic that you buy for yourself and don't share. It used to be dollar oysters but now it's half price oysters. So not nearly as good a deal as many places have dollar oysters. Some of the oysters were 4$/each really not that great of a deal even for happy hour. Ordered some other apps including the Brussels sprouts, rice balls, and crab appetizer. Brussels sprouts were good... The other stuff was very fried and only fair. Anyway still a good bar and a good happy hour",0,0,0,Dave G.,"New York, NY",68,251,0
5.0,3/29/2019,"Definitely the best bar/restaurant in the UWS. Fantastic cocktails, sexy Ambiance, and the bar snacks are solid (haven't eaten dinner there yet but will soon!).",0,0,0,Kimberly P.,"Chelsea, Manhattan, NY",0,6,1
1.0,3/9/2019,"Do not go here if you are a woman by yourself or with just a few woman. They will not protect you or stand up for you when you are harassed.Tonight I went for happy hour and was told it was two for one, I didn't understand that meant just for one person drinking, nevertheless I got my bill and it was for two drinks. So I paid for both with a large bill, they gave me my change in all 1s and I said ""can you please change this you're making me feel like a stripper"" another guy said ""you are."" (Wtf that's a dumb one) then another guy asked ""is that your biggest concern?""They gave me bigger bills and I left, and immediately realized I'd forgotten to tip and came back to tip. When I did another patron said I was a bad tipper and a ""classless cu*t"" and told me to leave. I was so angry and was trying to leave. He called me a ""cu*t"" several more times before I left. I looked to the host and said ""seriously you're going to say nothing?!?""So ladies don't expect this place to stick up for you or apologize because they're just as big of dicks as their patrons",0,1,0,Gabbie F.,"New York, NY",747,5,4
5.0,3/7/2019,Excellent cocktails and food. Great service. Friendly staff. Their pasta options are great!,0,0,0,S I.,"Shaker Heights, OH",1,114,0
5.0,2/10/2019,"Went there on a Friday night. It was super packed, but service was impeccable. Very attentive, courteous staff. Drink were great and food was excellent. The dining room is in the back, a bit small but has a speakeasy feel to it. We are lucky to have this place on the upper west side!",0,0,0,Mark S.,"Manhattan, NY",45,13,0
5.0,2/9/2019,"Great experience. Came here for restaurant week and was not disappointed.  The gal and I split a salad, as well as the steak and rigatoni for dinner.  All were fantastic.  We did the wine pairings and I think that was worth it.  Pro tip:  Their dry, white, house wine is awesome and cheap!",0,0,0,Andrew J.,"Manhattan, NY",1,21,0
4.0,2/3/2019,"For restaurant week I came here for dinner with three friends. This restaurant is a good go to spot to take a group of people because their menu is the same for restaurant week. Service was ok but efficient. The glass of water I had had a lipstick stain on it so I got a new glass, server was not happy. Our server was knowledgeable but appeared annoyed due to asking a lot of questions, but came around after I ordered a mocktail and glass of Pinoy Gris. So for food, I ordered a mocktail: Paul Hogan, which was good and refreshing. For my three course meal, I ordered the roasted beet salad. The salad was definitely colorful just as our server described and it was tasty and refreshing. Next I ordered the barramundi which was both popular and highly recommended by our server.  The dish was roasted perfectly crispy and mixed with vegetables it had a great balance of flavors. The dish compliment well with the Pinor Gris from Australia. Finally for the dessert I had to have the bread pudding which was so good and a perfect end to this dessert.  I would return to have brunch because the back area of the restaurant had a awesome sunroof.",0,0,0,Chris P.,"ELMHURST, NY",91,53,182
5.0,1/31/2019,"I went here for the first time tonight for Restaurant Week, and was not disappointed. There was nothing I disliked about this place. I felt well cared for the minute I stepped in. The hostess is gracious (and the complimentary coat check is great!). The mood warm--it is a super inviting place w a slightly rustic feel, dim lighting. The small dining room roof is a skylight, and the intimate mood continues. Service was ace. Their Restaurant Week (RW) menu is basically their dinner menu! And their non-RW items are reasonable for a restaurant of this level. We started w some drinks: I had the Better Come Home (or something like that: vodka, Thai basil, lemon, rhubarb bitters) and my partner had a stout. My drink was well-made n delish; the stout was smooth n chocolately. I ordered the stracciatella toast (mmmm w lemon and sprouts), barramundi and toffee bread pudding. We shared some non-RW week oysters and truffle polenta. My partner got the kangaroo burger which was simple (the meat is the star) and delicious. This place is fancy but not fussy, which is fitting for an Australian restaurant: beautiful and understated.",1,1,1,Clarissa S.,"Brooklyn, NY",34,20,7
5.0,1/30/2019,"The best dollar oysters on the UWS. Cocktails are very well priced during HH, 2 for 1 are a steal. And you can mix and match the cocktails if you want to try different things. Ambiance is laid back and staff are very friendly.",0,0,0,Phong L.,"New York, NY",6,16,0
4.0,1/30/2019,"While searching for restaurant week spots I came across this restaurant and figured I'd try it out. I hadn't had Australian oriented cuisine since I was last in Melbourne. As with most other restaurants participating in restaurant week, the pre-fix course was 42$. With wine pairing it was $69 or roughly 9$ a glass. I had the parsnip soup as an appetizer, lamb ragu as my main, and the brownie ice cream with espresso as my dessert. Food quality and proportions were good. If I had to return I'd probably try something a little more uncommon such as the kangaroo burger. The wine pairings were great, but the dessert wine was a little too sweet for my taste, especially pairing with the ice cream. Our server was knowledgeable. Overall a good pick for restaurant week if you are in the area.",3,1,3,Nickey L.,"Brooklyn, NY",286,100,168
5.0,1/28/2019,Atmosphere and service were great for Sunday brunch. I enjoyed the wild mushroom omlette with a bloody mary. Priced surprisingly reasonably.,0,0,0,Brett K.,"Tampa, FL",0,21,0
5.0,1/24/2019,"Burke & Wills is one of my favorite Australian Bistros on the Upper West Side. It's a combination of formal dining elegance & casual happy hour appetizers & drinks bar service. My favorite time is between 4-8 PM where cocktails are 2 for one & the oysters flow at a discount. You can choose from Bluepoint, Beau Soleil & Capitals on ice with quartered lemons & light spicy sauce or combine all 3 in one chilled platter by the 1/2 doz. to several doz. The service is quick, the staff is upbeat & friendly. The appetizers & entrees are creative & delicious. You can eat your entrees in the formal dining room or at the bar. The ambience is traditional, dark & dim lit but inviting & comfortable. The music ranges 70's to the present, R&B, Club, Rick, Pop. The one thing I will miss immensely is the happy hour DJ. She played some incredible club music in a faux record lined DJ booth. The booth has since been removed & the bar extended. There's also an upstairs dining room in this townhouse building. This Bistro is definitely worth checking out.",1,0,0,Yvette G.,"Bronx, Bronx, NY",1,16,465
