rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,5/1/2019,It's an industrial restaurant. Burger overcooked. Good steak frites Créeme brûlée COLD?Wine list overpriced,0,0,0,Ser Z.,"New York, NY",4,125,2
5.0,4/30/2019,"This place is fantastic! Joel served us at the bar and did a fantastic job breaking down the menu and recommending what to order. I don't normally eat red meat, but had a bite of my kind-of friend's steak and it was phenominal. My now-ex girlfriend Sarah (I won't get into it) made me eat a bite (she's so beautiful but personality ugh, she's a fire sign so whatever). I had the chicken, which was also good. Strong drinks. I totally recommend if you're with the right person. 5 stars.",1,0,0,Dejen T.,"New York, NY",12,6,1
5.0,4/30/2019,Joel was the best! Favorite bartender of all time!,0,0,0,Sarah H.,"Manhattan, New York, NY",0,1,0
3.0,4/30/2019,"I feel like I missed out on the amazing experiences that the yelp reviews refer to. I made a reservation for two and was seated upstairs on time, which is much quieter. I was a bit overwhelmed by the noise and how crowded downstairs was and I'm certain my experience would've been worse if I ate downstairs. I came to Boucherie for one thing only: to try their wagyu burger with a friend. We ordered the Caesar salad to start off which arrived at the same time as the complimentary bread basket. The bread basket was really good and I like that it came with olives, sun dried tomatoes and sweet onions. The Caesar salad was just ok, the subtle anchovy hint differentiated it from regular Caesar salads. Immediately after we finished the salad we got the wagyu burger with the truffle on the side and some fries. The wagyu burger was incredibly disappointing. When we ordered we were advised to get it medium ( which in France is more medium rare) but this was true medium. The burger lacked sweetness and the meat did not taste like wagyu. The truffle chip shavings on the side tasted like candle wax which made me question the whole meal. It had no taste of truffle whatsoever. The burger itself was $44 which was not worth it at all. I did notice most of the diners were French or Italian tourists for whatever that's worth.",2,0,1,Achiaa P.,"New York, NY",227,171,664
5.0,4/30/2019,"Went here for a very special dinner on a Saturday night and it was wonderful! We started with some tasty cocktails and escargot - A MUST especially if you love garlic and butter (but who doesn't?!) and you can dip the warm bread they give you on the side. I ordered the steak frites, medium rare - on the side is a peppercorn cream sauce for you to pour on top of it - delicious! He ordered the beef bourguignon which was also delicious, I kept dipping my steak in his sauce haha. For dessert we had the profiteroles - definitely get those!This is such a romantic place or even a great hangout spot with friends for brunch. I recommend sitting outside of the weather is nice! Plants everywhere the air smells fresher haha. We came here relatively early around 5:3 as we were going to a broadway show after. Wonderful experience.",0,0,0,Sheena K.,"New York, NY",331,106,133
5.0,4/29/2019,"My 4th time here and still as superb as the first visit. This time I got the dry aged porterhouse and it was melt-in-your-mouth tender (the filet was my favorite). For apps, we got the octopus and the steak tartare. The octopus was a bit over cooked but had great flavor. The tartare was delicious! I give service 5 stars on its own. Thanks to our wonderful server, Leo! Will definitely be back a 5th time!",0,0,0,Katrina A.,"Flushing, NY",1,1,1
5.0,4/29/2019,"Best of the best!  And cute waiter too Oh and food was wonderful as well Porterhouse was DELICIOUS.Grilled octopus, although a little over cooked, it was still packed with flavor!And the beef tartar, you just cannot go wrong",1,0,0,Dana P.,"New York, NY",63,3,7
5.0,4/28/2019,"We stumbled upon this gem on our recent trip to NYC and we enjoyed our lunch so much that we went back the following evening for dinner. Wonderful atmosphere, delightful staff, and both the food and cocktail menus were impressive. The classic French fare was all perfectly prepared with rich and bold flavors that left us wishing we could have gone 10 more times and tried everything on the menu. The cocktail menu provided a unique twist on classic favorites that added subtle notes to their complexity rather than destroying their natural appeal which is so often the case when bars veer from the tried and true recipes. All around, fantastic experience. We can't wait to go back!",0,0,0,Allie R.,"Austin, TX",152,4,5
4.0,4/27/2019,"con- waiter didnt blow me away with his listening skillspro- cocktails, duck, latte &fries hit the spot.abt to go eco friendly via straws I'm told by management (April 2019)",1,1,1,Scarlett M.,"Manhattan, NY",153,104,3
1.0,4/27/2019,"If I could give zero I would. Service was....well, I can't rate the service because there was none. Sat at our table for 30 mins without a single waiter. People at the next table had to get the hostess to get their waiter to pay their check, but I didn't see someone come the whole time we were there. Get some attentive staff! The restaurant was half-full on a Saturday night and you can't even handle that! Poor excuse for a restaurant.",0,0,0,Z C.,"New York, NY",0,11,6
5.0,4/25/2019,"We were lucky to score a last-minute reservation at Boucherie during the holidays! It's a fancy spot in the West Village that looked truly magical with the lights. Even though it was packed, we were lucky again to get a seat right by the Christmas tree - such a great experience. Ambiance 10/5: I really felt the holiday spirit. The restaurant is absolutely beautiful, and I would probably even have enjoyed it if the food sucked. Except it didn't, which makes the place even more amazing.Service 4/5: Quite fast and attentive, nothing too special.Food 5/5: Maybe I was very hungry, but I found everything to be very yummy! It was a particularly freezing day (at least for someone living in California), so I was creating something on the heartier (and carbier side). I got the linguini, and my friends got a risotto and a salmon. I've had a lot of fantastic pasta in my life, and theirs was definitely on par. Dessert 5/5: We shares creme brûlée and profiteroles. The former is one of my to-go desserts, so I found it to be pretty good but not mind-blowing. The profiteroles, however, were quite new to me, and I LOVED the abundance of cream.",2,0,3,Margarita F.,"Berkeley, CA",333,91,481
5.0,4/25/2019,"The restaurant is beautiful, good environment and music. The food was delicious specially the steak. I really like the special prices for lunch time. The waiter Darko was very friendly and professional!!",0,0,0,Laura Q.,"Manhattan, New York, NY",35,1,0
5.0,4/25/2019,"Such a great lunch environment and amazing food. Really good lunch options. Probably one of best french fries I've had. The stake was very juicy and tasty. The service of the restaurant was kind and really good, thank you to Darko for helping us celebrate my friend's birthday.",0,0,0,Paola M.,"Atlanta, GA",198,2,2
5.0,4/25/2019,"I went to Boucherie for my birthday lunch and it was truly an amazing experience. The food was so delicious. I ordered the Steak Frites and my friend ordered the burger, which was very tasty. The atmosphere is delightful, very pretty and lots of light. I would highly recommend this place. The service was also great and out waiter Darko was very friendly and professional.",0,0,0,Ayate T.,"Manhattan, New York, NY",72,20,23
5.0,4/25/2019,"- Amazing food, great ambiance and an even better server (always ask for Darko)! The steak was cooked to perfection. Highly recommend it.",0,0,0,Mehek Y.,"Manhattan, New York, NY",33,2,0
5.0,4/24/2019,"My friend and I came here looking for a classy and delicious Easter brunch, and that's exactly what we got. We made a reservation for 1pm a few weeks in advance, and the place was pretty packed so highly recommend. Even on regular days, whenever I walk by this place is always buzzing.It's actually a lot bigger than I expected with multiple floors, which added to the already cute ambience. The side of the restaurant was also opened up which is great for a warm sunny day. We were seated promptly and the waitress was very attentive. We had some lattes which were good to start. The bread basket was OK - the butter was a little cold and when we asked for more, we never got any, but whatever it's just bread and butter.For our entrees, my friend went with the eggs benedict, and I splurged on the famous truffle burger. The burger was DELICIOUS. So juicy and flavorful. And a large entree really - I had to take some of it home because I didn't want to waste my money or the truffle. There were so many things on the menu that looked delicious, so I really would love to come back for dinner.Overall, very satisfied with the food and menu options. Can't wait to return!",1,0,0,Natalie K.,"New York, NY",106,67,2
