rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/30/2019,"Great sushi place and very fresh. The service was great and the menu has a lot of different options! Perfect for a date night or get together with friends, the place was crowded and worth it. Delicious sushi, definitely recommend it!",0,0,0,Gabrielle L.,"CHAMPIONS GT, FL",3,10,74
4.0,4/28/2019,Good atmosphere. Good service. Solid food. Reasonable prices. A good place to go if you're looking for these things in japanese food. Not necessarily a foodie's type japanese experience. I took my family here and my kids (ages 9 & 12) loved it.,0,0,0,Jera M.,"Lakewood, CA",0,7,4
2.0,4/27/2019,"I was super conflicted writing this review but My experience here was filled with mixed emotions. A friend and I got the Pulsd deal coming here and was super excited. I called ahead to make sure that we had a reservation and that we could sit in the restaurant with the ticket. When we checked in to sit I mentioned again to the host, who we later found out was the manager, that I had the Pulsd ticket. After we were seated I mentioned to the waitress that we hah this deal if it was a different menu. She then sent over the same manager that sat us and told us we had to get up and move to the bar/lounge. It was so embarrassing everyone around us was staring at us while this happened. I tried to explain that I called ahead and someone from their team assured me that we could sit in the restaurant with this and that we would have gone somewhere else if we had to sit in the bar area. It was rough.After we got seated in the bar area, the rest of the time was amazing. The food was great, phenomenal even. We had a few different tapas, a bottle of wine and dessert. The sushi was super fresh, and the cooked apps we had were hot crispy. The best thing we had the whole night was the fried cheesecake, it was insanely good. Our waitress was even super friendly and helpful by suggesting some good options. So over all. Service from management sucked but food was great.",0,0,0,Amanda D.,"New York, NY",103,56,91
4.0,4/19/2019,"Interesting rolls, authentic Japanese food options as well as fusion, good service, fresh fish, and a great location if you are near Times Square.",0,0,0,Mika B.,"Minneapolis, MN",128,169,492
5.0,4/7/2019,Amazing restaurant in the theater district.  Efficient and catered to my allergies!  Made New York wonderful!,0,0,0,Sabrina R.,"Central, Denver, CO",54,1,0
5.0,4/5/2019,"Natsumi is excellent and a wonderful place to eat for any occasion. The staff is always friendly and helpful, and the environment is comfortable and fun. The food is high quality and delicious! We love coming here after a long week to unwind with some of our favorite dishes. This is a neighborhood gem that is equal to or better than many trendy downtown restaurants. Top of our list!",0,0,0,Gayle G.,"New York, NY",0,1,0
4.0,3/27/2019,"Natsumi was next to our hotel so we liked the convenience, Looked up the reviews, and went there. We made a 5 o'clock reservation and were seated immediately by the window which was really nice. Martinis were good. We had the dumplings for a starter and they were delicious, also sushi which was yummy. Our entrées were the chicken teriyaki and steak teriyaki. The steak teriyaki was OK, the chicken teriyaki was better. We also ordered dessert - the fried cheesecake and chocolate cake, which of course we loved. How can you go wrong with that? The only complaint is that the staff seemed to hover near us and I believe it was because there was a cash register near us or supplies or something and being so small it seemed like maybe they were a little quick to get us on our way. Otherwise, great place.",0,0,0,L G.,"Land O Lakes, FL",0,1,0
5.0,3/17/2019,"So delicious and reasonably priced. Edamame dumpling soup is very comforting, sushi is fresh and interesting. Will definitely be back!",0,0,0,Sarah L.,"Long Beach, CA",1,93,2
1.0,3/16/2019,"So far, not good. Came to meet a friend for dinner, we had a reservation. I tell the woman at the tiny cramped space at the front that I have a reservation and she just waves her hand and mumbles something. Then 5-10 minutes later she tells me I have to wait in the right space for my friend at the door. I ask if I can be seated and she says no, it's our policy. What if I were one person coming for dinner - they wouldn't let me sit down and eat? Really? Anyway - she then says I can sit by the bar, in the area next door. That was an adventure! I sit down at the bar and the bartender gets me a glass of Mu. I asked him ""how long does sake last in the fridge"" he proceeds to tell me he opened it yesterday. I ask again, BC I'm curious to know how long an opened bottle of sake lasts in the fridge. I then say ""If I open a bottle of sake and put it in the fridge, how long would it last?"" He tells me ""now you're being facetious and condescending"". INSANE !!!",1,1,0,Karen M.,"New York, NY",38,177,185
3.0,3/11/2019,The online ordering service was great - easy and ready when i got there. My only issue was that the dumplings seemed to have soapy dishwater in the container. So that was a bummer. Rolls were great and fresh. Seaweed salad was a little weird but still tasty. So other than the soapy dumplings - pretty good. I'd probably give it another try.,0,0,0,Pam T.,"Plymouth, MA",0,1,0
5.0,3/9/2019,With my son Max. He gives a 4*. I give 5*. We did not agree but both had a terrific dinner for two. The chef special. Near a C-note well spent.,0,0,0,Aldo G.,"Boston, MA",1,8,1
5.0,3/6/2019,Everything was fantastic. Miso cod is a must. The tempura perfectly light. Nigiri and sashimi were fresh. Also must have the Rock Shrimp Tempura. Our server made a very good and reasonable sake suggestion.,1,0,0,Zhuo Cai W.,"Manhattan, NY",0,2,0
4.0,3/4/2019,"We are vegan and lived that there were several vegan options. The Zen Roll was delicious and hands down the best roll on the menu, so creamy! The garden vegetable roll was amazing as well.  Lost one star to the Agedashi Tofu - they use a soft silky tofu which falls apart and the agedashi was a gooey gross mess.",1,0,0,Manuela R.,"Castro Valley, CA",25,39,1
5.0,3/2/2019,"It's our first time here, great location, just a few blocks away from our show. Really fast service, friendly staffs. Highly recommended.",0,0,0,Lin B.,"Queens, Queens, NY",1,1,2
5.0,3/2/2019,"Food and service is always consistent, a wonderful and reliable pre-theatre destination. Sushi is always fresh and their beef tataki is so good! Try the restaurant for pre-theatre and the bar/lounge area for post-theatre cocktails... you might even catch Broadway stars having their post-show drinks themselves!",2,0,0,Tye M.,"Manhattan, NY",119,7,0
5.0,3/1/2019,"Love this place! Excellent quality of sashimi, food and drinks  . Zau is the best smart server at Natsumi. Very attentive. Everyone was extremely kind. Definitely recommend making reservation so that you won't have to wait to be seated..",0,0,0,Sut M.,"New York, NY",82,1,0
5.0,3/1/2019,"When I'm in the city always come to this place ..... never disappointed so far ..... service excellent, food awesome..... my kids love the cheese cake tempura and the dumpling ...... the sushi fresh and tasty not like any other sushi place ...... happy hour everyday ..... my go sushi place with my fam always",1,0,0,Swasty D.,"Brooklyn, NY",97,3,0
5.0,3/1/2019,Seafood tobanyaki was amazing and sushi was fresh. Chicken and shrimp dumplings was delicious,0,0,0,Thitima C.,"New York, NY",0,5,4
