rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,3/14/2019,"This is very beautiful place to dine at. Love the decor, very stylish and sophisticated. All the choices on the menu are heavenly delicious. Very pleasant and friendly host. Staff is well trained and pays attention to details. Only the best experience at Armani Ristorante.",0,0,0,Laura T.,"Manhattan, New York, NY",0,6,3
3.0,3/10/2019,"3 stars only because the ambience is very nice and upscale, but the food was rather disappointing. The portions were rather small - which is fine - but at this price point, I'm expecting those small portions to be extremely good. For the most part, we were disappointed. My girlfriend had the roast chicken, I would give it a 3.8/10. The menu said the chicken was to be accompanied by a mushroom ragu - by mushroom ragu they meant there would be 2 small pieces of mushroom sprinkled on the plate. It was just such a disappointment. I got a dry aged beef tenderloin, which was much better than her dish. However - they claimed there were accompanying root vegetables and radicchio. There was nothing of the sort, the plate was so unbelievably barren outside of the small portion of beef itself. Again- I was expecting smaller portions, but for the price, I would expect said portions to be much, much better. Would not recommend",0,0,0,Ben D.,"Churchville, PA",1,25,10
5.0,3/8/2019,"What a wonderful restaurant Giorgio Armani has put together for New York City.The ambience is absolutely incredible it's on the third floor and you have a beautiful loft view of their amazing staircase there women's department on the third floor and the iconic fifth Avenue and 56th St.Armani restaurant is located directly across the street from Trump Tower.There are two elevators one to come in through the store and one to come in through the street when I walked in I was taken aback at how beautiful and modern everything was.Everything is in black or white they're beautiful booths and tables across the window so anywhere you said it's an amazing view.The lounge also provides tables and booths if you care to dine there.The food is Northern Italian it's small portions but you get everything that you pay for it's absolutely delicious and works of art visually.If you are visiting New York you must make a reservation and come and dine at this beautiful restaurant with such delicious Italian food.If you are a New Yorker and have not yet been here you are missing something very special!, so make your reservation.They daily have a pasta dish a fish dish a chicken dish a red meat dish,  they also can accommodate Vegans, Vegetarians and people who are gluten-free.They have gorgeous signature drinks of many kinds and a huge variety of wines both red and white.They are open for lunch and dinner every day except Sunday they're open only for brunch.They can also accommodate events and large parties of I believe up to 130 to 150 people.The captains waiters managers and hostesses are all delightful and incredibly professional.",1,0,1,Sunday P.,"Howard Beach, NY",328,401,3629
1.0,2/28/2019,Talk about bad service. I thought I've seen it all. Apparently not. I arrived at the restaurant and asked the hostess if she can retrieve my belongings that I left the night before. She ignores me and instead helps the person behind me because they had a reservation. The hostess then goes to walk the other person to her table just leaving me to wait without a reason why. I am pretty sure I did spend money last night yet I was treated like a homeless person upon entering. No apology was issued for having me wait. She comes back and just hands me my bag that was under the table the entire time (that took less than 5 seconds). Why couldn't I have gotten my  items first before she sat the other person down? Let's just say my company will not be going back with this kind of service. And I'll make sure to let other people in my company know as well.,0,1,0,S W.,"Manhattan, NY",50,44,0
4.0,2/27/2019,"I loved this place.  The interior is sexy and modern.  There's a long bar right when you enter and the rest is like a showroom.  There are interesting areas of seating for four and then from there it is all tables w/ pairs and more along the back.  Food presentation was amazing and interesting on the palette.  The service however, needed work because there two two employees who made our experience disappointing.  The first employee wasn't the best at describing the dinner courses.  The second one misinformed by saying incorrect dinner pricing for that night.  You're dining at Armani for the inventive dishes and the fact that it's Armani though.  Oh and also a memorable night.",3,0,2,Ceylan T.,"Manhattan, NY",168,274,2130
5.0,2/13/2019,"Very stylish restaurant, friendly and caring service, delicious, fine cuisine! We really enjoyed our dinner at this restaurant",0,0,0,Rudi S.,"Munich, Germany",0,59,116
3.0,2/7/2019,"Dear Georgi Armani, you are known as the world-renowned designer who always delivers finest chic fashion. You can never do wrong with your fabulous experience. However food is not your strength. High expectations is an understatement. Perhaps the name is the only signature the restaurant is benefiting from but not the bland food. Restaurant week is always offering very standard food for pre-fix menu but Armani was a disappointment. Even 3 star restaurants can do better than Armani restaurant. The saying is, ""don't judge until now"". Judging that it is time to change management (including the Chef').",0,0,0,Bob F.,"Beverly Hills, CA",0,75,290
5.0,2/6/2019,Wow so delicious and soo good it was worth my every penny. The food is really well balanced in seasoning and texture. Each ingredient had a purpose in the dish. Overall the chef stayed true to their natural taste. Service was remarkable. Ambience was lovely.,0,0,1,Angela P.,"Manhattan, NY",213,43,28
4.0,2/6/2019,"I came here for Restaurant Week after deciding it was one of the better options in the list. I had seen good reviews so I was definitely excited for this meal, and the price seemed like a steal!I made my reservation about 2 weeks in advance, and the place was packed at 8pm on a Tuesday so would recommend a reservation if you definitely want to eat here. The ambience is super trendy and upscale, but could also be intimate for a date. The waiters were also super friendly. They were rather slow when it came to taking drink orders and fulfilling them, but it didn't deter the entire experience.They started us off with a small fennel salad on the house which was tasty. My friend and I both started with the burrata appetizer and WOW. It was incredible. So soft. So creamy. So delicious. And on a bed of zucchini. We ate every bite. It was delicious on top of the bread basket they provide you as well. I wish I could go back and re-eat it honestly. For my main, I went with the pasta dish and it was just average. The flavors were good, but the pasta itself was so-so to me, but I have extremely high expectations for pasta so others may be more pleased. For dessert, we had the panna cotta which I really liked, but my friend wasn't a fan of. It's pretty sweet and juicy, but very flavorful.The drink prices were too high in my opinion. I've been to Michelin star restaurants were glasses were cheaper, so I was thrown off by that. Two glasses of wine cost the same amount of the entire Restaurant Week menu which was definitely a downfall. Overall, was a good experience and glad we tried the special menu!",1,0,0,Natalie K.,"New York, NY",106,67,2
5.0,2/6/2019,Service was impeccable; food was to die for. A full experience all around from the ambiance to the decor and architecture. I highly recommend! Servers are also super cute and make you feel comfortable!,0,0,0,Elicia E.,"Brooklyn, NY",26,14,3
4.0,2/4/2019,It was superbe. Expensive though every cent spent is worth Mouthwatering and cooked to perfection Great service Great view on Fifth Avenue Definitely a place you wouldn't want to miss,0,0,0,Audrey D.,"Cromwell Valley, Baltimore, MD",0,2,0
4.0,1/27/2019,"We visited the Armani Ristorante during Restaurant Week, so we got 3 courses for $26/person. I believe that, giving that this is an elegant and rather upscale restaurant, this is a bargain. The place is classy and modern, the staff is very polite and well-dressed. I checked the drink menu as well, and they offer many cocktails too, as well as wines and coffees/teas, etc. The only thing that was truly annoying is that we got a table very far from the windows, and in between two other tables that were both occupied, and unfortunately both of the couples talked very loudly, and the entire restaurant was noisy in general as it was almost full- so it made us impossible to have a nice conversation, but we could hear every word from other tables... The waiting time for each course was okay. We got a small basket of 4 tiny slices of bread- it would've been nice to get some flavored butter too and a knife. The breads weren't remarkable at all. The appetizer was Burrata salad for hubby - good but not too much taste there-, and french toast for me - which I loved, it was great but some fresh fruit or a small dollop of yogurt was missed. For the main dish I chose the Egg Royale which was heavenly, full with flavors and the portion size wasn't too small. My husband, on the other hand had the Uova, which was basically a poached egg (horrible job, I'm sorry but the egg white was completely runny) with mushrooms- the mushrooms were excellent and very flavorful. The desert was sorbet and ice cream- both were very good, the ice cream was more remarkable, perfect taste and texture. I'd say that for this price it was totally worth it, it was a good experience, but the food is not always the best (it depends on the certain dishes), and the atmosphere wasn't calming and relaxing. I suggest asking specifically for a table at the windows to have a more relaxed lunch/dinner.",0,0,2,Alexandra D.,"Brooklyn, NY",13,91,416
