rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/1/2019,"Saturday afternoon at 4 PM -- the maitre d tells us he's understaffed and can't serve drinks! Tables are empty inside and outside....Come back at 415, he advises with a glower, which we obediently did and still unable to be seated. This customer took her business elsewhere.",0,0,0,M A.,"Manhattan, NY",2,78,0
5.0,3/16/2019,Used to be my work neighborhood regular. When I switched jobs and went to a new neighborhood I found myself missing this place. But most of all- the Croque Monsieur is the best there is. I've tried it at many many other places but it never measures up to theirs. That and the staff is great!,0,0,0,Katie Michael B.,"Brooklyn, NY",0,3,0
2.0,2/10/2019,"Really was dissapointed, it was a hospitality nightmare. Anything we asked for that was non standard the waitress warned us they probably could not. When someone in our party asked for a bit of chutney they were told they could not have any as they only had enough for the number of portions of duck for the night . The portions were small but the food ok, still would not come back. When we told the manager on the way out that our experience as not the best  he didn't even seen to care.",0,0,0,Bob C.,"Randolph, NJ",0,54,1
3.0,2/10/2019,"Upscale brasserie in elegant paneled room designed to lure tourists and businessmen who care less about the food and inflated prices and more about the location. All the standards-- a mediocre burger, over sauced skate, limp salad.Ruhlmann says they serve dinner but that's questionable, maybe it's just cocktails with food since the bar closes at 9pm. Yes, 9pm!!! ie just about the time when most NYC diners are in the middle of their meal. Expect an early night.",0,0,0,john s.,"New York, NY",0,41,15
2.0,2/7/2019,"I wish I had a better report to make.  My colleagues and I were looking for a nice place to have dinner after a long day in meetings.  We wanted something near our Rockefeller Plaza office and decided to try this advertised as a french brassiere.  We were five persons and arrived on a Wednesday night at about 5:20-5:30 without a reservation.Good:  We were seated quickly and courteously in a pleasant corner with plenty of space.  Besides the regular menu, they were also offering a prix fixe Restaurant menu and a Wednesday night special of duck breast.  Nice.  Not-so-good:  The food, based on my experience and my colleagues', ranged from ""good"", ""not bad"" and ""poor.""  One person had the Filet, and he sat it was good, as was my crab cake appetizer, but the salmon on the prix fixe was only OK.  I had ordered the Paté de Champagne as a main, along with some haricot vert, but it was definitely not up to standard.  I've had store-bought pate' that was better than this and I ended up sending it back.  Now, even that wouldn't have been a deal-breaker.  It happens and they accepted it back without trouble.Poor:  The real problem was the service and the entire attitude of the staff.  When my colleague asked for the dressing on her Prix Fixe salad to be served on the side, the server said that there were ""no substitutions""!  We had to insist that she at least ask.  I'm not even sure she knew the menu properly, because the menu description was:  ""Asparagus & Bucheron Salad, white truffle vinaigrette, prosciutto"".  When it came, there were asparagus wrapped in the prosciutto as the main part of the dish.  My colleague didn't realize that this is what they meant by ""salad"", hence the dressing request.  If the server had paid attention she would have recognized that the guest probably didn't understand the nature of the ""salad"" and could have clarified this, perhaps resulting in cancelling the request.  Other issues were that, when I first got my pate, I asked if I could have some of the cranberry chutney that was supposedly on the side of the duck dish.  Again, the answer was a perfunctory, ""no"", with the server claiming that they only had enough portions of chutney for the number of duck for the night!  I requested that she at least ask the kitchen - the answer could still have been ""no"", but at least she would have tried.  I don't know if she asked or not, because when she returned quite a while later, she didn't talk to me at all.When I sent the pate back, they asked if I wanted anything else.  My colleagues were already eating their entrees, so when they brought the menu again I was ready to quickly pick something and move on.  Unfortunately the person who brought the menu (I believe it was the hostess) instantly disappeared and the server did not reappear for a long time.  I never did order anything else, so my main for the evening was an order of haricot vert.At dessert time, my colleague ordered coffee that never came.  Throughout the meal, each time something was served we were left alone for an extended period without anyone even subtly taking a look to see if we might need something.  My colleagues were all equally unimpressed, with one person insisting that we leave a very low tip in response.  As a former waiter, I hate to do that, but I couldn't really argue based on our experience.The bus staff were good and nice, but the rest of the staff was less than welcoming and seemed disinterested in taking the word ""hospitality"" seriously.  Then, to put a rotten cherry on top, as we were leaving I found the manager lurking near the door.  I checked he was the manager and then started to try to explain the poor experience we had had.  He was so spectacularly disinterested that, as my colleagues reached me at the door, I abandoned hope and didn't bother trying to go into more detail on the problems.  I really don't think he cared.Very disappointing.",0,0,0,Lou H.,"Manhattan, NY",0,13,0
1.0,1/3/2019,Overpriced food that charming the charm of its location. Food was below average. Nothing special about food and very limited menus. This was my second time and got disappointed again.,0,0,0,Sam M.,"Newport Coast, CA",0,15,10
4.0,1/3/2019,"The location is great, it's very convenient  if you work in the area and the service is goodWhat I love is that in the winter, it's pretty low key compared to Del Fresco Grill and in the summer they have great outside seating which allows you to really enjoy and take in Rockefeller Center .The food is good but nothing crazy, I have been here twice, once I ordered fish and today I sandwich. I have to try some more menu dishes  but overall I come here when a client wants to come but its not my first choice; 1 app; 2 glasses of wine ( client wanted it) , two entrees, one dessert and two coffees $154 plus tax",0,0,1,Angelica B.,"Manhattan, NY",75,113,432
1.0,12/22/2018,"I do not normally write restaurant reviews, but had to write this review. My husband and I went to Brasserie Ruhlmann for a nice evening out. We were seated in an area of the restaurant where we felt the cold air coming in and asked to be moved by the hostess. She said we could not be moved because she did not want to re-make the table we sat in. This comment should have been my cue to leave.  Then, my husband ordered an item from the menu and received other ingredients that were not listed on the menu, that he is allergic to. Thank goodness he noticed the extra food items in his meal.  The waitress had the nerve to defend the wording on the menu. We were not the only ones who did not have a good experience...the couple who sat down next to us walked out before ordering their meal. I would not recommend this restaurant. The service is the worst I have ever seen and I have been to a lot of the fine dining restaurants all over the world.  The food is mediocre at best. Save yourself time, money, and aggravation and go to any of the other great restaurants in NYC.",1,0,0,Debbie R.,"Scarsdale, NY",2,4,0
4.0,12/20/2018,"I came here for a business lunch last week.  This is an upscale French brassiere, across the street from 30 Rock.  This place is popular at lunch, so I would recommend either coming early or getting a reservation as when I walked in, the place was packed.I had the steak frites and my colleague had a salad with Chicken.  I was in the mood for steak frites, but after I ordered, I feared a giant slab of skirt steak would appear on top of a mound of fries and I would pass out when I got back to the office.  Thankfully, the dish was a perfect lunch portion - I would guess it was a 6 oz. steak (with a side of bearnaise) and about a large fist full of fries and some watercress.  The service was good, too.  They were attentive but did not hover and make us feel rushed to get out so they could turn the table.  One bit of caution, it is not cheap, so don't complain about prices.  Definitely a great place for a celebratory lunch or business meeting.",1,1,1,Dan C.,"New York, NY",989,942,532
3.0,12/18/2018,"Great location, right across from Rockefeller Center and perfect view of the tree. I attended dinner with a few family members on Saturday night and being vegetarian they were unable to offer one vegetarian dish. I even asked if I could pair some plain pasta or rice with their side dish vegetables and I was told no. Everything included meat on the menu and they told me they were unable to remove the meat from any dish. I was only offered to eat sides that were potato and vegetable choices. I've never been to a restaurant (especially in NYC) that doesn't offer at least 1 vegetarian dish. Truly disappointing that they don't offer a dish option for vegetarian/vegan/gluten free/etc. For NYC they really need to offer something other than just sides to choose from",0,0,1,Samantha T.,"Andover, NJ",99,3,2
1.0,12/12/2018,"This was the worst dining experience I have ever experienced. I am a young girl (23) and I felt very judged based on my appearance. My server was blatantly disrespectful and mocked me when I used my knife to get ketchup out of the bottle, (god forbid) causing a scene in front of the whole restaurant, grabbing the bottle and plate away from me. He talked to me in a demeaning voice and treated me as if I were a 5 year old. I will never come back here again and I strongly recommend no one else does either.",0,3,0,Emily C.,"Buena Park, CA",2,4,0
1.0,12/10/2018,"First of all, I was given a glass with that had lipstick on the rim. After ordering a $150 bottle of champagne the waiter did not have any manners and was extremely rude. Also I was never given a glass of water after ordering it twice. If you'd like to go out somewhere pretentious and disgusting please come",0,0,0,E D.,"Orlando, FL",237,14,0
4.0,11/26/2018,"Our family of four ate here on Thanksgiving day while visiting NYC.  We arrived a few minutes early and the hostess graciously seated us.  We had a perfect view of the tree outside on the plaza (they can't guarantee this, so I guess we were lucky). The restaurant is very lovely with its Art Deco decoration.The food was absolutely delicious.  I loved the salmon, my son enjoyed the chicken with pommes frites, my husband liked the Ruhlmann salad and a side of jalapeno mashed potatoes and my daughter had the Thanksgiving dinner special which was ok, but not fantastic.  While we all enjoyed our meals I think I liked mine the most.  The salmon was absolutely delicious and the plain mashed potatoes were magnificently smooth and delicious.  For dessert my daughter ordered the cookie plate which was glorious. It's a plate of two each of about seven wonderful little morsels. My son had the apple tart and said it was very good--and it's hard to get much of a food compliment out of him.The service was very good with someone always on hand to ask if we needed anything else, to fill our water, or to clear.  This was a costly meal, but the food was very good and considering the location was to be expected. This was a great place to eat on a visit to NYC and I would recommend it.",0,0,0,Laura Z.,"Baltimore, MD",0,20,60
