rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/26/2019,"My friend and I came here for happy hour after hearing really good things. This place is a complete disaster. There is no waiting list for happy hour. It is first come first serve and you can only get happy hour at the bar. The place gets packed and we got there at 5 Pm which is early after a work day. I couldn't relax with my wine because I felt like I was constantly looking for people who were about to get up from the bar. We finally got a seat and ordered two drinks, calamari and oysters. It took forever, over 40 min for us to get the calamari. When we followed up with our server Giovanni he seemed annoyed that we were asking where it was and said it ""wasn't ready"". For a place looking to usher people out very quickly 40 minutes felt unacceptable. We also asked for a side of marinara which never came and also seemed like an annoying request. While the food was good, there are many other places with a better happy hour deal in the area. We won't be returning.",0,0,0,Bethann C.,"Manhattan, NY",1,40,12
4.0,4/21/2019,"Amazing brunch with great food and awesome wine list. Fantastic selection of oysters and good brunch list. Not yet tried the dinner, but will.Plan to be back here for several times going forward.",0,0,0,Justin T.,"New York, NY",0,57,1
5.0,4/18/2019,"It's the second time I've eaten here. The first was last year I had a steak with fries, it was very good! Today I had the organic salmon I told the waiter to make sure it was well-done, (they give you options with how you want the salmon cooked)with a side of veggies absolutely delicious!! I'm not really a fish eater, but I will say, hats off to the chef!! Amazing job! I would have it everyday if I could! I'm not sure about the price as I went with my company & the bosses paid for the lunch.",0,0,0,M A.,"New York, NY",0,12,0
5.0,4/9/2019,"One of my favorite local spots! Great happy hour seafood and cocktails! Staff are always warn and inviting and make you feel like family. Giovanni is one of the best bartenders in midtown and comes up with a lot of cocktails, even making up ones on the spot going by your tastes. Smoked oysters Rockefeller are my favorite which I get without the breadcrumbs and they are out if this world!! Seafood Cobb, shrimp scampi appetizer and the lobsters are always a must try as well! They have live jazz sundays for brunch and Tuesday nights. It's always very lively and busy especially during happy hour. I go a lot and dont check in all the time but I Love this place!",1,0,0,Green B.,"New York, NY",219,41,162
5.0,4/6/2019,"I've been coming here for 20 years with family and friends. One of the best happy hours in Manhattan (def the best in midtown east). Great deals on drinks, wine, apps and the best clams and oysters in town!",0,0,0,Debby T.,"Manhattan, NY",0,128,196
3.0,4/2/2019,"More of a 3 1/2 stars.  Looking forward to happy hour and 1$ oysters and drink specials at the bar.  I didn't realize the place would be so jammed.  So we bit the bullet and got a table which i knew would run the bill 4X more.  I got the dozen oyster special, at almost $4 per oyster (compared to $1 at the bar) and a salad.  My partner got the mussels and frites. The mussels and frites were just ok, some of the frites a little soggy, and the mussels in a spicy marineire, which should not have been spicy . It was definitely not french and contained no herbs.  I've had alot better and alot less expensive.  The oysters were small, and so disappointing.  The salad was ok, but not crispy as advertised.  All in all, would I go back for dinner?  No.  Might I try the happy hour, but on a weekend when there would be muh less of a crowd.  The waitperson was lovely, but only checked on us once and never asked if we wanted a refill on our drinks, a bloody mary and a red wine.  The Malbec was non-descript and lacked body.  The Bloody Mary was too thin for my taste and was over spiced.",0,0,0,Jerry F.,"Manhattan, NY",87,184,18
5.0,3/26/2019,Giovanni is the man!!! Awesome food and even better drinks and music on a Tuesday night!! Love everything about this place!!!,0,0,0,Melissa R.,"Manhattan, New York, NY",44,2,0
5.0,3/26/2019,"Docks is our go to for after work Martinis.  If you want the best martinis in town, please see Giovanni. The best!",0,0,0,Mara G.,"Midtown East, Manhattan, NY",1,1,0
2.0,3/22/2019,"I've had much better service and food at less expensive establishments. That being said I have absolutely no issue paying a hefty price for good food and better service.We popped for happy hour snacks and oysters. You have to sit at the bar to order from the HH menu. It's extremely packed and hard to get a seat. You have to wait a while but finally, a couple of stools became available.Being that it was HH and they are busy it takes a while for a bartender to come over. When she did, she had asked what we would like to drink. I drink sparkling water so I asked if they had a bottle. She said that they filter the water there and make it sparkling. Essentially a soda stream. Little did I know that they were going to charge me $6 for a bottle of water. (I honestly could care less, I just would of liked to know that the water was going to cost more than the snacks we got) I got the fish tacos, deviled eggs and the calamari. Tacos were decent. Nothing special. Deviled eggs were pretty good. The calamari was doused in the sweet chili dipping sauce that you buy at the grocery store. It was pretty gross. Too much of the cheap sauce was on the calamari. I had to flag down a manager who apologized and took it off the bill. All in all. Maybe the drinks make the HH better than the weak service and sub-par food.",1,0,1,Jayson C.,"New York, NY",1039,246,1209
2.0,3/14/2019,"Completely random, we decided to check out Docks. The menu looked interesting and it was seemingly quite packed. When we walked in the energy was through the roof. We instantly got swept up and overtaken by this feeling of ""this is the place to be. We need to be here.""Then the food came and we experienced the less than stellar service, and we wanted to be anywhere but there. It was awful. And then we realized the energy had fizzled out because apparently it was from the happy hour crowd that dashed when the cheap booze was no longer flowing... and I assumed before they sobered up and saw Docks for what it was: an overpriced relic with bad oysters.  Perhaps if we were drinkers, the might have been better or seemed worthy. But,we weren't a d it wasn't. The place is very large, and definitely gives the air that at some point, it used to be something. We decided to only sample some appetizers. We started with a dozen oysters. I'm sorry, I dine on oysters once or twice a week and these fell short of even the lowest quality of places that don't pretend to have a top line raw bar. The truth was that raw bar consisted of an empty ice display in the very back of the restaurant, away from most diners. And the rest was made up up of a two by two space crammed in at the front of the bar, where they have someone making sushi rolls, many of which would sit there for no less than 10 minutes before a waiter would come and get it. The calamari tasted like something you'd expect at a cheap fast food place. Definitely not what I'd expect at a $$$ restaurant. We had to send that back. The deviled eggs were okay. I'm still amused by their $6 house sparkling water. Words can't express how fast we went from excited and energized to thoroughly disgusted and wanting to leave as soon as possible, which we did. It was so bad, I ended up getting fries from Shake Shack when we got to Grand Central. With bad experiences at Jane and Sarabeth in January, this is the third strike on dining at any of these sister restaurants for awhile.",1,0,0,J. Lawrence N.,"Manhattan, New York, NY",954,135,1224
