rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/9/2019,"We dropped in to have a cup of tea and quick talk before our fried headed to the airport. We really had not much time and it was the closest cafe from his POD hotel.What to say, we ordered two cups of tea and two deserts (chocolate paradise and apple crepe pie). The weather was nice and we decided to sit outside. We spent good time with our friend which we haven't seen quiet a while, but the place itself did not leave good impression. We waited for our desert I think 20 min or around and they were sooo small, super-tiny portions for quiet expensive price. I didn't get any satisfaction from my cake, just teased my toungue buds and I became even more craving those crepes.Overall, place it very overpriced for this food and service.",0,0,0,Anna K.,"Brooklyn, NY",2,72,406
4.0,4/8/2019,"What a lovely restaurant! We missed our dinner reservation at Quality Meats because we took a long nap and woke up at 9pm on a Sunday evening but fortunately, chez Josephine opens until 11pm so they had late reservations available on opentable. When we went for our 10pm reservation, we were seated by the piano but missed the performance :( the runner told me the pianist plays until 9:30 on Sundays (noted!) However, the background music they were playing was very pleasant and suitable for the restaurant. The interior was cozy, romantic and eclectic. I ordered Folies bergère (grey goose, chambord, lychee) and my husband ordered the one with muddled berries (forgot the name). Both were good but mine was better. For food, we shared the escargots (traditional. Amazing!) and the steak tartare (served with chips and some greens) as appetizers; and the duck and the pork chops as entrees. The duck (husband's favorite) was cooked just right and the earthy taste of the wild rice balanced out the fattiness of the duck really well. The cooked oranges were sweet and paired well with the dish as well. The pork chops were huge and cooked to perfection. Came with scalloped potatoes and asparagus. The pork was so juicy! It was def my favorite. We ordered red wine to pair with our entrees. I asked for a taste of Medoc ($15) and chateau la courrone ($17) then chose chateau la courrone but the server brought the wrong one. I didn't mind Medoc so I didn't complain or anything but I really liked the other one so I know what to get next time! We also had cappuccino and profiteroles. The dessert wasn't that memorable.The service was pretty hands off which I liked but our runner (the guy with the glasses) was so so sweet. He recommended which nights are the best for the piano performance and such. I hope they promote him to a server! Anyway, we will definitely be back for some live music and amazing food.",0,0,0,Kristina P.,"BEECHHURST, NY",149,136,66
2.0,4/8/2019,"TLDR: Another unmemorable mediocre restaurant in the theater district. Weird eclectic menu that's not very French. NOT recommended. Overall rating: CIt was packed at 5:45pm on a Saturday. Easy OpenTable reservation. They serve each person a cold individual bread roll with ice cold butter (big no no). Service is ok. Standard mediocre theater district restaurant. Wish there were better options. We went here once last year as well. (Apparently I forgot to write a review the first time here. Let's just say it wasn't memorable either.) Here's what we tried:-Country paté, tangy celery remoulade, cornichons: Pretty good pate. A--Foie gras with truffles, with toast, balsamic vinegar, savory jam?, and cornichons: Special of the day. I really enjoyed this. You could taste the truffle flavor. The balsamic vinegar paired well with the pate. A--Roasted breast of Long Island duck, outage glaze, wild rice: The duck breast was overcooked but still tasty at least. They gave me a steak knife halfway through my meal... I wasn't a fan of the wild rice (which isn't really rice. It's a sea plant.) There are also a few cooked orange segments on the plate as well. B-Elvira's Down-Home Fried Chicken, sweet potato fries, blueberry cornbread: The WORST dish of the night! The breast was dry and flavorless. The thigh piece was a smidge better. The sweet potato fries were nice and crispy. The blueberry cornbread tasted like a sponge. AVOID! C-Halibut fish special of the day: I didn't personally try it but I heard it was very overcooked. N/A-Maryland Crab Cakes, tartar sauce, and field greens: I didn't personally try it but I heard it was decent. Small portion I thought. Mostly crab cakes and some salad. Not really a full meal in my opinion. N/A-Aperol spritz: Fairly sweet but decent. Not the best though. B-Rye Manhattan (Whiskey, sweet vermouth, bitters, and a cherry): They weirdly muddle the cherry so the drink is an unnatural red color. VERY sweet. AVOID! C-Live music at certain times if you're into that (later at night I think). The tables are so tightly packed together you may need to move the table out to get in at times. The servers are supposed to help you shift the tables but ours just watched as we did it ourselves. Wow So underwhelming. If it weren't right next door to my beloved Playwrights Horizons Theater with a mobility impaired person in our group we wouldn't return again. I'll stick with the pate and duck next time if I'm FORCED to come here again.  Pro Tip: Not great for mobility impaired either! Bathrooms are located upstairs or next door (no idea what they meant by next door). Also the restaurant is very narrow so if you're assisting someone while walking good luck! We get bumped, knocked, and stepped on the whole way out!",1,0,1,D D.,"Manhattan, NY",4,143,27
4.0,3/20/2019,"This place is a cute little restaurant with live musicians playing the piano, singing, or performing as a band. The general lighting is a bit dark with candlelights and you can immediately notice how red the walls are. The food is... okay. Being a restaurant on the pricier end, you would expect more of an explosion of flavor, but it was a bit underwhelming. They start you off with a bread roll and butter, but I think the rolls weren't that great. I went with two others and we ordered Black angus filet mignon, Spaghetti bolognese, and Elvira's down-home fried chicken. The filet mignon medium rare was SPOT ON. It was cooked just right and came with a side of fries. The spaghetti bolognese was good, but nothing special. Apparently this is ""Josephine's favorite"", but there was nothing that stood out about this dish that made it special. The Elvira's down-home fried chicken comes with blueberry cornbread and sweet potato fries. It's pretty delicious, but again, nothing about the chicken breading or how they cook it make it outstanding. While the service and atmosphere is good, the price-to-taste value isn't as great as expected. Still, for good food and live music, I'd say this is a cool option. :)",2,2,2,Amber K.,"East Amherst, NY",86,124,515
5.0,3/16/2019,"There is nothing flashy about this place. But it is cozy, service is very attentive,  and my filet minion was delicious. Live piano did not hurt the atmosphere as well. I would definitely go there again.",0,0,0,Zoriat A.,"Brooklyn, NY",1,6,5
1.0,3/12/2019,"Today was the first time I had lunch at CJ. Unfortunately, I didn't have a good food experience. I ordered flank steak medium, however the steak I received was very rare, and extremely thickly sliced. Sent it back for another round on the grill but it was bleeding terribly. The thinly French fries and warm ciabatta bread were the only items that were edible. I had asked for burger and instead received an omelette. After receiving the look of death from floor manager, I was horrified and just didn't eat the omelette. This is definitely not your typical French fine dining, I've had better experiences than the one received today. The other French cuisine places serve appropriate small portion. Not here. Btw butter had a refrigerator taste which diminished the taste of the warm ciabatta bread. Again, I was given the look of death, not going to mention his name, but I felt I had to apologize for the inconvenience of receiving poorly cooked and awful tasting food. I was charged 100% did not tip and was never offered a waiver. To say the least, I did not enjoy my lunch and will not return to this place.",0,0,0,Brenda S.,"Bethesda, MD",77,2,3
4.0,3/11/2019,"Decided to give Chez Josephine another try, this time for price fixe brunch. Glad I did, the 3 course brunch was a great value with big portions, yummy food and good service. We opted for bloody marys (not included in $23 brunch), nicely spiked w/vodka and horseradish. Lobster bisque was creamy and rich but kinda bland IMHO. Spaghetti bolognese was loaded with nicely sauced chopped meat and such a big portion that I had to forego the profiterole dessert - sacrilege for me! Hubbie said his thickly cut french toast with fantastic, especially the large helping of fresh berries that came with. Service was very good at the beginning but slowed down a bit after a big group descended on the place.",2,1,2,Linda K.,"East Meadow, NY",64,188,49
3.0,3/9/2019,"Pretty restaurant however not a good dining experience to be had. We had to wait for our table, for quite a while, even though we had reservations. Our food was served within 5 minutes of ordering but our drinks did not appear until we were halfway through our dinner. Perfunctory approach to service and delivering check. Disappointed.",0,0,0,Lydia R.,"Manhattan, NY",0,15,0
4.0,3/5/2019,"Had a lovely dinner with a large group (8) friends. It was bustling Saturday evening in between matinee and evening performances. The restaurant was filling up quickly, but they were ready for us (we had reservations) without delay. The restaurant is close  but not cramped.  We were greeted warmly and promptly  by our server. Everyone had appetizers and I tasted the escargot that was really tasty and hot, great for dipping the nice crusty bread in the garlic butter. I had the country pate and it was very good and a very generous serving.For my entree I had the pork chop. I've had it there before and it was juicy and so big I was able to take half home! Everyone was delighted with the service and the meal. An added bonus was the fantastic pianist entertaining us with show tunes and standards. If you are looking for a spot for a romantic evening or pre or post theater trip, you can't go wrong at Chez Josephine! (Named for the elegant Josephine Baker! She's represented well all over the restaurant)",0,1,0,Judith M.,"Jersey City, NJ",110,48,22
5.0,2/17/2019,"I brought my wife for her birthday ( to New York from California)and we had amazing experience at Chez Josephine .The food was amazing, the service was warm and personal. There was live music which was very authentic and fun to listen too.I will definitely go there next time I travel to New York",0,0,0,Ilan S.,"Sunnyvale, CA",41,14,6
4.0,2/17/2019,"Went into the City to see the new production of Fiddler on the Roof.  The show done in Yiddish carries a special emotional impact as it transports you to another time.  Seeking a post show dinner locale, I was please with Chez Josephine which is just one or two doors down from the theater.  This theater district fixture serves classical French food and with its decor harkens back to the glamor of Ms. Baker's time.  Though the restaurant was fully booked for dinner, the maitre d who may have remembered us from a prior visit, was happy to accommodate us.  Though the restaurant was full and the tables tightly packed, everyone seemed to have a good time and appeared to be enjoying their experience.  I had a special, the poussin in a margo sauce.  It was properly cooked, very tender and very tasty.  My dining companion had the lamb chops.  For appetizers we both had the escargot.  This has become rarer and rarer to find on menus but here in a buttery garlic were outstanding.  Tempted by dessert but too full to partake.  We could delicious looking creations at neighboring tables.  A fine meal to go with a fine show.",1,0,1,Stuart B.,"Brick, NJ",35,184,0
1.0,2/15/2019,Came in on Valentine's Day. When we booked they didn't tell us there was a limited menu to choose from. I had 1 drink and my fiancé had two. The drinks were disgusting. The menu that we were limited to was worst than the drinks. Total bill for both of us was over $300! The waiter even charged us for a 4th drink we didn't even have! The only reason I think this place has as many stars as it does cause the waiters are polite and the live band is good. Worst French food we ever had.,0,0,0,Kristy E.,"Teterboro, NJ",121,1,0
3.0,2/9/2019,"I have never tried a French restaurant, so for restaurant week I wanted to take advantage of the opportunity. My friends and I came for lunch, and the restaurant was pretty empty. I was the first to arrive and discussed a birthday celebration for my friend with the only server on staff. He told me if dessert is ordered a candle can be placed on top but there would be no singing from the staff. The server was pretty nonchalant about everything, didnt have a friendly air at all, but he was professional about everything which was fine. I ordered the foie gras and the steak from the restaurant week special. While we waited, we were given warm bread and slabs of butter.The foie gras was interesting. I didn't hate it but I didn't love it either. Just half the portion would have sufficed, as it was pretty heavy in texture and in taste. Now the steak was delicious. Meat was cooked to perfection and the sides were seasoned well. No complaints there. Lastly, we had dessert. Creme Brûlée. I wanted to like this but the way it was presented made it hard to. Most that I've seen had the sugar finely melted on top and not torched until black.Overall the food and experience was okay.",0,0,0,Sandy P.,"Queens, Queens, NY",56,96,205
