rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/30/2019,"I used to come here often, but I won't be doing that again. The soft shell crab special was a rip-off. The crabs had no taste and were supposed to be sautéed, but actually were fried. The asparagus appetizer was just a few spears and also had no flavor. The chocolate caramel tart had a crust that was too thick and hard and was supposed to come with hazelnut ice cream, but instead arrived with vanilla. I would have told the waiter, but he never came by. Another waiter grabbed my wine before I was finished with it. Because we didn't have reservations, they gave us an especially bad table, very uncomfortable, out in the middle of the floor and a few inches from another table. If you treat your customers badly, you deserve to lose them.",0,0,0,Karen B.,"Manhattan, NY",0,11,0
5.0,4/30/2019,"This is my favorite brunch spot!  I've come with family and friends.  The brunch is great, because there is something for everyone!  If you go, ask to be seated in Steven's section.  Steven is polite and patient in explaining the menu, and is attentive during the meal.",0,0,0,Abigail B.,"Jamaica, NY",17,11,0
5.0,4/7/2019,"Had an amazing Sunday brunch here and it has to be the best brunch NYC has! You name it and it was there.  Carving station, shrimp, lox, bagels, french toast, pancakes, omelets, pastas, bacon, sausage, fruit, cookies, pastries.... OMG and more. The food was amazing,  but even better was the service. Special thanks to hostess Emily, for accomodating our party with a seat that worked for us using less steps. Our waiter was excellent.  The manager, Ken, was especially excellent and took extra care of our table.  We has such a grand experience here you would think we were the only table, but not so,  the place was packed solid and all staff members were working diligently and moving all over the place. Yet, we felt we received personal attention. We observed a party or two going on with groups, and this seems like a great location to come back with a group of family or friends. Thank you for making our Sunday brunch epic.  We will return again soon....very soon!",0,0,0,Stacy K.,"Oceanside, NY",300,203,217
5.0,3/20/2019,"Stopped by Brasserie 8 1/2 on a Sunday after the NYC half marathon and had an outstanding brunch. Their brunch buffet had a nice selection of items (very much enjoyed the lamb, smoked salmon, shrimp cocktail and made to order crepes among the many choices) and was an outstanding value.  Will definitely be back!",1,0,0,Andrew L.,"New York, NY",2,86,186
4.0,3/18/2019,"Great food. Very quiet and mellow. They could use a cocktail menu, but otherwise the food was very much on point. Will happily be back for the foie gras alone.",0,0,0,Igor S.,"Gravesend, Brooklyn, NY",120,19,14
4.0,3/8/2019,"Service is good and the ambience excellent.  Food isn't bad but it is also not so great.My bouillabaisse mussels and lobster were a bit tough.  Perhaps the lobster and mussels could have been added a little later in sequence.Their breads were good especially the mini baguettes.My lettuce salad with a slice of brie was good but the mustard dressing was a bit strong.Otherwise, we had a wonderful waiter and the ambience is very nice and elegantly modern.",0,0,0,Bing R.,"New York, NY",149,544,3265
3.0,2/23/2019,"This place should get 4 stars. But, three major slip ups at the beginning of our meal had me deduct a star. We had an Opentable reservation for a Saturday evening and arrived at our reservation time.  The restaurant was less than 1/4 full when we arrived. We were shown to a table and asked to be seated in one of the booths that were available instead. We were told by the hostess that the server for those booths was not present this evening so we were not able to sit there. Really? I mean, how difficult would it be to reassign the server who was assigned to the table we were being given to one of the booths? We were given menus, offered water and served cocktails. We then placed our order which included the octopus appetizer. At that point we were informed that they were out of octopus for the entire evening. We should have been informed of that when we were presented with the menus.  We ordered from the prix fixe. Hamachi Crudo, Chestnut soup, Codfish, Filet mignon, apple tart, and Gateau Pithivier. We were brought our appetizers and presented with the amuse bouche, Parsnip soup. The amuse bouche was far better than the fatty oily duck amuse bouche that we were given on a previous visit. But this restaurant should know that the amuse bouche should be presented and enjoyed BEFORE the appetizer is brought to the table. As for the appetizers, the Chestnut soup was excellent. The Hamachi Crudo was fantastic but not as described. The menu said it had ceviche, passion fruit, avocado, and mezcal. Instead of passion fruit it had orange, the avocado and mezcal were there, but it was in a yogurt or cream fresche broth that was very spicy. I enjoyed it immensely but it really should have been better described. The codfish was excellent. The filet mignon was cooked medium rare to order. The apple tart dessert was hot and the Gateau with marzapan-like flavor was excellent as well. Coffee was $4.00 additional but was refilled by our server twice. Overall, an excellent restaurant with some caveats.",0,0,0,Bob G.,"JAMAICA, NY",17,213,400
5.0,2/12/2019,"Great Sunday brunch value!  Beautiful restaurant.  Plenty of brunch items to choose from including pancake, waffles, omelette, seafood paella, roast sirloin, smoke salmon, salad, and so many dessert options.  All you can drink mimosa at additional cost.  Staff are attentive.  I would expect ppl to wait in line for this but no, ppl don't seem to know Brasserie 8 1/2 offers Sunday brunch.  We were always able to make a last minute reservation.  I don't think you can find this kind of value in NYC.",0,0,0,Val L.,"West New York, NJ",1,30,77
2.0,2/12/2019,"Nothing impressive. It is a restaurant that looks and feels like a $60/person meal but was a very big disappointment overall. There was a hair in my friend's drink, the service was extremely slow, and the food was both unseasoned and subpar. I would not recommend.",0,0,0,Dominic D.,"New York, NY",0,23,0
4.0,2/11/2019,"I came here for the winter restaurant week lunch special, it was a 2 course menuEnvironment is good and waiters are very well mannered, the presentation of the foods is clean and nicely decorated, even though is only 2 course but I feel very full We ordered an extra traditional creme brûlée which is exceptional delicious",0,0,0,Sara L.,"Queens, NY",39,44,242
5.0,2/2/2019,"Came with a friend for restaurant week and the prixe fixe menu. Everything was absolutely great. The host and waitress were very nice and courteous and attentive. I like that they come with a bread basket and you choose which bread you would like! Appetizer: Tuscan kale salad with pear, goat cheese, beet, and walnut with a Dijon dressing. I was iffy because I don't normally like kale but everything in this salad is what I normally eat with a normal salad. I was not disappointed. The menu didn't state that there was a beet and it was a nice surprise. Loved every bite. Entree: braised short rib with potatoes and spaetzle and mushrooms. Short rib was very tender and the potatoes and spaetzle were very tasty.  Dessert: chocolate caramel tart with hazelnut ice cream. I have no words. It was probably the nest dessert I have ever had and I eat a lot of dessert. The tart was smooth and creamy, the caramel was thick and had crunchy pieces in it, the tart cake with caramelizad bananas, and the ice cream was amazing. All in all, great experience and great food. I would definitely come back for dessert!",0,0,0,Angie G.,"San Francisco, CA",3,37,39
3.0,1/25/2019,"Restaurant week Jan. 2019 NYC First time checking this place out. The decor is nice and not to noisy a plus. The waiter was  courteous, the wine selection we made was not the best (sharecropper ) never again. Let's get to the food. Appetizer lobster ravioli was a small plate. The flavor was ok not something I would order again. Octopus came with some white bean sauce, also small plate but done well. Main course lamp-shank was in my book the winner good flavor and a good portion. Cod fish wrapped in prosciutto. That's a mistake as the prosciutto takes over the delicate fish. The desert just didn't have a wow affect I think that even if it's restaurant week show us some better stuff. I'm giving them a 31/2 stars how ironic that the place is Brasserie 81/2 haha. I will be back just to taste the regular menu. Happy Cooking stay smiling :))",0,0,0,Ernesto H.,"Port Washington, NY",17,38,56
5.0,1/21/2019,Excellent choice for my 15 person brunch. Great food. An abundant selection. Beautiful surroundings.,0,0,0,Tikia H.,"Washington, DC",277,25,4
1.0,1/20/2019,Go somewhere else for Sunday brunch.We went for Sunday brunch. The staff were attentive. The food was okay but you can definitely get better brunch in Manhattan for that price. The dishes were dirty. What really killed the experience was the manager. He was extremely rude and condescending. We asked about using a $50 gift card and he just came over and told us the brunch is good value already and would not apply it for us. Stop advertising the $50 gift card if you won't let customers use it. Please fire the Sunday brunch manager.,2,0,0,Amy Y.,"Manhattan, NY",0,16,0
5.0,1/13/2019,"Me and my girlfriend came to the big city Sunday for the broadway musical Aladdin. I love showing her a good time when we go to events such as this. So I thought Sunday brunch would be an awesome thing to do and I was totally right! I knew she would definitely love the all you can eat aspect of it and luckily the food was absolutely phenomenal, from the cous cous salad to penne bolognese to the outstanding desserts everything was nothing short of perfection. Oh how could I forget to mention the omelette station that also had crepes and the carving station with lamb turkey and New York strip. This place is a hidden gem in the best city on earth. Being here you almost forget where you are, the brilliant elegant decor and the well trained, professional waitstaff. It makes you think that you and your special somebody are actually in the romance capital of the world Paris. I urge everyone to come here, and especially for the Sunday brunch.",0,0,0,Paul R.,"Coram, NY",0,51,4
5.0,1/1/2019,"Can't speak to the other meals here, but the Sunday brunch buffet is wonderful. We've been twice and thoroughly enjoyed the variety and service. Also, it's a beautiful space.This is my idea of a perfect brunch buffet with carving stations, seafood, salads, vegetable dishes, breads and rolls, and too many dessert options!We plan to take our whole family for the next holiday opportunity.",0,0,0,J W.,"Manhattan, NY",0,43,0
2.0,12/31/2018,"Do yourself a favor and don't set foot in that establishment. We should've left when we saw how empty it was at 8pm. The food was mediocre, almost inedible, to the point where we didn't finish our meals. The bread was cold, and didn't feel freshly baked - not to mention that we only got 2 pieces of bread each (they don't leave a bread basket on the table). The steak was not seasoned, and it was chewy. The seafood platter was subpar, lobster wasn't fresh, shrimp tasted like rubber, and some of it looked flat out unappetizing (wish I had some photos to share, it was that bad). Overall we felt like everything wasn't seasoned well if at all. Worst part is that we were never asked how our food was, and weren't able to provide feedback - almost as if they already know the answer. We felt like we paid $190 for good wine (something they didn't prepare themselves), the fries that came with the steak and a side of mac and cheese - none of which were the main meals.The service wasn't great either, but the waitress was nice. We were 2 people, they sat us in a booth meant for 4, but never removed the extra covers. We had to do that ourselves as it was overwhelmingly crowded on the table.",0,0,0,Nizar S.,"Elizabeth, NJ",0,1,0
5.0,12/28/2018,Beautiful restaurant with consistently good food in an elegant setting.     I've been to 8 1/2 three times in the last month and each time food and the service were excellent.    Today I had the seafood bouillabaisse and it was perfectly prepared with really nicely done and tasty fresh fish.   I've also had the Salmon which was excellent.    The Sunday Brunch is a great value with a very nice and plentiful buffet presentation.       The restaurant also offers a very nice selection of bread prior to lunch or dinner.      Servers are also attentive and the atmosphere is relaxed and beautiful with modern design flourishes including Saarinen tables.,1,0,0,Jake W.,"Manhattan, NY",1,122,1
5.0,12/25/2018,This place is so amazing! They have very good food and their staff is really nice. Every detail is as good and even more than you can imagine. From the food to the tables to even the place it is. The only problem is is that it's a little hard to spot.,0,0,0,Corey G.,"Clear Lake, Houston, TX",1,1,0
3.0,12/23/2018,"The presentation of the restaurant is really nice. The walk way into the lobby and the low light ambiance adds to the mix. However the food and service was subpar. I ordered from the Prix Fixed menu with Escargot, filet mignon, and Creme brule. The food quality did not reflect the quality of the restaurant and was disappointed. I also ordered the $14 Lobster chowder that was served on a plate like bowl.",2,0,0,Marvin L.,"Port Jefferson, NY",367,109,454
5.0,12/17/2018,"I was here Saturday and I had a wonderful time, even though was very busy but the service was very good the price is very reasonable for the place. It's very elegant and spacious, the food is very good I'll recommend this place if you want to get together with a group of friends and want to have a good time in private I guess this is the place.",0,0,0,Manolo R.,"New York, NY",1,27,26
5.0,11/22/2018,"4 1/2 STARS. We first dined here Thanksgiving 2 years ago and had such a Good experience we came back. Apps were delicious; squash soup, crab cake and oysters all were top notch. Rack of lamb, Filet were all that we expected the turkey was good but a little dry. All deserts were delicious. Service excellent, attentive and friendly. Will definitely dine here again.",0,0,0,Jack B.,"Memphis, TN",8,195,1
5.0,10/24/2018,EXCELLENT food and service. The filet mignon and crab cake absolutely delicious. The fries were amazing!!! Came here with for a business meeting with 7 people. Highly recommended.,0,0,0,Yesenia G.,"Brooklyn, Brooklyn, NY",515,35,17
5.0,10/7/2018,It was a delightful discovery for us!Amazing price performance for the fine dining!Roomy artistic setting with warm orange.Dishes are well thought through flavor combination setting.Presentation is quite nice as well.The booth is great for the persons like us not liking the air conditioningWhat a wonderful dining place,0,0,0,Miki S.,"Costa Mesa, CA",10,49,187
5.0,9/17/2018,"I went for Sunday brunch it was fantastic, there was a lot of choices to choose from . It's good place for family functions. Today I'm here to have birthday lunch, thank you for my $50. Gift certificate . Food is so delicious and Service is excellent . My fish was so delicious.",0,0,0,Ling Lin S.,"Edison, NJ",47,12,23
