rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/27/2019,"I like Brazilian bbq. Been to a fair amount of places. This one doesn't match up. Meat quality was just okay. Meats rarely came. Heard the guy at the table next to us ask ""Did you run out of meat?!?"" Quality sub par. Only thing premium was the price.",0,0,0,VJ A.,"San Jose, CA",0,4,0
4.0,4/26/2019,"This was a pretty typical brazilian steak experience. Came here with some friends to celebrate a friends new job and we had a great time just trying all of the steaks, pork, and lamb. Overall it is what i expected, though it lacked a very tiny amount in what I really cannot find the words for. Nothing was bad at all, but ALMOST as good as other places I have been to outside of NYC. Just not quite there. Still a big recommend, the value and fun of it is well worth it.",0,0,0,Zev L.,"New York, NY",190,174,50
5.0,4/22/2019,"This place is awesome.  Humberto, naum, heron, Jessica, Christiano, great service, awesome food, thank Adriano, Alemao e Regis for the delicious food.  Super recommended.",0,0,0,Mike C.,"Manhattan, New York, NY",0,5,0
5.0,4/18/2019,"Well, is all you can eat meat buffet. Everything is good.  My favor always the short ribs.  Wish they have some fruits.",0,0,0,Kevin K.,"Brooklyn, Brooklyn, NY",0,18,147
3.0,4/7/2019,"I always chose this steakhouse over every other steak house. Until the other day when my family and I went there. My son found a HUGE hair in his food. So I brought it to the waiters attention. He called the manager and everyone apologized. Which is fine. Until the manager said ""he's going to take care of us"", which meant he's giving us a fancy bottle of water and then giving us the bill and charging us for it?? Ya, no thanks. Don't think I'm coming back here.",0,0,0,Angela L.,"Brooklyn, NY",0,4,0
5.0,4/2/2019,"What a fun place. The atmosphere was really nice. They had a salad/food bar in the middle and you can go up and grab some food. The never ending amount of meat they had coming around was amazing. All of it was soo delicious. The green side up was for them to keep on coming. The red side was for them to stop. The dessert cart came around, i did have some room for creams brulee. I would definitely come back and do this again. Fun times.",0,0,0,Nina D.,"Commack, NY",203,30,27
5.0,4/1/2019,"The quality of their meats are amazing... the best picanha I have ever had! A little pricey, but well worth it if you have the appetite. The first time I went was with a friend from Brazil and it is his favorite Churrascuria.",0,0,0,Sandy L.,"Queens, Queens, NY",0,4,0
5.0,3/30/2019,As usual plataforma never disappoints. We sat down the stairs (which I didn't know existed). Salad bar was great- had a carpaccio that was amazing. The cheese bread they serve at meal beginning is to die for and the fried bananas are super good! All the meats were so good and the staff is always so accommodating - make a point to send people over your way if you want something specific. My dirty martini was phenomenal  I love this place and will continue to come for years and years!,3,0,2,Lauren G.,"Bridgewater, NJ",184,214,136
5.0,3/26/2019,"I loved it! The food was delicious, there's a food bar to get side items. They come to you with lots of red meat, chicken, sausages... you name it! What I liked other than the food was that the staff were very welcoming and their customer service is on top! I'd say it is one of the best Churrascaria places in the city.",0,0,0,Meli L.,"Darien, CT",71,3,0
1.0,3/23/2019,"So I'm standing in front of the host and literally have been waiting over an hour for a table WITH a reservation for six people....clearly this place is poorly run. I'm not the only person that is was waiting with a reservation either. I don't know what to say because my party was told "" we are sorry "" with some bullshit excuse of we are busy...... I get it if hey we are behind 20min but this is an hour....",0,0,0,Jackie B.,"Manhattan, New York, NY",120,2,1
5.0,3/22/2019,"By far the best Brazilian Restaurant/food I've had. Kinda classy but casual attire is accepted. I must say, those chicken hearts and garlic steak that they serve are soooo delicious! (Don't judge, I love food and all kinds of it) Service was great! Everyone was on top of it as far as serving your meats, refilling your water, getting your specific meat requests, drinks being served, etc. Oh and their salad bar, also delicious! Sooo much food and I loved every bit of it! Oh and if you ever make it their, you have to have their ribs! To die for! Melt in your mouth deliciousness!",0,0,0,Venna Jean A.,"Waipahu, HI",106,23,5
5.0,3/12/2019,"Churrascaria Plataforma food is fantastic! We have seating for large tables as I went recently with a group of eight people. It was a lot of fun and there was a lot of food to go around for everybody. There is something for every type of meat lover in the room! We tried so many types of steak, sausages, chicken and more. They take requests on how your steak will be cooked so that everyone is happy. While you wait for the meat to start coming around there is also a salad bar section that has some side dishes and potatoes. However you can also order whatever sides you want, and it is all unlimited! They have very tempting looking desserts and cocktails that I have had in the past though not recently. You will definitely leave very full and satisfied after this kind of great meal and experience.",0,0,0,Corinne B.,"Hoboken, NJ",341,151,248
4.0,3/10/2019,Classic Rodizio restarant. I use to come here years ago and I just say they do a great buffet. The salad bar options are always on point. Came here before a broadway show and it was the perfect dinner. Amazing service as usual and the meat was drool worthy. My only recommendation would be a little more flavor to the meat but if you like a fresher taste then this place is great. The bartenders and waiters were always on top of things and treated us with the best service. Will definitely be back here on a night when they have the live band because I'm sure it would be terrific.,0,0,1,Delores S.,"New York, NY",110,52,126
1.0,3/8/2019,"Horrible service starting with the awful manager! The manager should really work at a street food truck.I have been to so many Brazilian steakhouses so I know how great service should be but they are terrible! We went for lunch during our visit to NYC, the restaurant is less than half full and the manager was seating us next to the server's stocking station where they will bump into us. I asked to sit somewhere else, the manager wasn't happy about that and murmured in Spanish!!! Then after seating us, he took away the extra silverware, including my 4 year old son's set!! I told him that and he said I'm taking away the kid's silverware set!! They don't get u plates for the meat, my husband had to get one from the salad bar! They don't take away your empty salad plates, they don't refill your water. The meat servers don't know the difference between well done and medium ( asked for medium and gave me well done !!)The food is okay but horrible service!",0,0,0,Sandra N.,"San Antonio, TX",117,17,6
5.0,2/24/2019,"This place was amazing! First off I love the decor of the place. The salad and sushi bar was amazing, I have recently found a love for sushi and this bar just increased that love. The star of the show is the meats of course. The flavors just burst, I tried each one and enjoyed them all. I took my mother here and we had a grand time, she is still amazed by the whole experience.",0,0,0,Bettina M.,"Bronx, Bronx, NY",0,22,40
5.0,2/19/2019,"If you ever wanted to feel GOOD about spending your money this is the place for you! The good is amazing but the staff is really why I love this place.  They are attentive without being annoying and just adds to the ambiance of this beautiful restaurant. Ok now let's talk food! In my opinion this is one of the top 3 steakhouse or places for steak in NYC and what adds to the appeal is that it's not just limited to the finest all you can eat cuts , the salad and hot food bar is sure to keep you busy in between sampling sizzling off the skewer melt in your mouth broad meat selection offered here. I swear if I could eat here everyday I would. If you haven't been here you are truly missing out!",0,0,0,Sheana C.,"Brooklyn, NY",0,2,0
3.0,2/16/2019,"This is a good place for a full meal, great selection and reasonably priced unless you order a few drinks.  The meal is reasonably priced for what you get.  The meat selection was good but did include a few bland choices that could have been made much better.  The salad bar was good.   Yes, this isnt the best Churrascaria you have been to for sure but for NYC dont expect too much.  They are more worried about the looks of the place.",0,0,0,Louis R.,"Montreal, Canada",3,56,146
5.0,2/16/2019,"Great pleasure always coming back here. Friendly staff, great quality food and dessert is always fresh and tasty. Their salad bar is delicious as well. Easy to book reservations and affordable.",0,0,0,JeSs O.,"Long Beach, NY",69,25,14
5.0,2/15/2019,Great experience. I would definitely recommend this restaurant. Nice atmosphere and pleasant waiters.,0,0,0,Jermara L.,"Bronx, NY",0,7,0
3.0,2/14/2019,I came here during restaurant week but ended up ordering from their actual menu since a lot of steaks were not offered as part of their restaurant week menu. My only complaint was the staff. I noticed that they were very attentive to the tables around us and barely came to our table to pick up our plates. We weren't even offered desserts to end our meal. I don't like to flag down waiters and busyboys but we had to do that a couple of times which is not what I expect to do here.,0,0,0,Angel J.,"Brooklyn, NY",412,128,123
4.0,2/12/2019,"We came here for restaurant week and i can say without a doubt I'll be coming back here again. The service was attentive,fast, prompt and courteous throughout even though it was slammed on a very busy Friday night. The meat kept coming around so make sure you keep tabs on your colored ticket. The caipirinhas were delicious, strong and on point. This place would be great for large groups because of the fun lively atmosphere.",0,0,0,David H.,"Hoboken, NJ",2,18,4
4.0,2/9/2019,"We went during restaurant week and were so very impressed by this place! We were seated right away even though some people waited when we walked in but we had a reservation on open table. As soon as we sat, we were offered GF bread (pao de quijo) made from tapioca flour and cheese and a little warm. I've had better but it was great still. Since I have a Gluten allergy, they were personally accommodating and pointed me to what not to eat. The buffet wasn't labeled with anything so that was kind of annoying but you could probably guess what everything is. Still, they need to at least label their dressing!The meats were excellent and came around often. We had to slow them down by flipping the chip to red. My favorites were the top rounds, rib eye steaks, the pork sausage and the prime rib. My less favorite were the ham with pineapple sauce that was served from a moving carving station. It was a bit dry.. The desserts were gluten free and excellent! I'm a little biased though since I never get to try any. The passion fruit mousse was the best. I highly recommend. Definitely coming back here!",2,0,2,Christina R.,"Paramus, NJ",366,181,394
4.0,2/7/2019,"I came here for restaurant week and was blown away by what a deal it was! For what it normally costs(around $70) I probably wouldn't come here but even though it was restaurant week it was still truly ""all you can eat."" The meat kept coming faster than you can even imagine; at one point I must have had 10 cuts on my plate. I couldn't even tell you what they all were because it was happening so fast. Even the buffet had great options; a few different sushi rolls, scalloped potatoes, shrimp, salad, anything you wanted! What did catch me off guard though were the wine prices. We all ordered just house Chianti and it was $15, so that's how they get their restaurant week money back. All in all it was a good experience, the people were very nice and the food was good!",1,0,0,Caitlin D.,"New York, NY",170,106,108
4.0,2/2/2019,Probably the best Brazilian steak house in the city with a great selections of meats. Salad Bar isn't as varied at lunch as it is at dinner. Meat is always flowing but the wait staff are usually difficult to flag down to order drinks.,0,0,0,Henry A.,"New York, NY",95,8,0
