rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/25/2019,"A perfect place for a nice date, especially in the summer outside, or a nice place for a meal with the family. Food is scrumptious, service is absolutely excellent. With a 30 min notice for a friend's birthday, they prepared a personalized menu for us! What a treat.",0,0,0,Dr. Nomnoms S.,"Manhattan, NY",362,37,40
5.0,4/24/2019,Sunday Funday Easter Brunch Day. Outstanding experience. Easter was a prix-Fixe menu. I chose the Quiche and Roasted Branzino. Right away you are served a gorgeous selection of pastries. Piping hot. Just wonderful. The quiche was a solid choice as was the Branzino. Perfectly cooked Crispy skin. My only complaint of the day was the grain in the base of the dish was quite bland and a tad overcooked as it was mushy in a watery sort of way. To finish the meal you must try the milk and cereal dessert (donate a portion to charity!) and the passionfruit and black sesame dessert blew my mind. Really excellent. It goes without saying the view of east river is just spectacular. The ambiance is relaxing and classy inside. There was live jazz and a round of applause to their team for outstanding service. Definitely will be back to try out the evening menu.,0,0,0,Helen C.,"New York, NY",92,71,123
5.0,4/15/2019,Very spacious interior with seatings inside and outside the restaurant. I sat inside near the see through clear glass walls. Gorgeous view of the east river. Seatings were well spread. I felt my privacy. Elegant place. They had live jazz when I went. The food was just acceptable. The comfortness of this place makes up for the food. So I still give it a 5.,0,0,0,Laurence E.,"Brooklyn, NY",3,7,40
3.0,4/5/2019,"Beautiful scenic location. Friendly and helpful staff. Weekday lunch was ok but my burger was nothing special and the fries were over cooked and quite dry and tasteless. Enough gluten-free options to make my wife happy and her steak was cooked perfectly, nicely seasoned, and very reasonably priced. They also offered her a gluten-free dinner roll which was a nice touch.",0,0,0,Carl D.,"Wind Gap, PA",0,256,5
5.0,4/1/2019,"View - 5 stars! - unbeatable!Ambiance - 5 stars! - gorgeous, dark, quiet, spa-likeBread - 5 stars! - fresh onion bread, served old-schoolService - 4.5 stars! - friendly but spotty at timesCauliflower pasta - 5 stars! - probably my favorite of the night, a bit on the salty side thoughHamachi app - 4.5 stars! - slightly seared, very yummyTrout - 4.5 stars! - very goodScallops - 5 stars! - very good, loved the sauceLemon ice cream sandwich - 4 stars! - solid, more like a cheesecake consistency than ice cream",0,0,0,Sylvia C.,"New York, NY",0,73,0
5.0,3/20/2019,"Amazing food, the staff is incredible and professional. Tom Collechio owns this place and grows fresh organic veggies via hydroponic farming outside. Chris is an incredible bartender and made me the most amazing cold pressed juice I've ever had. Get the green river cold pressed juice and you will have an amazing day!",0,0,0,M T.,"Baltimore, MD",62,4,1
5.0,3/11/2019,"I hate to write this review since I prefer to keep their brunch to myself - ah, but to be a good Yelper is it's own reward. Exquisite river view, sincere service, interesting yet easily understandable menu. So many ""best ever"" here - best ever squash in squash tacos (pic), best ever little donuts (they come out warm), French toast (balanced sweetness.) Tip: window tables are mostly for 2 - there is one for 3. For 5 request the ""mini sofa"" table.",1,0,0,David P.,"Manhattan, NY",7,44,51
5.0,3/3/2019,"My neighbor and I had a fantastic meal here during restaurant week. The setting and decor is splendid; the staff outstanding; and the food -- sustainable, from the Riverpark Farm -- exquisite. Highly GF friendly to boot!",0,0,0,ML S.,"New York, NY",0,31,0
5.0,2/21/2019,Fish was very tasty and the cereal ice cream desert was delicious and view was amazing ! The staff were very attentive and looking forward to going back .,0,0,0,Gavriel K.,"Manhattan, NY",35,6,0
1.0,2/20/2019,"This review will hurt/change your feelings about this place. This is not for the weak hearted or the people who take things anal. This restaurant is on my list of top rated ""garbage, not to ever go again"" restaurants in NYC. 1. The food was absolutely terrible. There were 8 guests that attended the gathering and all 8 people hated their entree. That alone should speak volume.2. The portions of every meal was as big as a happy meal. If anything, you get more food in happy meal that you would get in this establishment. NOTHING ON THE MENU CAN BE CHANGED. So if you want chicken added to your pasta, that would not happen. 3. The food was absolutely awful. Their pasta tasted like food you would get served on Rikers Island. Since they would not add chicken into the pasta, other fellow guest ordered the spiced chicken to add into their bland tasting pasta. Oh boy, did we all make the hugest mistake of our lives. The chicken by far was the WORST NON-TASTEFUL CHICKEN I HAVE EVER TASTED IN MY LIFE. NO FLAVOR, NO TASTE, straight up garbage. We all thought hey, we all have pasta let's just order the chicken and add it on top, maybe it'll give it more flavor and a better taste. Oh boy did we made second biggest mistake there. I wouldn't poison my worst enemies with this garbage food. 4. NOW THIS IS THE BIGGEST OF IT ALL. The bill came out to $315 and some change, 7 people split the bill evenly. Due to their lack of service and their poor tasteless meals, it affected on how much tip we had given them. THE MANAGER had the nerve to stop me and a few of my guest, and say we didn't pay the bill in full but they will comp whatever was not paid. Now listen, I been living in NYC my whole life. No way in hell would any restaurant let any party leave if there was a balance of $85.00 dollars left to be paid, NOBODY. The manager had actually messaged me and it's quite disgusting how he indirectly he said I couldn't ""afford"" the food when in reality I make more than the owner of the establishment. Now my card had declined yes due to my card being highly sensitive to fraud, so when it didn't recognize the transaction of course my bank declined it (my bank was trying to save me from this trash). But I easily quickpayed my friend and he put it on his card with no issues. What is absolutely disgusting is the manager had the nerve to indirectly say we was not able to afford the dinner. He also was more concerned about what bmw I was driving and what Rolex I was wearing, when in all reality he could've used that energy and made sure our meals were satisfying and that would've resulted in a larger tip, Instead of lying to our faces saying we didn't pay the bill and he was actually mad that we didn't tip as well for a large party. 5. And finally the best for last. As my party was seated, there was a White male in another party of 10+ staring at me and my guest the whole entire time. Every time I'd look right or left he would be staring. Now, where I'm from if another male stares at another male up and down non stop, that is considered ""homo"" or ""gay"". It was the most awkward weirdest experience I've ever dealt with. The customer had the nerve to message me and say the guest I was with were escorts and if we didn't have high paid escorts with our ponytails and fancy jackets we would be able to afford a meal across the street. Listen buddy if your reading this. You are are a low life. It's very unfortunate that this is how our night went. Everybody was so hungry that we quickly went to Tao and made up for the lost meal and time we will not get back. If the owner of this establishment is reading this, you need to fire your chef, he does not know how to cook. And you need a manager more concerned about his customers on hand instead of watching what they wear and what they drive. I do not recommend this restaurant to anybody who may be considering on coming here. It is a hassle alone to get there, so why go through all of that to eat garbage. Save your money, save your time, save your guest. It's not worth it. THIS RESTAURANT TRIED TAKING DOWN MY REVIEW TWICE BUT THE TRUTH HURTS ALL MY FELLOW YELPERS TRUST ME AND STAY AWAY !!!You have clowns like Anna, judging me by my profile picture. You shouldn't speak on a watch you can't afford nor does anybody CARE about what you have to say. The only person who is whining here is you about my honest review. If I can't give my honest review than what is yelp for ? There's multiple people who rated this place 3 stars and below. She talks about being with classy people, however she can't happen to mind her business. Classy people do not get messy honey, so sit down. Nobody cares how many times you went there to blow the manager sweetheart, you need go get tested. And honey, the whole staff said that it's family portion, but came out with dog food bowls of food. Stop it, stop lying, clearly your one of the customers who took my review anally, move on.",8,8,2,Akib R.,"Manhattan, NY",337,8,9
