rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/28/2019,"More like 3 stars but since the service was so great we'll do 4.Not sure why we ended up here but we did. Definitely was nervous how food would be since it's in a touristy area. I ordered the gnocchi based off reviews here but PLEASE do not order the gnocchi. Very plain, tastes like raw dough. Everyone else loved their meals. The bread is amazingggggg, the veal ravioli with pesto dish was great too. Spaghetti was good as well, simple with some tomatoes in it. Reason it's more of a 3 Star is just due to price. There is a lot more options in New York City for pasta that is as good or better, for a way cheaper price. Very big restaurant so if you have a large group this could be a place. If you're in the area and don't feel like traveling for somewhere else, it is good food.",0,0,0,Stephanie S.,"Troy, MI",334,18,0
5.0,4/24/2019,Thank you so much Shilany! You are the best waitress and we appreciate your service and kindness and professionalism You always take such good care of your customers in every way and your smile. Great restaurant and staff and food. Highly recommend and for holiday parties too which my company did for 2018 and will do for 2019! Thank you again,0,0,0,Michelle Z.,"Manhattan, New York, NY",0,4,0
2.0,4/23/2019,"As we ate our prosciutto and salami appetizer plates, the remainder of our dinner seemed promising. Unfortunately, that was the high point of the dinner. Our entrees were tasteless and boring. So disappointed.",0,0,0,Diane K.,"White Plains, NY",0,3,0
5.0,4/19/2019,"Oh my, Casa Nonna, is the Italian restaurant of my dreams.  My friends and I went to Casa Nonna for dinner before catching a show.  I'm so happy we went here, I left feeling full and satisfied, and ready to sit for a 3 hour play.Upon arrival, it wasn't too crowded.  The restaurant is quite expansive for NYC.  I started with a glass of Chianti.  My friends and I ordered the amazing bruschetta and crispy Brussels Sprouts.  It was a perfect start to the meal.  The Bruschetta was a-plenty and the mustard-apple cider vinaigrette on the Brussels Sprouts was to die for.  So good!  For dinner I ordered the truffle ricotta gnocchi with wild mushrooms and Fava Beans and it was like I was eating candy.  It was so buttery and delicious.  I had no other choice but to eat the whole thing!  And to my surprise, I still had room to share the tiramisu.  My friends also raved about their meals.  Is there anything Casa Nonna can't do?Our waiter was very friendly.  He checked up on us a few times and made sure we were well taken care of.  Thanks for an excellent dinner Casa Nonna!",7,4,5,Jessi S.,"Carlstadt, NJ",289,143,120
3.0,4/17/2019,"Disappointing. While the food was fine, the restaurant felt corporate and more like a large chain (even though it isn't) and not the cozy Italian family restaurant it's trying to pretend to be online.",0,0,0,Jill J.,"Encino, CA",0,3,0
4.0,4/15/2019,"We went to Casa Nonna for dinner. Our waiter never introduced himself, but the food was delicious. I had the garlic bread and the twisted pasta in a beef and pork ragu sauce. My boyfriend had octopus and a fish entree. The staff was very attentive and the place was quite large with several areas for large parties, including a private room towards the front of the restaurant. I would go again.",0,0,0,Akira S.,"Rochester, NY",4,93,13
4.0,4/4/2019,We ordered Truffle Ricotta Gnocchi and Frutty di Mare. The Gnocchi is a little greasy. Frutti di Mare is not bad. Then we had Panna Cotta for desert. This is good.,0,0,0,Zihao W.,"Pittsburgh, PA",5,12,74
2.0,3/31/2019,"A ripoff! Two people. A salad (lettuce and grated cheese), spaghetti with tomato sauce, gnocchi, two glasses of house wine. No dessert. Total: $105 before tip. For this kind of place? No tablecloth? You've gotta be kidding.  As  for the service: if you don't mind the server addressing you and your lady (both of a certain age) as ""you guys"", you can say it's passable.",0,0,0,Julio K.,"Manhattan, NY",0,33,0
4.0,3/25/2019,"I've only been to Casa Nonna for lunch but I absolutely love this place! They have everything from delicious salads, paninis, pizza, and pasta. I've tried it all and it's never disappointed me! Their fried calamari and meatball appetizers are standout items and I would 100% recommend you add that to your order! Trust me you won't regret it. I usually get pollo sandwich and it's uh-mazing! I've had their seafood pasta and that was just alright, but their chicken parm was great! Definitely recommend Casa Nonna!",1,0,1,Kristal M.,"Manhattan, NY",266,42,24
3.0,3/19/2019,"""Nonna, I'm still hungry""Still being hungry after going to Nonna's house is unheard of.I would leave my Nonnie's house in pain from eating so much.If you finished your plate, Nonnie would fill it back up saying, ""have more"".Not the case at Casa Nonna. The food was good. The service was excellent. But the portions were small. If I had ordered only my entree, I would  have left starving. I began with a butternut squash soup which was creamy and tasty. I also ordered a side of broccoli rabe because I was curious how it would taste. It wasn't bad, but it was bland. I usually saute it with garlic and olive oil and then let it simmer in chicken stock to develop more flavor. Then I had the Siamese Agnolotti pasta. Veal ragu, spinach & taleggio, truffled pecorino fonduta marsala glaze. I wasn't 100% sure what this pasta dish would be but the veal ragu sounded good. It turned out to be similar to small ravioli. Eight small ravioli stuffed half way with the veal ragu. The other half with the spinach taleggio. Topped with a light cream sauce and mushrooms. I ate it in about five minutes and I was taking my time. I should have tried a basic sauce with some pasta because my dish was bland. My wife had the Polpette Panini. A meatball sandwich with sauce, provolone and mozzerella. The sandwich was a lot better than my dinner. I wish I kept it simple and also ordered the meatball panini. My sister-in-law had the margarita pizza. Her pizza was pretty tasty. I felt the restaurant was over priced. Granted, I know it's in NYC. But come on!$17 for a meatball sandwich. $10 for a small side of broccoli rabe. $15 for a margarita pizza. And $26 for my small pasta dish. My dish was so small, I thought they made a mistake when the waiter brought the dish to me. I will not be recommending this restaurant to friends or family that travel to NYC.",3,0,1,Steve T.,"Waterbury, CT",113,128,228
4.0,3/18/2019,"Years ago, I had taken my brother to Casa Nonna for a special wine dinner hosted by Chef David Burke, their culinary consultant.  We had really enjoyed the experience, but I had completely forgotten about the destination, given that I am rarely hanging out in the neighborhood between Port Authority and Penn Station.  However, my friend recently asked me to find a dinner spot in that locale, and, after a quick search, I was reminded of this terrific option.  My friend was waiting for me at the packed bar, and when I arrived, she marveled at how spacious and vibrant the restaurant was.  She grabbed her glass of wine, and we followed the hostess to our table in the dining room.  I decided to skip a beverage that night, but we both munched on the complimentary flatbread, which was topped with a cheese and black pepper-crusted topping.  The zesty crisps were a necessary indulgence as we inhaled all of the seductive food smells swirling around us.  We decided to share a few plates, starting with the seasonal Pumpkin and Pear Salad.  Leaves of arugula and radicchio were topped with roasted pumpkin, caramelized pear, pumpkin seeds, and a pear-balsamic vinaigrette.  Thickly-cut slices of fresh ricotta salata were a welcome creamy addition to balance the acidity.  Next, we moved onto Whole Wheat Tagliatelle with squash, wild mushrooms, kale, and a truffle Parmesan sauce that was aromatic yet light.  The nutty noodles and vegetable accoutrements made it at least appear to have been a healthier selection.  Lastly, the Branzino was pan-seared for a crunchy skin covering moist meat.  It was elegantly lying over a bed of cannellini beans, escarole, sofrito, and a saffron aioli.  A smoked paprika oil was drizzled over the dish, bringing the Mediterranean flavors to the forefront.Casa Nonna provided a first-rate meal in an exciting atmosphere.  The fact that it was a culinary delight in the midst of an otherwise food wasteland was definitely an added bonus.",10,3,7,Alison C.,"Hoboken, NJ",1125,1410,640
