rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,5/1/2019,"Good spot for happy hour with $1 oysters, $9 select wines, and half off beers. The restaurant itself is pretty large and wasn't busy on a Tuesday at 6:30PM. Happy hour goes until 7PM. Rather than just a bar area, they also have high top tables eligible for happy hour. There's no lack of seating and it's nicely separated from the main dining area. The oysters were great, not fishy and very fresh. They also came out very quickly and the restaurant even gave us an extra oyster! Would come back just for the quality oysters. The wine offerings were a bit limited but included a red, white, and rose option.I want to call out the service in particular. It was fantastic. We were seated immediately upon entering and the waitress made it a point to come over before happy hour was over to get our final orders.Will be back for happy hour!",0,0,0,Elizabeth L.,"New York, NY",19,99,237
5.0,4/27/2019,"Once again the Food staff ambiance were amazing! We thoroughly enjoyed The happy hour $1 oyster special and also the shishito peppers! We drank some dirty martinis and the smokey Manhattans. The Bloodys here are definitely on my top favorites in Manhattan! Each day they have specials, mussel mondays blue crab Tuesdays lobster bake Wednesday's All you can eat peel and eat shrimp Thursdaysand king crab on fridays and Saturdays. Plus for brunch on Saturdaysand Sunday'sthey have bottomless mimosas Bloodys and Sangria for $20. This place never disappoints. Highly recommended! A++++",0,0,0,Green B.,"New York, NY",219,41,162
5.0,4/13/2019,"Came here for date night with my wife, and we both really enjoyed it. I particularly liked the scallop salad to start, and the cod entrée was also really nice. The servers were very attentive and answered all our questions. It was a warm night and they had the front windows open to the sidewalk which gives the dining room a great atmosphere. Would definitely recommend it",0,0,0,Matt H.,"New York, NY",0,51,1
4.0,4/13/2019,"My husband and I went here for a late happy hour and a very light dinner. Overall, I was really blown away with the savory, tasty food. We ordered a dozen oysters to share, and then he had the Hamachi appetizer and I enjoyed the Ceasar Kale salad. We didn't actually eat anything from the Entrée portion of the menu, so I can't speak on that. However, the oysters were remarkably fresh and my salad was really flavorful. We each ordered a drink (I had wine; he had beer) and the bill came out to about $80. A few thoughts on the price. For one, we thoroughly enjoyed what we ate and would definitely come back for the oysters (at the very least). On the other hand though, $80 for oysters (they were $1/piece) and two appetizers is pretty pricey. If we had come for a full meal, we would have spent over $100 easily. All in all, we agreed that we would return. However, we would probably only come during happy hour as the prices are a little steep for a full meal. But, that being said, what we ate was so incredibly flavorful. Your taste buds will be satisfied, even if your wallet doesn't leave feeling the same way.",0,0,0,Stephanie G.,"New York, NY",74,18,3
2.0,3/24/2019,"Maybe this is not the place for a Saturday lunch or brunch.  Service is indifferent at best.  I was contemplating the bagel tower but $100 is a bit much for what you get - asked if I can get the whitefish salad separately.  I was told no and this makes absolutely no sense to me.  We ended up getting the bagels anyway and they were dry and definitely not fresh.  I ordered a soy latte and it was lumpy and chunky.  I drank a few sips and sent it back, I was never offered to take if off the bill. Tuna crudo and the rosemary sage bisquits were the only redeeming items of our meal - both very good but not worth coming back for.",0,0,0,Antje N.,"Midtown East, Manhattan, NY",0,5,0
3.0,3/19/2019,"Food was good, but overpriced as we're the drinks. Forget trying to hear your dinner partner as the acoustics in the place were horrendous.  Not worth the visit! !",0,0,0,Dave M.,"Goshen, NY",17,8,0
5.0,3/16/2019,Great bar seating - the weather was lovely and they had the floor to ceiling windows open. The raw bar was excellent.,0,0,0,Abby L.,"West Side - Waterside - South End, CT",30,23,8
3.0,3/15/2019,"Food: the concepts are great, execution is not great. For example the mushroom ragu with a poached egg isn't really a ""ragu"" it's sautéed mushrooms, the poached egg was overdone so no runny yolk which is the whole point. My tuna was well cooked and flavorful but the there wasn't enough of the sauce so it was pretty dry. The polenta fries were the best part of the entire meal. They are delicious I'd order them again if I ever went back (which I probably won't.) The wine glasses are not good. That may sound odd but they are those thicker glass cheap ones that don't fully express the wine. My dining partner ordered a medium steak that came out blue in the center, it seemed to have a lot of gristle so I'm guessing it wasn't trimmed well either.The service: was good at first but our server pretty much ignored us the whole night. It took so long to get our check one member of our party actually got up and walked over to the bar where she was chatting with two other employees to ask for it.With so many good restaurants in NY, I probably wouldn't go back.",0,0,0,P O.,"Financial District, San Francisco, CA",0,35,2
4.0,3/13/2019,"Went with some trepidation given some of the negative comments in reviews.  Colleague and I had fish and chips, grilled shrimp and bacon Brussels sprouts.  All good.  Good variety of choices on the menu, decent cocktail, beer, wine list.  Not gourmet cuisine but you get what you order, no surprises and food is tasty.  Service was efficient.  I will return, great to find reliable places to eat.",0,0,0,Liz M.,"Tarrytown, NY",0,28,0
3.0,3/9/2019,"Let me start off by saying this place can be an easy 4.5 with a few MAJOR tweaks. On the way to Little Italy we saw this restaurant and decided to turn around and give it a try. Here is a tip to every restaurant owner and manager in the world. Your host/hostess sets the initial tone for the patrons. Having someone who shows zero interest in her job, can't smile and is just an overall mope isn't the person you want greeting people waking in. It doesn't cost anything to smile. We decided to sit at the hi-tops near the bar. We would have preferred the bar as the bartenders were very attentive and the service was top notch. I'm not sure if our waiter was super busy with other tables but our service was lacking. I went to the bar twice myself and also had the manager bring us a round of drinks. Had our waiter been more attentive we probably would have had 2-3 more drinks. The food was SPECTACULAR for the most part. The Smoked Trout Toast app is probably one of the best things I have ever eaten. I seriously contemplated ordering another one. So simple yet so perfect. Really delicious!! For entrees we ordered the Tuna Burger ($20) and Chopped Farmers Salad ($14) with Salmon** and a side order of Brussel Sprouts ($10). The Tuna Burger (which is server on a English Muffin) was melt in your mouth delicious. The Brussel Sprouts we great too but could probably be served with a little less parmigiana cheese. The Chopped Farmers Salad was nothing special. The dressing was flavorless and the salad was packed with tomatoes. Not a good balance with the other veggies. ** So my wife requested fish with her salad. The waiter told her to pick a protein so she chose Salmon. He charged us for the Salmon entree ($34) on top of Salad entree price. I don't think I've ever been to a restaurant that charges the full entree price for a protein when it's being added to a salad. If we would have known that then we would have ordered the 3rd entree to have the sides. Would have loved to give this place a 5 but between the hostess, poor service and over charging for the fish I'm going with a 3 (should be a 2 but the manager and bar staff pitching in got the extra start)  Food was a solid 4.5",0,0,0,David G.,"Long Branch, NJ",0,11,0
