rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,3/24/2019,"This was a definite 5 out of 5 stars experience. The ambience was perfect with the restaurant situated at on the skating level of Rockefeller Center. The service was impeccable. Unfortunately, we didn't catch our waiter's name but he was a trim gentleman, glasses, with dark hair parted to the side. He deserves recognition, he took such pride in his job which is so rare to find these days. The food was equally as wonderful as the ambience and service. My boyfriend had the crab cakes which I'm told we're incredible. I had the surf and turf which was a fun and delicious play on the typical steak and lobster. It was short ribs and scallops which were both cooked to a succulent perfection. We had a few appetizers and sides as well. Overall, a truly wonderful experience!",0,0,0,Lori R.,"Boston, MA",184,75,13
3.0,3/17/2019,"I was at The Sea Grill a few days ago for lunch, and while it's pretty empty when you show up for the start of lunch service, it gets pretty packed by the time you hit early afternoon. I can imagine it's decently popular with the business crowd due to the location, but there are also some families that cycle in and out, sometimes to see relatives who are skating on the ice rink. The restaurant is pretty cozy since it's below street level, but I can imagine that the rink brings a nicer view than there would otherwise be during the summertime. The service was alright, if a tad awkward, with the main plus being that it serves lunch on a pretty quick schedule once the order is in.Although there are some land options, I stuck with seafood - seemed apt given the name of the restaurant - and I generally came away with a decent impression, although it felt overpriced given what it was. I started with four oysters, split between Beau Soleil (East Coast) and Kumamoto (West Coast). The flavors were solid, although the Kumamotos were a bit on the smaller side, even given they tend to be smaller to start with. The bigger issue is each oyster sets you back $4.50, which is a bit ridiculous. The main was nice and light as well - I went with the Casco Bay cod, which had a nice crisp and was pretty flaky, although I felt that the texture was a little too glossy. However, the flavor resembled a light saute, and the creamed spinach it was served on wasn't as heavy as one might imagine. The salmon, despite sounding good, seemed to be a little undercooked, however - kind of disappointing since it looks pretty good on the menu.Overall, I'd say that Sea Grill is your run-of-the-mill business spot for a meal in the heart of Midtown. It is overpriced - like pretty much everything else in NYC, and particularly in this neighborhood - but the seafood is decent, if not cooked too consistently. I might pay a visit again down the road at some point.",2,1,2,Asuka N.,"New York, NY",371,1653,169
2.0,3/16/2019,"Go somewhere, anywhere else. Jumbo crab cakes were the worst. Under-cooked, under-seasoned. After the second bone, dinner was over. My daughter ordered the scallops. 3 gritty, under-washed scallops served on an overly large bed of wilted spinach.Most interesting? Our waiter could clearly see we weren't pleased. He never asked how was our food. Consumed. With. Apathy.I wish we had just grabbed food on the street.",0,0,0,Angela G.,"Boise, ID",0,11,0
5.0,3/13/2019,"I've been here before and always liked it.  I had not realized that they do themed events so when they announced a Mardi Gras dinner, it sounded like fun.  We had a nice table with a great view of the skating rink and skaters.  The service was outstanding throughout the meal.The menu included four courses.  For the first course, they brought a tray with a sampling of several appetizers-one for each of us that included oyster po'boy sliders, blackened shrimp, BBG glazed pork belly and boudin balls.  All were quite good.  For the second course, I had the crispy crab-stuffed shrimp and they were delicious.  For the third course, I had the shrimp and grits.   The shrimp was cooked perfectly.  The grits were good though never been the biggest fan of grits in general.  The braised collard greens were also good.  The dessert choices all sounded wonderful (bananas foster, pecan bread pudding with bailey's ice cream and warm beignets.  I had the bread pudding which was great and the ice cream was wonderful.  They had some nice touches to match the theme including a mask and beads for each person.  There was music that was supposed to match the theme and didn't really though it was very nice.  It was a relaxing night and very enjoyable.",0,0,0,Betsy B.,"Tucson, AZ",50,529,920
2.0,2/18/2019,"Reservation made: 1/17/2019Dine-in Date: 2/14/2019We made the reservation through Open Tables on January 17, 2019 to celebrate our Valentine's Day here. As soon as we sat down, there was a waitress who was saying ""yes, this is included in your meal"" or ""no, I'm sorry, this is not included, but you can have this instead."" I thought that those tables were dining at The Sea Grill with some sort of Groupon deal, I thought I was missing out on something.When we were ready to order, we've asked our waiter the difference between the Seafood Platter for Two ($38) and the Seafood Platter ($9 per person). Waiter started doing math in his head which was just awkward,.. then he stated it's a difference in portion so we've ordered the Seafood Platter ($18) along with an order of Crab Cakes ($12) so we can still have room for our entrees. I always love the crab cakes, it's truly their signature dish, along with the key lime pie. When waiter was told that we were ready for the check, he said ""are you sure? because you're entitled to desserts!"" I laughed because I thought he was making a Valentine's joke to my boyfriend. I explained that I already had a lot of sweets today, but the waiter was quite persistent, ""are you sure? How about some coffee? Or did you want to take it to-go?"" I wasn't quite satisfied by his sales tactics, so I still shook my head, requesting for the check.Once we received our check, we were astonished. Sprite $11Seafood Platter $38Crab Cakes $12Filet Mignon $95Salmon $95+Tax $286It seems that for Valentine's (holidays it says), everyone who is dining at The Sea Grill was opted-in to a prefixed meal for $95 per person. Waiter let me know that there was an email that I should've received. When I checked the email I got from Open Tables on January 17th, there was nothing written. Then I checked my email from February 13th, which I used to click the link to confirm my reservation, I noticed that when I scrolled further down, there was a ""What to know before you go"" which indicated ""On this day, The Sea Grill will serve a special prix-fixe Valentine's Day menu ($95 for dinner), in lieu of our regular a la carte menu."" I didn't even understand how we were able to order outside of the $95 meal that costed us extra. Or is the phrase ""in lieu"" being misused?So the conversation between the server went something like:Me: I'm sorry, what? $95?- Yes, today we are serving a prefix meal of $95 per personMe: Why weren't we informed?- It was sent to you in an emailMe: You should've let us know we were ordering additional to the $95- I did earlier (when we were asking about the difference between the two types of Seafood Platter)Me: ????????????? All this time I thought others were here on a Groupon special, the other lady was explaining well to the other customers what is included and what is not- I am sorry but there's nothing I can do, everyone is paying $95Me: Do you this this makes sense? And this Seafood Platter, you said it was gonna be $18- Yes, I believe that's an error, we'll fix that for youHonestly, our Valentine's Day was already pretty much ruined. Our effort in making this day special had all gone down the drain. I just paid $190 for a piece of steak and salmon. We've had our Valentine's here annually, including our first date. I didn't want it to be our last. With 15% tip, check totaled to $306. But can I say that this isn't the worst part?I gave a call to The Sea Grill next day hoping that the management would understand my frustration. After all, they're a reputable, up-scale restaurant. Today being the 19th, I've still haven't heard from the General Manager. The host that I spoke with, had all the details and the reason why I was calling. But ""as per the General Manager,"" she offered free desserts during our next visit. Sea Grill has admitted that their staff failed to inform us in detail about the prefix menu and the extra charges, but ""cannot"" do anything except ""comp desserts."" Honestly, the money isn't the issue here-it's the principle. Sea Grill says they've failed to do something and admitted that they are making corrective actions, but they are having their guests pay the consequences of their mistakes? This is an experience I'll never forget. Every time I hear complimentary desserts, unfortunately I will no longer have an appetite for it. My boyfriend and I have been returning to The Sea Grill because it was ""our restaurant."" I'm pretty sure everyone knows and probably even has one themselves. Unfortunately, we will need to suffer with bitter-sweetness every time we return.",0,0,0,Hee Yeon K.,"Manhattan, NY",374,120,1023
5.0,2/17/2019,"Still one of the best seafood restaurants in NYC. Opened ages ago in Rockefeller Center and it is still excellent. We came for Restaurant Week and that was a good idea. Otherwise this is expensive. But the 3 course meal was wonderful. Had the seafood bisque, shrimp salad and crab cakes. Then we had salmon, and sole, and cod and a pasta dish. The desserts were great, The wine list extensive. And the ambience was wonderful. Plus a view of the ice skating rink and you have the best setting for a great meal. Always loved the place and it still holds up after many decades. Worth a visit - especially for a special occassion.",1,0,1,Ron R.,"New York, NY",3,165,444
5.0,2/10/2019,"5 stars across the board, food, service and views all amazing. A definite recommendation",0,0,0,Roniel A.,"Manhattan, New York, NY",0,2,9
4.0,2/10/2019,"My girlfriend and I attended The Sea Grill during Restaurant Week, and the meal was great overall: hot bread for the table, seafood chowder, sushi entree (hand rolls and sashimi), the bay cod over sautéed spinach, and dark chocolate fudge with banana purée. I'd highly recommend the bay cod over spinach and getting a seat by the rink in the winter. I've walked through Rockefeller Center and past the roller skating rink outside countless times, so dining right in the heart of the two was a pretty cool experience.",1,0,0,Trevor M.,"Manhattan, New York, NY",6,195,300
4.0,2/10/2019,"I came here for restaurant week and thought it was quite good! The ambiance was very unique and you are able to watch the Rockefeller Center Ice skaters. We had the crab cake and chowder for appetizers which we both loved.  I thought the chocolate ganache cake was amazing and the apple tart was just okay. We were not impressed with the cod or snapper main course, but that is sometimes the risk of restaurant week menus. Overall we enjoyed the evening and had some very good courses.",0,0,0,Mike B.,"Manhattan, NY",0,64,1
4.0,2/9/2019,"My boyfriend and I came here one night for restaurant week before seeing a Broadway show and had a great time. We had a reservation for 530 on a Thursday night and were seating right away at one of their 2 person tables right along the windows facing the ice rink. I lived the decor of the restaurant. To start they bring out a selection of breads, an olive loaf and a baguette which were both delicious and fresh out of the oven. For the appetizer we both started with the seafood chowder that had lobster shrimp clams and bacon. We both really enjoyed it, there were large chunks of all the seafood, although I felt like the broth needed a bit more salt. We also got 2 beau soleil oysters which were incredible. Shout out to our waiter for making a great recommendation on the oysters. For the main course we got the sushi platter as well as the cod. Both were really good. The sushi was very fresh and absolutely delicious. I enjoyed the 2 different types of rolls on the plate. The cod was cooked perfectly and I loved the flavor of the bed of spinach it was on. They worked really well together. To finish, we got each of the desserts, the warm apple tart with ice cream and caramel and the dark chocolate ganache cake with ice cream. Both tasted good, the tart was pretty standard, nothing special but the dark chocolate cake was delicious. Very rich and decadent and absolutely delicious!Overall a great meal, definitely glad I got a chance to try it for restaurant week!",2,0,1,Alina V.,"New York, NY",257,274,682
