rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,2/23/2019,"I had a dinner at Bar Italia, and it was great experience. The Burrata and Prosciutto it was amazing, really good. Really professional waiter,great atmosphere. I had the chance to meet both owners, cool guys Giuseppe and Salvatore, vary  friendly  I will definitely go back.",0,0,0,Ade N.,"Manhattan, New York, NY",0,16,6
4.0,2/15/2019,"Came here for dinner and a drink with a buddy of mine on a Saturday night, and had a very pleasant experience!  This place has a cozy, relaxed atmosphere.  It looks pretty small from the outside, but is a lot longer and larger towards the back when you walk in.I just ordered the Astoria Pizza off of their appetizers menu (wasn't feeling pasta that night), which was a simple white pizza with prosciutto, ricotta, and truffle oil; my friend got the squid ink pasta.  While the pizza was admittedly a bit doughier than I would've liked, it was still solid!  Wonderful service too -- maybe it was just that it wasn't terribly busy when we walked in, but our bartender was friendly and attentive the entire time we were there.  Even struck up a quick conversation with us, which I can always appreciate!  They also have a standard selection of beers on tap at a standard price of $8 per pint -- nothing too much to say there!Overall, I would definitely come here again if I was in the area!",0,0,0,Alex L.,"Charlotte, NC",370,113,35
5.0,1/14/2019,My new goto spot in Astoria.  Amazing food and drinks!  The Astoria Pizza is my favorite dish on the menu!,0,0,0,Amanda C.,"Steinway, Queens, NY",0,2,1
5.0,1/11/2019,Great little gem of a restaurant! The atmosphere is awesome and the food was great. Appetizers and main course!! Nice wine selection. Excellent service. Will definitely be back!!,0,0,0,Cate M.,"Westbury, NY",29,10,0
4.0,1/3/2019,"Went here on Christmas Eve, as I didn't feel like making all the fishes myself. Service was good, but the place was empty. All pastas are homemade and it shows, nice fresh flavor. I had the squid ink pasta with shrimp, it was tasty and nicely presented, others enjoyed their dishes as well (Carbonara and peppardelle dishes). The wine list is sparse and mainly South American and South Pacific, very few Italian and French wines. Was not able to pair the way I wanted to, and that's kind of a big deal to me. Happy hour deal/beers were good though, but drank before the main course. Would definitely like to try the calamari and the frutti de mare, this place is close by and seems to be a safe bet.",1,1,0,Peter D.,"Astoria, Queens, NY",125,270,4
5.0,1/2/2019,"Astoria local here. I popped into Portalia on Saturday around 2pm to try out their brunch menu. Service was great; I was seated within one minute of arriving and our server was very prompt and professional being attentive to refilling glasses of water and checking in on my order. I tried the gnocchi and burger - both were delicious, cooked perfectly and I knew immediately that I would be back to try their dinner menu. Lastly, I tried the warm chocolate brownie with ice cream bar sticking out - a fun dessert to share and indulge in. This place is a great addition to Astoria's growing dining scene with superb quality of food and attentive service to customers.",0,0,0,Shabe A.,"Astoria, NY",0,1,4
5.0,12/30/2018,"The restaurant is super cozy and appealing. The atmosphere is great. I loved the Twilight Zone and Buster Keaton. The music was perfect as was the attentive staff. Best of all was the food. I had an array of appetizers and loved them all, especially the meatballs. They make a darn good meatball! Also had a salad and chicken parm. All of it was excellent.",0,0,0,Stacey M.,"Huntington, NY",0,1,0
4.0,12/4/2018,"This is my new favorite neighborhood restaurant.  Comparably affordable, but FEELS expensive because the service, food and wine are excellent.  Tonight, having the risotto special with salmon& sweet peas. The focaccia bread is excellent, and they're now serving with a delicious tomato/basil/goat cheese sauce.  And it's $6 wine all night!UPDATE - the management has changed and there have been ups and downs.  Some of the happy hour options have changed for the worse.  Valeria behind the bar is very gracious and attentive - love her!  Still a good neighborhood bar.  And the Caesar salad is good even with Arugula (still a little scared of romaine if I don't know where it's from!).  It has potential to be a top notch Italian bar and I want one in Astoria!",0,0,0,Liz U.,"New York, NY",313,6,1
5.0,11/28/2018,"My first brunch at Portalia was last week! I heard a lot of good things about this restaurant! My husband and I ordered the crostini with smoked salmon, crab cake and the French toast everything was Amazing! The waiter told us they are under new management and they are improving their menu! We are excited to come back for dinner!!!",1,0,0,Shelly D.,"São Paulo, Brazil",23,3,4
1.0,11/18/2018,"Went today for the first time, was excited to try after reading so many positive reviews about their brunch. There were several good things about our visit: wait staff and hostess were very friendly. Restaurant is super cute. Bar has a tv if you want to watch the game. Great space for events. Clean. Unfortunately the overall experience was not good and will keep us from coming back: I attempted to order two dishes but was told they did not have the ingredients to make them. (Would be helpful if we were told this when we sat). Husband ordered a Bloody Mary and it came out almost straight tomato juice garnished with a lemon. waited 40 minutes for food - was told it was due to two large parties that sat right before us. Ok, no problem...except when the food came out it was not good. (This place is not cheap btw- so I'm expecting the food to be on point). There was still shell on my shrimp that I discovered after eating it. My home fries were too undercooked to eat. (Positive -The eggs were perfectly poached.) My English muffin was soggy instead of toasted. Both our dishes had no taste. Husband ordered omelette with mozzarella tomato and spinach, however the tomato and spinach must have been left in the kitchen. The side of bacon I ordered was almost too undercooked to eat (one piece was). Overall, not a good experience and very disappointing after hearing/reading so many positives. Don't mind paying $50 for a brunch if it's worth it. Guess we will stick to our regular spots.",1,0,0,Kimberly R.,"Manhattan, NY",0,5,5
