rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/30/2019,"Atmosphere is very cool. Amazing steak and the mashed potatoes and spinach sides were good too. We had the 26 layer cake, brownie, and meringue for desert. Most people at the table liked the brownie the most but the cake was my favorite. Lots of old time pics along the walls. Overall, excellent.",0,0,0,Jared K.,"Jay, VT",0,5,1
5.0,4/27/2019,old school steak house which never fails to deliver. Fabulous seasoned steaks. I do not know what they season with but they are SUPERB! Desserts out of this world and a great wine list. This is the best steak house in NYC with out a doubt!,0,0,0,Antigone S.,"Manhattan, New York, NY",0,8,0
3.0,4/22/2019,"Four star NYC steakhouse...can't go wrong right? ... wrong... I was sadly disappointed by strip house I heard a lot about this place and saved it for my fiancé's 30th birthday. I made a reservation for a Monday night (his actual birthday) and was asked if it was a special occasion and I told them it was his 30th birthday... this was not acknowledged at all throughout our meal (which isn't a huge deal because we don't like big displays but some acknowledgement would have been nice for him) I have to preface the review by saying the food was very very good but the service just did not feel four dollar signs or four stars worth. My water was not once refilled. We sat by the kitchen and I could hear conversations about who needed to bus what table. The waiter was nice but not attentive and did not take the time to make us feel like he actually cared whether or not we enjoyed our meal. Take away: good enough food, service not worth the money",2,0,0,Ami P.,"New Brunswick, NJ",198,33,15
3.0,4/19/2019,"We had a dinner for 15 people that we had made a reservation for on a Wednesday night.. We had to crowd into a table for 10 in the center by the entrance to the kitchen.. Not pleasant.The food was good.. not great... The exception was the onion rolls..they were great..The scallop appetizer for $24.. two scallops, lots of mushrooms and some other root vegetable you can pass on..definitely not worth the price. Same for the Foie Gras.The Bacon appetizer was one of the few shareable appetizers on the menu.. That was really good.I had the 14 oz NY Strip. Perfectly cooked/ charred, but over seasoned. The service was excellent.. Martini's and old fashion's were good.Overall impression- It is an overpriced steakhouse.  That even charges $5 for the Bernaise and Au Poivre sauces. Stick to Peter Luger's, Capital Grille, Palm, Smith and Wollensky's,",1,0,0,Rob C.,"Nutley, NJ",61,5,0
5.0,4/9/2019,"We had an amazing dinner here and incredible service. This was the best steak I have ever had in a beautiful ambiance. The waiter was very helpful with helping me to navigate the menu with my gluten allergy. For an appetizer, my grandpa ordered the Caesar salad (big enough for 2 to share) and had a poached egg in it. He enjoyed the Caesar salad but it had croutons in it so it was not gluten free. I ordered the NY strip and I loved the pepper crust. The steak was big enough for 2 meals though. I ordered a side of the twice baked potatoes which were incredibly tasty. I contemplated getting an order of the potatoes to go! My boyfriend ordered the ribeye with cream of spinach and loved his as well. The cream of spinach is not gluten free though. My grandmother ordered the lobster bisque which she said was very rich and tasty. She also ordered the scallops which were in a sweet, cinnamon-y sauce (very unique and yummy). For dessert, we ordered the 24 layer cake (which was huge) and everyone else said was very tasty. We will definitely be returning!",0,0,0,Lindsey D.,"New York, NY",398,204,105
4.0,3/18/2019,"I told a friend I was going to the Strip House and she said really who's getting married? I was like what? You said strip house? Uh, its a steak house .... I think some how they like that moniker. The classy but subdue interior was a pleasant experience. Seating was comfortable surrounded by photographs of famous stars all staring at you while you eat. Our friendly server was casual and prompt. He introduce himself and got our drinks. He gave us a long list of specials but the only one that stuck was the lobster Mac & Cheese.I went with the NY strip while my friends choosed the filet and rib. The meat came simply presented on a plate. The meat after all was the star. It had a wonderful char but still perfectly cooked as ordered (mine was medium). The meat didn't even need the steak sauce. We got the crab cake to stare and a side of bake potato, fries and lobster Mac&Cheese. The baked potato came with the usual mixing and chopped bacon bits. Cake was equally enjoyable start. The fries were nice and crispy with a hint of salt and side of ketchup. Unlike fries the lobster Mac & Cheese was disappointment. It was more of a soupy goop and overly salty. One try and the rest was left on the table as the horrible step child of the other sides.We decided to try the 24 layer chocolate cake which delivered. The decadent dense chocolate cake was delicious way to cap off the caloric meal but all so worth it. It has to be worth the calories.I'd say the Strip House certainly delivered on the steak. The meat was juicy, perfectly cooked and well seasoned. Even the appetizers were enjoyable while the sides was a hit or miss in my book. You can't really go wrong with a baked potato or fries, all steakhouse staples but beware of the specials.",1,1,1,David N.,"Brooklyn, NY",123,631,903
1.0,3/16/2019,"Let me first say- this is the BEST steak in nyc. I have been here 13 years and upon finding it a few years ago I am obsessed. The food is always INCREDIBLE and so was our waitress last night. She really tried to make the best of the situation we were given. So almost a month ago, I called to make a reservation for my birthday dinner. My dad was flying in just for the chocolate cake! We celebrated my 30th here and we had come to make a tradition of him coming and us dining here. I told the host on the phone that is was my birthday. Last night we come and we're on time for our reservation. We were sat in the alcove almost between the 2 sets of double doors to go into the kitchen. This meant all night runners were bumping me (I'm tiny and was squeezed in as far as possible. We always had runners standing over our table waiting until they were needed elsewhere. But the worst part was every 30 seconds when someone came out of the kitchen to run food, I had a flash of fluorescent light  when the restaurant is pretty dark. I had to leave before my dad even paid cause I developed a migraine from it. I have worked in NYC restaurants for over 10 years and was taken aback by this. This isn't a table you should get for a party of 4 with advance reservations for a special occasion! And the waitress didn't know it was my birthday until my dad told her. Usually the service here is great but this really missed the mark for me and ruined the experience.",1,0,0,Peg K.,"Brooklyn, NY",0,4,0
2.0,3/9/2019,Well I have to say the service was great right up until having paid they delivered our coats to the table as we were finishing the last drinks they had sold us. If they had informed us they needed us in and out within a time frame we could have worked with it or declined and gone elsewhere. Very poor!Steaks were average and expensive but we knew the second part of that statement prior to arrival. All other food was actually pretty good. The dining experience was let down by the poor customer management.,0,0,0,Geoff H.,"Upminster, United Kingdom",0,11,3
4.0,3/2/2019,"Food: 3.5/5I've been coming here for years. There are days where I think Strip House is the best and other days where I think Lugers is better. Call me weird but.. I think they might have a different chef on Tuesdays. We ordered a caesar salad and two dry aged strips. The strips (on Tuesday) were not good. It was over cooked, dry and tough. There's other times I ate here and it was heaven in my mouth so I'd give this place 3.5 due to their inconsistency.Btw, their 24 layer cake is PHENOMENAL.Service: 5/5The staff here are great. My water and wine glass never goes empty! Very friendly and attentive staff. Ambiance: 5/5This might be one of the nicer steak houses in NY. If we're comparing just the ambiance/interior, Strip House is a lot nicer than Lugers and Wollenskys.",4,0,0,Jane K.,"Manhattan, NY",154,219,876
5.0,3/2/2019,"We came here for a birthday dinner and were highly impressed. From the patient and knowledgeable staff, to the exceptional food, we were thoroughly impressed.  The food was cooked to order, and came out fairly quickly. I can't wait to come back!!!",0,0,0,Vicente W.,"Brooklyn, Brooklyn, NY",107,10,30
4.0,2/27/2019,"The food was amazing !!!The steak and the side dishes were yummy.I had the ny strip 16oz and for the side: corn, asparagus , cheese spinach , Mac and cheese and also the House Salad. Everything was delicious ! For the dessert I had the baked Alaska which they put fire on it and it looks beautiful!!! The only downside was that my table was on athe corner , next to the bathroom and the servers and the customers would walk and hit my chair all the time... and also my server had a strong smell of cigarettes (he probably smoked before his shift and it was smelling like such, which isn't acceptable if you work as a server).I also had the winter Sangria which was amazing !! Not too sweet.Overall very good and I wanna go back soon.",0,0,0,Leila A.,"Brooklyn, NY",107,12,49
5.0,2/26/2019,"We came here for restaurant week with the 10 of us but looking at the price. It was not worth it to order from the restaurant week menu we ended up just ordering from the normal menu. We got 100 oz steak, crab cake, the tartare. Everything was really good. It was a good choice. Will definitely come back here",1,0,1,Jessica L.,"Queens, NY",299,165,220
4.0,1/30/2019,"Strip House is what you get if a traditional, old guard steakhouse and a vibrant and plush downtown lounge had a baby.A fun ambiance that takes some of the stuffiness of out the old steakhouse experience. Steaks are very good, and meals can be done family style which is a pretty neat experience in a steakhouse setting. Staff are very knowledgeable and attentive.You can drop some serious money here: For 5 people we did bottle of red wine ($95), 2 rounds of tequila shots (idk why), some folks did cocktails, full seafood tower, porterhouse for 2, special 40oz wagyu tomahawk, one ahi tuna, probably 4 sides, and a large slice of cake for dessert. With tip things came to ~$230 pp. (this was a random celebratory night for a friend's engagement).Great spot to take a date if they're a lover of a good steak and will appreciate an intimate but still lively environment. Similarly good for clients to have a friendlier experience.",2,1,1,Seth W.,"New York, NY",6,204,171
4.0,1/10/2019,"Had their sea scallops, tomahawk steak, brussel sprouts side and sorbet for dessert. Their tomahawk steak was cooked to perfection but their exterior seasoning was a bit too much. Their brussel sprouts were good but would have tasted better if it was more savory instead of sweet and saucy. The menu stated ""roasted"" brussel sprouts but it doesn't look roasted at all... the service was great though and the interior design created a nice atmosphere. The searee sea scallops as appetizer was a pretty good choice - came in two big pieces and was savory with each bite I took.",0,0,0,Wendy T.,"Queens, NY",369,190,406
4.0,1/9/2019,"+.5 for serviceI decided on Strip House after some recommendations from friends and seeing overwhelmingly positive reviews here. I reserved a table for 7pm and we were served almost immediately (with a convenient detour to coat check).I had the lobster bisque, crab cake, and porterhouse for two. Stop me when I say this, but the lobster bisque was the best I've ever had, and I've had them from almost 50-60 restaurants by now. It's certainly pricey at $17, but the end result more than makes up for it.The crab cake was also very good, though I wouldn't say extraordinary like the lobster bisque. The porterhouse steak was overcooked a little bit, but only to medium (I usually order one lower at medium rare in case something like that happened). Regardless it was absolutely delicious and definitely deserves the rank near the top for steakhouses in NYC.Huge note here that I didn't seem to find on the website: There is a dress code. Anything with a collar will suffice, but you won't get treatment if you arrive wearing athletic gear/casual wear or the likes.Definitely a place I'd recommend if you can't Peter Luger your way to that restaurant.",0,0,0,Calvin S.,"Winnipeg, Canada",75,1210,1340
4.0,1/5/2019,Great service!Good for groups! (almost every table had more than three people)The steak was ok; I loved the chocolate cake and the goose fat,0,0,0,Shashi P.,"Brooklyn, NY",43,39,74
5.0,1/5/2019,My favorite steakhouse in new york. I used to get the ribeye and spread the garlic over it. 10/10 if you're a meat eater.,0,0,0,G W.,"Brooklyn, New York, NY",0,16,0
5.0,12/22/2018,"We visited the Strip House on our wedding date. The Strip House did an excellent job giving us one of the best tables and treating us very well. The service was friendly, funny and very kind. We ordered a rip eye and the New York strip. Both steaks were done perfectly and very delicious. As sides we had the garlic fries and the Goose fat potatoes. We were quiet staffed after that. But we couldn't resist ordering the chocolate cake. This is a total must!!! So delicious. One is fully enough for two. We couldn't finish it and took to go. The interior is really classic and cool. Good music was played as well. The only downside was that no information was shared that the Fiji water cost 9$ and we payed for the bread for each of us 16$. Other than that everything was really perfect.",0,0,0,Lavanya P.,"Dusseldorf, Germany",40,10,14
1.0,12/15/2018,"Three of us were looking to have a great meal at this upscale restaurant but for the money we spent, $450, we were quite disappointed.While my filet mignon was good, my wife's rack of lamb was just OK as was our friend's rib eye. Shrimp cocktail was good as was the foie gras. The sides were actually underwhelming. The French fries were nondescript, the spinach was inundated with cheese and the baked potato was just that. The desert, their signature 24 layer chocolate cake, was dry and no better than the chocolate layer cake found in a local NYC diner.Service was good but we were being rushed out immediately after finishing our meal  by the waitress and manager.In sum, the overall impression we were left with is that this restaurant was indifferent to the satisfaction of their customers. Regardless, we will never return or recommend this restaurant.",0,0,0,Jerry S.,"New York, NY",0,9,0
