rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,5/1/2019,I dined at Maiella with my mother who was visiting from out of town. I have been living in the Astoria/LIC area for a long time and really wanted to try a new place. I had recently met one of Maiella's managers Jay Santiago who gave me his card and spoke very highly of the restaurant. There are so many places to choose from but he promised I wouldn't be disappointed and he was so right! We had a nice table by the window with a beautiful view. The manager working that night was Anthony and he was so lovely. He stopped by the table to check on us and chat a few times and he even sent us a wonderful dessert at the end of our meal! Our server Eddie was knowledgeable about the food and wine (which was amazing). Our pastas were delicious and clearly made in house. We both had pastas with seafood. The seafood was super fresh and perfectly prepared. The entire experience was wonderful and we will absolutely be returning.,0,0,0,Eulone G.,"Queens, NY",0,3,0
5.0,4/30/2019,"I like the food and the atmosphere, I was speechless when I saw the New York skyline.  Also the service was good . Definitely coming back",0,0,0,James L.,"Queens, Queens, NY",5,1,0
3.0,4/25/2019,"Hi I been in the place 3 times already so I went there last week for my brother birthday because he love pasta and Italian food, the first thing was the waiter was very rude with us. We asked him about some food and he said all the information and the ingredients are in the Menu, I don't know if he has a long day and he's tired but you don't treat the customers like that. Also I ask him if he can bring me a glass of water he told me gimme 5 min. We busy at this moment, but other than that the food was really good.",0,0,0,Cesar Z.,"Highland Park, Brooklyn, NY",0,2,0
5.0,4/25/2019,Food was amazing! The food is nothing short of incredible. Not to mention the service staff was helpful and respectful and knowledgeable of the menu. Clean and nice ambiance with views of New York Skyline.,0,0,0,Kris M.,"Manhattan, PRINCE, NY",0,12,9
5.0,4/23/2019,"Maiella,Thank you! I just know I will not be able to express how lovely our day at Maiella was.We had a small, intimate wedding this past Easter Sunday. My husband proposed to me under the Pepsi Cola sign on the water, and fate would have it that Maiella was seated just behind the sign, making it the perfect location for our lunch reception. Not only is the restaurant gorgeous and the food divine, the staff here are simply some of the best people in the city. Lea, the event coordinator, was fun, sweet, and made the planning phase a breeze. Meeting with her cinched the deal for us as we just felt so comfortable with her, she assured us the venue could accommodate our guests, and even allowed us to have an outside wedding cake and did not charge us for plating. Our package was so affordable, but based on taste and quantity, and the amount of options for our guests, you would never know it! We loved the idea of our guests having choices and the freedom to make that choice based on what they were in the mood for that day. Our menu included kids menu options and a very reasonable added fee, beer and wine open bar, appetizer, entrees, and dessert. Our family and friends are still raving. When we arrived, I slipped in a few minutes early to set up our minimal decor (favors, name cards, guest book, etc.) while my husband took our guests to admire the waterfront. Immediately the staff, hosts, general manger, Mike, our team John and Eduardo, and the other lovely servers (so sorry my mind was swimming and did not catch everyone's names but you were all amazing and put up with all of my hugging) stepped in, introduced themselves, assured me that they would help if we needed anything, started setting up the cake table and put on our cake toppers, and helped me put up decorations making it just so simple and elegant. Our added embellishments were not at all necessary as the restaurant is already so gorgeous and classy, and best of all the gorgeous view of the sign and the Manhattan skyline. We reserved part of the main floor, and while the restaurant was very busy, our party felt intimate and private and also spacious and comfortable at the same time. I couldn't believe how perfect it was. Our team made our guests so comfortable, helped my husband and I find key times for toasts, cake cutting, settling the bill discretely, and making the rounds to greet everyone, which we truly appreciated as it can be difficult to navigate these things on your big day. This was truly above and beyond what we were expecting from our restaurant, and just showcases what amazing people they are. The staff felt like they had such great teamwork, and seemed to enjoy being there, which is a testament to the restaurant itself, management, and owners and made our day everything I hoped for and more. Our guests keep raving that it was the most beautiful wedding they've ever been to, and it was not only because of decor but because of all of the love and kindness we received.Eat here. I want everyone to know about Maiella. We can't wait to celebrate all our anniversaries here! Love, Liz and Kevin",1,0,0,Liz A.,"Manhattan, NY",109,13,17
5.0,4/16/2019,"Located in LIC minutes away from Manhattan and along the NYC skyline. Great location with an amazing park behind the restaurant to stroll along the water before or after eating. Restaurant decor, setting and design was very beautiful. Outdoor seating available when weather permits. They have a brick oven that can be seen from the dining room where your fresh pizza is made. I was told almost everything was house-made! We ordered the Maiella Pollo Caprese and Mezza Pollo. Both were very delicious and well prepared. Tomato sauce was very flavorful and fresh. Most Italian restaurants have a bland or acidic tomato sauce, this was not the case. Paired with al-dente pasta on top of a flattened breast. Mezza Pollo was paired with delicious vegetables and we subbed for the truffle potatoes which were also delicious. For dessert we ordered the Venetian Meringue Cake. It was sweet and delicious. However it was a bit icy when we got to the bottom. Obviously pre-made but proper timing on pulling for service should be checked out. A few other cons but not major issues, the Coke/Pepsi was a bit flat and no Grenadine for my Shirley Temple. It was subbed with a splash of cranberry. Service was excellent, Oscar and Danny were very informative, made suggestions and were very attentive checking on us throughout. I would definitely recommend and I'll definitely be back(as long as they have grenadine).",0,0,0,Travis L.,"Queens, NY",8,90,21
5.0,4/16/2019,"I hold off on writing reviews until I try a place several times but I think twice is enough. Maiella is a beautiful establishment that definitely took its time to create a great atmosphere. I loved the style and amazing customer service. I loved how everyone who worked there was professional and courteous. But I usually judge a restaurant by its food and this definitely doesn't disappoint. Every dish was amazing, and growing up in my Italian friend's home, the authenticity was on par with a great home cooked meal. Portions were great, price was right for the neighborhood and the experience was very pleasant. Definitely will go back and I highly recommend it as a top choice for a night out in LIC.",0,0,0,Rajat S.,"Woodside, NY",1,10,3
5.0,4/16/2019,Had my birthday celebration there. The food and service were great. Everybody liked it. Definitely would be back.,0,0,0,Olya P.,"FLUSHING, NY",1,2,0
5.0,4/13/2019,5 stars all around. Great service and even greater food. Dining here is a complete experience and I would recommend this place to anyone! This was my second time here. I came here with the parents and we were greeted and sat right away. The hostess was the nicest person and even noticed my parents Dartmouth jackets and spoke to us about how she was an alum there also. The view is breathtaking. We were seated right by the window with views of the manhattan skyline and the landmark pepsicola sign. We ordered some of the specials and the infamous fettuccine Maiella. Everything was beyond delicious and well worth the price. Check this place out if you're ever looking for an amazing dining experience in Long Island city!!,0,0,0,Samantha J.,"Westbury, NY",3,37,159
5.0,4/9/2019,"Friend just moved to LIC and we went to Maiella for brunch. Had a great experience. This weekend we returned for drinks and our server Angel recognized us and gave us a warm welcome. He and the other bartenders suggested drinks, Apps and we stayed for dinner. Great drinks and amazing food. Best part was the service. Genuine, funny and attentive staff. We will definitely be returning soon and suggesting to friends. Service like this is hard to find. Thank you Angel and team.",0,0,0,Christopher S.,"New York, NY",103,47,11
