rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,3/17/2019,"Very nice restaurant in the New York Historical Society building.  Having had coffee there several times, friends, my wife and I decided to have dinner there.  Ambiance is very nice, clean and open.  Noise level is moderate - very easy to carry on a conversation.  Service is attentive and friendly but not overbearing.  Food is quite good: pasta, salads, steak, dessert.  Only minor complaint: the butterscotch dessert did not have too much of a butterscotch taste.  Otherwise, a good place to go after visiting the Historical Society, Museum of Natural History, Central Park or anywhere else!",0,0,1,David E.,"Evanston, IL",1,38,0
1.0,2/9/2019,"We had a 1pm reservation for 2 people. A table for six without a reservation were seated immediately before us at three tables of two. There were plenty of empty tables (4 tops), but we were told to wait for the next table of 2. Then, we had no waiter. We waited until 1:25 to get any water, but still no waiter. We finally left around 1:30pm without ever having talked to a waiter about ordering.",0,0,0,Amy Lynn S.,"Manhattan, NY",0,7,0
3.0,2/9/2019,"Went for a lunch during restaurant week.Due to a miscommunication with the server somehow arancini turned into salad - but I'm not going to complain because that salad was good, and face it...I probably could stand to eat a couple more salads instead of fried rice balls. Alas, I'm sure the arancini would have been amazing. The caesar kale salad was delicious though.Got the Storico Burger - which I ordered with salad - so yes, two salads over the span of a meal (gee Mr. Waiter, this should have been a hint to you, no?) although this was more lightly dressed greens than a proper salad like the caesar. The burger was awesome.The food and atmosphere was great, the slip ups and slow service were annoying.",1,1,1,Heather C.,"New York, NY",164,878,527
2.0,1/24/2019,"Service was awful and slow not just for us but other random tables. We had reservations for lunch and were seated promptly. The server (Fred ?) Was awful. We were right by the bar in high traffic area and waitstaff could see we were waiting 40 minutes for our meal. Ridiculous. The table 2 down had to get theirs to go or must their appointment. YET other tables came after us, were served and left before we got our food. Could it be that our table and that other table had older ""less hip"" patrons? They were offered compensation. We were not. $53 for a disaster lunch is ridiculous. I should deny the charge.... but won't be be warned so you do not have same unpleasantness.",0,0,0,Nancy C.,"Cary, NC",0,5,1
5.0,1/21/2019,"Storico's understated but nuanced take on Italian fare is a ways like the Historical society itself, far more complex and well done than most recognize.  The risotto for example is a rich tapestry of flavors with one bite tasting of rich basil, another of chestnuts, another of leeks. The duck is perfectly cooked with a savory richness that is offset by a delicious sweet creamy puree that accompanies it, two rich flavors that work on different ends of the spectrum to balance one another out. The restaurant is a sunlit delight during the day and a perfect dark golden hue in the evening, great for brunch, dinner or lunch. The decor is perfect, just enough there to create an impression but not to overwhelm either the food or the museum itself. If I had one complaint it's that the menu does not pay homage to the museum itself. Imagine a restaurant that featured an array of historical New York food from the early days, that would truly make it the perfect spot after a museum visit, and certainly could be done well by the staff given how well the current menu is done. As it is now it is still a wonderful post museum, or in the park and want to grab a quick bite eatery. Prices are a bit higher, but inline with museum restaurants, and portions are reasonable. Staff always seems nice, not always the case at museum restaurants. Highly recommend the Parliment cafe next door as well if you are not in the mood for a sit down meal, I believe its run by the same folks, though there is no corresponding menu that would suggest this.",0,0,0,Jonathan B.,"Forest Hills, NY",0,54,5
2.0,1/7/2019,"Wen't on a thursday night to celebrate a friends birthday, we had a reservation at 8 and even though the restaurant was supposed to close at ten, at the moment we enter to the testaurant, the server gave us the worst look like we were coming to the restaurant at the last minute. The food eas great but the service was aweful. We work in the industry and we understand that the place was sliw, but we were out of the place before ten. Our waiter was so rude with us the entire time and we ended up finding two mouses running around the dining room, no noticed the manager and just justified if was an old building. Still food is good but wouldn't come back because of the service.",0,0,0,Leslie R.,"Manhattan, New York, NY",0,1,0
5.0,11/17/2018,"Had a lovely dinner here after viewing the Harry Potter exhibit. Nice Italian menu. We enjoyed ""theme"" entrees... chicken pot pie and fish and chips in honor of Harry Potter. Excellent service and intimate cafe environment.",0,0,0,Shari G.,"Katonah, NY",3,33,2
2.0,11/15/2018,"Nice people but food not good, Italian no way! And don't know how to manage the rush at the kitchen.5 minutes to get water but after this to get the order 20 minutes and then 30 minutes to get the food burn.Nice people taking care but the food not good.",0,0,1,Karel V.,"Miami, FL",14,1,0
3.0,10/22/2018,"I wouldn't refer to this restaurant as Italian as Yelp does.  It's a beautiful space with attentive service and my meal of crab was quite good.  My wife had the broccoli salad which was unfortunately mostly kale, which she does not like.   The item should be renamed or taken off the menu.",0,0,0,William M.,"Staten Island, NY",0,27,0
4.0,10/20/2018,"I went here for a team luncheon for work. The restaurant itself is beautiful. I love all the clean decorations and design. It made me feel like I was in the Beauty and the Beast. We had gluten free pasta, roasted chicken, branzino, potatoes, salad, zucchini fries, and this type of bruschetta. I typically like to get something other than chicken when I go out to eat (because I have it at home all the time) but the chicken here was amazing! The branzino was a little dry but the chicken was juicy and cooked so well. The potatoes were so salty and delicious. The staff was nice and attentive. I would go back for lunch and dinner.",0,0,0,Bailey A.,"Baltimore, MD",1,91,5
