rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/30/2019,"Absolutely superb.  Walked in at 8:30 am and was quickly seated.   Restaurant around half full.  At 8:40 a waiter came by to pour lukewarm water and ask what I wanted.  I ordered and he took my coffee cup.  I mentioned I would like coffee, and a sparkling water.  At 8:50 I looked over and he was being dressed down by another table.  My coffee and sparkling water were still missing.   I left.  As I was leaving, nobody said anything. I highly, highly recommend this magnificent restaurant. I would imagine other diners do as well.",0,0,0,Moses H.,"Chicago, IL",0,28,2
1.0,4/11/2019,"This experience honestly just blew my mind. We had a dinner party of four and ordered quite a bit of food. We enjoyed the dishes we ordered but in general were pretty underwhelmed with the service. We could only order when we flagged down our waiter, an older Asian gentleman; we could only get our dishes after flagging him down to remind him we ordered and were patiently waiting for our food; we could only order more after being pressing, which seemed to upset our waiter. But were we not there to eat?It was overall something we were willing to overlook. The issue lies at the end of the night. Finally things at the restaurant were turning down for the night as only a few parties remained. We figured it was the perfect time to order one last round of drinks and go home - and we checked for common courtesy, they were still open for a little under an hour and were serving all drinks. Our waiter said he would let the closing staff know as he was leaving. We waited for 20 minutes and our waiter was clearly now gone. The only remaining staff were mingling with one another, so we attempted getting the attention of a staff member, most diverting their eyes as they had no interest other than going home. Finally, we got a young man's attention and he said he would notify another worker. He spoke to a young woman who looked thoroughly confused and thus continued organizing tables. At this point it had been over half an hour, the restaurant was close to closing, so we ultimately realized we must have been ignored and wanted to leave. A short, pale woman with long brown hair in a ponytail and black glasses stormed up and asked if we were leaving without our drinks. We tried explaining how our efforts to get someone's attention received no fruitful response and ultimately wanted to go home. She kept forcefully asking, ""So you don't want the drinks?! Do you know how long it takes to make an espresso?!"" Honey, not 40 minutes. She threw her hands up and stormed off. I've never met someone more unpleasant in my whole life. I never even want to step foot in this establishment again. After all we ordered, this is how they treat customers? Even if we ordered one item, they should have apologized for their negligence. Is that type of woman the kind you want representing your establishment? Naples 45, please let me know. I'm letting you know how horrible she treats others.",0,1,0,Isabella S.,"New York, NY",0,4,0
5.0,1/22/2019,Delicious lunch! Had the ragu pasta and margherita pizza and both were a hit. Recommend sharing family style with friends/coworkers so you can try multiple dishes! Ample seating so the waiting time is minimal.,0,0,1,Jenny C.,"Murray Hill, Queens, NY",7,25,4
4.0,1/19/2019,"The location is great for lunch near the office since it's right near Grand Central on Park Ave. We ordered the large margherita pizza and it was absolutely delicious. Granted the price for a large margherita pizza was a lot ($38) but worth it if splitting amongst a group. Service was spot on and quick, even with a busy rush for lunch.",0,0,0,Jessica C.,"New York, NY",2,8,26
4.0,1/19/2019,"Still serving up a decent pie after all of these years!! As a convenient cavernous meeting place in the heart of mid-town, Naples 45 still delivers on giving its patrons a place to fill up on drinks and food before our commute home (for us bridge/tunnel folk) I like the doughy texture of their pizza but i wish they would acknowledge requests for a ""well done"" pie -- Anyway, if you are in a pinch and are trying to organize a large group, Naples is a good place to try...",4,1,1,Thomas M.,"Brooklyn, Brooklyn, NY",126,111,67
3.0,1/16/2019,"I entered this restaurant for the first time for an early appointment.  The restaurant which has a fairly large dining room with a fairly large bar area was practically empty. The restaurant had a cafeteria layout with a Italian Mediterranean flare. We sat by the street window to entertain ourselves with the street walkers while discussing a sensitive business subject. I can only comment slightly on the food since I only indulge in a small bite with coffee.  But within thirty minutes of our arrival, it seemed the place did not have a table available.  Definitely hot spot for lunch in the area. I will be returning for lunch in the near future.",19,8,19,Andrew C.,"Melville, NY",195,746,2648
3.0,1/8/2019,"Dependable and in a good spot.  I've set up a number of client lunches at this restaurant.  It's not great but it is good.  Service is good, decent views and nice place.",0,0,0,Craig E.,"Morganville, Marlboro Township, NJ",0,9,0
4.0,1/6/2019,"This was at once one of the weirdest dining experiences I have had and also best management experiences I have had. Naples has a huge dining area and is good to bring work groups to as we had. We were a table of eight on a fairly quite day at the restaurant. We were immediately concerned with our waiters behavior as it took an unprecedented amount of time to get our drinks. Finally after one of the peoples drinks-- a flight of beer-- did not arrive after 25 min we asked another waiter. At this time our waiter arrived with the flight and dropped it on the girl and me as I was sitting next to her. The glass shattered and beer spilt all over us. Once we got the attention of the manager they moved our whole party, gave us a new amazing and attentive waiter and ended up comping our whole meal which was above and beyond. I was impressed by how management handled the situation. The menu here is a bit pricey for what it is but this is true with many places in this area catering the bankers in midtown. They have a good drink selection and service is fast so it is a good week day lunch spot.",0,0,0,Davis T.,"Manhattan, New York, NY",215,82,26
3.0,12/17/2018,"If you're in GC and need a place to go for a meal but don't want to leave the building, I would recommend this place. But otherwise I would recommend walking around and finding other options in the neighborhood. The place is large and bustling, which can make it a bit too loud at times. But the service is generally good. UPDATE: pizza oven is back and the pizza is pretty solid- I would recommend the margherita piccante pizza. It has a nice kick which made it unique. We also got the chicken salad, which was just OK. It was a bit bland, so I wouldn't recommend it.Overall, I'll probably find myself back here at some point given my proximity but it will be because I'm too lazy to find another place. This place wins on convenience!",0,0,0,Aditya R.,"Manhattan, New York, NY",181,42,11
5.0,12/16/2018,"This was a great find.  We were visiting NYC and stumbled upon Naples 45.  It had great service, did and was kid friendly.  We will definitely return on our next trip.",0,0,0,Tom K.,"Hudson, OH",0,35,0
