rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,12/31/2018,"Came here for the second time for dinner a couple weeks ago. The service is definitely lacking for a Michelin restaurant. We were seated in their back dining room. We had the burrata to start which is a difficult dish to do poorly. We asked the waiter for entree suggestions but he then ran through basically the entire menu which was wholly unhelpful. He continued to say our choice in entree just depended on our mood (""duh"" I would not ask for suggestions if I knew my choice based on my mood). Additionally, the service was just choppy and disjointed. The entrees took quite a while to come out and we had to ask for the check multiple times. The food tasted exactly as expected but nothing special. Not worth the Michelin pricing and far better one Michelin experiences in NYC.",2,0,2,Pheabe C.,"San Francisco, CA",33,90,228
5.0,12/23/2018,Great restaurant! Food was delicious. Staff was polite and knowledgeable about menu items when we weren't sure what to order. Also a beautiful restaurant. The octopus was very delicious!!! Would definitely go again!,0,0,0,Diana M.,"Manhattan, NY",137,1,0
5.0,12/21/2018,"The entire experience here was just lovely. We got to the restaurant and had a drink at the indoor bar while we waited. The bartender was a delight. He chatted with us and when I inquired about two different beers he let me try them both. Once we sat down, the waiter was very patient and happily sat through all the menu questions we had. He explained everything thoroughly. The food was delicious. They served us bread (important!) and a super yummy butter. We had such a fun time trying the different foods. Everything was great, they were all meals we've had before (buratta, bolognese) however they made it different and delicious. The dessert was SO good. We got the tiramisu which was great, but we got another dessert (can't remember name, it had Fernet in it), and it blew us away. We were so impressed by this dessert. The one thing I would say is that it took them a little longer than expect to seat us, even though we had a reservation. However, we sat at the bar with the kind bartender and made friends with the people next to us, so it wasn't bad.",0,0,1,Aldy F.,"New York, NY",272,22,32
4.0,11/25/2018,"Went here during the restaurant week but the restaurant provided  regular menu. I like the appetizer and the entree. The dessert was average. The barrata and octopus was great. The entrees were of decent size, especially the lamb chop. A good experience given the price.",0,0,0,Shirley Y.,"New York, NY",55,71,322
5.0,11/25/2018,"Went earlier this year with family who selected the restaurant. Nobody can argue it is a beautifully designed space, and the variety of food and service was wonderful. We ordered a LOT of food to share between six people and honestly every single item was amazing. While it was definitely not cheap I would say it was well worth the price tag, and a lovely experience.",0,0,0,Sara V.,"Manhattan, NY",7,94,7
4.0,11/14/2018,"Came here by recommendation from a friend as a good place to go for a special occasion. First impressions, like many other reviews mentioned, it took a while to get our menus after sitting down, which left moments to be awkward as we tried to look for a server who could finally help us. $55 for a three course menu which is fairly priced in my opinion because the food definitely did not disappoint! Quality, taste, atmosphere were all A+.Called ahead and requested birthday service for our special guest, the person on the phone asked for the name and promised to make a note of it for our reservation but unfortunately when we got there it was like that phone call never happened. We read later on that the restaurant is closing soon, I do recommend coming by before they close, but make sure you have the rest of your night free because we definitely spent 2.5 hours here!",0,0,0,Liam C.,"Astoria, Queens, NY",204,157,261
5.0,11/8/2018,"I first came for Summer RW 2018 and thought the experience was decent. After hearing they'll be closing at the end of the year, we came back for the Fall 2018 menu. And because we find any excuse to be in the Meatpacking District! La Sirena is a beautiful space, right underneath the Maritime Hotel, decked out in swanky modern decor, mosaic tile flooring, Edison bulb chandeliers and towering florals in vases.Over 2 visits, some of the dishes excelled, while others were just fine, so they don't deliver on all fronts. Burrata Caprese was excellent, mildly salty, flavorful and creamy. The Fall version with butternut squash caponata was good, but I found the caponata to be too cold. Calamari with chanterelles were nicely done and flavorful. Octopus with potatoes and pistachios were a mix of perfectly done and overdone. Not consistent, but the potatoes and pistachios had a great kick and provided a lot of crunchy textures.Lamb Chops Puttanesca was 3 baby lamb chops, more well-done than the medium I'd requested. The flavors were good, but for so few bites, they should've been perfectly done. Double-Cut Pork Chops both times were much better dishes. The pork was cooked perfectly, and toppings were bright and vibrant. The Fall version with chestnut and cabbage kraut was delicious, with bold Austrian-German flavors. A friend's dry-aged Tomahawk Steak was a hefty price tag, but surprisingly bland. Plenty of Maldon sea salt had to be sprinkled on top, and they also brought over a bottle of aged balsamic vinegar to boost flavors.Duck Breast was very rich, with Chianti poached pears over celery root purée. The skin could've been crispier, but the duck was nicely done. Their Pasta Bis is served tableside by 2 waiters, simultaneously doling out the pastas to every diner. Spicy Black Spaghetti with lobster had a nice kick and also rich from the lobster butter. My preference was the waiter-recommended Orecchiette with lamb sausage and broccoli rabe, creamy and delicious. But both pastas could've benefited from longer cooking times.Service both times was what topped the evening off, exceptional by every standard, from a well-trained waitstaff. Kurt and Evelyn were superb! Kurt provided excellent menu suggestions and checked in on our table constantly. Evelyn was sweet and cheerful. Overall this restaurant has a lot to offer with its dishes and service, so catch them while you can!",11,4,13,Katie L.,"New York, NY",266,260,706
2.0,11/4/2018,I don't actually know who gave this place a four star ratting. Who ever it was obviously eats at crappy restaurants. Upon entering the most unfriendly host I've come across in years ! The place is nicely done but the service is on the lines of maybe a fast food chain although the waiter was pleasant just not very attentive. Dirty appetizer plates were left on the table until I had to ask they be removed . As far as the food goes it was nothing out of the ordinary! I would say mediocre at best . Upon leaving we came across Mr. personality once again who didn't acknowledge us at all and didn't bother to look up from his reservation planner . Do your self a favor and don't bother !!!!,0,0,0,Allen D.,"Edgewater, NJ",0,1,0
4.0,10/31/2018,"My boyfriend and I went here for our anniversary and the food was delicious! We both did the three course and thoroughly enjoyed it. Our waiter was extremely friendly and knowledgeable as well.I ordered the prosciutto appetizer and he ordered the fluke crudo -both were mouth watering! For the second course we also had great experiences with the pork pappardelle and the lamb chops. Super filling and well made. Lastly, we went for the mango ciao and gelati (coffee, hazelnut, and chocolate). I would definitely recommend this place for a tasty and filling meal The only thing that was confusing about this restaurant was the ambiance. First, we went for a Saturday dinner and the restaurant was pretty empty when we arrived, so I was really confused about that. The space is also so much bigger than it needs to be with double the seating outside as well. It was really modern but dimly lit and I want to say it was intimate, except the space was just so oddly big that it was kind of uncomfortable and I was questioning whether it was a good restaurant for the first half of the dinner due to its emptiness. Basically the food was good but the ambiance could have used some work.",1,0,0,Amanda G.,"Boston, MA",246,80,117
5.0,10/29/2018,One of my favorite restaurants in Manhattan. Delectable cuisine and attentive service. Menu highlights include duck breast and roasted cauliflower.,1,0,0,Kathleen R.,"New York, NY",295,4,3
