rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,5/1/2019,"We walked into Benjamin Prime and they immediately earned themselves five stars. Wait what!?! Yeah, their SERVICE is top notch and I was sold before even seeing a menu. Both the two hostess and barman were gracious, friendly and professional and I felt as though I was being welcomed into a friend's home instead of a restaurant. We didn't have a reservation (suggested) but was seated in the balcony (our choice) almost immediately. For my appetizer I chose a dish off the bar menu instead of their main menu. Good selection because my fillet crostini was so good! It was three pieces of beef, I cannot remember which cut but they were individually covered in peppercorn, brunaise and blue cheese. Even though they were all tasty, next time I'd have them all in blue cheese. Our mains and desserts were equally delish and I would recommend here anyday. The first floor was a bit jovial. I realized many were celebrating birthdays so it was nice to dine in the balcony where it was quiet but you're still able to enjoy the festivities downstairs. I only saw male waiters but ladies!!! Those men will have you eating out of their hands! (Pun hahaha). Did they deliberately choose (exotic looking) male models as servers??? Thank you! Picture it, dinning surrounded by all this fine art both restaurant AND STAFF. Woooooosah, hand me a fan because I AM a fan! Yes lorsh. Back to earth....And once again, I must reiterate how wonderful the service/staff, venue and food here was. Beautiful all around. I'll be back. The End.",2,2,2,Freeyah-Knycky C.,"Brooklyn, NY",46,598,8494
4.0,4/27/2019,"Located near Grand Central Station, Benjamin Prime opened in 2016 and combines the 'greatest hits' of the menus of both Benjamin's Steakhouse (located on the next street) and Seafire Grill.The ambience and decor is modern with high ceilings and some interesting architectural features (5 wall mounted fireplaces behind glass).Service is very, very attentive with lots of handshaking.  The food is typical steakhouse fare, though well executed and tasty. The restaurant was busy - it says something that the owners have opened two locations in Japan where the current trend is a fascination with the New York steakhouse.Minor grouse, I had a glass of bourbon and thought the ice to liquor ratio was a little on the high side - but it seems the business model in many restaurants is focused on squeezing profit from the liquor pour / wine glass.Dinner was enjoyable, car parking (after 7:00pm straight forward).",0,0,0,Jeffrey B.,"Manhattan, NY",6,104,368
5.0,4/25/2019,"Amazing, amazing place. Absolutely recommend for quality steaks and spectacular service. Genci was our waiter and is always so great. Sean is one of the best managers in town, he will always make you feel welcome and has the greatest smile!",0,0,0,Yoonji W.,"Manhattan, NY",0,3,0
5.0,4/25/2019,"Been to many a steakhouse in NY and Ben Prime tops them all - Sean, the GM, and Genci, our waiter, are fantastic. Incredibly attentive and warm - they recognize my wife and I and go out of their way to make sure our experience from the service to food is top-notch each time. Highly recommend!",1,0,0,Austin R.,"La Habra, CA",259,3,0
5.0,4/20/2019,"One of the best steaks you can get in the city, and as a man who eats a lot of steaks (much to the chagrin of my cardiologist) please believe me. The crust is fantastic without being over salted, excellent use of the natural juices of the steak, and always cooked to perfection (although is there another way to eat a steak than medium rare? I think not) my man Eltan gave us great service on my first anniversary and treated us like a king and queen on a nice rainy Saturday. Always enjoy this place and come back Often!",0,0,0,Andrew M.,"Baldwin, NY",3,15,15
5.0,4/16/2019,"We had an excellent experience from the time we walked in until we left every one was so prompt, kind and attended to our needs. The food was Great! We definitely will be going back.Thank you",0,0,0,Tiffany R.,"New York, NY",0,3,0
5.0,4/13/2019,"We came here last night (group of four). Amazing service! We were greeted immediately and had a nice conversation with the host. Per our request, they brought out a bottle of red wine for us to try and it was a great choice. The waiter Emile was excellent in recommending what dishes we would like, making sure to ask about preference and allergies. I had the Swordfish and it was so juicy. Also had the grilled calamari for appetizer it was sooo good! Not overly chewy. Overall We had a really good time, for an upscale restaurant they made us feel welcomed.",0,0,0,Mercede P.,"Bronx, NY",82,3,1
5.0,4/1/2019,"CANNOT rave enough about this place!! Took my boyfriend out for his bday last week and we chose Benjamin Prime... still dreaming about the entire thing! Ordered the Benjamin's Cure cocktail (made with the Woodford Reserve)... amazing! started off with a dozen of the freshest Blue Point Oysters and the Tuna Tartare.. we wanted to order more! Also split the Porterhouse for two with the creamed spinach and WOW was it cooked to perfection! Delicious! Our server was very kind and helpful. Also was able to meet the manager and he was very sweet and kind as well. A little on the pricey side, but WELL WORTH IT. Will definitely be coming back soon!",0,0,0,Jackie D.,"Freeport, NY",0,20,8
5.0,3/31/2019,"This was a great steakhouse and seafood spot in Midtown. We were debating between a few different restaurants and I'm glad we chose to go here. My surf & turf was great, as were the soups and sides. They played great music inside but not at a volume too loud to have a good conversation. Our waiter, Grant, did a high level 5-star job helping us and giving us all of the information on the restaurant. I definitely recommend going.",1,0,0,Trey P.,"Houston, TX",4,2,0
5.0,3/30/2019,The best steak restaurant I have ever been to.  Steaks are always cooked to perfection and full of flavor. Service is top notch and extremely professional . Had the chance to be served by Luke  and was impressed with all the recommendations he gave us. Wonderful experience! Definitely coming back,0,0,0,Leo P.,"North Bergen, NJ",0,1,0
5.0,3/30/2019,"Really enjoyed our food.  It's expensive, but the food was wonderful, especially the ribeye!  Our waiter, Ronnie, was great as well.  I'd highly recommend this restaurant.",0,0,0,Ernie S.,"Heyworth, IL",0,1,0
3.0,3/29/2019,"Went to Benjamin Prime this afternoon for lunch. I got the $39 prix fixe ""power lunch"" special. TL;DR, it's probably best to order off the main menu.Bread basket was tasty, three varieties. Provided olive oil and ricotta to dip/spread. Not up to Smith & Wollensky's quality but I was happy with it.Appetizer of grilled calamari had good flavor but was rubbery and chewy. Just overcooked. I could barely get my butter knife through it. Avoid.I also ordered a piece of the grilled thick-cut bacon off the main menu, which was just fantastic, great char, fatty, smoky, just delicious. Easily up to Luger's standards.Main was the sirloin steak, which I ordered rare and it was properly cooked rare. It was also pretty tough and did not taste dry aged. The oversized steakhouse knife they gave me was not serrated which is fine, but it also wasn't actually SHARPENED, so I had to saw away at my steak. At what was supposed to be a real steakhouse!Dessert was a piece of pecan pie, which was excellent. Strongly recommend it. Coffee was fine. This was a pretty cheap meal for a real steakhouse, but as in most things in life, you do get what you pay for.",0,0,0,rodalpho c.,"Manhattan, NY",0,15,1
5.0,3/25/2019,"Having dinner at Benjamin prime is always a great experience. I love taking business guests, potential hires, or friends and associates here because I know they will experience something special.",0,0,0,Al A.,"Staten Island, Staten Island, NY",0,1,0
4.0,3/25/2019,"Great night out with wonderful food. Our waiter, Jet, was fantastic and very personable. His outstanding service definitely added greatly to the entire dining experience.",0,0,0,JoAnn D.,"Manhattan, New York, NY",0,1,0
