rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/27/2019,Service is excellent and then food fascinatingly delicious ! Mona and James had us coming back for more. The happy hour is phenomenal- dollar oysters in Manhattan! A must do is the special bacon! The Salmon melts in your mouth and the burger is excellent. Location is great and ambiance is pure enjoyment.,0,0,0,Patty n.,"Los Angeles, CA",6,17,10
4.0,4/23/2019,"Came for Happy Hour around 6 and it was packed!  The specials are pretty solid with $10 burgers, $5 fries, and $1 oysters, along with $10 drink specials.  The seating is pretty comfortable at the bar and there are booths in the lounge filled with locals.The burger and fries are definitely the go-to items here: ~60% of the diners appeared to order those!  The burger was nice and juicy on a toasted english muffin - the only thing is that it was a bit on the saltier side  but not bad.  The fries were also solid - crispy and soft inside.  For $15 on the UES, it's very solid.They do have the Impossible Burger on the menu but they run out very quickly so I would call and ask if they have any if that is what you have in mind!  The staff are pretty friendly although your mileage may vary depending on the bartender.Worth a visit for Happy Hour if you are in the area and looking for a filling and quick bite.",2,0,1,Danan R.,"New York, NY",924,1915,85
5.0,4/22/2019,"Stopped in for lunch and I am delighted we did. The lunch menu has a great prix fixe option and we only wanted two courses. I started with the lobster dumplings, my daughter( a chef at a fine restaurant downtown) had the carpaccio. We both had the salmon entree. The food was excellent in every respect, and the service was great. Bartender and waiter were attentive but not intrusive. This is an excellent place for a lunch.",0,0,0,Errol G.,"New York, NY",2,75,0
1.0,4/7/2019,"Just completed a wildly disappointing meal here. Dishes that were awful: chicken noodle soup (bland, down right unseasoned broth), and the burrata salad which was extremely salty. Also it was much less of a burrata, as there was no enjoyable gooey center, and much more of a piece of mozzarella.Service was uninformed. We asked what was on the salad, as there were dietary restrictions and she only told us of 2/10 ingredients . Leaving out that there was pork, which presented an issue.  Sunday is half off bottles of wine, so that helped.The pretzel crab cake Benedict was good, as was the branzino.",0,0,0,Simon A.,"Manhattan, NY",1,28,6
5.0,3/20/2019,"What can I say? When you just hear the name David Burke you know your in for a great treat! With a menu Second to none and a wonderful and Extremely polite staff, dine on some of the finest dishes with exquisite flavors, come on down and sink you teeth into all natural foods.If there were 10 Stars I would give it that from the delicious food to the warm staff they treated us like royalty. You will not find food as good as this anywhere in the city, this is a must go too. David Burke himself frequently visited our table, explained food to us, how he prepared it and took photos with us not many places anywhere does a chef go out their way!The bacon appetizer is just as amazing as people say! The duck, duck, duck was great, though a little tough! The roasted chicken was the home run! Definitely recommend. The steamed lobster dumplings were  fantastic and a must try as well! Cane with a party of 8 for a birthday celebration and everybody enjoyed everything they had. David always has new twists old meals nothing is ever cookie cutter. Not only is the food delicious the presentation is always outstanding. Had a great time eating at David Burke Tavern with my family, they treat you like you're VIP, the atmosphere and the food is amazing, next time I'm in the city I'm definitely coming back! Amazing place, amazing service, amazing food",38,20,35,Jeremy W.,"Queens, NY",190,252,955
5.0,3/10/2019,"The place is beautiful, the food was delicious and the service, excellent! I visited this establishment during Restaurant Week and it was beyond my expectations.The staff was very pleasant and attentive. They had a good amount of options during this RW. (Some restaurants are only have 3 choices for each course). The food was tastefully prepared and delivered in a timely manner. Although the tables were quite close together, I found the noise level to be average - I could still hear the person across from me.I definitely recommend it and plan to go back very soon.",1,0,0,Rhonda J.,"Mount Vernon, NY",0,7,9
3.0,3/5/2019,Came for lunch.  Ok... this place is still so conveniently located near Bloomingdales I'll  probably be back. Nice bar. However....  I won't get the chicken caesar salad again. Dry. I'm not gonna lie to you... the bartender was drier. Hard to get his attention. Wanted nothing to do with me or any of the others at the bar. I come to NYC to meet interesting people. Friendly bartenders are the secret to success. Not gonna find it here but again... Soooo close to bloomies. Bet you anything I'll be back. If it's still here.,0,0,0,Kassidy K.,"Manhattan, NY",0,14,0
5.0,3/3/2019,"Went for my birthday during restaurant week.Service: service was efficient and friendly. They were very diligent when it came to filling water glasses.Cocktails: they make a good dirty martini. The old fashioned was just alright.Appetizers: the tuna crudo might have been the best thing I ate all night. Perfect balance of saltines, fat, and acidity, and the tuna was very fresh. My girlfriend enjoyed the burrata salad.Main course: the duck was cooked well and the sauce was delicious. My only critique of the dish is the thickness of the dumpling skin, especially where it was crimped at the top. My girlfriend ordered the chicken, which was moist with a crisp skin. The pistachio dumplings that came with it were delicious - very herb/fresh forwardDessert: the cheesecake lollipops were good. Nothing mind blowing, but good. The bubblegum whipped cream that came with it was very weird, and neither of us had too much of it. It wasn't bar, just very bubblegum-y and didn't seem to fit with everything else",1,0,0,Dan F.,"Ringwood, NJ",0,78,19
5.0,2/22/2019,"I made a surprised visit to the restaurant and I had the same server who remembered me. It was a very busy night. I wanted to try the duck dumplings for Chinese New Year good luck. The server said that these steamed dumplings usually come in 2 but they gave me an extra one, which was nice. The presentation was very nice. The dumplings were served steamed and it has a healthy bite to it, which was a bit unusual due to the type of duck. But, the best part of my visit was the Beets by Burke cocktail which was highly recommended by my server and it was bright and refreshing. The flavors and the juice to alcohol ratio was well balanced enough to enjoy the drink and get buzzed after dinner.",1,0,0,Chris P.,"ELMHURST, NY",91,53,182
3.0,2/12/2019,"I'll start off by saying - GREAT deal for restaurant week!  Busy ambiance, a bit of an older crowd, fairly loud and tables somewhat close together, but upscale tavern feel is still very enjoyable.The quality and taste of our food was very good (recommend the burrata and squash salad and the scallops and octopus entree), however, a few service components result in only 3 stars. 1) Having reviewed the wine list in advance, we were very excited to try Domaine Drouhin Pinot Noir - a great deal for $120 and a bottle that has been on our list to try!  We ordered and the waiter returned saying they did not have any, but recommended Flowers which was over $75 more expensive.  There was no cheaper alternative besides a $65 bottle which is questionable.  After this initial disappointment, the waiter also brought my boyfriend a second glass of the alternative red he ordered by the glass even though he answered he was ok for now. 2) The waiter did not seem educated on celiac / gluten allergies.  He said he would review the menu for ""starches,"" and further commented that the creme brulee was not gluten free (which is unlikely but also was not able to articulate why).Not rushing to get back, as prices also seem fairly high outside of restaurant week.",0,0,0,Michelle S.,"Manhattan, NY",121,61,43
