rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,3/3/2019,"Just ask for a manager. (If even that)There are never any employees to help you and you will spend all day wondering around forever and still not find someone to help you. Plus if you argue enough, they will give you a make it right coupon.The only reason I still shop here is for the cheap prices and the coupons I get.",0,0,0,Lance J.,"PECK SLIP, NY",0,1,0
3.0,2/20/2019,"Most of the time, the line is insanely long no matter what time I go. It might be sparse when I descend from the escalator but even when I'm not browsing and head immediately to checkout after quickly grabbing what I want, a ""U"" shaped line will have formed. Where did these people come from??!!! In less than 5 minutes no less!! Immensely frustrating when that happens.",0,0,0,Wendy M.,"New York, NY",2,60,289
2.0,12/18/2018,I bought some Holiday cards from this store. The cards are very poor quality. They are cut unevenly and not folded properly. The box is sealed so you don't notice until you open it at home and flip the cards over. I think I would have found better craftsmanship from the 99 cent store. I hope Michael's doesn't stock this brand of cards again.,0,0,0,Shelley P.,"BEECHHURST, NY",0,31,7
5.0,12/15/2018,Came in on my way to an event. I was helped by Eric who went above and beyond to help me with a mini project on his lunch break. Now that's dedication! Thank you for everything it turned out amazing! The Majestic mask was a success!,0,0,0,Natalia S.,"Queens, NY",5,14,4
5.0,12/11/2018,Quick shout out to my cashier Kiarra for making sure I got all of my discounts at checkout. She was nice enough to help me pull up an additional coupon on my phone that I didn't even know about. Happy holidays girl thank you!,0,0,0,Katy F.,"New York, NY",0,6,0
3.0,12/2/2018,"Massive Michaels with almost everything you need, but if you need to quickly get in and out it's probably best to shop during the weekdays.Extremely long lines that wrap around almost every weekend I've stopped by so far, but not too surprised since it's conveniently located in Chelsea. Crowded or not, you won't leave unhappy just stopping by to see what they have in store. I mean, who doesn't love arts & crafts?!",2,0,2,Pimpan J.,"New York, NY",59,50,78
3.0,11/28/2018,"I'm torn about this place. On one hand, it's a diy crafter's dream store  - tons of bits and bobs for a Halloween costume, a sewing project, or random adventure requiring a rainbow assortment of beads, glitter or artificial flowers.  It really is my happy place.  However, their online pickup system needs fine tuning.  The pickup location within the store is not clear (and different from what is stated in the confirmation). Often short staffed (not just this location), store pickup requires several attempts and many minutes for retrieval of the purchased product.  The customer service rep lady asked my name, disappeared into the back, returned and asked me to describe the purchase, and disappeared again.  It was a similar pattern with other customers.  Eventually, I got my package, but i think I may go elsewhere next time.",1,0,1,Kayo N.,"Brooklyn, NY",164,367,139
1.0,11/24/2018,"We waited on the phone to talk to the frame department for 47 min. No joke. No one ever picked up.We called the store again, they simply hung up. This place sucks.",4,1,1,Paolo C.,"Manhattan, NY",0,26,4
5.0,11/12/2018,"To Brunilda, who took on my mission and patiently searched with me for my desired goods... +To Melinda, who handled my confusing return like a pro, I thank you! You two keep me crafty. I sprinkle glitter  atop both your heads!",1,0,1,Pan D.,"Manhattan, NY",0,71,0
3.0,11/10/2018,"Deceptively large inside, while not as large as many of its suburban counterparts, this Michael's carries the a good selection of arts and crafts items for your DIY and decorating needs. They have everything from fabric/faux plants, vases and baskets, photo frames and wall decor, various types of paper and scrapbooking items, invitations and cards, wedding decorations, wood crafting yarns, ribbons and felts, beads and jewelry supplies, paints and canvases, assorted bakeware and door decor, and seasonal holiday items, .... the list goes on. Store presentation and layout is pretty good, they generally put all similar types of items together. but there are small pockets of areas where I wished were easier to find, for example the fine tip pens would be easier to find if placed closer to stationary, and in my mind the party supplies (bags and decorations) work better closer to the party signs and invitations. Of course there is some restriction due to how the dimensions of each area are laid out, but those are my thoughts. All in all glad this is here as it's a convenient spot to pick up craft supplies.",1,0,0,Susan C.,"New York, NY",65,240,918
4.0,11/7/2018,"I had a nice experience at this Michael's. I came in for some décor for our office and while it was hard to find someone to help me on the sales floor, once I did, she was really helpful and gave me some direction.  The prices are reasonable and the location convenient. The only other Michael's in Manhattan is way uptown.  I have also been to Michael's in New Jersey and Long Island and this location is smaller but packed for the size.",0,0,0,Lydia Y.,"Manhattan, New York, NY",92,193,8
3.0,10/20/2018,"I was so glad when they finally opened a Michaels in Manhattan.  I'd no longer have to schlep back all my purchases from the suburbs. It's a great space with pretty much all the craft supplies you could ever need.  When I couldn't find something the security guard actually walked me to right where it was (he helped me because I couldn't find an employee on the floor).  My complaint is that, that they have no customer service place and the lines are always super super long!!!  It's not enough to stop me from going back any time soon (plus coupons )",0,0,0,S T.,"New York, NY",0,10,1
5.0,10/18/2018,"Wow , just wow. All the accessories of every kind : Ribbons (they had a wall of ribbons ), lace , silk , feather, tiny pins , if one is into creating costumes one should definitely visit this ultimate collections of every fabrics possible",0,0,0,Lulu Y.,"Manhattan, NY",174,82,229
1.0,9/4/2018,This is the worst Michael's I've ever been in. The layout of the store is terrible enough but then there are never any employees on the floor to ask for directions. You have to wait in line to ask a cashier... not an easy shopping experience.,0,0,0,James O.,"New York, NY",2,18,2
5.0,8/29/2018,"I like their custom framing department, prices are good and the staffs very helpful but I wish the selection of frames weren't so ugly. I wish they had something more basic in design but with a larger selection in color.",0,0,0,Susan V.,"New York, NY",7,156,10
1.0,8/14/2018,"I went in for embroidery floss, which should be sorted by a color identification number in specifically labeled compartments, but they are all mixed up and not where they are supposed to be. This made it impossible to find the specific colors I needed for my project. I left empty handed.",0,0,0,Cameron D.,"New York, NY",0,3,0
5.0,7/23/2018,"My first time at this location and it was absolutely amazing. Clean, neat, well organized and OMG the staff was so incredible.  I was over doing ot with my purchase because of the awsome sales and went to the counter and the two indivuals thats were at the register were so helpful and nice.  I discovered i could use my coupons on sale items but also discovered michael bucks (i think thats what its called). So apparently you have to get those from the store on the specific michaels bucks days. Well Edwin located Bruny who then searched the store for one literally in the garbage pail so that i could get my discount. They saved me money, were funny, personable and catering. There customer service and team work were beyond phenomenal.  I even went to the Manager before leaving.  I hope they see my review as i told them i would let everyone know about my awesome experience. I really hope they get the kuddos they deserve.  Already thinking of my next trip to this location. So when you stop on in to Michaels--The Chelsea Location, and you have Edwin or Bruny help you be sure that they will go above and beyond.",0,0,0,Tyleen D.,"New York, NY",0,26,25
5.0,7/15/2018,"We bought a custom frame recently and had a wonderful experience with Sherry. She was very patient and had a lot of suggestions for frames that could match our painting, once we picked up the frame it was obvious that the frame was perfect for the painting! I could not have picked a better frame myself.Thank you Sherry!",0,0,0,Ruby D.,"Manhattan, NY",1,84,15
1.0,7/11/2018,Good luck finding help in here. Literally walked around the whole store and found not one employee to help me. Had to wait in line to talk to a cashier. Ridiculous.,0,0,0,Rodney W.,"LONG ISLAND CITY, NY",0,27,14
1.0,6/18/2018,"I had framing done here a few years ago but during a move, the glass broke on the frames. I went back in on Saturday to get a quote on the glass replacement. I was quoted ""$20 to $30"" per glass replacement. So, I took my frames, custom matting, boards and artwork back into the store on Sunday. The person quoted rang me up and it was about $150 a frame. I told her what the guy told me the day before, but she didn't seem to care much. I took my frames elsewhere. Somewhere that honored their quote. Michael's price is ridiculous for a piece of glass. Thank you so much for wasting my time and effort.",1,0,0,Eryn N.,"Manhattan, New York, NY",0,6,0
5.0,5/30/2018,"I love love Michael's!!! I chanced upon this store from hanging out in the area and love the art stuff. It is perfect for buying birthday gifts for kids of all ages, artists, and buying arts and crafts supplies. My kids had a performance and at the last minute, literally the night before, told me they want to do costumes since their friend was going to have one. I called the store and asked them what I need for the costumes and they gave me ideas and a run-down of what they had in the store. So what they didn't have I got from a retail store (hoodie) and went here at 9pm. I found so many many things, and it was amazing that Michael's is one of the few stores that are open late. Anyway, I stocked up and went home, and when one idea didn't work out another one did and my kids woke up to amazing costumes!! I also stocked up on grab & go $1 things to take to restaurants to keep my kids busy while we wait for food. And I found some really cool robot projects. I love love love Michael's and my kids would not have had costumes had it not been for this super helpful store. And they have truly amazing stuff that you just can't find elsewhere. I found amazing gorgeous iridescent cellophane paper that glows and glitters. The costumes turned out beautiful. I highly recommend Michael's.",0,0,0,Pearl M.,"New York, NY",48,199,29
1.0,5/21/2018,"Completely understaffed!! Was wandering around the 2nd floor looking for anyone who works there for half an hour! Couldn't find anyone to help! After bothering the guy who works in the frame area a hundred times to call someone up to help, they send someone who didnt know the difference between his knee and elbow. I asked about paint his response was that he doesn't know anything about paint and walked away. Spent at least an hour in here and ended up leaving without buying what I needed because no one could help. Waste of time!",3,0,0,Maria R.,"Bellerose, NY",1,29,4
3.0,5/14/2018,Had the best experience with Deena at store for custom framing. But frames I bought to take home were straight bullshit! Spoke to corporate straight assholes brushing me off saying just go to store!#FUCKMICHAELS over priced garbage,0,1,0,Joe M.,"Brooklyn, NY",1,46,27
5.0,5/14/2018,One of my favorite places in the city! I can spend a few hours in there. usually go there for beads and charms and they have some really nice selections to choose from. It's really hard to find staff that work on the floor and that's the down part!!! But the people at the register are so helpful and friendly anyways!!! Always walk out with a smile.,0,1,0,Diana A.,"Elmhurst, Queens, NY",15,8,1
1.0,5/14/2018,"I don't understand why they don't hire more people to ring up customer purchases.  Every time I come in, morning, afternoon, evening, there is one cashier at the register.  There are other employees at the register however, they won't take customers.  It is completely unacceptable.  The supervisor/manager here needs to make checking out more quick and efficient.  Once I stood in like for 40 minutes.  Disgusting.",1,0,0,Karesa R.,"Manhattan, NY",0,3,0
3.0,5/7/2018,"A tough review to write, but here goes... PRO: You save money.  2 weeks to frame a concert poster. Nothing special. Just frame the sucker. The women I dealt with in the framing department were terrific. One was clearly the manager or supervisor of framing and she was great. But the first woman I spoke to didn't explain the 14 day wait--or the reason for the wait: they do not keep the framing materials on hand. A friend suggested this might be to save space. But this is a huge store and there is a back area devoted entirely to framing. I don't know why they don't keep the frames onsite. Maybe they offer so many options that they would prefer not to buy the materials? I have no idea but it's a mess. CONS: It takes two weeks. See above. But the cons go beyond that.... IT TAKES 20 MINUTES to get to a human  being. I have screen shots of my call log today. The hold time averages 15 minutes. And when you finally do get to a human who knows her stuff, the phone goes dead. It would be quicker to take the F train from 63/Lex to Chelsea and back again than it would be just to find out whether or not your order is ready. Once it's in the store, they will rush it (particularly since I was never informed of this ridiculous lag time). As for cost, 18 x 24 was 157. That would have been 300 or 275 at a mom and pop store. My 8.5 x 11 sheet music would have been 125 but for the 25 off yelp. And that's tiny by comparison to 14 x 24 poster in 18 x 24 frame. The lady on the phone, well, the last one I dealt with was dismissive: ""I'm on the register so I can't take your phone number."" Huh? ""Are you telling me that it's normal to spend hours on the phone just waiting for a human in framing to answer the phone, and that there is not a single human being in the entire facility who is capable of writing down a phone number? Really?"" ""You want to talk to someone else?"" Uh, yeah. Someone else would be better than remaining on the phone with you, who has flat out told me you do not intend to write down my phone number. A guy comes on the phone to tell me he will check on the status of my order. He does. It's finished. (I got a call while at nails but unable to pick up.) I'm grateful that they rushed it. If I'd been content to wait for one of the bigger daily sales, I might have gotten it for 100 not 160. But given the wait time, I'm glad I decided to spend the money. If I were someone to whom an extra 100 or 150 were of no consequence, I'd *never* frame anything here. For one thing, it's a chain and I try to support local business. For another, I like my UES frame shop uptown. I didn't bother to price it up there and they do work with you, particularly if they know you're going to cheap out and go to a chain store. It's competitive, the framing business, because there are so many of these shops in a city where people have money and buy art. I'm glad it's finished but what a lot of hassle this has been.",7,2,4,Victoria O.,"New York, NY",806,863,381
2.0,4/24/2018,"This is my go-to Michael's, but lately they have been severely understocked, with actual empty shelves. The line are also crazy long. The line will wrap around the wait section and spill out into the normal aisle, but they still will refuse to open all the checkout counters. So, beware long wait times and staff who don't seem to understand that putting more people at the checkout counter will speed up checkout. I've sometimes left due to the long line.",1,0,0,Nicki S.,"New York, NY",1,6,0
4.0,4/19/2018,"Great place for creative people) you can find here everything for art and handcrafting, the only issue for me is price, expensive enough.",1,2,0,Anna K.,"Brooklyn, NY",2,72,406
1.0,4/11/2018,"if you want to waste an hour or two, definitely come here. not sure if they're short staffed or lazy but, it's almost like they on purpose hide from customer to avoid helping. super weird.",1,0,0,Gdawg B.,"Nashville, TN",0,7,0
5.0,3/6/2018,"Love this location I can almost always find what I'm looking for I actually started out looking for painting materials for my nieces and I've found them a bunch more things that they LOVEDThe dye kits, paint sets and easels, canvases, I've even taught myself to knit using materials from hereOh, and the staff are friendly and helpful :)",0,0,0,Nancy A.,"Manhattan, New York, NY",0,10,6
2.0,3/4/2018,Michaels guarantees that no matter what time of day you will wait in line for an hour. They will always ensure to have the least amount of cashiers and also the slowest ones in the world to meet these record low standards of service!!! Make sure to be the first one to arrive by opening time if you have any hopes get to the cashier before closing time!,1,0,0,Pablo H.,"Brooklyn, NY",1,17,16
3.0,3/4/2018,I love Michael's however this location almost never has what I'm looking for. It seems as if I have to travel to Manhattan just to get what I need or order online. Let's talk about lines/wait at this location. Always super long with only one or two cashiers available and you can NEVER find someone to assist you on the sales floor especially during the morning afternoon hours.,3,0,2,Priscilla S.,"Brooklyn, NY",237,101,511
1.0,2/25/2018,"Great store, great stock ONE REGISTER!!!!!!!But everyone's pleasant so I guess it's a bit of a tradeoff.",1,0,0,Karen G.,"Brooklyn, NY",0,8,0
