rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/9/2019,"My BF surprised me for our Vday dinner and was impressed with the festive decor, elegant seating and fancy feathers on the wall, just simple elegance.  The resto is situated in the Flatiron district near Theodore Roosevelt's birthplace, which was pretty awesome.  Our waiter from the start was enthusiastic about the menu and was top notch in service.  For starters, we ordered the Main lobster salad (boiled to perfection) and foie gras creme brûlée with the mouthwatering sweet and savory flavors. We paired our meal with the suggested wine pairing and it pulled all the flavors amazingly.  Our main dishes were slow cooked Alaskan halibut and stuffed brune landaise ballotine, both were standouts.  We've never had brune landaise ballotine, which was aged chicken wrapped in pork meat and bathed in truffle reduction sauce, splendid indeed. The gnocchi that accompanied the halibut was divine and the saffron sauce added a bit of oomph to the tasty fish dish.  Our desserts were a bit too tarty, such as the sorbet that accompanied the chocolate tart. Nevertheless it was a delicious dessert to cleanse one's palate.  Coming into this restaurant not knowing their speciality protein is chicken was a pleasant surprise because the non chicken dishes are worth a try.",1,0,0,Sonia Mae B.,"Harlem, Manhattan, NY",145,90,196
5.0,3/4/2019,"The chook is out of the henhouse: le Coq Rico serves the best bird in nyc. Personal favorite is the Plymouth Rock, but there's a bird on the menu for every palate. My family also had the pleasure of enjoying their thanksgiving and Christmas menus, a treat worth repeat.",0,0,0,Nick L.,"New York, NY",143,6,2
4.0,3/4/2019,"Dining at Le Coq Rico is an interesting experience. It's a beautiful restaurant with excellent service, and most of the dishes are meant to share...like the birds. The food was delicious, though very expensive for...chicken...but I get it, you're getting some sort of high quality bird that you can't get at any supermarket. My friends and I shared the deviled eggs and the leek vinaigrette salad as our appetizers. When we were deciding on the bird, the waiter said each one feeds 2-3 people. I was dining with three other GUYS (yes, this is important), so we went with the Brune Landaise bird and also ordered the regular, entree-sized orange duck to share, along with the fries. Saying the bird feeds UP TO THREE people was such a joke. We barely finished it and 3/4 of the diners were MEN! I'm not going to lie, I felt a little ripped off being told it wouldn't be enough food for everyone. The brune was pretty good, as was the duck and the fries.Be prepared to spend a decent amount of money, especially if you're drinking! Overall, I enjoyed the experience at Le Coq, and next time I'll order a tad less.",4,1,3,Jackie S.,"New York, NY",1004,802,3287
2.0,3/1/2019,"This restaurant has changed. The principal owner has left as has the chef.The eggs meurette which used to be outstanding was just adequate. The egg had been poached before and was cold and flavorless. The wine sauce was unfocused and bland.The chicken was tasteless and over poached. The fries were still good.Ike flottante was still excellent.The service was awful.Where before they had a charming maitre d' and a sommelier, this waiter was coarse and rushed us along although the place was 2/3 full. All of the waiters stood speaking to each other, loud enough to hear.I used to love eating here and have been many times. The food was excellent and the place was not stuffy. I liked the service.Sadly, this was my last time.",0,0,0,Pups H.,"New York, NY",22,61,0
4.0,2/21/2019,"Stuffed Brune Landaise chicken (120days) - 9/10. The chicken tasted really different.The squab (7.5/10) - similar to Beef of Wellington. The taste of squab was not that prominent. My rating on this dish is relative to the squab dish (@ Aquavits). No wow factor.The I'ile Flotantte (dessert) (10/10). Light and soft meringue in creamy custard (with vanilla dash). No disappoint. Try not to lick the plate lol.Mille feuille (dessert) (9.5/10). Very light, thin, flaky, crispy. The cream was really good (not too sweet). Love it.This place can get fill quickly after 7:30pm.",0,0,0,Jason E.,"New York, NY",55,65,279
3.0,2/18/2019,$80+ is bit much for rotisserie chicken. We got the Plymouth Rock whole chicken. Decent chicken but I wasn't wowed by it. Veggie side for $13 was also a bit overpriced for a small ordinary bowl of veggies. The waiter didn't tell us that the chicken comes with a salad. We would have skipped the side if we had known.,2,1,2,Alan V.,"Alexandria, VA",37,95,573
5.0,2/15/2019,"Found this place on 'Best Thing I Ever Ate'. Geoffrey Zakarian describes it as ""this is how chicken is supposed to taste"". And he was right! Made a reservation here for my birthday just to order the same thing! The ambience is sexy and simple. My Mom pointed out the art on the wall made complete of egg shells. We thought that was clever. Our server was fantastic and super friendly. We ordered the truffle risotto as our appetizer - and it was the best risotto I've ever had! So delicious! Then we ordered the morel sauce with the bird, Mac and cheese and mushrooms. It was amazing!! We all could not believe how great this chicken was!! For dessert, I tried the Madagascar Vanilla ice cream and it was the best ice cream I've ever had! Traveled all the way from Orlando FL to dine here - and it did not disappoint! We will be back! Totally worth the money and experience.",0,0,0,Jessica R.,"Orlando, FL",256,51,70
1.0,2/2/2019,"I usually come here to grab a drink and wait for a table to open up at sugarfish. I finally decided to get dinner here with friends. We got the whole brune. Portions were bloody and undercooked. The skin wasn't crispy. There were edible portions and they were just alright, nothing to write home about. We told our server and nothing was done. It was unfortunate. I really wanted to like this restaurant.",0,0,0,Hei Hei C.,"Brooklyn, NY",141,17,0
2.0,1/24/2019,"There were moments which were superlative, like the desserts. The entrees were disappointing and the coq au vin especially was unremarkable. The servers were just wonderful, happy fellows and that glee was contagious.  It ws a wintry day and the retaurant was poorly heated throughout so we were uncomfortably cold by the time the entree arrived. I had had great expectations based on friends' testimonies, but the cuisine failed.",0,0,0,Jos C.,"New York, NY",0,4,0
5.0,1/14/2019,"First time visit 1/12/2019.  We spotted this place about a month ago and stopped by for a drink before attending a birthday and made a note to come back and try their interesting menu.  Once seated, our experience was seamless.  We had counter seats and started off with cocktails and the Egg Meurette and Foie.  The egg was perfectly jammy and was consumed all too quickly.  The foie was like butter.  The bread and butter was great too but I didn't want to chance filling myself up with it.  After speaking to our server, Issy, on our preferences about poultry (dark meat flavor fans) it was decided that we order the Guinea fowl with the morel sauce.  His suggestions were on point.  We enjoyed the fowl thoroughly and the salad it came with..it's exactly what I look for - simply prepared, the right amount of acid to cut through the richness of your meal. The Chenin Blanc was gorgeous as well.  We loved our meal and hope to go back again!",1,0,0,Kane K.,"Jersey City, NJ",0,72,0
5.0,12/27/2018,"Delicious chicken. Yes It's a chicken house. Tho I did not come here that. I came here for the ""seared Foie Gras"". Sounds unusual but it was darn delicious. Sat on the counter and I could see the chef preparing my appetizer for me. It was one of the Best Foie gras I have ever had. Tho I was not a fan of the Apple. When I had called they told me it was peaches and almonds. Online it said peaches and hazelnuts. When I arrived it ended up being apples and almonds. If the apples had been poached I think it would go better with the dish as there were too many crunchy elements in the dish. Overall it was still a great dish minus the apples. Will definitely come back next time I'm in NYC!",0,0,0,Ms. E.,"Arlington, VA",6,68,428
