rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/29/2019,"My husband and I celebrated our 10th wedding anniversary a bit over a week ago. Although we thoroughly enjoyed our meal and service (complimentary tastings, custom celebratory menu, friendly staff, etc.), I don't think our overall experience warrants a 5-star review. The seven-course tasting menu, while well executed, did not ""blow me away"". Their bread service, however, was absolutely superb! I would suggest adding a few additional non-alcoholic cocktails for those who don't indulge. Service was friendly and attentive. However, we really struggled with understanding a few dishes due to one of the servers' heavy accent. To be so highly rated, we were surprised to see staff literally bump into each other a few times. The final letdown was the lack of ambiance. Softly played music in the background of the main dining room would've been appreciated as the clanging of cutlery isn't that romantic. I would certainly return for a future visit but not for a while as there are quite a few Michelin restaurants on my list to try.",0,0,0,Tasha H.,"New York, NY",19,119,26
4.0,4/27/2019,I took my wife here for her birthday and I really wanted to do something special for her.  The restaurant is beautiful and the ambiance is amazing.  They have different selections for dinner you can choose the four course meal pre fixe or the seven course pre fixe.  We chose the four course because we had to go to a broadway show.  I chose the sea scallops as my first meal and my wife chose the tuna.  The scallops meal for he was ok perhaps they were more raw than I had anticipated and I felt nervous about the rest of the meal.  My wife had tuna and it looked amazing presentation wise and taste wise.  I had the flambé foi gras and my wife had the crab cakes.  I am a huge fan of fois gras and was disappointed with it while it tastes good and was perfectly cooked it just lacked something my wife tasted it and she preferred it more than her own dish so we switched and I loved the crab it had Brined olives mixed in and I thought it tasted wonderful.  The third course I had the wagyu beef and my wife had the quail.  This was my favorite part of the meal.  While the portion of the beef was not a lot the quality was absolutely amazing.  The sauce that complimented the wagyu was just heavenly.  My wife's quail was equally amazing.  Lastly was the dessert and I had told them it was my wife's birthday so they brought out a dessert on the house for her.  All of the desserts were simply amazing.  We had cocktails which were amazing you must must must try the white cosmopolitan the presentation of the drinks alone was beautiful.  We had red wine with our meals and they were good also.  The fresh baked bread is heavenly.  Lastly the customer service and attention to detail is top notch.  Everyone was so nice and wonderful to us.  I absolutely will be coming back here.  Michellin Star  amazing this is a place you should dine at atleast once in your life.  If you prefer big portions of fat filled food this is not the place for you.  This is quality and superior ambiance.,0,0,0,Yasser A.,"Yonkers, NY",21,108,103
4.0,4/27/2019,"Decided to dine in the lounge rather than the larger dining room in order to have the option of ordering a la carte, but once we looked at the menu we decided to order the four-course tasting menu with the standard wine pairings. Ultimately, the price difference is negligible if you were to order a 1st and 2nd course with a bottle of wine. As expected, the meal was amazing, although my husband thought his lamb was a bit fatty. The venison with foie gras, recommend by our old-school European waiter, was one of the best dishes that I've ever had. Based on some comments online, I wasn't sure about the lounge, but it had a level of comfort and privacy that the dining room didn't seem to have.",3,0,1,Briana W.,"Foxborough, MA",16,430,147
4.0,4/25/2019,"I have dined at Daniel once a year since I moved to NYC a decade ago. My meals are always good, but never great. The dining room is spectacular, the tables are widely spaced, and the staff is  both polite and gracious. The price is steep, but not ridiculous. The voluminous wine list is top heavy, and wines by the glass are just decent. The best dishes that Daniel had years ago are all gone. The Black Bass in Potato Paupiette is gone, as is the Chestnut Veloute, and the Chocolate Souffle cake. There are no fireworks on the plate these days, just good meals. The good part is that I'm not one paying when I'm dining.",0,0,0,Randall M.,"Manhattan, New York, NY",0,37,0
5.0,4/18/2019,"Great service! The tasting menu is awesome. It was my birthday, and they gifted us a beautiful dessert! I love it here!!",0,0,0,嘉盛,"Rolling Hills Estates, CA",6,2,21
5.0,4/11/2019,"I recently came to Daniel with my fiancé to celebrate his birthday after not having been since it had 3 Michelin stars and in my opinion, nothing has changed. It was wonderful then and it is wonderful now.We opted for the 4 course pre-fix with the enhanced wine pairing.  The wine pairings were all excellent, and at times when we finished them early they were refilled.  The service was spectacular and attentive.  The staff was all personable and wonderful to interact with during the meal.  They did a very nice job adapting everything to be gluten free for my fiance, as we wanted to share all of our dishes.We ordered the following:Amuse bouche - bite size cured salmon.  Very nice, earthy and not overly strong salmon flavor.  Another bite size cracker with a blue cheese filling.  I really don't like blue cheese, but this wasn't that strong of a flavor.Cured sea bas and sea scallop rosette. Both were very good, with the scallop my personal favorite - the caviar on top was nice.  I didn't taste a lot of fennel in the scallop, which is good because i hate licorice flavor Foie Gras - this was prepared table side, flambeed and delicious with a wonderful strawberry side.  If you enjoy foie gras order this, and enjoy the show.Doversole - very light and delicate.  the potatoes were well cooked and the butter sauce was excellent.Trio of Veal - the leg was very moist and my favorite bite. There was interesting truffle flavor as well. Unfortunately one piece of the veal was a slight overcooking for my taste to a medium rather than medium rare but it was still nice.  The potatoes on this dish were also tasty.Bison - very strong black pepper flavor, but cooked to a nice medium rare.  The sauce and the veggies were very good.We opted to add an extra cheese course in the middle.  Our server picked excellent cheeses for us from the cart of cheeses, and the sommelier added an extra very tasty wine for us.For dessert, we shared the pampelmouse, which I didn't care for and the chocolate dessert, which was much better.  They also brought a fruit plate out with a candle for my fiance's birthday. You also get petite fours at the end along with a custom tailored menu with the wine pairings that you received.Overall, a very nice dining experience and I look forward to returning in the future.",0,0,0,Elyka A.,"Manhattan, New York, NY",198,204,634
5.0,4/7/2019,"Be aware of the dress code.  Suit is fine, jacket is required and they are quite flexible on formal jacket versus casual stylish.Service is absolutely first class in every way and the ice/rhythm was perfect.  We chose the seven course menu that actually turned out to be nine.  Everything was excellent.",1,0,0,Andy N.,"Rye, NY",10,39,77
5.0,4/6/2019,Excellent service and great ambiance. Celebrated my sister's 40th here and Daniel was sublime. We tried the 7 meal course and each dish had distinct French flair. Desserts at the end were amazing and light. It was a wonderful experience. Thank you chef Daniel!,0,0,0,Alice P.,"Fullerton, CA",6,67,9
5.0,3/29/2019,"Everything here was perfectly executed and met the expectations of a Michelin fine dining experience.  Very formal atmosphere.  I liked how the courses were a substantial size rather than many many tiny courses.  My favorite dish was the mushroom pastry.  I enjoyed how they had some standard dishes but also incorporated some unique ingredients to mix it up a little bit.  As expected, high quality dining comes at a high price.",0,0,0,Lauren H.,"New York, NY",3,127,296
5.0,3/23/2019,Just had dinner here for my husbands birthday and we both really enjoyed it. The food was delicious and the service was exceptional. I highly recommend it. Our waiter Jorge helped make it an even more enjoyable evening.,0,0,0,Jackie Y.,"Brooklyn, NY",0,7,0
