rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/13/2019,"I knew it wasn't going to go well when our drinks, a martini and a Manhattan, arrived cool and not bracingly cold. And stingy Barbetta leaves out the cherry in the Manhattan. Saves them five cents, I guess.With our reservation at 6 p.m., Barbetta only trotted out the pre-fixe, pre-theater menu. This was prescient, perhaps, but it meant no-work for the kitchen, and it tasted like it, resembling a ""$10.95 complete dinner special"" at a a diner or low-grade chain restaurant, except, being NYC, it was $58. Oh, one entree was filet mignon, so they tacked on an extra $10, which my fellow diner said was nothing she couldn't have made at home. I had the other beef dish, described as ""the tenderest beef"", which it was; it was simply pot roast in gravy, as you'd find at a cafeteria steam table. Mine came with polenta --- whoopy doo --- and a rubbery polenta ""chunk."" With a little ceremony they brought us rosemary-studded rolls and breadsticks. The rolls, in a City renowned for great bread, were ordinary and a little stale; the breadsticks were obviously out of a package and had the character of being made of sawdust. Inedible. Salads were nice and green, but got mixed reviews. Mine, despite the menu note of Barbetta's use of ""very little salt"", seemed quite salty; my fellow diner said hers was only faintly dressed and therefore no adverse comment. The dessert I had also could've been bought from an average supermarket bakery. 'Twas the hazelnut torte with a pool of a sort of whipped cream. Meh. My companion had the lemon-pistachio torte, which she enjoyed. I expect excellent coffee in a restaurant like this; it wasn't ""bad"" at all, just so undistinguished that we both only drank half a cup. Service was very good overall. Real silverware. The ""renowned"" decor was sad, like an old funeral parlor. Heavy drapes on the windows, an industrial floor as in a mall food court, and the ceiling was acoustic tiles, like you'd have in your refinished basement from the 1960's. The old iron chandeliers did not distract from the plastic potted plants on the tables or the plastic potted trees all around the dining room. At these prices, Barbetta can't afford fresh flowers and real trees?Cut the tombstone for Barbetta. This place is headed for the mortuary.",0,1,0,Chris M.,"Riverside, NJ",0,82,0
4.0,3/8/2019,"The decor may be a time capsule but the pasta is super fresh! And needless to say, amidst the relentless restaurant churn of NYC, it's hugely satisfying to find a restaurant that cleaves to its own past. The menu lists the year when each dish was introduced, from early 1900s to the last few years--a boon for food history nerds and a fun x-factor in deciding what to order. Great service, too.",0,0,0,Grace B.,"Brooklyn, NY",0,51,1
5.0,2/17/2019,A great place to go.   It is one of the oldest restaurants in NYC and to miss out on it would be be loss.  I will try to go back every time I go to NYC,0,0,0,Michael R.,"Ridge, NY",6,11,35
4.0,2/15/2019,Went on a Saturday in December for lunch. We had 4 people in our party and got seated right away without a reservation. The restaurant was very elegant. We all had the prix fixe lunch menu. The staff was very nice and very concerned we might miss a show when we took our time eating. (We weren't in the city that day to see a show.) The food was melt in your mouth good.,0,0,0,Tracy P.,"Bristol, CT",0,4,8
5.0,1/19/2019,"Delicious dinner from beginning to the wonderful dessert. Four of us got four different appetizers, four different entrees and four different desserts, and sampled them all. Each was truly excellent. I would come here again. Also, terrific service from our entrance through everyone who waited on our table.",0,0,0,Margaret D.,"Ramsey, NJ",0,2,0
5.0,1/6/2019,"Another great experience at Barbetta. the Matri'd  Shahin Ahmed was very warm and welcoming. Food was excellent. We had the prefix menu which was a great deal . The crab meat and the rabbit was so delicious.. dessert was terrific. Service was excellent , the staffs were very attentive. highly recommend Barbetta. I will surely be back to Barbetta soon....",0,0,0,Syed H.,"Norwood, Bronx, NY",5,2,8
5.0,1/4/2019,Excellent!  Solid peidmonstese dishes served in an elegant setting.Great tagliarini and risotto.Bagna cauda [peppers with anchioves] was also great.Bravo!,2,0,0,Paul D.,"Bridgewater, NJ",44,1,0
1.0,12/14/2018,"When a bill of $400 comes out and everyone in my party goes ""So where do you guys want to eat dinner tonight"" (small portions), that to me is a terrible restaurant experience. The food wasn't anything special. I got 3 small lamb chops with  small amount of peas on the size for $40.",0,0,0,Robert S.,"Holmdel, NJ",188,7,1
1.0,12/8/2018,Pre theater menu was 58 dollars for some biscotti an app an entree a salad and a dessert and coffee or tea. The biscotti was terrible. the app was a quarter of a plate but good. The entree was delicious. I had the swordfish but it came with nothing except sauce. The dessert creme brulee was awful and I love creme brulee so it was disappointing to say the least. The salad was 6 pieces of lettuce with store brand vinaigrette. My tea wasnt brewed and was almost completely just water. The service was inexperienced and understaffed. The bill took 20 minutes to get and another 15 to get back. This place is overpriced. Food is good but it's a terrible value.,1,0,0,Matthew S.,"Beechhurst, NY",3,9,0
5.0,11/3/2018,"Absolutely love this place! We arrived early and they let us in before the restaurant was open. The hostess Melissa was fabulous, as was Gus the bartender. The wine list was fantastic, as were the drinks. As we waited they served us delicious smoked salmon canapés. When seated we were served this delicious Parmesan biscotti. With garlic breadsticks and rosemary rolls. The beet salad and roasted pepper appetizers were fabulous as were the main courses of swordfish and crabmeat. For dessert we shared chocolate mousse, creme brûlée and pistachio lemon tart. I loved everything about Barbetta and can not wait to come back to experience the excellent food and service once again.",4,1,1,Kathy W.,"New York, NY",39,174,38
1.0,10/13/2018,"This was our second time there and it was nothing like it was 5 years ago. The menu was anemic and pricy for the small portions served. Their wine list was one of the largest and over priced ones I have ever seen, which tells you where their interest are. The waiters were snooty and curt when we asked questions refarding the menu. With so many restaurants along the same block of West 46th, don't waste your time and money here. Go next door to Becco, a real Italian restaurant who welcomes their customers with open arms, warm bread and friendly service.",3,1,0,Herman C.,"Emerald Lake Hills, CA",0,24,0
5.0,9/13/2018,"We held a private luncheon program at Barbetta for a non-profit professional women's association on 9/12/18, and it was so lovely! The space was grand, the food and service excellent. And we so appreciated the graciousness of the owner, Laura Maioglio, and the efficiency of the hostess, Suzanna Gardijan. We had a wonderful experience and I highly recommend them!",1,0,0,Kathy S.,"New York, NY",30,2,0
5.0,8/22/2018,"Perfect place for a date night! My significant other had chosen it because of its cozy atmosphere and elegance. The customer service was great, the waiters can be conversational if you choose to be bubbly and very professional. During the night, we were seated outside surrounded by twinkling lights and the soothing fountain at the center. The food was also very good, especially the salmon and the pasta. I highly recommend it for a beautiful date night or a nice brunch with your girl friends!",1,0,0,Cynthia L.,"New York, NY",3,29,136
2.0,8/5/2018,"Our bill was 322 for four people. Service was ok, but food was mediocre at best. Not worth the price.",3,0,0,James L.,"Newnan, GA",0,4,0
4.0,7/21/2018,"Ambiance: great. Classy. Nice, vintage feel. Seating in outdoor garden is beautiful and has a central fountain. Food: Good. 3.5/5. It was enjoyable and good. Prices are not bad either. $13-$25 a plate. Service: Great",1,0,1,Alex B.,"New York, NY",1,22,2
5.0,7/21/2018,"We visited Barbetta before going to seeHamilton and from the moment we walked in, Eduardo made us feel as if we are old friends.  He helped us navigate the menu for our 11 year old son and insisted that we order the (best) gnocchi (we've ever had) and the (completely amazing) soft shell crab.  It was literally the best meal that we've had in years. Their wine list is more than satisfying for us wine lovers.  We'll be back many times and are already looking forward to more great stories and history lessons from our friend Eduardo!",0,0,0,Joe L.,"Manhattan, New York, NY",0,1,0
2.0,7/13/2018,"What a disappointment.  Service was good.  Paid for top shelf liquor was served bar brand. Awful.  Food was mediocre.  Suffice it to say this restaurant is on a downward spiral.  For a summer Thursday, the place was fairly empty so I guess the word is out!",1,0,0,Vicky M.,"Bronx, Bronx, NY",0,1,0
1.0,7/5/2018,"I made a reservation to come here for lunch with my mother for a celebratory lunch. We were both looking forward to it. From opposite ends of the city, on a hot day, we arrived at our destination.... to find it closed. And it wasn't a last-minute emergency closure either. They were closed for holidays. What on earth?! They took my reservation, no problem, less than a week ago. Later today I found that, yes, a couple of hours before our lunch reservation I had a missed call from the restaurant. But I was at work (unlike, ahem, these guys, I had actually showed up to do my job) and didn't see the call come in. And they didn't even try again? And they only bothered to call just before we were supposed to show up anyway? And what were they doing taking reservations during a scheduled closure in the first place? What a waste of our time. We trekked around in the wasteland that is Theatre District, Yelping to find somewhere that wasn't a variation on Applebees. I had heard great things about the garden here in particular, but if this place is such a hot mess, I'm not at all convinced I want any further experience of it.",0,0,0,Claire W.,"Manhattan, NY",35,28,0
3.0,7/3/2018,"Very pretty, cute and nostalgic.  Would go again for the outside patio and have a drink.  Not crowded and that is a plus.  However, more interested in chatting with the table than serving.  The waiter forgot our salads and our appetizers.  Brought dinner out before appetizers and then during dessert never asked if we needed coffee. Had to track someone down.  The food was also not fantastic.  Very basic and two entrees were on the cold side instead of steaming hot.  Liked the décor and wine menu.  But the talking and chatting seemed more on the order of a comedy show.  Also, they pushed the prix fixe menu on us to get us out.  We were not seeing a show and they seemed very disturbed we would not be sticking to the menu of their choice.",1,0,0,M M.,"Trenton, NJ",0,19,0
5.0,6/30/2018,"We greatly enjoyed our first dinner here. We ate in the garden, which is very tranquil. The main dining room also seemed very attractive and has a piano player.The $58 pre-theater menu of starter, entree, salad, dessert and coffee is a reasonable value, especially for the theater district, with ample portions and many choices. The pasta starters, salad, swordfish and pork entrees, dessert and coffee were all very good and we are picky. The a la carte menu is not as good a value.The restaurant occupies 2 former town houses, both of which are over 130 years old. Do not expect a trendy space, but it is not a stuffy atmosphere. Yes, the staff is formally dressed, but they are quite friendly and accommodating.",1,1,2,David M.,"Westfield, NJ",107,684,0
4.0,6/29/2018,"We went on a week night before a show.  The dining room is old school ""fancy"" per our teen daughters, who were rather impressed.  We skipped the pre-theater fixed price option and ordered off the menu.  My vegetarian heart was pleased with the risotto sampler and the teens loved the homemade gnocchi.  The best part was the lovely gentleman of a certain age who completely spoiled us.  I regret that I'm terrible with names but he cannot be missed - very well dressed and with an amazing personality.  He's been working there for decades and entertained us with stories about famous guests and his life in NYC.   I would go back just to chat with him.  The food is excellent, service stellar, and worth the price",0,0,0,Jinda A.,"Charlotte, NC",0,2,0
4.0,6/26/2018,"This place is definitely upscale and has a very distinct old timer charm to it. You could see the opulence from the moment you walked it-- the main room is gorgeous. I went for a business lunch around 12:30p, and it was pretty empty as no one was in the main room. They have a small outdoor area where a few patrons were seated.We were a party of 5, and to start we ordered two of the samplers. Unfortunately, as a vegetarian there was nothing in the sampler for me so I couldn't try it but everyone else at the table enjoyed it. I ordered a frappé of melons as a drink to start, and it's exactly what they say it is! A refreshing drink on a hot summer day. As my main, I had the pesto linguine. It was good but lacked a little in terms of salt/pepper which I easily added on my own. Dessert was my favorite part! We ordered three different desserts and shared -- chocolate mousse, espresso chocolate cake, and lemon pistachio tart. The servers were awesome! They brought over complimentary glasses of Riesling and a torta di nocciole when they brought over the desserts we ordered. Everything was delicious, but my favorite was the espresso chocolate cake. It was actually a little cloudy the day we went, and even starting raining a bit while we were dining outdoor. The servers were very attentive and put two umbrellas up right away to shield us, which covered us sufficiently. Seems like a great place for a date night, so I'll be back at some point !",0,0,1,Dipika A.,"Jersey City, NJ",23,74,150
