rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,3/27/2019,"This place is very inconsistent depending on who is at the front of the house. There is a woman with long dark hair who is wonderful and always welcoming to guests, but the gentleman (pictured below) always has an attitude and acts like it is a problem to attend to us as customers. He was more concerned with drinking wine at the bar with a friend than attending to us as customers. Our servers were very nice but as we were seated so far from the rest of the guests, we often had to flag down a waiter. I had kept trying to come back to this location as their Sunday prix fix is a good deal, but unfortunately the behavior of the manager has deterred me from returning.",0,0,0,Mary L.,"Manhattan, NY",1,37,9
2.0,3/26/2019,"Beware the Lamburger! It's stuffed with tomato and chopped olives. Took my first bite and it exploded like a water balloon all over the sleeve of my shirt. I was displeased. Beyond that it tasted OK. The side salad was basically a bunch of finely chopped lettuce that was almost impossible to fork up. So there's that, plus the service was mediocre. It was lunchtime and busy but not a really fast floor. They were slow to pickup that our group was missing a table setting. They had some good looking stuff on the menu so I may try it again sometime (I'll wear a raincoat if I ever do the Lamburger again though). But it's pricey and there's better options in the area.",0,0,0,Michael R.,"Elmhurst, NY",0,35,0
2.0,3/16/2019,"Not very good service for such expensive restaurant. The guy who seemed to be the manager was just standing at the reception instead of opening the door to guests coming in.On another note, he could also walk around the tables inquiring about the experience. Again, customer service level is very poor.Food take a long time to come, flavors are ok.",0,0,0,Ileana M.,"Miami, FL",0,2,0
5.0,3/6/2019,"I love this place for what it is. I took my parents here when they came to visit and just really enjoyed the food and atmosphere. We got the prix fixe menu, which gave us the opportunity to try everything and it really didn't disappoint. We are Egyptian, so getting a good Mediterranean meal somewhere that isn't home is always a treat. The hummus and other dips were really good, particularly the spicy pepper muhammara. Then the smoked lamb tacos were absolutely awesome, and I would go back only for these once a week if I could. We then got a big sampler of all of the meats, and it was amazing. The chicken was super tender, the adana was perfectly seasoned and cooked and the lamb chops were the best I've had in a while. The only knock is that the lamb riblets were really fatty, but that's not atypical. Dessert was more than solid and the three of us left really satisfied. I'm definitely coming back.",0,0,0,John R.,"Philadelphia, PA",164,11,0
4.0,3/3/2019,"We ordered a $75 bottle of red then a $125 bottle of red.  Both were amazing.  The octopus, shrimp, and meat platter were also delicious.  I'll be back for more!",0,0,0,Mi Rae C.,"Manhattan, New York, NY",79,536,1993
4.0,3/1/2019,"I have not been here in a while, but glad to return. The cocktails were really good. The mezzes were good, an excellent choice was the goat cheese cakes.  There is a great wine list to select from.  All of us enjoyed our dishes and will likely return.",0,0,0,Jeannine M.,"Bayside, NY",19,409,43
1.0,1/28/2019,"Went there Saturday night with my girlfriend and the host was extremely unprofessional and rude. We needed a quiet table for two to have a romantic dinner and the host sat us next to a large group of a loud and obnoxious party of people and there were plenty of other seats he could've sat us in. He did it on purpose and when I asked him for a new table he walked away and ignored me. My girlfriend and I couldn't believe the disrespect of this man. He was a total pompous ass. As we were about to walk out, two NYPD officers came into the restaurant because the host called the cops because he's a little sissy boy. DONT EAT THERE!!! Avoid this place at all costs!!! As an Iraq Veteran that fought for my country I've never been so disrespected in my life in my home country. Good thing the night ended with a bang at Ruth's Chris where they really know how treat patrons dining in their establishment.",0,0,0,Matthew J.,"Fishkill, NY",0,9,0
4.0,1/18/2019,I would have given this restaurant 3 stars but the ambiance and the Chef's meze sampler bumped it up to a 4. Great place for after work dinner and drinks. We'll definitely be back for more meze.,0,0,0,Shivani A.,"Providence, RI",7,101,69
4.0,12/28/2018,"Very solid effort for lunch on a wet Friday afternoon. We split three appetizers, and all were very good. Especially the stuffed grape leaves. Those were worth the price of admission.",0,0,0,Derek G.,"Charleston, SC",0,4,0
5.0,12/2/2018,"Neat little place on Madison Ave. I came for the happy hour, which consisted of a drink and two small appetizers for $16. The service was good and the portions were fine, all things considered (I wish they had a few more stuffed dates in the app). Speaking of, try the stuffed dates!",0,0,0,Rob W.,"Georgia Tech, Atlanta, GA",121,4,0
