rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/30/2019,"Beautiful. I think that's the word to encompass my experience here for afternoon tea. I do a yearly high/afternoon tea with a mixed group of friends-- both older and younger women, and this year it was someone else's turn to choose. She chose the Whitby-- and what an elegant choice. Reservations were made ahead of time for the Orangery room for 7, and though we weren't guaranteed it, upon arrival the maitre'd Leo was incredibly gracious as to create a table for us. Yeong/Yung was our waitress and we ADORED her. She was so attentive, in fact they all were, but she made us feel right at home and I can't thank her enough. Pictures to follow. Tea and Food: We all ordered from the set afternoon tea menu that included scones, cucumber, egg salad, and ham/horseradish sandwiches. They also included thousand layer pastries, mini carrot cakes, mini key lime cakes and strawberry tarts. The scones were deadly-- we were almost fighting for for them at the end: delicious paired with clotted cream and apricot jam. The egg salad was sublime; the ham sandwich passable; and we all stayed away from the cucumber sandwich. One member of our group tried it and declared it unappetizing, hence the full star demotion-- though that's a combination of the cucumber and key lime cake tastes. The TEA! There was the standard English breakfast tea, but 6/7 chose from the rare tea side. I got the Musgrave Darjeeling-- the Darjeeling lover in me was so content: flavorful and not overpowering. The others got the Silver Needle Jasmine, Peppermint, and Hibiscus. Everyone approved. Oh! And for the alcoholic in me-- I kid by the way-- I got a glass of Veuve Clicquot champagne: floral, light, crisp-- as one would expect from Veuve. I will be back and that is all. As always, happy eating and drinking. MarieMG",0,0,0,Marie-Madeleine G.,"Brooklyn, NY",41,85,201
5.0,3/23/2019,Great restaurant. Recommend the filet mignon. Good size very tasty. Very good service. Good Moscow mule.,0,0,0,U M.,"Manhattan, New York, NY",0,6,0
3.0,3/12/2019,"Bedecked in tapestry-upholstered, cottage-chic furniture, the Orangery at the Whitby evokes an English garden in the middle of bustling Manhattan.  We recommend afternoon tea here, rather than at the more rowdy, adjacent bar area which overlooks the street.On our visit, afternoon tea was served in the traditional three-tier manner, on very pretty sets of fine English Wedgwood porcelain.  There were two types of black teas that were included in the prix fixe price - English Breakfast and Earl Grey.  Other teas were available at a surcharge, a most unfortunate practice that these Dessert Correspondents have not come across before in any of our high tea adventures around the world.  From this supplementary tea menu, we selected the ""Mythical Creatures"" tea (a blend of oolong, sunflower blossoms, and green mango) and the ""Jasmine Silver Tip"" (a white tea variety).  Savouries and sweet irresistibles numbered four bites a piece.  The sandwich set included a turkey ribbon sandwich layered with cranberry, and classical sandwiches of egg salad, cool cucumber, and smoked salmon, respectively.  The scones were crumbly nuggets (we prefer the more fluffy variety), and they were most unfortunately, served cold.  Following a garden theme, the sweets consisted of a  rather dry vanilla cupcake embellished with a buttercream dahlia, a rose-flavoured choux puff (our favourite nibble), a chocolate mousse tart decorated with sugar fondant flowers and marshmallow bites, and a brittle pistachio macaron.If one could overlook the tea surcharge, the glacial service, and the just-average food offerings, the Whitby could be a preposition for teatime in a trendy yet intimate, garden-like setting away from bustling Midtown  Manhattan.",1,1,0,Dessert Correspondents O.,"New York, NY",10,112,0
5.0,3/12/2019,"We stopped by last night (Monday) and it was my first time here. The bar area is large and they took a reservation for our party of 10 to get drinks and have a place to sit. The place wasn't busy at all, but it was also a Monday, so I'm sure that changes as it gets closer to the weekend. Everyone at my company was happy with how comfortable the chairs and sofa were and the level of service we got. I would definately recommend for work drinks or perhaps a date night.",0,0,1,Mary M.,"Greenwood Lake, NY",176,185,20
3.0,3/2/2019,We had a lovely afternoon tea. However there is a loud childrens birthday party sitting behind us and my friends and I can't hear each other. The children should have been in a private room or no one should have been seated next to them. This really ruined our afternoon  tea experience. But management offered us champagne in a private room and understood the experience.,0,0,0,Afua P.,"New York, NY",0,2,0
5.0,2/18/2019,"I came here for afternoon tea for my birthday, and it was everything we could have asked for! The staff was friendly and accommodating. The restaurant was so cute and classy, and the vibe was very relaxing and calm, no one was rushed out like some of the other tea spots in the area with packed reservations. Once they found out it was my birthday, the waitress brought over a cupcake with a candle - so sweet! The food was good as well, especially the scones, and there was a unique and wide tea selection. Perfect place for our girls afternoon out!",0,0,0,Lauren B.,"Brooklyn, NY",113,2,0
4.0,2/10/2019,"This place is absolutely adorable- great ambience. Well trained staff who don't rush you out of your seat. The food is pretty good. Went for afternoon tea which was delightful. I've had better, which is why they don't get 5 stars, but their selection was not half bad. It is just a nice place to get together and relax in a comfortable but classy setting. Would definitely return.",0,0,0,Ordessia C.,"New York, NY",10,50,100
2.0,2/4/2019,"Great for Instagram, but not for a meal. Nice design and decor but very disappointing food. To start off, the bread they served was severely undercooked, effectively raw in center. Scallop crudo appetizer was very unbalanced - very excessive use of truffle oil (I like truffles) and high acidity rendered the scallop almost irrelevant. For mains, we had the lobster risotto and the halibut. The risotto was undercooked (not ""al dente"") and relatively bland and the lobster was very chewy and not flavorful. The halibut was served over cooked blueberries and topped with mushrooms, but the dish was not integrated. The fish itself was very dry and nothing and the components were not complimentary.For dessert, we had three sorbets, a cheese platter and a glass of sauternes. The sorbet and cheese were tasty but unmemorable. The sauternes was served in inappropriate glassware and had a tremendous amount tartrate crystals in the glass (like they served the dregs of a bottle).Nothing was inedible, but neither was it well made. You could have a much better meal for 25% of the price in Manhattan.",1,0,0,Matt S.,"New York, NY",0,8,0
2.0,1/31/2019,"This is my second time visiting the Whitby, the first time I just had drinks at the bar and everything was wonderful (could not understand why this place had such a low rating) the second time I actually had dinner here and completely understood why people do not like this place.The food is good (nothing to write home about) the service is awful! We arrived at the Whitby and were told that we would be seated in 10 minuets and that a table was just about to be available, 30 minutes later we were still waiting on a table, I should have got up and left then.After the 30 minute wait we were seated and asked if we would like to place a drink order, my husband and I ordered two cocktails which took about 15 minutes to arrive. Finally we placed our food order - I had the veggie burger and my husband had the regular burger, both dishes were good, however, just like everything else it took way to long to receive the food and when I asked for a side of mustard I was looked at like I was crazy (waited over 15 minutes for the mustard to arrive)The only thing great about this place is the live jazz music, luckily this is somewhat of a distraction from the bad service.I would not recommend the Whitby to my worst enemy. Thanks for a horrible date night! I live only a few blocks from this place and I will not be returning.",0,0,0,Charles B.,"New York, NY",123,124,164
4.0,1/17/2019,Great for post work drinks when you want to catch up with someone. Beautifully done and fun vibes for midtown.,0,0,0,Marisa S.,"Manhattan, NY",349,38,4
