rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/29/2019,I always wanted to eat at F&O and I'm glad my husband took me there. Service was excellent! Marco Cvetkovic was an amazing manager who took his time to educated us on the food and the sauces. The balsamic vinegar was out of this world and the olive oil infused with blood orange was delicious. Will be back again!,0,0,0,Millie R.,"Bronx, NY",1,7,0
5.0,4/27/2019,"What a fun and fresh spot tucked in a neighborhood on the upper east side! Uptown? If that nomenclature is wrong it's because I'm from Texas. Anywho, after walking through the Guggenheim and walking around Central Park we worked up a major appetite. This place came highly recommended and did not disappoint. This place is cozy but still has great natural light. Boyfriend and I shared a bottle of wine and took our time :)He enjoyed the avocado toast - tons of added flavor with tomatoes, quail egg and radish. I devoured the fig & olive salad + salmon on top. Perfectly cooked salmon and a decent size portion. This place is not cheap by any means, but we really enjoyed it. Also it's in NYC so..",0,0,0,Lauren T.,"Dallas, TX",15,97,178
3.0,4/20/2019,"Simply mediocre. The plates look good, but nothing inventive and the food is okay but bland. As an old Todd English fan this meal was very disappointing. Too bad, this part of Manhattan is in desperate need of good restaurants.",0,0,0,Frank A.,"Manhattan, NY",35,69,309
2.0,4/14/2019,"Meh. 3 people for an early lunch before Broadway show - we ordered 6 crostinis, veggie appetizer to share, mediterranean sampler, quinoa tabouli, drinks.The food was just OK, nothing really to write home about, the service was fine, quick and professional, the bill was over $170.Honestly - ""meh"" is the right word here",0,0,0,Gennadiy C.,"Oceanside, NY",4,22,4
4.0,4/13/2019,"The food was decent, had the burrata to start and the Mediterranean platter entree. The shrimp was cooked just right (juicy and tender with some good char) and the lamb chops were delicious.",0,0,0,Joyce P.,"Wayne, PA",57,3,7
1.0,2/17/2019,"Sorry to say would never return. The only restaurant in NYC I ever felt this way about. My husband wanted shell steak they were out of it at 7 P.M. on a Saturday? He took the hanger steak  awful he was so annoyed He returned it I have never in 30 yrs see him return food. The wait person said I didnt charge you ! No refill on coffee.we had 2 entees, one drink and 2 coffee( we were 3 ) was over $100.",0,0,0,Patrisha H.,"San Francisco, CA",0,2,0
4.0,2/8/2019,"Restaurant Week Review: Fig & OliveWhen I reserved, I had intended to come here for a late Restaurant Week Lunch. After I found out that their dinner menu starts before 3:40pm, I switched to a single entree. Decor: It is nice, but not pretentious.  An array of delicious smells tapped my nose the second I walked in. There's a bar just inside the door that stretched almost the length of the restaurant, though the second half (far side the bar) of it is in front of a searing table. It's a narrow restaurant, so the bar takes up one half of the restaurant, while the other is  a single row of booth and wicker chairs. I sat at the bar. En lieu of paintings, I noticed that they had framed some olive branches to hang on the walls.Service: Friendly. The host and the waitresses/waiters are was a brief wait when I first walked in, but it wasn't more than a minute. Food: Fig and Olive gives each customer a plate containing a few bread with a tri-square plate containing olive oil and delicious balsamic vinegar to start.  I ordered the cauliflower risotto, which was topped with fried sliced garlic and parsley. It was creamy and delicious.",0,0,0,Lauren D.,"New York, NY",44,184,86
3.0,1/27/2019,"We've been to 2 of their locations in NYC - uptown and fifth ave for dinner and the food is excellent but let me tell you their service leaves much to be desired. Last night in the uptown location we were celebrating 2 birthdays. We called ahead and asked them to put a candle on their deserts- she said she would put it on the reservation and then after we arrived I spoke with a woman there who seemed to be a mgr to remind her about that. She said she would make sure yet 5 minutes later the desserts arrived - no candles. Our waiter didn't have a clue about it and it wasn't crowded, no excuse.He also brought the bill without the credit card we gave him- we sent him back. They are disorganized. Check their website. They advertise Sunday live jazz brunch but it doesn't say which location. Under ""Featured Music"" they have bands listed for only October - it is now January. Once we learned which one has the jazz, I couldn't make a brunch reservation online - it only gives you evening times, but they do not have the phone numbers for the individual locations on the site, just one number. I had to look up the number on google so I could call to make a reservation for the Sunday brunch, but when I called back 10 mins later to change the time he could not find our initial reservation. Come on guys- it's the 21st century- you are a formidable restaurant with several locations - you need to get your act together!  Give good service, get someone to fix your website and keep it updated- pay attention! Provide a candle for a birthday, stuff that good restaurants do!",1,0,0,Robin F.,"Pawling, NY",0,2,0
5.0,12/31/2018,"TLDR: The portions are smaller and on the more expensive side. However, the food and service are very well executed. Great place for a special occasion! Overall rating: AMade an easy OpenTable reservation last Friday 12/28 for 5:30pm. I came here for my 8 year anniversary celebration before an opera. It was a really stellar meal! We weren't sure how good it would be because it's a mini chain, but they far exceeded our expectations. The restaurant is located down a couple of steps so it's away from the hustle and bustle of midtown. Inside is brightly lit, quiet, and romantic. A rare find these days. I didn't feel rushed at all. Our waiter was wonderful and checked on us enough without making us feel smothered. I especially appreciated not feeling pressured to order an appetizer! Here's what we got:-Complimentary rosemary bread with 3 dips: Spanish olive oil, blood orange olive oil, and balsamic vinegar. A+-MEDITERRANEAN TASTING (Grilled Shrimp, Rosemary Lamb Chops, Caramelized Pumpkin & Chestnut Risotto.) $36: It came with 2 flavorful lamb chop pieces, cooked perfectly medium rare as requested, with a delicious crispy exterior. The 4 plump shrimps on a skewer were wonderful as well. The caramelized pumpkin & chestnut risotto was a delight. It was topped with pumpkin seeds so there was a nice texture contrast. There was also a side of sauteed cabbage with raisins, which wasn't my favorite. A+-BALSAMIC GLAZED SHORT RIB (Crispy Polenta, Frisée Salad, Lardons of Smoked Bacon, Sherry Bacon Vinaigrette.) $37: So good! The short rib was falling apart! The crispy polenta looked like big fries and were good as well. A-CHAMPS DE FRAISES(Sparkling Wine with Strawberry Confiture,Citrus Bitters & Earl Grey Tea) $12: This was my least favorite out of everything. It was VERY floral. I don't like floral food/drinks. My S.O. thinks it was the bergamot in the earl grey tea and she loved this drink. Everything else in the drink was good. Just wish it wasn't so floral. Just a personal preference. B-CHOCOLATE OBSESSION (Whipped Truffle Ganache, Chocolate Obsession Cake, Raspberry & Chocolate Glaze.) $14: This was amazing! The raspberry & chocolate glaze are just decoration on the plate BTW. The cake was so moist! The chocolate was high quality. It wasn't too sweet. If you love chocolate, this is the perfect dessert for you! A+My S.O. was equally impressed with this restaurant! The portions are smaller and on the more expensive side. However, the food and service are very well executed. Great place for a special occasion! FYI: Bathrooms are located down a flight of steps too. So not mobility impaired friendly unfortunately. 2 single stall bathrooms with a shared communal sink. I would definitely come back again for future celebrations!",0,0,0,D D.,"Manhattan, NY",4,143,27
4.0,12/28/2018,"I came here for lunch with a large group and had a great time. We came at rush hour and the small dinning room was packed. We did have to wait a bit for our table but management comped us some appetizers for the wait.  I had the crostini tasting and it was fantastic -my favorite was the goat cheese and the caramelized onion. It was a very tasty and fresh bite as we waited for my meal. My main was the seafood paella noir made with squid ink. It was the most intriguing looking meal I have ever had. The shrimp was caramelized and cooked well and the scallops were very fresh. It was a good meal that was very filling. I had for dessert the pot de cream that was very rich but I recommend the dessert sampler my friend had that has small bites of sorbet, mousse cake and a tiny version of the pot de cream. The Rivera salmon was very popular with my table as well and had rave reviews.",0,0,0,Anita R.,"SOUTH RICHMOND HILL, NY",32,10,5
