rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/29/2019,"Came here for drinks Friday night and had a great time! We made a reservation for 10pm but ended up sitting at a booth in the front (first come first serve) since the front of the restaurant seems a little more casual than the dining area in the back.The service was a little slow but everyone was happy with their cocktails and the few small appetizers we shared. We ordered the shishito peppers, prosciutto and pita chips - they were all yummy!  The atmosphere is fun with the monkey decor on the walls - really seems like an old time NYC bar! Someone was playing live piano for a bit when we first arrived which was a nice touch as well.",0,0,0,Morgan F.,"New York, NY",224,103,33
4.0,4/20/2019,"Whenever I feel like some judgmentally made yet fancy cocktails I head to the Monkey Bar. The bartenders are funny and I witnessed the most terrible first date I've ever seen while sitting at the bar enjoying a French 75. The food is pretty good, I wouldn't specially say to come here for the food but I wouldn't say avoid it either. It reminds me of a solid neighborhood bistro. You have your pastas, your steaks, you gin. All good things. The mural is fantastic. If you eat in the back restaurant area make sure you sit facing it! Service in the restaurant area is wonderful. Professional and swift.",0,0,0,Jamey B.,"Arlington, VA",130,336,174
1.0,4/18/2019,"Zero stars. I'm not the one to be a harsh critic, but this place needs to wake up and smell the coffee. They use the ambiance and murals to sell a welcoming environment rather run a complete sham. To point out , the waiter staff is great, however, the management and kitchen are quite the other side of the spectrum. Not only did my friend get cut off from drinks, because he stumbled down the stairs, while going to the most inconvenient bathroom in a restaurant ever, but they gave me a well done steak on a medium rare order and then proceeded to spill a martini into a pasta dish.  Being a born and bred New Yorker, I'd appreciate if establishments treated customers with more care then the harsh treatment, as if were tourists. Mind you, I don't respect harsh treatment in any circumstance, it's even more unwelcoming when you were raised here. Everyone who is a native New Yorker or business patron in midtown east, should avoid this bar, as it only exists to serve itself and doesn't embody the true nature of New York. Hope it's shelf life is as short lived as Cheap MTA fares.",1,0,0,Tarun D.,"ASTORIA, NY",36,4,0
3.0,4/15/2019,Met a business colleague here for quick drinks.  Noise level is not 'average' as advertised on Yelp.  Bartenders were strangely avoiding eye contact with any patrons which meant much longer wait times for drinks.  Over all it felt like a noisy dungeon with some really well dressed finance people.  Not coming back anytime soon for drinks.  Bar seating is limited.,0,0,0,Maddy R.,"New York, NY",9,70,19
4.0,4/12/2019,Where did my review go? I eat here twice a year or so for lunch. I love it. Graydon Carter is there a lot. It's like David Mamet at Farm Shop in Santa Monica. Sort of his commissary. Classic New York elegance. Beautiful room. I LOVE the food but today UGH. The new salmon is terrible. 38 (I didn't pay) for a Weight Watchers meal. Grilled broccolini (practically raw). Boring. Healthy. Wild rice I affirmatively disliked and left. Salmon? TOTALLY worthless. Miso glaze. Thin. The worst entree ever had for that price anywhere. I am a bit miffed because I asked the server about it and he said he loves the new preparation. Makes me think they bought too much of this stupid dish and want to offload. I should have had the scallops or the burger. Or the appetizers. I'm up in weight so it's not the worst thing for me to have a boring clean lunch but I don't go to Monkey Bar for a diet meal. (My friend's Cobb was okay looking but that's not their best thing.),2,0,1,Victoria O.,"New York, NY",806,863,381
4.0,3/23/2019,"Recommend the chicken and their bread and their salads. Tasty treats and two very different dining rooms to choose from. Cozy regardless of which room that you choose. And, the mint flavored malted milk balls are a nice touch to the end of a meal!",0,0,0,Fran S.,"Austin, TX",23,26,0
1.0,3/2/2019,This establishment was against youths thinking that  all those who enter are up to no good. This is dispicable and disgusts me to my core. My waiter was not tolerant of such persons. He made assumptions and the staff said nothing. He is against what America stands for and is a representative of an older generation that does not know acceptance. I shall rate it one star.,0,0,0,Fintan V.,"Manhattan, New York, NY",0,2,1
5.0,2/23/2019,"Hit this place on the right night and you feel like it can't get any better. Service, food, wine, friends. The perfect combo.",0,0,0,Kris Z.,"New York, NY",0,11,0
1.0,2/6/2019,"What a disappointing client dinner. Had to send undercooked and overpriced food back. The service was incredibly mediocre - leaving us to constantly flag down a waiter with too many tables. And the bill made me fall off my chair. For all the inconveniences, they should have comped us a round of exorbitantly priced wines per glass.",0,0,0,Susan W.,"Manhattan, NY",0,9,0
5.0,1/19/2019,Just out from a lovely meal with my girlfriend. We were both treated outstandingly and thanks again to our lovely waiter Aaron for making our experience there! The food was out of this world. This wont be the last time we are here and I couldnt reccomend it more.,0,0,0,Niall F.,"Bronx, Bronx, NY",25,2,0
5.0,1/3/2019,Service was great ! We had ( French Fries ) with ( Mix Green Salad) for cocktail I had a ( 54th St Special )  And two Cosmos. I must say they make really good Cosmos at this place !,1,1,0,Daisy D.,"Los Angeles, CA",27,72,189
2.0,12/22/2018,"This must be a place for tourists or people who don't care about food. No one who actually enjoys food would ever step foot in here willingly.  (I came for business, did not choose this place and did not pay)The only positive was the ambience. Nice decor and overall feel. Value was atrocious with really high prices ($30 pastas) for very low quality food. Nothing seemed fresh. Halibut was so basic (and fishy). Pastas were really gross - some of the worst I've had in the city. Came to nearly $150/pp after tax/tip. Don't go here. Bottom 10% of all NYC restaurants.",1,1,0,michael d.,"New York, NY",103,24,1
4.0,12/10/2018,"I think this place is adorable. It has a very vintage vibe about it. Service is great. I've been here twice, once for drinks and once for dinner.  Drinks were slow when we went, but it was a busy Saturday night. When we came for dinner it was a much more pleasant experience. The dining area is in a very picturesque old New York area in the back. Decorated with Monkeys. The first thing that comes out is monkey bread which is cute (I've been  told it is very good, but gluten allergy, couldn't try it myself). I had the chicken paillard for dinner and it was delicious, just ever so slightly too lemony. My friend had the lamb chops, which were fabulous. I love these midtown ""stuffy"" waspy places so I will be back for sure.",1,0,0,Marie S.,"New York, NY",297,143,289
4.0,11/29/2018,"Went here for dinner on a Saturday night, the food was very solid and the drinks were good as well. A bit pricey for what you are actually getting but it holds up as a solid 4-star. I got the duck and it was very tasty. Overall it was a solid meal, would recommend.",0,0,0,Dominic D.,"New York, NY",0,23,0
3.0,11/27/2018,"Love the restaurant ambiance and design - old school lounge- heavy on the testosterone. Clubby and comfortable. Historic, which is one of my favorite things. But - whatever you do avoid the Eggplant Parmesan. I lied to the waiter and said it was fine - my mistake and my weakness that I can't confront. But the waiter was very sweet and I didn't want to disturb him or make him feel bad in any way. Horrible dish. But I'm guessing there are other wonderful things to eat. This is a crowd with money and they could obviously go elsewhere. They like it here. So give it a chance, just DO NOT get the Eggplant Parmesan.",0,0,0,Sue B.,"Manhattan, NY",1,25,0
1.0,10/27/2018,"Great Manhattan disappointing Carbonara. Worst pasta I ever had. Italians would be offended in what was served. It was over seasoned with Chile pepper, used cream and regular bacon.  Really sad. Portion sucked to $24 too. Should have gone to McDonald's as I would know what to expect.Not repeating dining here. Maybe drinks. Good wait staff though, but the kitchen needs attention.",0,0,0,Kevin M.,"Montvale, NJ",0,3,0
4.0,10/23/2018,Great place for food. We came in last minute so ended up sitting at a table in the bar area. Their duck done 2 ways was pretty good and so was their bread pudding.,0,0,0,Jennifer L.,"Manhattan, NY",437,78,42
5.0,10/22/2018,"What an amazing night! We left Nobu 57 after a not so warm reception and ended up here. Told the hostess we were celebrating my husbands 50th and our anniversary. We were whisked to a lovely booth and treated like royalty. The room is gorgeous and the drinks were delicious, try the Moscow Mule.   After dinner we were treated to 2 gratis desserts, how wonderful.  What a great way to spend a special night, thanks Monkey Bar will definitely be back!!!",0,0,0,Jackie S.,"Huntington, NY",0,29,0
5.0,9/10/2018,"Best cocktails ever.  10 people from all around the US.  Josh our amazing bartender made everyone feel at home with their ""home town favorite"" jalapeño Margherita? Check !  Old fashion? Check ! Moscow mule ?? ( best in the world).",0,0,0,Renae J.,"Chicago, IL",2,9,13
3.0,8/26/2018,"This place was okay. Company was good, but the food overall was unimpressive.  I came here after work with some friends for a ""power lunch."" The ambiance is very old school (think a place where 80's bankers would hang out). The service however was very pleasant and the dining experience overall was nice.  The food however was overpriced. I ordered the tomato soup as a starter which was nice, and the fish course which tasted good. But definitely not worth the price. Overall, I've had better food at other places but it's pretty conveniently located near where I work.",1,0,0,Saddmun A.,"New York, NY",289,142,34
3.0,8/15/2018,"There are a lot of things I love about Monkey Bar, including the great waitress Emma, and Edward, a waiter/barman. But why do they keep messing with the bar menu? It was a big disappointment when they took the sliders, pigs in blankets, and the truffle popcorn off of the bar menu, but the sausage rolls were a tasty substitute. Now those are gone, too. Why can't they have decent bar snacks? Yes, it is an upscale place. Appropriate bar snacks (emphasis on bar) and upscale are not mutually exclusive",0,0,0,Patricia O.,"Manhattan, NY",2,47,2
1.0,8/14/2018,"How dare you!!! We just had dinner there and ordered off of your restaurant week menu. What an insult!!! I ordered the Steak. I have had slices of baloney thicker than that. We ordered cocktails and our appetizers came and as our minuscule entree came we had to flag our waiter down for said cocktails. Dessert does NOT include coffee/tea. Hostess walks around asking tables how everything is. Very robotic. When we told her that we were very unhappy she blinked, and said ""Oh..."" and walked away with her hands in that supplicant pose and just continued on to the other tables asking ""How is everything?"" She isn't programed for complaints. Bravo! You had us in and out in 45 minutes. Phooey on you . Never again! How dare you! HOW DARE YOU!!! $130.00 for the ""bum's rush! So angry!!!!",1,2,0,Artie A.,"New York, NY",37,8,2
1.0,8/13/2018,"I just had a miserable experience with The Monkey Bar's ""Restaurant Week"" offerings. I am not a novice to Manhattan's Restaurant Week -- I am well aware that the menu is extremely limited and the portions are smaller than usual. However, there is ""small"" and there is ""insulting,"" and tonight's offerings left my husband and I stupefied. We ordered the Roasted NY Strip Loin and Grilled Chicken Paillard. The meals should have been served with a magnifying glass. I have ordered cold cuts from a deli that were thicker than these cuts of meat. When the waiter put the plates down, I just about looked around for the hidden cameras -- I figured it could not be possible that this was what they called dinner. The chefs must roar with laughter as they assemble these ""dishes"" for the Restaurant Week suckers. What an insult to their customers! It would be better to not participate in Restaurant Week at all than to serve these meager, pathetic portions -- which still cost $42 per person (drinks separate and coffee not included). The purpose of Restaurant Week should be to introduce your restaurant to people who are not regular patrons, and to hopefully entice them to return. We left the restaurant feeling taken advantage of and slapped in the face... and although we have been semi-regular patrons in the past, will likely not return after tonight's fiasco.",2,0,0,Kris B.,"Queens, Queens, NY",0,2,0
5.0,8/2/2018,"The Monkey Bar wasn't crowded on a Saturday night when I showed up.  The decor is fun. There are, unsurprisingly, monkeys painted all over the walls.  There was a small, old-school TV on the wall by the bar playing a black and white movie.  The lighting was dim.  It had a relaxing feel.  Service was friendly and efficient and the cocktail I had was tasty.  Highly recommended for a low key drink setting.",2,0,1,Dimitrios D.,"Queens, NY",17,458,667
5.0,7/12/2018,"It's just so charming at the bar! Come here for a martini, study the murals, glance over at the small TV playing black and white television shows, and listen to the pianist in the front room playing the music you want in the backdrop at a bar like this. Just pretend you are in advertising, and getting off of work in 1954. It's a treat!",0,0,0,Ali S.,"Brooklyn, NY",8,77,21
5.0,7/12/2018,"Best bartenders ever. Josh, Yangtze and Eddie are the best. They make me want to come back over and over. They make delicious drinks and are friendly and down to earth. My friends and I go there because of them!!",0,0,0,Jean K.,"Manhattan, NY",4,88,57
5.0,7/2/2018,Great time early Saturday afternoon. Relaxed/secluded vibe enlivened by lively Irish-American bartender serving up great stuff. I'll be BACK!,0,0,0,Michael G.,"Atlanta, GA",0,4,0
1.0,4/22/2018,"Awfully slow service, uninteresting food, and wonderfully overpriced. Not worth your time when visiting NYC.",1,0,0,Samantha D.,"Chicago, IL",2,5,1
5.0,4/10/2018,Have been coming to this bar for as long as I can remember they make the best cocktails always a good time great vibes bartenders are awesome staff is always super friendly if you have not been here before definitely stop by in for a drink or food it's really good you will not regret it! Also A great place for date night,0,0,0,Lindsey G.,"Flushing, NY",173,239,651
4.0,3/22/2018,"Had a late evening burger here, one of the few restaurants open late in midtown. Burger was great, pleasant service and nice live piano.",0,0,0,J H.,"Miami, FL",65,85,8
5.0,3/12/2018,"I love this classic NY institution for a manhattan and burger at the bar.  Guy playing piano in the corner, fun murals on the walls, general 'Bonfire of the Vanities' feel - in a good way!  Live out all your American Psycho fantasies here ;)",0,0,0,Tracy A.,"Manhattan, NY",17,13,0
4.0,3/1/2018,"Solid spot. Been to the bar a few times, always lively. The crowd tends to be more chill/mature, which I like. Drinks are pretty well made, although tend to be towards the pricier side, as you would expect. The decor is nice as well. Recommended, for catching up with friends or a date.",1,0,0,Tarun G.,"Manhattan, NY",1,38,0
2.0,2/4/2018,"It was only okay. Our main server was phenomenal though! He made the experience and the night. A friend & I came here for restaurant week and the entire time I personally felt rushed by the other staff. Don't effing rush me regardless of what event I'm partaking of or not. Very rude to do so. The food was so-so anyways. And the help on the side by the other waitstaff? Pathetic. We waited over 40 min from when we were finished with our main course for dessert & I spoke up about that, stating the obvious. I would not come back here to eat per the poor service & the so-so food. But the cocktails were on point. I would only come back for those & nothing else.",1,5,1,Joelle G.,"New York, NY",296,792,72
5.0,1/26/2018,"Lunch for 2 yesterday, taking advantage of restaurant week, had great service and totally enjoyed the smoked salmon, swordfish and chocolate desert too. The out-of-the-ordinary ambiance with those eye-catching murals of New York City's star-studded past adds to a great experience.",0,0,0,Leo L.,"Newark, NJ",39,51,11
2.0,1/24/2018,"As it's name implies, it's mainly a bar. They do serve some small bites and sliders (didn't have any because I didn't want to wait any longer). Bad service. Ordered a martini with olives which was fine (brought the drink without the olives though). Ordered chips with dip which didn't come out with our drinks. Waited 20 minutes for someone to take our order. Very busy place, with very small menu. Not a fan. Won't come back.",1,0,0,Bob S.,"Pompano Beach, FL",54,119,57
1.0,12/11/2017,"Just had dinner there. Ordered a cocktail which was served in a chipped and cracked glass. Realized this after drinking half of it and alerted the waiter. He brought another and I assumed didn't charge us, but the bill comes and boom two cocktails. Really disgraceful service.  Won't be back.",1,0,1,John H.,"Manhattan, NY",17,11,0
4.0,11/11/2017,"I am only speaking for the dining area.Time::: Friday evening, Party of Two.Atmosphere/Scene::: Upscale, somewhat cozy lighting in a vast space with tables/couches with interesting murals. Crowd::: Few business clientele, mostly families, older people, some dates. Not super trendy in terms of the dining situation.Food::: Perfectly mediocre by every measure. Overpriced and laden with everyone's fav...butter! Yes, my Halibut probably took a swim in butter before it made it to my plate. We both had the crab cake and steak tartare appetizers and the halibut and chicken paillard entrees. Nothing special but the appetizers were decent. Drinks::: YES. YES. YES. The espresso martini was decadent and strong! The Moscow Mule was also a bit sweet but with its ginger notes, definitely worth a try! Service::: A+",2,1,1,Sunny C.,"New York, NY",103,169,106
4.0,10/25/2017,"Nice place! Super strong cocktails  asked to be on east on alcohol, and almost couldn't drink...;) they have live entertainment- I believe piano. Nice crowd is gathering here. Try it!",0,1,1,Ilona P.,"Cleveland, OH",83,242,1390
3.0,10/19/2017,Went there for a business lunch. Very cool vibe and great place for business conversation. However overpriced and mediocre food. Got the fish special which was very forgettable. Beet salad was good,2,0,0,Yag P.,"Chatham, NJ",99,226,491
2.0,8/29/2017,"Very nice place, very expensive drinks. We ordered the Savoy something, $17. The drink came in a tumbler with a large ice cube. It looked like a glass of water. For $17, can you throw a freaking orange rind in there or something? Ever heard of garnish?",0,0,0,Tony D.,"Bushwick, NY",1,15,0
4.0,8/18/2017,"Went out with friends for restaurant week and it was fun! Staff was very friendly and food was great! Would def recommend this place! Atmosphere has relaxed and very retro vibe to it. Dimly lit, rounded booths etc...",1,0,0,Rebecca C.,"Astoria, NY",1,34,35
4.0,8/4/2017,"I love Monkey Bar. Through the years, it's a reliable gathering place and standby in midtown. Wonderful for drinks, burgers and cocktails with an upscale ambiance and smart, put-together professional crowd that shows up after office hours and stays a few hours. Always mobbed for happy hour, the dinner crowd is split between the casual Monkey Bar, (if you can land a table or booth) while some spill into the adjoining dining room of the Hotel Elysee.   The ambiance here is reminiscent of Bemmelmans Bar at the Carlyle Hotel, only more casual. The artwork on the walls is similar a only with a monkey/ exotic animal theme. The music is light and jazzy -- all of which adds up to a casual sophistication that's becoming harder and harder to find today. Ladies who frequent here get a VIP card offering 50% off drinks.",1,0,2,Joseph P.,"New York, NY",33,446,499
4.0,8/1/2017,Good food - Good Service  - Ordered from Restaurant week menu. Gazpacho was good not great. Branzino was better than expected. Tiramisu was terrible.,0,0,0,Phyllis N.,"Wellington, FL",51,11,0
4.0,6/25/2017,"While I didnt love the southern gentlemen cocktail special I had this visit, the bartenders are excellent and its a great cocktail menu.",0,0,0,Jonathan D.,"Beverly, MA",23,499,16
