rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/23/2019,"Skip this overpriced empty tourist trap!We had dinner at Rock Center Cafe tonight. There were very few people there. Service was so bad I had to find the host to get our check, our server disappeared. We were served rock hard stale rolls. My salmon was served skin up and was just dreadful. For two people, no alcohol, no dessert, the bill was $90!Do not waste your money.",0,0,0,Cindy J.,"Arlington Heights, IL",1,9,1
4.0,4/13/2019,"Food was good, service was good as well. We had a good waiter. He was able to give us good information about the city and was entertaining.  Best calamari I have ever eaten!",0,0,0,Wesley T.,"Bellview, FL",0,4,0
4.0,4/2/2019,So we love this placeIt's got great views of the rinkCentrally locatedService is pleasantDrinks are goodPrices not bad I'm a fan of Mr R as he loved the redwoods,0,0,0,Veena P.,"San Jose, CA",5,29,2
4.0,3/25/2019,"Sign up for the birthday reward, $50 gift card when you spend $100.  Totally worth it as it's not difficult for two people to spend $100 on brunch.  Location is very cool if you go while the ice rink is up at Rock Center.  Super fun to watch the people ice skate while you eat.   It also wasn't super crowded on a Sunday morning so that was nice too.",0,0,0,Andrew P.,"Winter Park, FL",2,14,0
1.0,3/19/2019,"It's nice to watch the skaters. I like to eat. I hate to waste food. I took two bites of my burger and ate three fries. Inedible. Tastes like dog food. I don't think I've ever left this much food on a plate. Service was t frat and the soup was watery/weak, but the burger was a crime against food. And the prices are sky high. Grab food from a cart or a vending machine or literally anywhere and sit on it side to watch the skaters.",0,0,0,Terry R.,"Palm Harbor, Tampa Bay, FL",3,11,2
5.0,3/14/2019,"Well we came at Christmas time as my husband is from a small farming town in IL and Christmas in NY is something everyone should experience!  His birthday is also Dec 23rd and when I made the reservation I told them all of this.  They gave us a table right up near the glass so we can see the tree and watch the people ice skate.  The waiter was attentive, the food was delicious.  Would love to go back.It was a little pricey, but you are in NYC at Christmastime looking up close and personal at Rockefelle center and the tree and skaters while eating and enjoying a bottle of wine.  Some things you just can  not put a price tag on.",0,0,0,Wendy B.,"Wellington, FL",64,299,271
4.0,3/13/2019,Nice ambiance. Only had drinks while the kids skated. Can't post food review but my ambience and drink review is... We'd come back!,0,0,0,Nina L.,"Murphy, TX",15,55,413
3.0,2/14/2019,"Came for Valentine's Day. It was part of a prix fixe three course menu with skating. I had risotto with egg and black truffles, it was okay. The risotto was a tiny bit hard. I then had the Duck Two Ways. It was supposed to be breast with a leg confit but I think I was only served breast. I ordered it medium rare, it came with one end dried out hard to a crisp, some slices well done, and the rest completely rare. I ended up sending it back. They sent me a new one that was indeed beautifully medium rare on all fronts.The salad that came with the duck (a frisée/radish combo) was super underwhelming. No balance with the duck. It was also served with some sort of beans, then were large, black, and dry. I didn't finish it.I had no issues with my server. But for the price of the prix fixe i expected better food.I took my dessert, some sort of trumped up apple fritters, to go. Again, not wowed.",0,0,0,Demi E.,"Brooklyn, NY",0,11,1
3.0,2/11/2019,"I misread the menu and ordered pasta with meat which they promptly replaced sans meat to please me, which I very much appreciated. The waiter and staff are less than friendly; the waiter never once smiled! And they are not very attentive. The soup was bland, lukewarm and very sloppily served. The bottle of Merlot was fantastic and the entree and dessert were great. The only person who was happy was the hostess. The atmosphere was great and watch by the ice skating rink was fun. We even saw a proposal. Overall very nice but if I returned I wouldn't expect happy staff just a good bottle of wine and appetizers will do... even though the pasta was fantastic and my mom loved the salmon! They really deserve 3.5 stars but I appreciate them changing the order so promptly.",0,0,0,N F.,"New York, NY",0,40,17
5.0,2/11/2019,Delicious pasta! We are coming back! The food were cooked to perfection. The place is romantic and elegant. The staff were friendly too. Check out my pictures. Ask me any questions.,1,0,0,michelle l.,"Brooklyn, NY",222,85,149
4.0,2/9/2019,"My husband and I, along with my mother and 18 year old son, had a great experience for Saturday brunch today. We were visiting from out of town, and loved the great view of the ice skating rink, and photo ops on the plaza. The service was very good, and we enjoyed our food-falafel burgers, hamburger and shrimp chop-chop salad. Bathrooms were very clean. We would recommend this place and would definitely come back.",0,0,0,Heather R.,"Avon, CO",68,3,0
