rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/21/2019,"Seven stars if I could. The dining experience for brunch took me back to Italy, the pizza at Obica is why you'd travel to the gastronomic center of the universe. Obica has locations all over Italy, and it seems that the tradition carried over nicely to New York. Exceptional staff, airy decor, and the fresh flavors you can only appreciate if you've had modern Italian cuisine is what makes the place one of the few places in NYC I'd care to return to.",0,0,0,Mike T.,"New York, NY",228,107,34
1.0,3/28/2019,"Picked up their mazzi pecchiri pasta for lunch. It had 12 pieces of pasta at max, was undercooked and had 1 piece of mozzarella along with 1 piece of basil. The sauce was sweet, watery and seemed hastily cooked. It was not worth the $20 at all. My friend got the panini, which was bland and dry. This place doesn't even deserve 1 star for their overpriced and disappointing food.",0,0,0,Shreeya B.,"Brooklyn, Brooklyn, NY",132,3,0
3.0,3/23/2019,"One of those places that can be good if you order correctly, but I can't say that everything is good. What was good: stick to some appetizers; meet and cheese platter; salad with almonds and avocado with fresh lemon and olive oil; prosciutto di Parma; Margherita pizza (don't let the waiter tell you it's personal pizza size, like they did us). One can feed two people if you order other starters or sides. Pastas are smaller and can be split into two small sizes or for one. What wasn't good: salsiccia pizza    was dripping in juice and all mushy in the middle. Also doesn't have red sauce on it which I didn't know until I got it. But otherwise just didn't have much flavor. Crust was good texture outside of in the middle. Overall average food. Service was ok. But good spot for groups; big space.",3,2,2,Victoria O.,"New York, NY",195,120,175
4.0,3/17/2019,"Just had drinks here so will def come back to give a food review. Until then...The drinks were awesome. Strong and flavorful. They used fresh garnishes, you know the type you gotta smack to release the scent. (Do they do that for flavor too?) And real cherries! Not that candy red crap you get a FRIDAYS lolAnyway, the drinks were great. All their classic drinks are 10 bucks.... that's happy hour next to Madison Square park. Dope spaced- huge! I'll come back to sit by the kitchen to get freshly cut cheese and meat.",1,0,1,Rashon B.,"Brooklyn, Brooklyn, NY",57,63,424
3.0,3/13/2019,"Loud corporatey environment. I guess that's good if you want to fill the noise during an awkward date or work happy hour, but it can be really difficult to have a regular conversation with the people you're dining with.The cocktails aren't that great. The food is alright. We had a pasta that was simple but lacked flavor, and a beef tartar dish that was decent but nothing special. The burrata was good, but you really can't get burrata wrong. Service was normal. Overall It was just overpriced for the quality received.I'd recommend Boqueria for a similar ambience, with better value of price of food.",1,0,0,Elisa L.,"New York, NY",400,389,513
2.0,3/7/2019,"Had high hopes for this place. Seemed trendy, popular and the food was good. However, the service left me unimpressed. Arrived around 6pm on a Thursday and asked if we could get a table. Place was half empty. Hostess said sure, but I'll need the table back at 730pm. We graciously accepted, as this would leave us over an hour for dinner. The food came out quickly thankfully, and we sipped on our drinks for a bit. At 7 on the dot, a seemingly annoyed man rushes over and tells my companion, ""I need your table, NOW"". He didn't leave any room for conversation (uh, we thought we had till 730...uh, can we get the check?) and it looked like he only targeted us (maybe the two tables near us had reservations? ). But we flagged him down and asked for the check and got out of there quickly. We even noticed the back half of the restaurant had a bunch of empty tables. I thought his approach and demeanor were inappropriate and uncalled for. We were not doing anything wrong, yet it felt like he was kicking us out. Had the waitress given us a 7pm limit, we would have either gone elsewhere or eaten faster. This restaurant was nice, but I'm not going to beg to give them my business. Will not be returning.",0,0,0,Reshma B.,"New York, NY",122,312,6
2.0,3/3/2019,"This most recently trip to Obica was a true disappointment all around. I've been to this restaurant on 3 occasions for dinner, most recently with the same group of people I came with the first time I ever dined here. The first time (back in Jan 2018), everyone I was with LOVED everything. When we planned our second dinner as a group we were all very excited to come back here....unfortunately, it didn't live up to our expectations. The food was boring, lacked flavor, and the presentation was embarrassing. We got some of the same dishes and tried some new things, and overall every dish brought to the table made us wish we had gone somewhere else to eat. I'm not sure what has changed over the past year, but I think they need to work with their kitchen staff to bring this place back up to what it used to be. Also, the service here is spotty and it's hard to get your waiters attention which is a huge pet peeve on mine. If you're in the neighborhood, they do have good drinks and a great happy hour deal. Other than that, you're in Manhattan and there are a thousand other better italian restaurants to dine at.",0,0,0,Karli B.,"Manhattan, New York, NY",487,12,23
5.0,2/24/2019,"I love this place! One of my all time favorites in NYC. The atmosphere is lively and upscale, and the service is top notch. And the FOOD. Please try the black truffle and mozzarella pizza, you will thank me later. Enjoy!",0,0,0,Desiree' P.,"Santa Barbara, CA",147,3,0
5.0,2/19/2019,"I 100% need to update my review from the last time I went here, because it was a night and day difference. I came here with my friend on a Friday night. We were seated right away. We were both craving cheese. We ended up ordering every single mozzarella they offered and this place did not disappoint me this time. One of my favorite types of mozzarella was the smoked (BUFALA AFFUMICATA). The Burrata was incredible. The black truffle (BURRATA AL TARTUFO) was very delicate and beautifully presented and their classic (BUFALA CLASSICA) was the stuff of dreams. It was amazing! We also ordered 3 types of salami, also amazing. The service was phenomenal.  Our food was brought out quickly and we had a much better table than the last time we were here. Overall, I totally misjudged this place. I think sometimes restaurant week isn't the best option for all places and I am so glad I gave this place another shot!",1,0,1,Marie S.,"New York, NY",297,143,289
1.0,2/14/2019,Mouse ran across my feet and they were so casual about it. Didn't even offer to comp part of the meal or anything. never going back.,0,0,0,Kate M.,"Brooklyn, Brooklyn, NY",0,2,0
