rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,3/27/2019,"Come here every time I'm in NYC.  The GF pasta (ravioli and gnocchi in particular) are the best I've had.  If you are celiac or GF, do yourself a favor and try this place.  It will provide you hope that will sustain you in the dark times when you wonder if anyone will ever make GF pasta that can compare.  They've done it.   Can't say enough great things about this place.  Service is attentive, wine list is great, desserts are outstanding.  Go.  Now.",0,0,0,B R.,"Charlottesville, VA",1,30,1
5.0,2/23/2019,Excellent eats. Great service. I had an excellent Gewurztraminer there.  I went here twice. Once upstairs for a private Bday party and for a business dinner a month ago. Great location as well.,0,0,0,Joe C.,"Manhattan, NY",130,13,8
4.0,2/17/2019,"I brought my mom here for dinner, and without a reservation on a Sunday night, we got seated within twenty minutes. The atmosphere is classier and attracts an older and more upscale crowd. There were a few big families celebrating birthdays, which created a warm vibe. We were brought a bread basket with an olive spread, which was actually the star of the night. She got a spaghetti with tomato sauce and I got the grouper. I loved my entree and thought it was worth every penny, especially since the filet was a hefty seven to eight ounces. I asked them to replace the potatoes with lentil salad, which they did. My mom's dish, however, was very oily and undercooked, even though she specifically asked it to be well-done. All in all, I was content, but her very plain dish could've been more quality. They also brought a few pieces of complimentary dessert, which was fun to try. The service felt lacking, maybe because we were a small party and sitting in a corner, but certain things took longer than they should've. I do recommend this restaurant for a classy ambiance or pre-theater meal, especially if you're looking to get a bit dressed up or celebrate a special occasion. I'll admit I felt out of place here in my leggings and UGGs!",3,2,5,Darya S.,"Manhattan, NY",978,2060,1393
2.0,2/16/2019,"Service is horrendous, waiter is in his own world and beyond slow.  Took over an hour and a half for food to come out.  Most of the food was good but service is the worst. Out of multiple bottles of wine on already limited list. Didn't even order dessert bc it took so long for waiter to come back.",0,0,0,Crystal B.,"New York, NY",0,18,1
5.0,2/8/2019,"INCREDIBLE gluten free food and wonderful service! We walked in about an hour before seeing a show and there were no tables available. The hostess brought some chairs and sat us at the bar until a table opened up. She brought us the menus while at the bar and took food orders from there to make sure we had enough time to enjoy our meal. She gave us a 4 seater table instead of having us wait for a 2 seater and was so kind throughout the evening! I have celiac and my boyfriend and I ordered a gluten free gnocchi with bolognese as well as gluten free ravioli with marinara sauce. Both of them were amazing - the gnocchi melted in your mouth and was the best thing we ate in 4 days in NYC including several Italian restaurants! The sauce was superb, very flavorful and well seasoned. My boyfriend loved his old fashioned drink as well which strengthened in flavor as it sat. Incredibly fast service, never had to ask for more water or anything. Would DEFINITELY recommend for those with gluten allergies or anyone!",0,0,0,Melanie A.,"Loveland, CO",267,150,46
3.0,2/3/2019,"I am not sure if they had a bad night or if the reviews are overly positive on this app? I chose the booking because of the reviews here'. It was Wednesday last week, it was a very cold night, however they were fully staffed. Despite being NY restaurant week the restaurant was virtually empty. There were only 4 or 5 tables filled. The staff were very attentive although they did forget side orders. The food was ok, nothing to rave to about. My colleague ordered the restaurant week 3 course special. I ordered a la carte and had steak. We both agreed the wine (our choice was great) the food was not. It was not terrible, it was a solid average. I would not return based on the food that night. I don't think it deserves more then 3 stars.",0,0,0,Conor C.,"Manhattan, New York, NY",9,5,0
5.0,2/1/2019,"We had a lovey here with attentive, personal service. My companion is gluten free and she was over the moon about the handmade GF pasta offerings. We split the octopus salad, which was very tasty, and I had tne most outstanding veal ravioli (I'm now usually ravioli person but I tried it on our waiter's selection and it was mouth-watetingly good. Brussels sprouts have become a glam veggie but these were above and beyond. We didn't expect as good food as we got. We loved that there were half size entree portions, perfect for feeling satisfaction without being stuffed. I'd come again.",0,0,0,Ann B.,"Buffalo, NY",82,15,1
3.0,2/1/2019,"Came here for a private event upstairs for work and the menu was not impressive. The food was actually pretty bad. Maybe the food was catered elsewhere? But it is a restaurant so I am not sure. The lasagna they served was frozen..multiple frozen veggies in the middle. That was a huge turn-off. The appetizers were good though but I couldn't help but wonder if these were frozen as well then just baked. The event space is narrow, long, limited in seats, and their timing of the food was so off. They were extremely stingy on the food in the beginning and started to bring out all the food when the event was nearly over.",2,1,1,Canny F.,"Brooklyn, NY",688,1621,7394
3.0,1/29/2019,Service was great but food was nothing special but good. Felt like the whole dining experience was rushed so they could benefit from a higher turn around.  Great if your trying to eat somewhere before a show. Atmosphere was fun and loud.,0,0,0,Rebecca C.,"Thunder Bay, Canada",27,3,0
5.0,1/12/2019,"A less crowded ""fine dining"" spot near theater district that doesn't break the bank. Good service, fresh pasta, everything exceeds my expectation. Not difficult to get a table either",0,0,0,Lydia C.,"New York, NY",1,28,79
5.0,12/21/2018,"Amazing gluten free selection, very accommodating with food allergy's. Gnocchi and sweet potato ravioli is .",0,0,0,Austin F.,"New York, NY",60,37,13
2.0,11/25/2018,"This is a typical want a be high end restaurant that is overpriced for what you get.  I do like the Blood Orange Martini but its not worth the 15 bucks a shot.  The food is expensive for what you get.  Overall, I might come back once in a while to have a drink, but this will not be a regular place.",0,0,0,Tommy C.,"New York, NY",0,11,0
4.0,11/17/2018,"I've been wanting to come here for some time, and it did not disappoint. Good food and service, cozy atmosphere, prime location in the middle of all the Broadway show theaters. I would recommend this restaurant if you're looking to have dinner before a show. Make a reservation for weekends...it was packed on a Friday night at 6 pm.",0,0,0,A G.,"New York, NY",1,69,37
5.0,11/8/2018,"Was there for a dinner date with my Husband and we loved it. Service was friendly, attentive and super helpful with my gluten allergy. Had the gluten free ravioli and it was to die for. There cocktail list was also super delicious, especially the fig cocktail. We will be back",0,0,0,Andre C.,"Manhattan, NY",129,31,51
1.0,8/25/2018,"$155 for four people with practically nothing to eat.  Chintzy servings.  Had to come home and eat again.  Paying for eating in the theater district, that is all.  Never again.  The only positive thing I can say was that the food tasted good, all three bites of it.  Just ridiculous.  They should be embarrassed.",1,0,0,Marc H.,"Brooklyn, NY",0,72,0
4.0,7/7/2018,"I absolutely love this little place! The pasta is superb! The gluten free options are amazing! I would personally recommend getting the full portion, the half is a bit small. The service is slow, and the server was a bit arrogant. But other that that it was amazing!",0,0,0,Sara F.,"San Clemente, CA",0,6,2
2.0,7/1/2018,"Came here on a gilt voucher, service was slow and the entrees forgettable. They weren't clear on what we were allowed to order and didn't take substitutions. The apps were good and so was the soup but I recommend not eating here.",0,0,0,Jie C.,"Manhattan, NY",2,86,9
1.0,6/30/2018,"The champagne had no bubbles , bar tender was chatting in Spanish with his buddy. I found this place rather unclassy",0,0,0,Yus N.,"Seattle, WA",0,14,0
5.0,6/23/2018,"At first, I was pretty skeptical of coming here because it didn't have many reviews. But this place surprised me by being a good fancier restaurant for dinner, with great service and food. The server was very friendly and joked with us. The restaurant is very flexible in what dishes it could make for customers. For example we saw the special event that was happening: the black truffle festival, and we were excited bc we thought there would be truffle fries. Turns out they didn't have it, but we asked and they said they could make it for us. The food is great especially the shrimp risotto and lemon cake. I definitely recommend for a once-in-a-while fancier dinner.",1,0,0,Michelle C.,"Los Angeles, CA",0,7,11
