rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,3/27/2019,Had a good dining experience at Cafe Centro.   Had the special and thoroughly enjoyed it.  Prices are average and around the same as u would find at other establishments in the area.  Dining area isn't loud and easy to hold an enjoyable conversation.,0,0,0,Diana C.,"Manhattan, NY",16,151,144
4.0,2/23/2019,I've been coming here for a long time. Always a good visit. The food is always wonderful and service great. The Beef Bourginon was phenomenal. The beef is short rib and it was so tender. Halibut was good too. Only slight hiccup was the side Brussels sprouts. Very delicious with the honey and sunflower seeds but it was  greasy. Apparently they fry it.,1,0,1,david l.,"Brooklyn, NY",70,441,1255
5.0,2/13/2019,"Love Cafe Centro food and service as well as the atmosphere. Very healthy and always change up the food items. Never a bad meal, always top notch. Great place to take clients for business lunches and dinners. Bar is a bit too tight",0,0,0,Richard E.,"Atlanta, GA",8,13,12
4.0,12/27/2018,"Food and service were fabulous, even though the service can be a bit slow, we enjoyed sitting there for a couple of hours and taking in the atmosphere on a cold winter night.  Also loved that it wasn't crowded and that their space is large and comfortable.  Everything we had was great, from the appetizers to the drinks.  The oysters were excellent, just as good as my favorite places in Maine!  I was impressed!  Love that they're located right by Grand Central so that we could hop on the train to head home when we were done visiting.  And I think the prices were in line with what you would expect at a fine restaurant in NYC.  Another HUGE plus was that we didn't have to wait for a table.  All the other places we had stopped at nearby were booked, small and crowded (also to be expected on a Saturday night), so I was SO grateful that they were able to accommodate us with a nice experience and a great meal to celebrate my son's engagement in NYC!",0,0,0,Violet R.,"Philipstown, NY",97,551,460
4.0,11/15/2018,"Beautiful atmosphere for dinner with great food. All food was served with elegance. The menu does not have denotations for gluten free items but our server was very helpful. We had dinner at 7pm and the scallops and lobster were already sold out, which I found strange. Nonetheless, they have a menu that is 3 courses for $42 which is quite reasonable! I ordered the mixed greens salad as an appetizer and my friends ordered the lobster bisque, roasted butternut squash soup, and the french onion soups. They enjoyed the soups but my salad was very small for $14. For dinner, I ordered the lobster risotto (which was seafood risotto because they ran out of lobster) but was very good. It was a small portion though. My friends enjoyed the chicken milanese (large portion) and the sea bass. For dessert, my friends enjoyed the carrot cake. For people with gluten allergies, they had creme brulee and fruit for dessert. Overall we had a great meal with slow service but it allowed us time to chat for a while!",1,0,0,Lindsey D.,"New York, NY",397,204,105
1.0,10/30/2018,"A nice environment, have taken clients a few times. This last time, the service was terrible. A place with these price points can't afford this. Once the food was served our server disappeared. Will not return. Another chilly midtown spot with no soul.",0,0,0,Emma G.,"New York, NY",0,23,0
5.0,10/10/2018,"Soooo good! I went here with my dad and we opted for the prix fixe menu. I ordered escargots, fish, and red velvet cake. My dad ordered octopus, duck duo, and an orange cream mousse. Everything was delicious! Including the complimentary bread. Service was very good. My dad wasn't sure about a red wine and the waiter brought a little sample for him to try. Very laid back atmosphere, so once we were done with our food we were (happily) ignored until we flagged down the waiter for the check.",0,0,0,Christine X.,"Manhattan, NY",385,110,51
5.0,10/9/2018,"Wonderful scallops on potatoes cream with spinach. Tuna tartare appetizer snd crab cake. Whiskey sour, sauvignon blanc, french baguette. There are a lot of choices but this was an excellent decision.",0,0,0,Paula T.,"Scarsdale, NY",8,171,324
4.0,7/19/2018,"There are several nice places in the Grand Central area. But I picked up my husband from work and he'd mentioned coming here for Dinner- so I can't even take the credit for Centro. After-work crowd takes over their outdoor patio during Happy Hour but we had karma on our side and in we went. Centro stands out for multiple reasons. For one, it's (probably) the only French restaurant in the area (and no- I don't consider Maison Kayser a 'restaurant'). And then, the food itself, has interesting combinations and presentation. This place is sprawling. Entrance leads to a small seating area, Bar next on right, then it opens to another dining area, plus a bigger seating area towards the middle. This section, gives you a front seat to their glass-enclosed kitchen. They're actually ahead of the Restaurant Week game as our server, Ideal brought out regular menus as well as their NYC Restaurant Week- also (which doesn't start til July 23rd). I decided on it, while hubby went for the regular items. But for $42, 3-Course Dinner Menu, it won me over. Centro takes on French food differently. Salade Niçoise had flavorful ingredients, a super light dressing with an interesting black olive tapenade. But what got me real good was the Pea/Butter Sauce at the bottom of my 2nd course Salmon Roulade. Honestly- I wish I had a spoon to eat that sucker. While hubby enjoyed his roasted chicken with Mashed and Asparagus on the side. Hubby had a glass of a Château D'Arcins while I had the Hummingbird Margarita that was excellent! I liked Centro a lot and offers a nice twist to French food. Dining here isn't overpriced but it's not dirt cheap either. Just come for the food experience. Loved the attention to detail. And oh yeah...the food is spectacular! I liked my experience- if and when I pick up hubby again from work, I wouldn't rule Centro out.",26,13,23,Mercedes C.,"Bronx, NY",92,882,6216
4.0,6/21/2018,"A perfect choice to cap off the Summer Solstice Music Festival with my girls. Great interesting cocktails, accompanied by a delightful tasting menu @42 beans that was rather diverse and filling.Okay sidenote anyone who know me........knows I have a Supa soft spot for octopus.........and Theirs Baby was ""Lit"" as the babies say today. It took me back to Columbia and ravels that of Morini (trust their octopus ain't nada to sneeze at).Overall an amazing wondering in trade off. This may become the new summer spot.",1,0,1,S S.,"Bronx, NY",127,239,1804
